date,Open,High,Low,Close,Volume
2019-08-20,71.42,72.26,71.1,71.12,2171244.0
2019-08-21,71.96,72.33,71.19,72.2,1897423.0
2019-08-22,72.45,72.77,71.25,71.74,1643997.0
2019-08-23,71.5,71.67,69.25,69.55,2990027.0
2019-08-26,70.11,70.64,68.79,69.64,1827254.0
2019-08-27,70.05,70.33,69.11,69.48,2032338.0
2019-08-28,69.26,70.26,68.81,69.94,1673981.0
2019-08-29,70.81,71.29,70.48,70.7,1611155.0
2019-08-30,71.45,72.45,70.82,71.11,2356396.0
2019-09-03,70.7,71.04,69.48,70.41,2227812.0
2019-09-04,70.94,71.22,69.96,70.86,1820588.0
2019-09-05,71.64,73.71,71.64,73.52,2997855.0
2019-09-06,73.69,74.37,73.69,74.28,3117566.0
2019-09-09,74.39,74.59,73.67,74.18,2978545.0
2019-09-10,73.5,75.03,73.29,74.77,2838030.0
2019-09-11,75.07,77.01,75.07,76.99,2800328.0
2019-09-12,77.01,78.09,76.71,77.57,4009762.0
2019-09-13,77.59,78.05,77.18,77.9,2673363.0
2019-09-16,77.32,77.43,76.46,77.15,2862699.0
2019-09-17,76.95,76.97,76.28,76.4,2722866.0
2019-09-18,76.36,77.57,75.75,77.57,1993422.0
2019-09-19,77.58,78.15,77.32,78.07,1779338.0
2019-09-20,78.22,78.74,77.91,77.97,4615740.0
2019-09-23,77.48,78.39,77.27,78.06,2233638.0
2019-09-24,78.29,78.39,75.64,75.97,4317585.0
2019-09-25,76.05,76.56,75.16,76.33,1811568.0
2019-09-26,76.45,76.96,76.09,76.52,1328608.0
2019-09-27,77.02,77.31,75.92,76.39,1639828.0
2019-09-30,76.37,77.11,76.33,76.63,1713739.0
2019-10-01,76.5,76.89,74.59,74.84,2221177.0
2019-10-02,74.32,74.54,72.9,73.35,2031175.0
2019-10-03,73.38,73.88,72.47,73.87,1909903.0
2019-10-04,74.08,75.91,74.06,75.88,1289752.0
2019-10-07,75.35,75.69,74.64,75.1,1065442.0
2019-10-08,73.97,73.97,71.73,72.49,3034916.0
2019-10-09,73.05,73.84,72.64,73.47,1519249.0
2019-10-10,73.43,74.43,73.43,74.0,1460394.0
2019-10-11,75.55,76.21,75.24,75.3,1216971.0
2019-10-14,75.18,75.8,74.99,75.18,845358.0
2019-10-15,75.8,76.36,75.68,75.75,854689.0
2019-10-16,75.3,75.88,74.96,75.27,2401590.0
2019-10-17,75.69,76.25,74.9,74.92,1657121.0
2019-10-18,74.0,74.82,73.77,74.57,2121895.0
2019-10-21,74.88,75.51,74.69,75.48,1739523.0
2019-10-22,75.68,76.33,74.64,74.69,1327981.0
2019-10-23,75.02,75.89,74.68,74.98,1828337.0
2019-10-24,75.03,75.11,74.46,75.0,1582478.0
2019-10-25,74.7,75.97,74.13,75.39,835050.0
2019-10-28,75.69,76.56,75.69,76.15,1143869.0
2019-10-29,75.05,76.68,74.94,76.17,1113263.0
2019-10-30,76.04,76.15,75.24,76.12,914825.0
2019-10-31,76.0,76.12,75.1,75.75,970472.0
2019-11-01,76.51,77.35,76.32,76.97,1106264.0
2019-11-04,77.68,77.85,76.73,76.74,1010174.0
2019-11-05,76.82,76.91,75.47,75.55,2362034.0
2019-11-06,75.7,75.94,74.94,75.79,1355737.0
2019-11-07,76.34,76.38,75.68,75.91,860939.0
2019-11-08,75.9,76.65,75.65,76.64,1231456.0
2019-11-11,76.25,76.85,76.13,76.85,1149169.0
2019-11-12,77.0,77.55,76.72,77.05,1008400.0
2019-11-13,76.82,77.5,76.56,77.16,1104429.0
2019-11-14,77.21,77.45,76.48,76.76,1113519.0
2019-11-15,76.93,78.31,76.61,78.26,1700368.0
2019-11-18,78.14,78.5,77.5,77.94,1641215.0
2019-11-19,78.17,79.49,77.84,79.29,1704766.0
2019-11-20,79.16,79.36,78.21,78.52,2429830.0
2019-11-21,78.97,78.97,77.31,78.3,2142169.0
2019-11-22,78.61,79.19,78.23,79.12,1869681.0
2019-11-25,79.45,80.46,79.3,80.26,2640193.0
2019-11-26,78.57,81.03,77.96,80.95,5329764.0
2019-11-27,81.08,81.34,80.69,81.08,1628005.0
2019-11-29,80.96,81.24,80.47,80.77,835780.0
2019-12-02,80.78,80.99,80.02,80.35,1775635.0
2019-12-03,79.52,80.11,79.17,80.1,2110132.0
2019-12-04,80.3,81.0,80.18,80.93,1690909.0
2019-12-05,80.89,81.74,80.5,81.53,1900031.0
2019-12-06,82.24,82.42,81.82,82.21,1783441.0
2019-12-09,82.34,82.47,81.55,81.62,1913684.0
2019-12-10,82.9,83.8,82.7,82.93,3067680.0
2019-12-11,82.93,83.47,82.57,83.42,1595285.0
2019-12-12,83.49,84.98,83.17,84.81,1920781.0
2019-12-13,84.67,84.74,83.59,83.71,1811165.0
2019-12-16,84.47,84.97,84.0,84.45,1371246.0
2019-12-17,84.76,84.86,83.78,83.95,1653196.0
2019-12-18,83.75,84.05,83.36,83.43,2025494.0
2019-12-19,83.95,84.67,83.56,84.51,1696006.0
2019-12-20,84.94,85.31,84.32,85.19,2287793.0
2019-12-23,85.42,85.44,84.76,85.26,816020.0
2019-12-24,85.45,85.45,84.98,85.3,271858.0
2019-12-26,85.31,85.64,85.09,85.45,649078.0
2019-12-27,85.68,85.68,85.11,85.42,767716.0
2019-12-30,85.34,85.4,84.64,84.9,742820.0
2019-12-31,84.84,85.34,84.67,85.31,1176222.0
2020-01-02,85.9,86.35,85.2,85.95,1410486.0
2020-01-03,84.67,85.33,84.5,84.57,1118322.0
2020-01-06,84.0,84.82,83.6,84.82,1992491.0
2020-01-07,83.96,85.26,83.94,85.08,1722896.0
2020-01-08,85.96,86.47,85.2,85.92,1847585.0
2020-01-09,86.46,87.7,86.17,87.27,1912699.0
2020-01-10,87.72,88.24,87.32,87.59,1417028.0
2020-01-13,87.81,88.32,86.74,87.46,1630160.0
2020-01-14,87.27,88.21,86.7,87.99,1675243.0
2020-01-15,87.63,89.11,87.55,88.62,1630364.0
2020-01-16,89.12,89.49,88.86,89.46,1480891.0
2020-01-17,89.97,90.28,89.21,90.12,3718336.0
2020-01-21,89.8,90.15,89.46,89.61,2697372.0
2020-01-22,89.94,90.64,89.84,90.13,1665822.0
2020-01-23,89.62,89.98,88.66,89.07,1228291.0
2020-01-24,89.45,89.46,87.58,88.26,1164489.0
2020-01-27,86.54,87.17,86.21,86.56,1867959.0
2020-01-28,86.85,87.48,86.19,87.18,1652210.0
