date,Open,High,Low,Close,Volume
2019-08-20,26.08,26.08,25.56,25.83,7660120.0
2019-08-21,26.06,26.5951,26.01,26.42,6227560.0
2019-08-22,26.46,26.98,26.3375,26.53,5958588.0
2019-08-23,26.27,26.51,25.35,25.42,8910561.0
2019-08-26,25.9,25.91,25.03,25.19,6728216.0
2019-08-27,25.27,25.34,24.32,24.45,7504544.0
2019-08-28,24.41,25.51,24.23,25.33,9080597.0
2019-08-29,25.79,26.61,25.7,26.32,7210512.0
2019-08-30,26.4,26.83,26.16,26.31,5076364.0
2019-09-03,26.16,26.66,25.95,26.51,6732810.0
2019-09-04,26.66,27.22,26.52,27.0,5657456.0
2019-09-05,27.45,28.11,27.44,27.69,6256918.0
2019-09-06,28.16,28.23,27.73,27.79,5791863.0
2019-09-09,27.79,28.75,27.71,28.44,8561601.0
2019-09-10,28.28,29.18,28.205,29.12,6377312.0
2019-09-11,29.16,29.93,28.725,29.76,10842616.0
2019-09-12,29.67,30.22,29.64,29.94,5808790.0
2019-09-13,30.2,30.34,29.87,29.95,7131918.0
2019-09-16,28.56,28.7892,27.7,27.77,15507799.0
2019-09-17,28.02,29.25,27.92,28.64,12735028.0
2019-09-18,28.55,28.66,28.07,28.6,6175971.0
2019-09-19,28.63,28.74,28.16,28.3,5125014.0
2019-09-20,28.2,28.435,27.96,27.99,6975202.0
2019-09-23,27.71,27.88,27.355,27.5,5394512.0
2019-09-24,27.62,27.7,26.765,26.995,5585650.0
2019-09-25,27.13,27.83,27.02,27.44,6399938.0
2019-09-26,27.57,27.6,26.905,27.19,4859795.0
2019-09-27,27.01,27.805,26.91,27.01,5209424.0
2019-09-30,27.35,27.41,26.82,26.97,5146989.0
2019-10-01,27.08,27.66,26.59,26.8,6548778.0
2019-10-02,26.5,26.51,25.02,25.37,14246046.0
2019-10-03,25.47,25.51,24.51,25.265,8616277.0
2019-10-04,25.33,25.85,25.07,25.83,6524685.0
2019-10-07,25.8,26.06,25.52,25.83,5876908.0
2019-10-08,25.56,26.8,25.45,26.26,9049444.0
2019-10-09,26.78,27.33,26.69,27.065,8191541.0
2019-10-10,26.68,27.25,26.5,27.18,7095959.0
2019-10-11,27.63,28.02,27.34,27.355,7531394.0
2019-10-14,27.37,27.66,27.14,27.615,3190555.0
2019-10-15,27.63,28.3746,27.28,28.27,7047547.0
2019-10-16,28.33,28.81,28.03,28.05,6373517.0
2019-10-17,28.31,28.44,27.85,27.93,6710008.0
2019-10-18,27.8,28.32,27.705,28.22,5669252.0
2019-10-21,28.51,28.91,28.425,28.62,6746391.0
2019-10-22,28.5,28.69,27.815,28.26,8093942.0
2019-10-23,28.25,28.4,27.88,28.29,8437075.0
2019-10-24,29.27,29.85,28.49,29.41,17963268.0
2019-10-25,29.4,30.89,29.3,30.86,13835748.0
2019-10-28,31.0,31.67,31.0,31.36,10260157.0
2019-10-29,31.42,31.49,30.675,30.92,6843245.0
2019-10-30,30.77,30.94,29.9349,30.29,10356079.0
2019-10-31,30.07,30.21,29.46,30.06,8779591.0
2019-11-01,30.3,30.61,30.015,30.56,8270943.0
2019-11-04,30.71,30.99,30.47,30.95,5888649.0
2019-11-05,31.0,31.58,30.91,31.18,5500164.0
2019-11-06,31.17,31.19,30.65,30.96,4270307.0
2019-11-07,31.21,31.44,30.75,30.89,6342457.0
2019-11-08,30.72,30.85,29.96,30.76,6352970.0
2019-11-11,30.54,30.75,30.2,30.59,4110020.0
2019-11-12,30.58,30.67,29.4,29.52,8663841.0
2019-11-13,29.03,29.155,28.565,28.66,7179903.0
2019-11-14,28.75,28.9,28.46,28.77,4393223.0
2019-11-15,28.95,29.2,28.8,28.86,4551993.0
2019-11-18,28.64,28.89,28.2787,28.6,5368970.0
2019-11-19,28.93,29.38,28.73,29.29,5966379.0
2019-11-20,29.14,29.24,28.05,28.23,9937115.0
2019-11-21,28.27,28.48,27.84,27.93,6071758.0
2019-11-22,28.2,28.72,28.13,28.68,4827418.0
2019-11-25,28.8,29.18,28.62,28.99,5174519.0
2019-11-26,28.95,29.07,28.565,29.05,5941469.0
2019-11-27,29.07,29.33,28.7416,28.95,3387635.0
2019-11-29,28.92,29.265,28.66,28.74,2970843.0
2019-12-02,28.79,28.9938,28.01,28.08,6851478.0
2019-12-03,27.73,27.77,26.96,27.29,7801699.0
2019-12-04,27.42,27.755,27.22,27.38,4806046.0
2019-12-05,27.46,27.568,27.05,27.24,4997239.0
2019-12-06,27.5,27.96,27.47,27.725,6094102.0
2019-12-09,27.62,27.83,27.457,27.49,4532901.0
2019-12-10,27.55,27.625,26.9,27.0,7541746.0
2019-12-11,27.08,27.1,26.68,26.86,5435419.0
2019-12-12,27.09,28.02,26.95,27.72,9651944.0
2019-12-13,27.93,28.13,27.365,27.48,5965334.0
2019-12-16,27.62,28.35,27.6,27.92,6997861.0
2019-12-17,27.97,28.48,27.86,28.28,5920693.0
2019-12-18,28.35,28.57,27.93,28.0,4634055.0
2019-12-19,28.0,28.57,27.93,28.55,6295123.0
2019-12-20,28.67,29.05,28.49,29.04,12283156.0
2019-12-23,29.25,29.72,29.2,29.3,9291453.0
2019-12-24,29.32,29.43,29.1,29.18,2373608.0
2019-12-26,29.32,29.71,29.26,29.67,4747397.0
2019-12-27,29.76,29.8092,28.36,28.44,8419552.0
2019-12-30,28.5,28.532,28.065,28.3,4940611.0
2019-12-31,28.2,28.79,28.19,28.68,4397331.0
2020-01-02,28.98,29.295,28.65,29.09,6275633.0
2020-01-03,28.27,28.29,27.34,27.65,14020066.0
2020-01-06,27.19,27.4901,27.08,27.32,6108646.0
2020-01-07,27.56,27.68,27.06,27.22,6197079.0
2020-01-08,27.1,28.09,27.07,27.84,10497296.0
2020-01-09,28.09,28.23,27.71,27.95,6901065.0
2020-01-10,27.96,27.99,27.25,27.32,8108419.0
2020-01-13,27.32,27.53,27.155,27.39,5841463.0
2020-01-14,27.91,28.4,27.35,27.53,8890948.0
2020-01-15,27.45,28.06,27.32,27.58,5689926.0
2020-01-16,27.79,28.26,27.76,28.23,6442847.0
2020-01-17,28.3,28.72,28.06,28.4,7379424.0
2020-01-21,27.97,27.99,27.05,27.2,16249991.0
2020-01-22,27.51,27.91,27.3,27.32,9852593.0
2020-01-23,27.39,28.99,26.04,28.8,25611121.0
2020-01-24,28.85,28.8612,27.01,27.64,18067793.0
2020-01-27,26.57,26.6,25.37,26.11,21573812.0
2020-01-28,26.36,27.115,26.26,26.9,11939167.0
2020-01-29,26.88,27.49,26.74,26.8,9094411.0
2020-01-30,26.3,27.79,26.26,27.72,10685468.0
2020-01-31,27.5,27.52,26.59,26.84,11027935.0
2020-02-03,26.93,27.67,26.74,27.16,7631879.0
2020-02-04,27.68,28.61,27.55,28.43,10832933.0
2020-02-05,28.96,29.24,28.545,29.1,8959684.0
2020-02-06,29.26,29.4498,28.14,28.3,8335783.0
2020-02-07,28.06,28.55,27.78,28.38,6231754.0
2020-02-10,28.19,28.81,27.98,28.79,15134344.0
2020-02-11,29.06,29.94,28.97,29.84,8977738.0
2020-02-12,30.0,30.78,29.99,30.47,9315375.0
2020-02-13,30.03,30.4,29.73,30.09,9119433.0
2020-02-14,30.01,30.27,29.14,29.2,5524788.0
2020-02-18,29.04,29.345,28.49,28.63,10486462.0
2020-02-19,28.84,28.88,28.31,28.33,8401025.0
2020-02-20,28.24,28.9,28.2024,28.51,10093423.0
2020-02-21,28.12,28.3,27.17,27.82,11256491.0
2020-02-24,25.98,26.11,25.0,25.45,21713199.0
2020-02-25,25.62,25.75,23.05,23.12,22296879.0
2020-02-26,23.57,23.75,22.11,22.31,19631372.0
2020-02-27,20.85,22.48,19.77,20.6,31897334.0
2020-02-28,19.8,20.35,18.77,19.05,37166398.0
2020-03-02,19.05,19.06,17.51,18.86,38737996.0
2020-03-03,19.66,19.79,17.8,17.85,35402453.0
2020-03-04,18.36,18.55,17.3,18.53,44362085.0
2020-03-05,17.54,17.65,15.98,16.04,44656806.0
2020-03-06,15.02,17.12,14.8,15.97,54504970.0
2020-03-09,14.87,15.79,14.46,14.75,42558021.0
2020-03-10,15.82,17.67,14.61,17.0,56972742.0
2020-03-11,16.31,16.49,15.52,16.26,43778178.0
2020-03-12,14.05,15.75,13.33,13.45,53968488.0
2020-03-13,15.3,15.6,13.12,14.31,58376115.0
2020-03-16,12.4065,16.2,12.0,15.92,84916838.0
2020-03-17,15.785,18.49,14.79,15.58,58055816.0
2020-03-18,14.24,14.28,10.17,11.65,78458779.0
2020-03-19,11.6,12.16,10.01,10.29,71584495.0
2020-03-20,10.6526,12.0,10.3,10.38,62681779.0
2020-03-23,10.9,11.36,10.01,10.25,56427277.0
2020-03-24,11.9565,14.81,11.5401,13.92,101553138.0
2020-03-25,16.69,16.99,14.31,15.39,93795094.0
2020-03-26,16.06,17.24,15.16,15.66,77627480.0
2020-03-27,14.98,15.22,13.91,14.04,50783456.0
2020-03-30,13.2,13.22,11.81,12.25,50516755.0
2020-03-31,12.9,12.96,12.1,12.19,44851435.0
2020-04-01,11.45,11.48,10.5,10.69,56854449.0
2020-04-02,10.61,11.03,10.0,10.06,65534605.0
2020-04-03,10.34,10.49,9.09,9.39,87018883.0
2020-04-06,9.72,9.94,9.11,9.5,94272306.0
2020-04-07,11.07,12.2,10.05,10.22,138060974.0
2020-04-08,10.91,11.4,10.5,11.33,82718687.0
2020-04-09,12.64,13.4,11.82,12.51,117592821.0
2020-04-13,12.9,12.95,11.25,11.56,73385533.0
2020-04-14,12.22,12.6,11.75,11.945,68039491.0
2020-04-15,12.52,12.69,11.39,12.29,124719945.0
2020-04-16,11.91,12.03,11.05,11.07,83626979.0
2020-04-17,11.87,11.945,11.5,11.57,61279474.0
2020-04-20,11.15,11.35,10.72,11.06,58984927.0
2020-04-21,10.795,11.22,10.7,11.0,49882258.0
2020-04-22,11.09,11.13,10.015,10.27,76320112.0
2020-04-23,10.36,10.67,10.24,10.25,54598512.0
2020-04-24,10.4,10.5,9.9,10.31,67234912.0
2020-04-27,10.53,10.53,10.0,10.02,67378762.0
2020-04-28,10.29,11.63,10.21,11.26,114642980.0
2020-04-29,12.1,12.89,12.02,12.63,113669404.0
2020-04-30,11.92,12.59,11.26,12.01,94921443.0
2020-05-01,11.41,11.66,10.58,10.64,99441398.0
2020-05-04,9.41,10.17,9.15,9.82,125580017.0
2020-05-05,10.26,10.38,9.5,9.51,86943949.0
2020-05-06,9.58,9.73,9.09,9.25,68990968.0
2020-05-07,9.3,9.8,9.29,9.54,61816999.0
