date,Open,High,Low,Close,Volume
2019-08-20,192.97,200.43,192.17,192.63,478780.0
2019-08-21,192.86,197.675,192.86,195.84,439688.0
2019-08-22,197.3,200.0,194.8,195.44,373989.0
2019-08-23,194.6,195.65,188.675,189.59,478153.0
2019-08-26,190.81,193.24,188.05,190.44,358577.0
2019-08-27,191.46,193.04,188.86,190.06,355181.0
2019-08-28,189.88,194.22,189.3092,191.2,525775.0
2019-08-29,192.0,194.37,190.0,192.01,409282.0
2019-08-30,193.5,194.3526,191.34,193.07,397103.0
2019-09-03,192.08,192.47,182.05,183.64,647246.0
2019-09-04,185.84,186.9893,180.0,183.38,458245.0
2019-09-05,185.07,191.02,182.82,190.25,403144.0
2019-09-06,191.0,192.38,188.35,189.43,271103.0
2019-09-09,190.16,190.16,183.08,186.81,429444.0
2019-09-10,186.0,192.9874,185.22,191.82,646952.0
2019-09-11,191.96,192.98,187.59,191.07,484850.0
2019-09-12,191.58,193.53,183.9,188.02,506753.0
2019-09-13,188.18,190.59,186.27,186.41,509537.0
2019-09-16,185.0,191.655,182.58,190.54,604005.0
2019-09-17,189.71,191.8,188.33,190.54,345660.0
2019-09-18,190.06,191.37,187.23,190.67,287782.0
2019-09-19,191.52,193.65,189.32,192.32,381002.0
2019-09-20,193.0,196.49,191.68,192.76,1104061.0
2019-09-23,192.47,192.47,184.75,186.01,704752.0
2019-09-24,186.02,189.28,181.29,184.35,758508.0
2019-09-25,186.32,186.77,181.2,185.28,366614.0
2019-09-26,185.51,185.51,175.74,177.65,631974.0
2019-09-27,179.31,179.3893,174.44,175.89,589637.0
2019-09-30,175.79,180.43,174.0,177.89,624474.0
2019-10-01,177.89,180.81,169.85,170.21,699365.0
2019-10-02,168.63,169.07,163.22,163.39,684929.0
2019-10-03,162.9,167.04,159.4,167.03,761276.0
2019-10-04,168.57,170.9805,167.98,169.25,473266.0
2019-10-07,167.02,169.665,164.305,164.43,524905.0
2019-10-08,163.5,164.375,158.45,159.49,811785.0
2019-10-09,160.1,161.15,157.47,159.31,792727.0
2019-10-10,159.12,162.58,155.02,162.34,1108450.0
2019-10-11,164.1,173.22,163.7343,169.64,647077.0
2019-10-14,169.58,177.5,169.3,176.51,814758.0
2019-10-15,177.14,179.7,175.64,177.87,608295.0
2019-10-16,177.27,180.19,175.67,178.67,440447.0
2019-10-17,179.03,179.1,176.2,176.52,450485.0
2019-10-18,177.22,178.8557,172.43,175.3,404553.0
2019-10-21,177.03,177.91,175.3,175.97,568755.0
2019-10-22,176.68,177.5305,170.58,170.83,450612.0
2019-10-23,171.74,184.17,170.62,178.73,765921.0
2019-10-24,178.86,183.2,177.895,179.96,551844.0
2019-10-25,180.48,183.7,179.46,182.34,438637.0
2019-10-28,183.76,186.26,180.36,183.91,527536.0
2019-10-29,181.32,186.6,180.5087,184.95,1017500.0
2019-10-30,184.07,184.48,177.75,181.77,1031229.0
2019-10-31,189.16,210.755,187.5,207.58,2406165.0
2019-11-01,207.5,216.98,203.1794,216.79,1059508.0
2019-11-04,218.08,220.55,214.11,220.42,764745.0
2019-11-05,220.23,220.46,214.5,217.54,579692.0
2019-11-06,217.49,217.89,213.25,214.61,566735.0
2019-11-07,216.07,221.85,215.839,219.13,528071.0
2019-11-08,218.02,219.99,214.395,219.62,385643.0
2019-11-11,217.84,221.32,216.91,220.08,490881.0
2019-11-12,220.4,227.28,218.36,223.54,552824.0
2019-11-13,221.98,223.73,218.91,220.01,410849.0
2019-11-14,219.77,222.79,217.75,220.95,294382.0
2019-11-15,221.82,224.36,220.0,223.23,323870.0
2019-11-18,216.85,218.95,177.54,178.09,3296904.0
2019-11-19,179.19,189.09,172.09,184.34,2418396.0
2019-11-20,184.34,192.01,184.34,185.25,1159906.0
2019-11-21,185.52,188.0,178.74,186.66,773738.0
2019-11-22,188.13,190.81,180.8798,182.0,804258.0
2019-11-25,182.0,188.89,181.215,187.57,744637.0
2019-11-26,187.62,195.045,186.0,194.26,1130423.0
2019-11-27,194.97,202.87,194.2815,196.79,747395.0
2019-11-29,196.51,200.97,195.17,196.18,371703.0
2019-12-02,196.27,197.87,189.5168,192.22,550141.0
2019-12-03,190.31,193.1,188.31,191.15,458351.0
2019-12-04,193.24,194.56,188.645,193.89,421646.0
2019-12-05,194.04,195.46,188.71,189.07,381702.0
2019-12-06,191.08,192.105,187.4,189.22,477748.0
2019-12-09,189.3,189.83,179.54,181.69,764077.0
2019-12-10,182.16,185.02,178.05,179.75,615745.0
2019-12-11,179.53,181.89,178.05,178.87,478991.0
2019-12-12,179.27,181.77,177.135,179.15,624631.0
2019-12-13,179.15,183.13,175.25,181.85,490557.0
2019-12-16,179.09,179.99,172.279,176.31,798507.0
2019-12-17,176.3,179.455,172.5,178.93,632021.0
2019-12-18,179.85,181.1,176.69,177.01,385704.0
2019-12-19,172.09,174.75,165.13,169.43,1566508.0
2019-12-20,168.8,168.8,162.25,162.89,2106056.0
2019-12-23,164.09,170.84,161.6733,170.44,1090922.0
2019-12-24,171.33,174.4,171.2484,172.3,387070.0
2019-12-26,172.58,175.25,169.41,171.01,464334.0
2019-12-27,171.73,172.36,169.16,169.27,360453.0
2019-12-30,169.69,170.7,166.08,167.29,619309.0
2019-12-31,167.33,171.19,167.26,170.59,767721.0
2020-01-02,172.51,173.86,167.14,168.81,734344.0
2020-01-03,166.83,169.3174,165.24,166.82,746102.0
2020-01-06,166.53,179.42,166.02,179.04,1506438.0
2020-01-07,178.83,182.44,177.19,180.35,991684.0
2020-01-08,178.38,180.73,174.29,178.69,1122415.0
2020-01-09,180.19,183.8,179.25,183.6,975770.0
2020-01-10,190.6,195.49,185.33,189.06,1488312.0
2020-01-13,166.5,169.98,155.77,168.1,3968041.0
2020-01-14,170.18,174.77,169.0001,172.73,1060297.0
2020-01-15,173.58,178.33,171.65,177.92,1361620.0
2020-01-16,178.8,184.16,178.3,181.44,896367.0
2020-01-17,180.77,184.945,179.39,181.28,1023412.0
2020-01-21,182.58,192.745,180.74,189.91,1054757.0
2020-01-22,189.38,191.79,183.9311,184.42,818699.0
2020-01-23,184.24,185.0,181.33,184.46,625725.0
2020-01-24,185.14,187.5,181.56,182.98,557906.0
2020-01-27,179.11,183.7212,178.0,181.45,567531.0
2020-01-28,182.26,187.12,181.61,187.01,592522.0
2020-01-29,186.0,192.63,185.34,188.85,711984.0
2020-01-30,187.7,189.4,183.66,186.85,502792.0
2020-01-31,186.34,188.83,183.4371,186.29,430296.0
2020-02-03,186.45,190.09,184.845,185.95,509292.0
2020-02-04,187.81,192.72,186.25,190.9,526437.0
2020-02-05,192.74,194.33,188.62,190.73,870818.0
2020-02-06,175.41,199.26,171.15,196.01,1625521.0
2020-02-07,193.92,194.0,184.0,186.91,1032096.0
2020-02-10,187.19,187.74,172.5,174.08,1425950.0
2020-02-11,175.5,179.25,172.7,175.82,847151.0
2020-02-12,169.09,172.35,166.25,166.94,1728757.0
2020-02-13,167.8,167.8593,162.55,164.8,1281331.0
2020-02-14,165.0,168.09,163.2,167.22,625251.0
2020-02-18,167.22,170.91,166.51,169.0,626605.0
2020-02-19,170.14,171.21,167.6601,167.9,618058.0
2020-02-20,169.125,169.18,165.17,168.08,697107.0
2020-02-21,167.39,168.02,164.8747,166.74,458662.0
2020-02-24,163.88,166.27,160.7289,165.29,746266.0
2020-02-25,167.0,167.0,157.8947,158.8,681279.0
2020-02-26,159.58,161.27,154.01,154.09,798274.0
2020-02-27,150.1,159.18,149.07,153.97,850836.0
2020-02-28,150.0,153.39,147.28,150.26,1047407.0
2020-03-02,151.09,155.49,148.03,155.1,743609.0
2020-03-03,154.56,158.75,148.01,149.18,733079.0
2020-03-04,151.81,154.6,148.7,154.23,559351.0
2020-03-05,152.58,154.78,150.0,154.51,598196.0
2020-03-06,152.04,158.17,150.89,157.08,737496.0
2020-03-09,148.5,159.05,147.07,156.37,1039976.0
2020-03-10,160.05,165.5,155.38,164.73,922711.0
2020-03-11,161.68,161.68,149.17,151.13,1038251.0
2020-03-12,143.07,149.43,135.77,136.97,1061030.0
2020-03-13,141.98,142.99,136.43,142.82,1050309.0
2020-03-16,132.13,148.45,132.13,142.44,1229524.0
2020-03-17,145.2,148.42,134.49,145.25,1145519.0
2020-03-18,136.02,146.91,132.5,146.55,969383.0
2020-03-19,142.41,145.95,135.4602,140.51,950567.0
2020-03-20,142.13,143.87,130.01,130.51,848826.0
2020-03-23,132.39,134.74,119.0101,132.34,1296716.0
2020-03-24,136.39,146.67,134.44,143.67,742829.0
2020-03-25,144.01,152.0,140.02,146.89,469532.0
2020-03-26,147.4,155.31,147.0,149.17,699865.0
2020-03-27,146.35,146.52,141.62,145.24,500887.0
2020-03-30,146.03,149.89,143.6851,148.99,481340.0
2020-03-31,148.51,151.235,142.68,145.16,633133.0
2020-04-01,140.95,147.37,140.14,144.48,765762.0
2020-04-02,143.11,147.46,140.385,143.28,481124.0
2020-04-03,142.38,145.7,140.82,141.4,440803.0
2020-04-06,144.2,150.87,143.66,150.26,575116.0
2020-04-07,153.0,162.23,151.6,152.78,938237.0
2020-04-08,153.26,157.475,151.465,156.27,580996.0
2020-04-09,156.25,160.69,154.6,160.08,501169.0
2020-04-13,159.81,159.81,152.2144,156.39,445845.0
2020-04-14,158.26,164.615,157.155,161.35,561513.0
2020-04-15,159.07,162.82,156.67,159.54,320118.0
2020-04-16,160.19,162.06,158.08,160.2,245920.0
