date,Open,High,Low,Close,Volume
2019-08-20,37.92,38.0,37.42,37.48,2891234.0
2019-08-21,37.25,37.71,37.24,37.69,3501269.0
2019-08-22,37.82,38.1,37.68,37.93,2520478.0
2019-08-23,37.53,37.81,37.22,37.43,7189260.0
2019-08-26,37.84,37.97,37.64,37.81,5031017.0
2019-08-27,37.91,38.16,37.4,37.42,4437166.0
2019-08-28,37.42,37.62,37.09,37.57,2543307.0
2019-08-29,37.87,37.94,37.45,37.73,2020674.0
2019-08-30,37.96,38.41,37.92,38.05,2995056.0
2019-09-03,37.68,38.05,37.37,37.99,2858845.0
2019-09-04,38.4,38.42,38.09,38.24,1575334.0
2019-09-05,38.5,39.03,38.44,38.63,2430352.0
2019-09-06,38.63,38.85,38.45,38.71,1892993.0
2019-09-09,38.9,39.73,38.77,39.67,2565897.0
2019-09-10,39.69,40.35,39.69,40.29,3008674.0
2019-09-11,40.4,41.05,39.78,41.05,2479778.0
2019-09-12,41.06,41.49,40.68,41.45,3475310.0
2019-09-13,41.47,42.19,41.39,41.63,3676262.0
2019-09-16,41.43,42.0,41.15,41.96,2652870.0
2019-09-17,42.94,43.0,41.65,41.79,4272582.0
2019-09-18,41.6,41.74,41.11,41.67,2689265.0
2019-09-19,41.75,41.79,40.78,40.9,2476119.0
2019-09-20,40.93,41.25,40.79,40.9,4567527.0
2019-09-23,40.73,40.92,40.35,40.4,2910934.0
2019-09-24,40.45,40.53,39.75,39.93,4062300.0
2019-09-25,39.94,40.64,39.94,40.48,2574162.0
2019-09-26,40.6,40.95,40.28,40.86,1829532.0
2019-09-27,40.97,41.18,40.61,40.94,1842086.0
2019-09-30,41.03,41.27,40.96,41.07,2262956.0
2019-10-01,41.21,41.45,40.22,40.33,3041515.0
2019-10-02,40.16,40.17,39.38,39.72,2738418.0
2019-10-03,39.72,39.8,39.04,39.53,2650856.0
2019-10-04,39.57,40.38,39.53,40.35,1981906.0
2019-10-07,40.17,40.19,39.77,39.78,3067124.0
2019-10-08,39.76,39.76,38.39,38.4,4143163.0
2019-10-09,38.68,39.13,38.62,38.93,2879286.0
2019-10-10,38.93,40.09,38.93,39.77,3004667.0
2019-10-11,40.13,40.69,40.01,40.46,2717911.0
2019-10-14,40.26,40.47,39.93,40.2,1745888.0
2019-10-15,40.25,40.55,40.03,40.33,1848313.0
2019-10-16,40.28,40.37,39.64,39.7,2531351.0
2019-10-17,39.62,39.96,39.06,39.85,2404405.0
2019-10-18,39.73,40.02,39.63,39.64,3559861.0
2019-10-21,39.94,40.47,39.82,40.4,2455193.0
2019-10-22,40.38,40.76,40.01,40.56,1659162.0
2019-10-23,40.52,40.78,40.23,40.73,1603809.0
2019-10-24,40.82,40.91,40.26,40.54,1800846.0
2019-10-25,40.54,41.11,40.42,41.01,1944377.0
2019-10-28,41.32,41.74,41.01,41.3,2295013.0
2019-10-29,41.12,41.77,40.99,41.51,2508201.0
2019-10-30,41.31,41.33,40.39,40.53,3236729.0
2019-10-31,41.15,42.17,40.49,42.04,5368525.0
2019-11-01,42.27,42.45,42.01,42.43,3513312.0
2019-11-04,42.65,43.33,42.5,43.06,3542735.0
2019-11-05,43.45,43.55,42.91,42.97,2490253.0
2019-11-06,42.97,43.17,42.83,42.88,1953225.0
2019-11-07,43.08,43.78,43.07,43.54,2639095.0
2019-11-08,43.33,43.34,42.9,43.31,2542173.0
2019-11-11,43.27,43.6,42.95,43.53,3094078.0
2019-11-12,43.6,43.6,43.04,43.24,2613248.0
2019-11-13,43.05,43.19,42.66,42.82,1962215.0
2019-11-14,42.9,43.11,42.58,42.78,2464744.0
2019-11-15,42.93,43.22,42.68,42.87,7416172.0
2019-11-18,42.8,42.85,42.48,42.84,3123173.0
2019-11-19,42.74,43.22,42.61,43.08,2945220.0
2019-11-20,42.8,42.97,42.33,42.5,3013327.0
2019-11-21,42.59,42.83,42.17,42.82,3048782.0
2019-11-22,42.79,42.97,42.6,42.72,1858319.0
2019-11-25,42.89,43.13,42.7,43.08,1773570.0
2019-11-26,43.02,43.04,42.58,42.75,2295271.0
2019-11-27,42.88,43.04,42.76,42.94,1993362.0
2019-11-29,42.78,43.05,42.68,42.93,1395682.0
2019-12-02,42.95,43.32,42.81,43.29,3499204.0
2019-12-03,42.89,42.98,42.55,42.92,2492926.0
2019-12-04,42.87,43.27,42.78,42.93,2645571.0
2019-12-05,43.0,43.2,42.69,43.15,1836812.0
2019-12-06,43.45,44.01,43.32,43.91,3676881.0
2019-12-09,43.88,44.35,43.83,44.07,2592566.0
2019-12-10,44.08,44.22,43.92,44.0,2601880.0
2019-12-11,44.05,44.33,43.96,44.23,1997778.0
2019-12-12,44.12,45.05,44.11,44.91,3331895.0
2019-12-13,45.11,45.5,44.83,45.2,3855952.0
2019-12-16,45.39,46.23,45.37,45.98,5366989.0
2019-12-17,46.45,47.2,46.17,46.21,3205007.0
2019-12-18,46.14,46.15,44.87,45.31,4433861.0
2019-12-19,45.38,45.65,45.28,45.64,3144207.0
2019-12-20,45.96,46.59,45.7,45.79,6372995.0
2019-12-23,45.86,46.05,45.53,46.02,1866619.0
2019-12-24,46.25,46.27,46.01,46.08,708280.0
2019-12-26,46.03,46.38,45.95,46.2,985139.0
2019-12-27,46.38,46.4,46.11,46.3,1355006.0
2019-12-30,46.44,46.46,46.02,46.12,1375597.0
2019-12-31,45.98,46.38,45.98,46.35,1787220.0
2020-01-02,46.57,46.64,45.88,46.11,3081043.0
2020-01-03,45.89,46.19,45.72,46.02,2259499.0
2020-01-06,45.79,45.85,45.32,45.66,2826648.0
2020-01-07,45.57,45.69,45.1,45.11,2301278.0
2020-01-08,45.11,45.23,44.38,44.61,3346368.0
2020-01-09,44.33,44.33,43.03,44.15,4080169.0
2020-01-10,44.37,44.46,43.8,43.95,2311398.0
2020-01-13,44.04,44.48,43.98,44.42,3167771.0
2020-01-14,44.51,44.64,44.08,44.5,4798476.0
2020-01-15,44.35,44.84,44.01,44.39,2586664.0
2020-01-16,44.65,45.46,44.59,45.34,2584955.0
2020-01-17,45.4,45.55,45.11,45.25,2741674.0
2020-01-21,45.1,45.39,44.87,45.12,2663411.0
2020-01-22,45.24,45.31,44.89,44.93,2101386.0
2020-01-23,44.74,45.04,44.51,44.97,1459888.0
2020-01-24,45.05,45.06,43.98,44.3,2169271.0
2020-01-27,43.76,43.9,43.37,43.53,2718508.0
2020-01-28,43.7,44.11,43.53,43.92,2219094.0
2020-01-29,44.06,44.1,43.66,43.68,2799317.0
2020-01-30,45.62,46.0,44.7825,45.8,5958841.0
2020-01-31,45.48,45.62,44.55,44.76,8398134.0
