date,Open,High,Low,Close,Volume
2019-08-20,77.2,77.2,76.43,76.66,1719000.0
2019-08-21,76.62,76.96,76.4,76.92,1215000.0
2019-08-22,76.86,77.07,76.32,76.82,1160400.0
2019-08-23,77.05,77.3,75.06,75.33,1698900.0
2019-08-26,75.34,75.88,75.23,75.85,1428300.0
2019-08-27,76.01,76.46,75.72,75.75,1559900.0
2019-08-28,75.77,76.12,75.31,75.75,2168900.0
2019-08-29,76.21,77.24,75.87,77.15,2129300.0
2019-08-30,77.5,77.52,76.88,77.15,1811300.0
2019-09-03,77.22,78.51,76.96,78.49,2371500.0
2019-09-04,78.64,78.88,77.97,78.49,1105100.0
2019-09-05,78.17,78.41,77.02,77.14,1372100.0
2019-09-06,77.28,77.45,75.68,76.19,1964000.0
2019-09-09,75.96,76.0,74.9,75.18,2134500.0
2019-09-10,74.77,74.77,73.31,74.21,2045800.0
2019-09-11,74.04,74.88,73.32,74.77,2501300.0
2019-09-12,75.38,76.97,75.34,76.5,2929200.0
2019-09-13,76.3,77.5,75.89,76.6,2388000.0
2019-09-16,76.6,77.35,76.32,77.17,1518400.0
2019-09-17,78.1,78.54,77.23,77.54,1879300.0
2019-09-18,77.81,78.51,77.53,78.48,2134100.0
2019-09-19,78.6,78.76,78.26,78.66,1552200.0
2019-09-20,78.97,79.31,78.46,79.04,2436700.0
2019-09-23,78.95,79.39,78.85,78.97,1432800.0
2019-09-24,79.34,79.79,78.83,79.56,1949700.0
2019-09-25,79.45,80.34,78.91,80.26,1844400.0
2019-09-26,80.49,80.85,80.17,80.38,1657200.0
2019-09-27,80.55,80.55,79.42,80.0,1023800.0
2019-09-30,80.07,80.62,79.85,80.05,1606000.0
2019-10-01,79.71,80.05,79.17,79.66,1787300.0
2019-10-02,79.57,79.7,78.57,78.75,1393700.0
2019-10-03,78.86,79.04,78.15,78.5,1255100.0
2019-10-04,78.57,79.57,78.29,79.53,1150100.0
2019-10-07,79.46,79.46,78.68,78.94,1308900.0
2019-10-08,78.75,78.78,77.42,77.42,1476300.0
2019-10-09,77.65,77.78,76.9,77.34,1733900.0
2019-10-10,76.97,77.26,76.39,76.85,1184600.0
2019-10-11,76.71,77.55,76.33,77.05,1259100.0
2019-10-14,77.19,77.2,76.02,76.29,1037500.0
2019-10-15,76.36,76.7,75.39,75.8,1270700.0
2019-10-16,75.76,75.97,75.26,75.72,1762800.0
2019-10-17,75.76,76.11,75.28,75.8,1439000.0
2019-10-18,75.67,76.76,75.5,76.62,2104800.0
2019-10-21,76.41,76.89,76.28,76.66,1032800.0
2019-10-22,76.59,77.26,76.55,77.05,1568000.0
2019-10-23,77.02,77.29,76.6,77.06,1305200.0
2019-10-24,77.15,77.9,77.08,77.49,896700.0
2019-10-25,77.58,77.68,76.59,76.59,1417200.0
2019-10-28,76.31,76.83,75.65,75.84,1670400.0
2019-10-29,76.15,76.99,75.87,76.48,1519400.0
2019-10-30,76.73,77.72,76.56,77.58,1104400.0
2019-10-31,77.59,77.87,76.97,77.7,1670700.0
2019-11-01,77.74,77.92,77.09,77.36,1146700.0
2019-11-04,77.23,77.23,75.72,76.09,1546200.0
2019-11-05,75.82,75.95,74.61,74.96,2098100.0
2019-11-06,75.16,76.01,75.0,75.56,1630600.0
2019-11-07,75.17,75.17,73.74,74.63,1473700.0
2019-11-08,74.11,74.92,73.34,73.81,2452300.0
2019-11-11,73.8,74.25,73.6,74.09,1437800.0
2019-11-12,74.25,74.69,74.13,74.2,1877500.0
2019-11-13,74.51,75.93,74.41,75.58,1615500.0
2019-11-14,75.57,76.57,75.46,76.53,2614100.0
2019-11-15,76.49,76.83,76.26,76.62,1683600.0
2019-11-18,76.69,77.02,75.65,75.73,1571500.0
2019-11-19,75.5,76.13,75.03,75.45,1534800.0
2019-11-20,75.41,75.85,74.73,75.47,1718700.0
