date,Open,High,Low,Close,Volume
2019-08-20,54.67,54.67,53.37,53.43,3551358.0
2019-08-21,53.95,53.95,53.31,53.69,2464841.0
2019-08-22,53.98,54.32,53.59,53.75,2326572.0
2019-08-23,53.51,54.33,52.15,52.49,3712184.0
2019-08-26,52.71,53.11,52.42,53.08,2212635.0
2019-08-27,53.27,53.47,52.2,52.74,2747909.0
2019-08-28,52.53,52.96,52.3,52.45,2480905.0
2019-08-29,52.98,53.18,52.4,52.46,2921112.0
2019-08-30,52.88,52.88,51.8,52.04,4565049.0
2019-09-03,51.75,52.49,51.65,52.4,2897652.0
2019-09-04,52.96,54.42,52.71,54.4,3846908.0
2019-09-05,55.15,55.86,54.62,54.68,3123956.0
2019-09-06,54.61,55.38,54.53,54.85,1901187.0
2019-09-09,55.08,55.47,54.7,55.41,2898518.0
2019-09-10,55.44,55.98,55.24,55.5,3170459.0
2019-09-11,55.48,56.63,54.77,56.6,3092687.0
2019-09-12,56.14,57.11,56.03,56.76,3263617.0
2019-09-13,57.08,57.46,56.79,57.29,3324718.0
2019-09-16,56.22,56.68,55.93,56.32,2793573.0
2019-09-17,56.18,57.15,56.1,57.08,4336655.0
2019-09-18,56.67,57.67,56.44,57.65,4332717.0
2019-09-19,57.8,58.66,57.57,57.89,4705204.0
2019-09-20,58.22,58.35,57.29,57.45,6575220.0
2019-09-23,57.1,57.73,56.96,57.3,2800613.0
2019-09-24,57.53,57.7,56.82,57.0,3724618.0
2019-09-25,56.88,57.23,56.43,56.53,3368350.0
2019-09-26,56.6,56.6,55.54,55.88,3219830.0
2019-09-27,56.22,56.53,55.85,56.16,3496266.0
2019-09-30,56.3,56.36,55.55,55.7,3439659.0
2019-10-01,55.93,55.99,54.24,54.37,3688776.0
2019-10-02,54.09,54.25,53.3,53.47,3546326.0
2019-10-03,53.19,53.74,52.71,53.21,3733795.0
2019-10-04,53.19,54.53,53.19,54.43,3344443.0
2019-10-07,54.22,54.29,53.61,53.63,2628320.0
2019-10-08,52.92,53.08,52.39,52.42,3820941.0
2019-10-09,52.77,53.36,52.64,53.04,2976485.0
2019-10-10,53.14,54.45,52.99,54.06,3990986.0
2019-10-11,54.89,55.64,54.33,54.42,4548293.0
2019-10-14,53.91,54.35,53.63,54.21,2011415.0
2019-10-15,54.35,54.98,54.29,54.68,2229462.0
2019-10-16,54.37,54.56,53.7,54.34,3470024.0
2019-10-17,54.71,54.82,53.92,54.06,2542543.0
2019-10-18,53.9,54.28,53.86,53.97,2343993.0
2019-10-21,54.51,54.88,54.44,54.55,2183406.0
2019-10-22,54.29,54.29,53.16,53.24,3458524.0
2019-10-23,53.06,53.3,52.68,53.15,2678512.0
