date,Open,High,Low,Close,Volume
2019-08-20,90.32,90.38,89.46,89.56,633500.0
2019-08-21,90.08,90.66,89.8,90.46,624000.0
2019-08-22,90.57,91.1,89.89,90.87,576200.0
2019-08-23,90.59,91.45,87.63,88.01,1101200.0
2019-08-26,88.66,89.01,87.76,88.39,1320500.0
2019-08-27,88.68,89.31,88.01,88.04,1174000.0
2019-08-28,88.05,88.38,87.43,87.9,1039200.0
2019-08-29,88.49,89.26,88.05,88.78,1009900.0
2019-08-30,89.52,91.11,89.35,90.71,1214200.0
2019-09-03,90.02,90.3,89.21,89.66,860900.0
2019-09-04,90.28,90.56,89.44,90.02,594400.0
2019-09-05,90.54,90.93,89.41,89.73,574600.0
2019-09-06,89.77,91.0,89.51,90.5,741200.0
2019-09-09,90.95,90.95,89.55,89.87,666700.0
2019-09-10,89.86,90.01,86.89,88.08,970400.0
2019-09-11,88.1,88.37,87.05,87.95,914800.0
2019-09-12,88.27,89.16,87.74,87.81,996200.0
2019-09-13,87.85,88.12,86.53,86.98,1111300.0
2019-09-16,86.45,87.61,86.21,87.56,1075900.0
2019-09-17,87.89,89.82,87.89,89.64,1297100.0
2019-09-18,89.48,90.24,88.89,89.88,755500.0
2019-09-19,89.96,90.45,89.39,89.47,740100.0
2019-09-20,89.54,89.86,88.39,88.8,1495100.0
2019-09-23,88.16,88.95,88.16,88.39,596500.0
2019-09-24,88.68,89.37,88.28,88.84,863000.0
2019-09-25,88.79,89.26,88.5,88.94,691900.0
2019-09-26,89.06,90.07,88.36,89.8,659000.0
2019-09-27,90.44,90.44,88.19,88.81,446700.0
2019-09-30,89.07,89.94,88.87,89.57,540100.0
2019-10-01,89.99,90.01,87.86,87.94,738500.0
2019-10-02,87.44,87.71,85.34,86.33,775400.0
2019-10-03,86.26,87.17,85.48,87.11,507400.0
2019-10-04,87.22,89.2,87.11,89.02,590300.0
2019-10-07,88.55,89.23,87.81,88.56,739100.0
2019-10-08,87.95,88.05,86.75,86.76,997200.0
2019-10-09,87.6,87.83,86.52,87.32,749800.0
2019-10-10,87.26,88.2,86.29,87.47,796900.0
2019-10-11,88.23,88.69,87.95,87.98,1014700.0
2019-10-14,87.63,88.32,87.43,88.19,563300.0
2019-10-15,88.52,88.99,88.34,88.52,813900.0
2019-10-16,88.19,88.93,87.69,88.81,868900.0
2019-10-17,89.12,89.62,88.6,89.23,701400.0
2019-10-18,88.74,89.74,88.37,89.55,1592900.0
2019-10-21,89.77,90.36,89.75,90.33,818500.0
2019-10-22,90.31,90.8,89.58,89.68,563200.0
2019-10-23,89.46,90.29,89.46,90.15,801600.0
2019-10-24,90.41,91.41,90.15,91.21,1255800.0
