date,Open,High,Low,Close,Volume
2019-08-20,64.45,64.68,63.71,64.17,1091840.0
2019-08-21,65.32,66.29,64.7,65.91,1003836.0
2019-08-22,64.71,65.12,62.69,63.22,1850430.0
2019-08-23,62.57,62.69,59.71,59.95,1789215.0
2019-08-26,60.85,61.46,60.16,60.81,805249.0
2019-08-27,61.43,61.44,59.13,59.3,1092217.0
2019-08-28,59.06,59.74,58.63,59.32,2288465.0
2019-08-29,60.58,61.41,60.1,60.49,2309755.0
2019-08-30,61.29,63.27,61.29,61.73,1404335.0
2019-09-03,61.0,61.0,59.51,60.23,1372531.0
2019-09-04,61.6,61.98,60.86,61.31,899209.0
2019-09-05,62.33,63.41,62.33,62.97,1854431.0
2019-09-06,63.04,63.78,61.93,63.23,1023677.0
2019-09-09,63.49,65.44,63.28,65.36,1199824.0
2019-09-10,65.49,68.5,65.49,68.28,2358024.0
2019-09-11,68.8,69.38,67.2,69.25,1837990.0
2019-09-12,69.2,69.96,67.82,69.28,986541.0
2019-09-13,69.89,70.41,68.2,69.28,1169882.0
2019-09-16,68.92,69.79,68.64,68.84,1002997.0
2019-09-17,68.19,68.66,67.21,67.76,1120838.0
2019-09-18,67.35,68.28,66.53,67.4,1130998.0
2019-09-19,67.4,68.47,66.71,68.29,1239582.0
2019-09-20,68.67,70.42,68.53,68.86,2745572.0
2019-09-23,67.97,69.41,67.65,68.22,1016278.0
2019-09-24,68.5,68.71,66.97,67.89,1405229.0
2019-09-25,67.82,68.51,67.39,68.3,1003165.0
2019-09-26,68.1,68.13,66.76,67.19,990590.0
2019-09-27,67.37,68.22,66.77,68.14,1668176.0
2019-09-30,68.25,69.87,67.99,69.52,1399349.0
2019-10-01,69.95,70.84,67.91,68.31,1721419.0
2019-10-02,67.38,67.47,66.1,66.57,1229702.0
2019-10-03,66.05,67.23,64.9,67.23,1127874.0
2019-10-04,67.05,67.34,65.94,66.32,974371.0
2019-10-07,65.88,66.5,64.67,65.68,1092087.0
2019-10-08,65.0,65.0,63.46,63.7,1170309.0
2019-10-09,64.36,64.73,62.77,63.6,1145574.0
2019-10-10,64.01,65.79,63.79,65.46,1093064.0
2019-10-11,66.53,69.3,66.25,68.91,1330705.0
2019-10-14,68.23,68.58,67.37,67.56,1197522.0
2019-10-15,67.9,68.73,67.13,67.87,804551.0
2019-10-16,67.86,68.93,67.46,67.58,731304.0
2019-10-17,68.35,69.09,67.75,68.22,1079351.0
2019-10-18,68.23,68.74,67.11,67.13,938603.0
2019-10-21,67.91,68.18,66.81,67.24,1164656.0
2019-10-22,67.24,67.87,64.88,66.79,1283086.0
2019-10-23,67.39,68.16,66.94,67.46,767656.0
2019-10-24,68.17,69.68,68.06,69.45,1394292.0
2019-10-25,63.79,65.49,62.5,63.59,5998684.0
2019-10-28,62.75,64.58,62.59,63.74,2789738.0
2019-10-29,63.45,64.48,62.75,63.03,2204157.0
2019-10-30,62.86,63.44,61.82,62.67,2237060.0
2019-10-31,62.31,62.5,60.2,60.74,2927621.0
2019-11-01,61.46,64.5,61.12,64.49,2351339.0
2019-11-04,65.16,67.76,65.1,67.7,2266826.0
2019-11-05,68.37,68.66,66.74,67.37,2020724.0
2019-11-06,66.79,67.83,66.22,66.72,2340834.0
2019-11-07,67.64,72.28,67.0,71.39,3041807.0
2019-11-08,69.48,69.58,66.21,67.98,3438891.0
2019-11-11,67.49,67.89,66.62,67.73,1165752.0
2019-11-12,67.0,67.85,64.98,65.31,1819935.0
2019-11-13,63.72,65.47,63.37,65.18,1554534.0
2019-11-14,64.37,65.59,64.03,65.54,1092059.0
2019-11-15,66.1,67.37,65.62,66.14,1057875.0
2019-11-18,66.12,67.36,65.24,67.1,1191340.0
2019-11-19,67.76,67.76,65.46,66.46,929208.0
2019-11-20,65.71,66.54,64.74,65.05,1498644.0
2019-11-21,65.29,66.24,64.53,65.13,1386726.0
2019-11-22,64.11,65.46,63.75,64.9,1148187.0
2019-11-25,65.11,65.9,64.66,65.14,1090698.0
2019-11-26,65.15,65.78,64.32,65.59,1417250.0
2019-11-27,65.73,65.94,64.74,65.5,929984.0
2019-11-29,65.32,65.85,64.92,65.38,440523.0
2019-12-02,65.67,66.82,64.97,65.04,1133045.0
2019-12-03,63.66,63.87,62.11,63.65,1578234.0
2019-12-04,64.2,65.19,62.89,62.92,1550146.0
2019-12-05,63.27,63.97,62.61,63.68,1379611.0
2019-12-06,64.29,64.9,63.62,64.3,1200760.0
2019-12-09,64.25,65.5,64.0,64.72,908879.0
2019-12-10,64.61,65.52,64.11,65.3,1020576.0
2019-12-11,65.34,66.06,65.01,65.67,1028886.0
2019-12-12,65.7,68.2,65.6,68.02,1771168.0
2019-12-13,68.27,68.44,66.32,66.63,1535987.0
2019-12-16,67.56,67.89,66.0,66.2,1431829.0
2019-12-17,66.3,68.96,66.0,68.77,1525613.0
2019-12-18,68.9,69.54,68.58,68.9,1382124.0
2019-12-19,69.0,70.44,68.28,69.45,1945908.0
2019-12-20,70.37,70.99,69.57,70.36,2492167.0
2019-12-23,70.36,72.66,69.67,72.43,2009848.0
2019-12-24,72.41,72.96,72.03,72.32,640728.0
2019-12-26,72.33,72.5,71.7,72.49,730342.0
2019-12-27,72.56,72.93,71.82,72.01,741553.0
2019-12-30,72.1,72.85,71.7,71.93,802167.0
2019-12-31,71.61,73.36,71.5,73.04,1016013.0
2020-01-02,73.5,73.88,72.19,72.61,1620816.0
2020-01-03,71.41,72.39,71.22,71.57,1337552.0
2020-01-06,71.0,72.17,70.19,71.49,1330036.0
2020-01-07,71.65,73.49,71.13,72.43,1574882.0
2020-01-08,70.6,71.5,69.61,71.18,2029484.0
2020-01-09,71.32,73.07,70.73,72.74,1301126.0
2020-01-10,73.01,73.83,71.85,72.1,1493309.0
2020-01-13,72.95,76.0,72.89,75.86,2667975.0
2020-01-14,76.22,78.87,75.6,78.18,3835783.0
2020-01-15,78.9,80.93,78.0,80.12,3101763.0
2020-01-16,80.36,81.5,78.51,80.42,2178729.0
2020-01-17,80.98,81.3,79.78,80.9,2151394.0
2020-01-21,80.79,81.42,80.58,81.32,2312650.0
2020-01-22,81.18,81.96,80.77,81.38,2138379.0
2020-01-23,80.33,82.1,79.51,81.9,1654682.0
2020-01-24,82.0,82.13,80.38,81.18,1409564.0
2020-01-27,78.63,79.66,78.01,78.94,2060187.0
2020-01-28,79.7,81.22,79.51,80.2,1130891.0
2020-01-29,80.83,81.61,79.74,80.73,1084536.0
2020-01-30,80.09,80.98,79.38,80.78,1261396.0
2020-01-31,79.8,80.36,78.72,80.28,5675980.0
2020-02-03,80.79,81.28,79.72,80.79,2220234.0
2020-02-04,82.5,91.93,82.42,90.43,4739236.0
2020-02-05,88.76,89.0,85.55,87.58,3418642.0
2020-02-06,87.57,87.99,85.54,86.95,1849579.0
2020-02-07,85.52,85.72,82.1,82.54,2337707.0
2020-02-10,83.11,84.7,83.11,83.25,1553670.0
