date,Open,High,Low,Close,Volume
2019-08-20,177.24,178.16,174.3,174.5,774546.0
2019-08-21,176.07,177.515,175.02,176.39,620270.0
2019-08-22,177.91,181.41,177.4502,178.97,972772.0
2019-08-23,177.84,179.15,173.8,175.04,1146861.0
2019-08-26,177.17,179.075,173.3,175.19,784421.0
2019-08-27,175.92,177.2367,173.06,173.8,874014.0
2019-08-28,172.5,178.825,172.11,177.31,985738.0
2019-08-29,178.46,181.25,178.3,179.95,1028355.0
2019-08-30,182.0,186.21,180.5535,183.11,1679583.0
2019-09-03,182.23,182.5,177.25,177.91,1890222.0
2019-09-04,180.35,180.72,174.24,176.38,1283869.0
2019-09-05,178.73,182.36,176.86,177.11,1222458.0
2019-09-06,178.65,179.13,174.38,175.06,1554903.0
2019-09-09,175.93,176.2,169.84,173.16,2014916.0
2019-09-10,172.89,179.35,171.32,177.8,2024600.0
2019-09-11,177.9,181.85,175.27,179.77,1277969.0
2019-09-12,181.65,184.55,174.06,174.62,1616757.0
2019-09-13,176.01,179.49,175.0,177.47,1210141.0
2019-09-16,176.46,179.5407,176.16,179.37,1032007.0
2019-09-17,179.37,180.645,177.39,177.65,588181.0
2019-09-18,177.59,178.015,171.8465,175.8,969184.0
2019-09-19,176.0,180.89,175.75,180.36,1145472.0
2019-09-20,180.8,188.157,179.5,186.54,2798817.0
2019-09-23,186.37,186.83,182.51,183.89,1239547.0
2019-09-24,185.18,186.57,182.24,183.05,1822285.0
2019-09-25,184.51,184.51,180.37,183.63,863476.0
2019-09-26,183.27,185.0,176.63,178.99,1167444.0
2019-09-27,179.59,181.8382,175.175,175.84,702591.0
2019-09-30,176.51,181.85,176.51,180.92,961911.0
2019-10-01,181.22,183.34,179.53,182.3,1114261.0
2019-10-02,181.44,182.0,176.3587,179.75,977255.0
2019-10-03,179.9,184.86,175.52,184.77,783911.0
2019-10-04,184.59,187.67,180.115,181.59,862767.0
2019-10-07,177.85,186.49,177.18,184.51,853797.0
2019-10-08,183.43,186.07,181.2574,184.3,1058058.0
2019-10-09,186.08,191.56,185.65,189.21,1228212.0
2019-10-10,189.25,194.19,189.165,194.17,952591.0
2019-10-11,195.51,202.52,194.0,200.16,1763665.0
2019-10-14,200.16,206.7,199.8,205.15,1081465.0
2019-10-15,208.02,209.48,205.06,209.25,1029175.0
2019-10-16,208.98,212.65,208.1,211.56,843435.0
