date,Open,High,Low,Close,Volume
2019-08-20,96.07,96.41,94.88,95.0,683939.0
2019-08-21,96.01,96.17,94.79,95.46,594672.0
2019-08-22,95.93,96.4,94.71,95.69,528895.0
2019-08-23,95.21,95.81,93.03,93.42,586511.0
2019-08-26,94.12,94.5,93.34,94.02,391613.0
2019-08-27,94.56,94.82,93.12,93.77,449152.0
2019-08-28,93.33,94.35,92.93,94.29,398571.0
2019-08-29,95.06,96.04,94.22,95.8,445262.0
2019-08-30,96.59,96.82,95.65,96.27,621455.0
2019-09-03,95.73,96.32,94.72,95.33,650727.0
2019-09-04,96.14,96.85,95.6,96.76,595674.0
2019-09-05,97.6,98.73,97.33,98.62,641101.0
2019-09-06,98.78,99.99,98.61,98.95,628968.0
2019-09-09,99.26,99.55,97.43,97.94,665883.0
2019-09-10,97.74,98.45,96.18,98.26,702457.0
2019-09-11,98.67,99.95,98.13,99.93,497806.0
2019-09-12,100.16,100.62,98.84,100.33,440220.0
2019-09-13,100.73,102.47,100.66,102.24,1069589.0
2019-09-16,101.63,102.24,100.89,102.13,667006.0
2019-09-17,101.87,102.72,101.16,101.56,627890.0
2019-09-18,100.67,102.56,100.06,102.31,536888.0
2019-09-19,102.27,102.93,100.82,102.13,491105.0
2019-09-20,102.29,102.7,101.34,101.57,608223.0
2019-09-23,100.98,101.71,100.96,101.16,376329.0
2019-09-24,101.63,102.36,101.19,101.59,591597.0
2019-09-25,101.53,101.88,100.99,101.85,491214.0
2019-09-26,101.82,103.09,101.38,102.66,569784.0
2019-09-27,103.11,103.34,101.91,102.5,340643.0
2019-09-30,102.86,104.7,102.67,103.65,712352.0
2019-10-01,104.25,104.81,100.63,101.1,603664.0
2019-10-02,100.31,100.64,98.91,100.24,470625.0
2019-10-03,99.83,101.15,98.4,101.1,702274.0
2019-10-04,101.09,103.41,101.09,103.32,519458.0
2019-10-07,102.8,103.21,102.38,102.58,433364.0
2019-10-08,101.49,103.14,100.64,102.33,888565.0
2019-10-09,103.04,103.33,100.45,101.04,1063565.0
2019-10-10,100.93,101.9,100.63,100.7,1146488.0
2019-10-11,102.03,102.89,101.39,101.46,877907.0
2019-10-14,101.14,101.65,100.33,100.45,494451.0
2019-10-15,100.96,102.12,100.57,101.79,1113353.0
2019-10-16,101.77,103.45,101.57,103.41,551243.0
2019-10-17,103.78,104.61,102.96,104.13,511064.0
2019-10-18,103.67,104.82,103.67,103.95,607981.0
2019-10-21,104.57,105.5,104.35,105.03,567306.0
2019-10-22,105.37,106.09,104.52,105.25,556612.0
2019-10-23,105.07,105.84,104.18,104.37,808346.0
2019-10-24,108.8,114.11,108.15,113.66,2050453.0
2019-10-25,114.05,115.98,112.83,113.33,1047002.0
2019-10-28,113.73,116.55,113.73,115.32,830891.0
2019-10-29,114.87,115.65,114.24,115.43,738425.0
2019-10-30,115.22,117.15,115.15,116.51,670717.0
2019-10-31,116.39,117.02,115.35,116.04,595289.0
2019-11-01,117.1,118.54,117.0,118.19,593864.0
2019-11-04,118.54,119.4,117.44,118.13,514377.0
2019-11-05,118.06,118.52,116.61,117.1,593295.0
2019-11-06,116.67,116.86,116.05,116.58,790893.0
2019-11-07,117.24,117.48,114.73,115.27,528558.0
2019-11-08,115.41,115.9,114.8,115.65,991768.0
2019-11-11,115.05,116.35,115.05,115.66,388062.0
2019-11-12,115.35,115.61,114.19,114.7,530743.0
2019-11-13,114.07,116.91,113.96,116.72,614171.0
2019-11-14,116.98,117.56,116.51,117.19,404697.0
2019-11-15,118.07,119.27,117.95,119.12,681020.0
2019-11-18,118.98,119.56,118.1,118.41,421674.0
2019-11-19,118.44,119.39,117.71,119.21,674731.0
2019-11-20,119.03,119.41,117.32,117.5,911372.0
2019-11-21,117.3,119.02,116.4,118.52,799884.0
2019-11-22,118.36,119.51,117.68,119.05,591318.0
2019-11-25,118.99,120.04,117.6,119.81,565026.0
2019-11-26,119.92,122.29,119.87,122.16,672402.0
2019-11-27,122.01,122.37,121.1,121.56,463944.0
2019-11-29,121.24,121.56,119.79,120.03,315966.0
2019-12-02,120.22,120.71,119.66,120.36,603479.0
2019-12-03,119.25,120.29,119.23,120.18,530623.0
2019-12-04,121.0,122.83,121.0,121.79,714754.0
2019-12-05,121.8,122.41,121.67,122.3,602316.0
2019-12-06,123.36,123.81,122.62,122.99,521902.0
2019-12-09,122.49,124.17,122.11,124.09,726573.0
2019-12-10,124.17,124.57,123.71,124.09,1142115.0
2019-12-11,123.97,125.75,123.77,125.69,566487.0
2019-12-12,123.93,125.63,123.75,124.47,978138.0
2019-12-13,124.33,124.33,122.35,123.01,557133.0
2019-12-16,123.35,123.53,121.44,121.66,726401.0
2019-12-17,121.68,123.6,121.33,123.53,717234.0
2019-12-18,123.53,124.1,122.18,123.61,484713.0
2019-12-19,123.53,124.08,122.15,123.68,515986.0
2019-12-20,124.57,125.13,124.1,124.2,1065173.0
2019-12-23,124.42,124.42,123.04,123.42,457957.0
2019-12-24,123.39,124.25,123.12,123.87,179488.0
2019-12-26,123.92,124.67,123.53,124.64,229116.0
2019-12-27,124.87,125.03,124.23,124.59,219544.0
2019-12-30,124.5,124.78,123.49,124.12,304066.0
2019-12-31,124.06,124.71,123.86,124.54,278921.0
2020-01-02,124.79,125.39,123.45,125.39,572423.0
2020-01-03,123.83,124.9,122.83,123.84,480509.0
2020-01-06,122.16,123.63,120.88,123.61,627373.0
2020-01-07,123.3,123.56,122.06,122.13,588412.0
2020-01-08,122.25,123.54,121.85,122.65,938703.0
2020-01-09,123.15,123.72,122.22,122.87,458474.0
2020-01-10,123.21,123.88,122.54,123.43,525330.0
2020-01-13,124.0,124.66,122.37,124.65,945597.0
2020-01-14,124.46,125.5,123.89,124.72,703109.0
2020-01-15,124.83,125.73,123.84,125.32,884094.0
2020-01-16,126.13,128.57,126.04,128.51,784717.0
2020-01-17,128.94,129.95,127.69,128.05,975712.0
2020-01-21,127.7,128.14,126.65,127.14,669031.0
2020-01-22,127.61,129.9,127.54,129.45,786324.0
2020-01-23,128.92,129.95,128.57,129.8,729211.0
2020-01-24,130.0,130.58,127.81,128.0,682083.0
2020-01-27,126.56,128.58,126.41,127.67,675293.0
2020-01-28,128.22,129.67,127.55,129.44,380846.0
2020-01-29,130.0,131.71,129.22,130.82,555167.0
2020-01-30,130.0,131.26,129.38,130.66,524229.0
2020-01-31,130.47,131.28,128.7,129.32,607353.0
2020-02-03,130.05,133.02,129.94,132.18,722262.0
2020-02-04,133.8,135.45,133.62,135.25,640972.0
2020-02-05,136.57,137.05,132.88,133.28,765030.0
2020-02-06,133.64,133.73,131.63,132.41,649912.0
2020-02-07,132.37,134.89,132.02,134.04,782616.0
2020-02-10,133.72,136.4,133.72,136.38,631265.0
2020-02-11,136.83,138.02,135.84,137.89,460598.0
2020-02-12,137.79,138.72,136.8,138.57,604303.0
2020-02-13,136.52,137.64,136.22,136.83,808790.0
2020-02-14,136.75,139.24,136.62,138.9,748133.0
2020-02-18,132.94,134.64,130.61,134.36,1034855.0
2020-02-19,133.97,134.69,130.39,131.16,766710.0
2020-02-20,128.77,131.96,126.69,129.85,1245913.0
2020-02-21,129.23,129.24,127.35,128.58,638694.0
2020-02-24,125.27,127.89,125.0,126.95,677059.0
2020-02-25,127.42,127.68,123.8,124.0,782888.0
2020-02-26,124.63,125.78,122.26,123.66,809858.0
2020-02-27,121.7,124.28,118.11,118.18,1206851.0
2020-02-28,114.87,116.7,111.96,114.99,1246511.0
2020-03-02,115.36,120.86,114.73,120.86,912696.0
2020-03-03,120.76,124.5,118.23,119.34,848902.0
2020-03-04,121.67,124.48,120.66,124.35,772626.0
2020-03-05,122.26,124.72,121.46,122.65,961470.0
2020-03-06,119.38,120.28,115.53,119.8,970121.0
2020-03-09,112.27,120.01,102.12,115.0,1126938.0
2020-03-10,117.55,118.66,110.64,118.39,1277683.0
2020-03-11,115.93,116.63,113.51,114.78,1220102.0
2020-03-12,108.39,112.07,103.1,103.39,1598772.0
2020-03-13,109.21,112.65,104.26,111.81,1050315.0
2020-03-16,99.52,104.44,94.64,97.71,1040026.0
2020-03-17,99.56,106.43,97.06,102.6,1290274.0
2020-03-18,95.31,101.44,82.59,96.68,1547183.0
2020-03-19,95.72,99.48,92.95,94.16,1280893.0
2020-03-20,96.29,96.46,81.61,82.84,1202658.0
2020-03-23,82.27,83.6,77.37,78.6,1262438.0
2020-03-24,80.79,87.12,80.05,84.92,948205.0
2020-03-25,84.76,92.17,82.64,89.45,830691.0
2020-03-26,89.38,97.43,89.38,96.78,745414.0
2020-03-27,95.71,96.4,90.56,91.62,764259.0
2020-03-30,92.24,95.74,91.0,95.01,849233.0
2020-03-31,93.77,95.63,91.18,92.02,1142732.0
2020-04-01,88.55,88.55,82.9,84.59,1059244.0
2020-04-02,84.16,87.0,82.62,84.42,1059235.0
2020-04-03,84.02,85.87,82.2,84.04,830682.0
2020-04-06,87.39,95.13,87.08,94.49,843270.0
2020-04-07,98.06,98.84,91.6,92.75,1064523.0
2020-04-08,91.71,96.39,90.88,94.65,856115.0
2020-04-09,94.72,97.81,94.16,95.36,816655.0
2020-04-13,94.88,96.55,92.3,95.77,815875.0
2020-04-14,97.75,99.11,96.88,97.92,615094.0
2020-04-15,96.38,96.87,93.05,94.46,623550.0
2020-04-16,94.37,95.47,92.15,93.98,754868.0
2020-04-17,96.37,98.25,94.92,97.63,767493.0
2020-04-20,95.64,96.31,93.32,93.95,571503.0
2020-04-21,92.23,92.96,90.26,90.76,603251.0
2020-04-22,92.33,93.16,91.1,92.97,699923.0
2020-04-23,94.58,98.29,92.12,95.13,1311085.0
2020-04-24,94.76,96.79,93.37,96.57,691458.0
2020-04-27,97.57,99.57,97.41,99.07,717737.0
2020-04-28,101.03,103.03,100.64,101.62,564350.0
2020-04-29,104.33,104.6,101.67,102.36,810175.0
2020-04-30,100.85,101.58,98.61,100.54,1215195.0
2020-05-01,98.92,99.92,96.78,97.48,705867.0
2020-05-04,96.38,96.38,94.4,94.76,666596.0
2020-05-05,95.57,97.91,94.89,96.74,751877.0
2020-05-06,97.55,99.61,96.8,97.99,838930.0
2020-05-07,99.14,101.21,99.14,100.14,908767.0
2020-05-08,101.94,103.79,101.52,102.27,409901.0
2020-05-11,101.59,102.69,100.02,101.68,530444.0
2020-05-12,102.19,103.56,99.67,99.72,538690.0
2020-05-13,98.7,99.85,92.76,93.66,908745.0
2020-05-14,92.36,93.62,89.83,93.57,1442749.0
2020-05-15,92.78,94.48,92.04,92.94,766097.0
2020-05-18,96.22,97.71,95.75,95.88,726813.0
2020-05-19,95.57,97.46,94.11,94.25,712892.0
2020-05-20,95.76,97.84,95.38,97.34,814731.0
2020-05-21,93.97,95.52,93.52,94.0,972782.0
2020-05-22,94.37,94.6,92.92,94.29,497645.0
2020-05-26,96.96,98.55,96.36,97.64,746109.0
2020-05-27,99.6,100.41,97.68,99.03,853612.0
2020-05-28,100.64,101.59,98.39,99.91,645421.0
2020-05-29,98.82,100.18,97.85,99.7,917223.0
2020-06-01,100.38,102.01,99.43,100.65,480397.0
2020-06-02,101.37,101.99,99.36,100.01,664067.0
2020-06-03,100.89,105.39,100.6,105.04,714810.0
2020-06-04,103.81,106.24,103.21,106.09,774865.0
2020-06-05,109.84,117.49,109.29,115.35,1535468.0
2020-06-08,114.94,116.7,114.32,115.54,707917.0
2020-06-09,113.57,113.64,111.78,112.29,612132.0
2020-06-10,111.89,112.42,108.76,109.02,663159.0
2020-06-11,105.26,105.49,101.38,101.56,734354.0
2020-06-12,104.9,104.91,99.37,102.41,731982.0
2020-06-15,99.14,103.23,98.47,102.65,540734.0
2020-06-16,106.69,106.81,102.06,104.53,472649.0
2020-06-17,105.55,106.03,103.64,104.25,481252.0
2020-06-18,103.48,105.26,102.17,102.99,563353.0
