date,Open,High,Low,Close,Volume
2019-08-20,46.93,47.14,46.51,46.73,7753815.0
2019-08-21,47.2,47.52,46.73,46.83,5198369.0
2019-08-22,47.14,47.28,46.44,47.03,4280682.0
2019-08-23,46.51,46.84,44.82,45.12,11616331.0
2019-08-26,46.0,46.17,45.44,45.61,5715187.0
2019-08-27,46.0,46.24,45.11,45.51,5926887.0
2019-08-28,45.4,46.04,45.05,45.9,4793138.0
2019-08-29,46.66,47.42,46.63,47.31,6786670.0
2019-08-30,47.55,48.09,47.39,48.02,7820358.0
2019-09-03,47.64,47.77,47.16,47.61,7145753.0
2019-09-04,48.57,49.56,48.4,49.51,10227852.0
2019-09-05,50.46,51.73,50.27,50.35,10415877.0
2019-09-06,50.47,50.5,49.8,50.1,6913666.0
2019-09-09,50.29,50.8,49.96,50.66,6653765.0
2019-09-10,50.38,50.49,49.62,50.19,7304000.0
2019-09-11,50.43,51.57,50.01,51.56,8100369.0
2019-09-12,51.65,51.86,51.04,51.25,6251842.0
2019-09-13,51.74,51.98,51.04,51.35,6052724.0
2019-09-16,50.73,51.48,50.28,50.92,5164314.0
2019-09-17,50.55,51.26,50.43,51.2,5478739.0
2019-09-18,51.26,52.1,51.03,52.09,7924463.0
2019-09-19,52.49,52.62,51.37,51.68,6048521.0
2019-09-20,51.9,52.02,50.87,50.96,11651466.0
2019-09-23,50.85,51.97,50.8,51.76,5474049.0
2019-09-24,52.02,52.58,50.87,51.16,7090554.0
2019-09-25,50.65,52.12,50.5,51.93,5488284.0
2019-09-26,52.17,52.46,51.81,52.15,4912909.0
2019-09-27,51.12,51.46,49.15,49.43,11206261.0
2019-09-30,49.75,50.22,49.26,49.9,6780365.0
2019-10-01,50.41,51.0,49.78,50.02,7746018.0
2019-10-02,49.37,49.88,49.21,49.46,6563804.0
2019-10-03,49.42,49.77,48.78,49.64,7082515.0
2019-10-04,50.01,50.9,49.89,50.88,4620605.0
2019-10-07,50.82,51.11,50.58,50.65,5482744.0
2019-10-08,50.15,50.28,49.08,49.31,5722592.0
2019-10-09,50.12,51.17,50.0,50.84,6362242.0
2019-10-10,50.67,51.6,50.64,51.01,5368631.0
2019-10-11,52.16,52.39,51.71,51.75,6823720.0
2019-10-14,51.81,52.13,51.79,51.94,3429704.0
2019-10-15,52.07,53.14,51.88,52.91,8063938.0
2019-10-16,51.88,52.8,51.35,51.56,8456280.0
2019-10-17,52.46,53.25,51.84,52.14,5159955.0
2019-10-18,52.22,52.41,51.04,51.68,6393604.0
2019-10-21,52.19,52.71,51.99,52.64,5738240.0
2019-10-22,52.65,52.71,51.94,51.98,4484021.0
2019-10-23,51.29,51.45,50.24,50.53,8608126.0
2019-10-24,52.94,55.12,52.75,55.07,18723030.0
2019-10-25,54.9,55.84,54.53,55.72,8568345.0
2019-10-28,56.03,57.29,56.0,56.95,8742449.0
2019-10-29,56.68,57.09,55.4,55.52,6354593.0
2019-10-30,55.33,55.44,54.67,55.21,4247462.0
2019-10-31,55.19,55.19,53.56,54.26,6741838.0
2019-11-01,54.93,55.47,54.41,55.46,5899037.0
2019-11-04,56.02,56.4,55.34,55.74,4152542.0
2019-11-05,56.09,56.29,55.57,55.88,3857929.0
2019-11-06,55.6,55.88,54.91,55.82,3965867.0
2019-11-07,56.31,56.49,55.63,55.94,4487535.0
2019-11-08,55.7,56.14,55.13,56.03,3313903.0
2019-11-11,55.77,56.73,55.55,56.59,5651305.0
2019-11-12,57.0,57.25,56.2,56.42,5118063.0
2019-11-13,56.11,57.39,56.01,57.12,5712885.0
2019-11-14,57.14,57.2,56.51,56.96,8305853.0
2019-11-15,60.33,62.92,60.22,62.06,28391526.0
2019-11-18,61.89,63.07,61.36,62.35,10413290.0
2019-11-19,62.29,62.67,60.85,60.94,9887589.0
2019-11-20,60.03,60.43,59.09,59.65,12045741.0
2019-11-21,56.64,58.45,55.65,56.44,13935308.0
2019-11-22,56.56,57.14,55.44,55.94,8627714.0
2019-11-25,56.62,58.42,56.56,58.28,11194841.0
2019-11-26,58.27,58.42,57.08,57.57,10256637.0
2019-11-27,57.89,58.39,57.74,58.29,5703005.0
2019-11-29,58.09,58.3,57.72,57.9,2905829.0
2019-12-02,58.14,58.14,56.48,56.7,6161355.0
2019-12-03,55.18,55.91,54.95,55.34,7762747.0
2019-12-04,56.41,56.54,55.59,56.09,6564594.0
2019-12-05,56.33,56.53,55.65,55.84,5292329.0
2019-12-06,56.75,57.49,56.48,56.6,6033535.0
2019-12-09,57.12,57.23,56.55,56.6,4750359.0
2019-12-10,57.17,57.17,56.46,56.62,6330163.0
2019-12-11,56.82,59.13,56.7,59.04,8840937.0
2019-12-12,59.02,60.48,59.01,60.36,9285907.0
2019-12-13,60.01,60.81,59.78,59.87,6172672.0
2019-12-16,61.0,61.43,59.93,59.96,6430827.0
2019-12-17,60.45,60.9,60.23,60.79,7848028.0
2019-12-18,60.82,61.41,60.37,60.38,6529503.0
2019-12-19,60.57,60.7,59.88,60.67,6764975.0
2019-12-20,61.21,61.98,60.7,61.81,15663075.0
