date,Open,High,Low,Close,Volume
2019-08-20,205.9,206.12,202.95,203.17,2710827.0
2019-08-21,204.45,205.37,203.58,203.94,1755252.0
2019-08-22,205.27,206.35,202.0,203.42,2677893.0
2019-08-23,203.09,203.62,198.01,199.08,3416351.0
2019-08-26,200.6,206.4,199.67,205.41,4005205.0
2019-08-27,206.54,208.95,205.27,206.49,3393961.0
2019-08-28,205.51,210.14,205.33,207.52,3761858.0
2019-08-29,209.0,209.84,205.26,206.98,2391750.0
2019-08-30,208.99,210.97,206.88,208.62,2621349.0
2019-09-03,207.3,207.89,204.68,205.52,2193035.0
2019-09-04,206.7,207.37,203.0,206.32,1935709.0
2019-09-05,206.63,208.47,205.97,207.65,1685301.0
2019-09-06,208.64,209.35,206.1,207.73,2387978.0
2019-09-09,202.53,202.95,198.79,202.34,4353188.0
2019-09-10,200.81,201.97,195.36,196.87,4866278.0
2019-09-11,197.13,198.46,195.17,195.84,2875335.0
2019-09-12,196.09,196.83,193.9,194.0,4448001.0
2019-09-13,194.41,196.67,194.33,195.47,2428846.0
2019-09-16,196.16,196.16,193.51,194.08,1597399.0
2019-09-17,194.04,196.78,194.04,196.72,2464757.0
2019-09-18,196.36,196.83,193.26,195.04,1912113.0
2019-09-19,195.72,196.37,194.52,195.65,1490206.0
2019-09-20,196.0,199.32,195.75,196.94,6907346.0
2019-09-23,197.75,198.81,197.31,197.76,1752281.0
2019-09-24,198.98,199.8,195.61,196.55,2324684.0
2019-09-25,197.58,198.33,195.92,196.06,1806329.0
2019-09-26,195.91,196.31,193.08,195.38,1900710.0
2019-09-27,195.56,196.85,193.84,194.94,1770277.0
2019-09-30,192.8,196.68,191.69,193.51,2561059.0
2019-10-01,192.58,195.88,192.1,193.19,2331255.0
2019-10-02,193.58,193.58,188.78,189.21,2319213.0
2019-10-03,189.6,192.67,189.0,192.62,1983450.0
2019-10-04,193.14,196.01,193.14,195.59,2161734.0
2019-10-07,194.54,198.82,194.45,197.17,2230266.0
2019-10-08,196.55,198.0,195.0,196.08,2048466.0
2019-10-09,198.68,198.68,195.96,196.69,1300664.0
2019-10-10,198.0,199.36,197.02,198.68,1320590.0
2019-10-11,200.23,203.89,199.98,200.8,2477386.0
2019-10-14,201.25,204.9,201.23,202.89,1709540.0
2019-10-15,203.46,204.8,202.6,204.66,1502787.0
2019-10-16,204.15,204.98,202.18,203.21,1906222.0
2019-10-17,201.59,204.75,201.52,203.56,1397661.0
2019-10-18,204.11,204.12,200.81,202.72,2036800.0
2019-10-21,203.57,203.61,200.78,202.93,1564041.0
2019-10-22,204.63,206.06,203.22,204.83,2175285.0
2019-10-23,204.23,205.89,203.04,203.32,1846377.0
2019-10-24,203.95,204.3,201.66,203.06,1245432.0
2019-10-25,202.59,203.71,201.51,203.05,1321537.0
2019-10-28,203.17,205.98,202.68,205.01,1645996.0
2019-10-29,205.26,211.25,204.91,208.99,4460040.0
2019-10-30,206.35,211.0,204.16,210.88,3793500.0
2019-10-31,210.1,213.67,209.6,213.25,3255817.0
2019-11-01,214.26,219.38,214.0,217.95,3685494.0
2019-11-04,218.73,219.84,214.35,214.41,2646580.0
2019-11-05,215.92,219.49,213.19,215.08,3012012.0
2019-11-06,215.45,218.58,215.45,216.4,2540237.0
2019-11-07,216.91,218.51,215.46,217.99,2498281.0
2019-11-08,218.21,221.25,217.46,221.11,2069906.0
2019-11-11,220.24,221.38,218.7,220.7,1364287.0
2019-11-12,221.31,225.26,219.87,221.31,2704477.0
2019-11-13,220.43,221.69,218.54,219.67,2349050.0
2019-11-14,218.22,218.74,213.55,218.5,2749387.0
2019-11-15,219.59,220.93,217.21,220.86,2028585.0
2019-11-18,221.06,221.59,219.21,220.67,2239516.0
2019-11-19,221.24,224.68,220.7,224.5,2552130.0
2019-11-20,224.38,226.55,223.13,225.51,3524306.0
2019-11-21,227.12,228.8,225.02,227.82,2659275.0
2019-11-22,228.08,230.87,227.83,230.74,1975139.0
2019-11-25,231.08,235.8,231.08,234.54,2638668.0
2019-11-26,233.98,234.89,232.01,234.39,3300943.0
2019-11-27,234.65,235.28,231.85,234.54,1579798.0
2019-11-29,234.13,235.47,233.75,234.72,945636.0
2019-12-02,234.54,235.8,232.63,233.48,1634444.0
2019-12-03,231.48,233.18,230.78,232.77,1933600.0
2019-12-04,232.73,234.89,232.0,233.88,1908545.0
2019-12-05,233.69,233.77,231.46,233.41,2083616.0
2019-12-06,234.68,235.0,233.19,233.77,1860926.0
2019-12-09,234.96,235.05,232.63,232.82,1912994.0
2019-12-10,231.92,235.12,231.51,233.84,1494839.0
2019-12-11,234.03,234.97,233.03,234.01,1754093.0
2019-12-12,234.58,237.24,234.06,235.99,1851696.0
2019-12-13,235.6,238.12,235.14,236.74,2041194.0
2019-12-16,239.5,244.53,239.5,243.2,3047750.0
2019-12-17,243.58,244.99,241.28,242.84,2382462.0
2019-12-18,242.21,243.22,241.02,241.94,2956658.0
2019-12-19,242.78,243.3,239.93,241.84,2305894.0
2019-12-20,244.57,244.57,240.7,243.06,5093604.0
2019-12-23,243.98,244.0,241.59,243.03,1686220.0
2019-12-24,242.82,243.1,241.72,242.33,612809.0
2019-12-26,242.72,243.64,241.32,241.9,1098813.0
2019-12-27,242.24,242.99,240.16,241.53,1084967.0
2019-12-30,241.4,242.98,239.4,240.27,1454466.0
2019-12-31,240.28,241.46,238.5,241.07,1748329.0
2020-01-02,243.0,243.19,238.98,240.1,1901323.0
2020-01-03,237.16,240.26,236.24,238.47,1879024.0
2020-01-06,237.2,240.45,236.56,240.3,1802823.0
2020-01-07,239.31,240.0,237.59,238.04,1522109.0
2020-01-08,237.93,239.58,236.61,238.22,2214850.0
2020-01-09,239.69,239.69,237.97,238.93,1628950.0
2020-01-10,238.68,240.93,237.61,238.26,1777614.0
2020-01-13,238.26,238.33,234.79,236.92,1971237.0
2020-01-14,235.8,240.68,235.17,240.0,2239061.0
2020-01-15,240.67,242.6,240.05,241.7,1920726.0
2020-01-16,242.18,243.85,239.85,240.5,2085686.0
2020-01-17,242.11,242.14,239.27,241.49,2582849.0
2020-01-21,240.97,242.01,237.26,237.6,3071079.0
2020-01-22,238.75,239.7,235.76,236.75,1998233.0
2020-01-23,237.06,237.06,233.07,235.04,2088691.0
2020-01-24,235.8,235.88,224.5,225.59,5020236.0
2020-01-27,223.68,224.93,221.17,222.95,2843551.0
2020-01-28,223.57,226.7,222.85,224.84,2103970.0
2020-01-29,225.5,228.93,225.0,227.15,2001389.0
2020-01-30,226.0,226.97,223.31,226.15,2581606.0
2020-01-31,218.76,219.08,210.01,216.05,5968931.0
2020-02-03,216.39,219.62,215.56,216.88,2565440.0
2020-02-04,220.77,223.85,220.48,221.81,2765342.0
2020-02-05,223.74,234.64,223.74,231.94,3669477.0
2020-02-06,233.72,233.89,229.34,231.45,2007526.0
2020-02-07,231.41,232.18,227.67,229.33,2295149.0
2020-02-10,228.15,228.96,226.26,227.42,2144696.0
2020-02-11,227.7,229.47,226.8,228.96,1934539.0
2020-02-12,229.47,230.23,225.88,227.0,2501250.0
2020-02-13,224.99,226.52,222.82,223.04,1946511.0
2020-02-14,222.93,223.49,221.34,223.48,1611960.0
2020-02-18,224.15,224.35,220.92,221.69,1936402.0
2020-02-19,222.94,224.05,222.05,222.96,1322884.0
2020-02-20,223.2,223.48,218.51,222.14,1637976.0
2020-02-21,222.24,223.8,220.99,222.79,2047484.0
2020-02-24,219.88,223.99,215.76,217.88,3049587.0
2020-02-25,218.08,219.56,209.82,210.38,3915518.0
2020-02-26,216.18,216.7,212.02,214.54,3313975.0
2020-02-27,214.92,215.28,203.22,203.5,4071060.0
2020-02-28,198.05,203.0,195.18,199.73,5316456.0
2020-03-02,199.9,212.37,198.71,212.2,4245732.0
2020-03-03,210.34,216.16,202.66,204.42,3975261.0
2020-03-04,209.53,215.29,207.62,215.11,3880450.0
2020-03-05,207.66,216.39,207.58,212.12,3185407.0
2020-03-06,203.97,211.61,203.82,210.65,3100544.0
2020-03-09,197.74,203.62,190.75,198.37,4065565.0
2020-03-10,203.36,207.1,194.67,206.8,3928777.0
2020-03-11,201.0,203.92,195.81,198.65,3777570.0
2020-03-12,184.63,196.26,181.77,182.24,4902612.0
2020-03-13,189.76,203.17,188.52,202.1,6903858.0
2020-03-16,184.67,204.72,182.96,188.68,4932563.0
2020-03-17,192.21,210.91,191.65,207.8,5912873.0
2020-03-18,198.56,210.9,196.74,204.88,5596663.0
2020-03-19,201.0,208.75,195.27,198.76,4796717.0
2020-03-20,198.89,201.97,186.0,188.25,5727006.0
2020-03-23,188.89,191.96,177.05,185.93,4396603.0
2020-03-24,191.47,202.85,190.01,202.34,5288247.0
2020-03-25,197.77,201.36,190.01,193.14,5301004.0
2020-03-26,193.12,199.72,190.5,198.49,5162547.0
2020-03-27,194.42,205.87,194.01,198.27,4119780.0
2020-03-30,200.05,209.45,200.05,208.48,3218998.0
2020-03-31,203.49,207.25,200.7,202.73,2929128.0
2020-04-01,197.56,201.38,194.99,197.81,2747906.0
2020-04-02,194.41,209.53,194.21,208.88,3867332.0
2020-04-03,207.43,209.75,203.03,205.41,2281426.0
2020-04-06,212.0,212.71,206.85,211.58,3702502.0
2020-04-07,213.45,215.18,207.33,208.78,2447461.0
2020-04-08,208.9,219.82,207.34,219.19,2861876.0
2020-04-09,217.4,219.35,215.7,218.21,2503361.0
2020-04-13,216.98,219.18,215.15,218.27,2168055.0
2020-04-14,221.01,228.32,220.25,226.8,3028974.0
2020-04-15,224.99,225.51,219.31,221.8,3107124.0
2020-04-16,225.0,232.1,223.22,230.9,2617328.0
