date,Open,High,Low,Close,Volume
2019-08-20,126.91,127.97,124.8,126.35,698121.0
2019-08-21,128.04,128.68,127.22,127.95,760598.0
2019-08-22,128.99,129.53,127.6,128.58,729913.0
2019-08-23,127.42,129.17,123.82,124.49,1136163.0
2019-08-26,126.29,126.66,124.79,126.15,1272011.0
2019-08-27,127.21,127.58,124.1,125.24,1356518.0
2019-08-28,123.98,126.31,123.95,125.85,839006.0
2019-08-29,127.51,129.23,127.51,128.43,804995.0
2019-08-30,129.81,130.03,127.78,128.98,668362.0
2019-09-03,127.31,128.74,125.86,127.2,1010981.0
2019-09-04,128.88,129.62,128.19,129.27,948807.0
2019-09-05,130.98,134.87,130.84,133.41,1046642.0
2019-09-06,133.27,135.3,132.35,134.75,1060844.0
2019-09-09,136.4,138.87,135.64,137.87,1406256.0
2019-09-10,139.15,144.63,139.03,144.63,1937347.0
2019-09-11,144.66,145.74,142.12,145.57,1214210.0
2019-09-12,144.51,147.14,143.91,146.38,969681.0
2019-09-13,148.24,149.31,147.11,147.43,1099555.0
2019-09-16,146.1,148.19,144.91,147.43,1206230.0
2019-09-17,146.38,147.25,144.66,146.09,845845.0
2019-09-18,145.09,147.89,144.06,147.54,1246807.0
2019-09-19,147.34,149.52,146.82,147.29,1221159.0
2019-09-20,147.56,148.6,145.31,145.78,1561824.0
2019-09-23,143.84,147.74,143.27,147.29,1393399.0
2019-09-24,147.84,148.35,143.43,144.9,1230619.0
2019-09-25,144.45,145.89,143.07,145.47,825682.0
2019-09-26,145.17,146.92,144.62,146.12,635364.0
2019-09-27,147.7,148.41,146.8,147.54,907031.0
2019-09-30,148.58,148.58,146.26,147.1,924067.0
2019-10-01,147.84,147.84,139.91,140.74,1397321.0
2019-10-02,138.82,138.82,135.14,135.34,1072246.0
2019-10-03,134.4,135.43,131.29,135.17,1221544.0
2019-10-04,135.44,136.62,134.84,136.19,1049899.0
2019-10-07,135.17,136.52,134.69,134.73,727870.0
2019-10-08,132.06,132.38,129.01,129.21,1666295.0
2019-10-09,130.99,132.92,130.03,132.19,741587.0
2019-10-10,133.33,135.76,133.08,134.01,740193.0
2019-10-11,137.67,139.79,137.13,138.27,904664.0
