date,Open,High,Low,Close,Volume
2019-08-20,222.31,223.3,219.0,219.19,551909.0
2019-08-21,222.33,227.0,221.01,226.54,737713.0
2019-08-22,227.86,229.0,225.87,227.28,657466.0
2019-08-23,226.26,229.3838,222.56,223.4,781545.0
2019-08-26,225.98,226.82,220.73,223.2,429307.0
2019-08-27,224.37,224.95,220.72,223.78,521095.0
2019-08-28,221.55,224.25,219.41,222.48,497651.0
2019-08-29,225.76,229.89,224.53,227.41,464331.0
2019-08-30,227.0,228.12,223.782,226.62,545496.0
2019-09-03,225.9,228.5,222.1074,224.29,453211.0
2019-09-04,225.69,227.94,225.11,226.23,594199.0
2019-09-05,229.41,236.42,228.9228,235.38,737947.0
2019-09-06,236.0,237.2644,234.01,235.7,558611.0
2019-09-09,237.36,238.5074,227.83,231.13,720469.0
2019-09-10,229.79,238.0,227.46,237.94,703761.0
2019-09-11,239.0,247.06,238.0,246.81,895707.0
2019-09-12,247.6,251.39,247.52,249.94,1001133.0
2019-09-13,249.25,250.0,243.28,243.76,606971.0
2019-09-16,241.59,246.0929,240.82,244.19,340113.0
2019-09-17,242.76,245.98,242.01,244.45,621025.0
2019-09-18,245.9,247.41,243.54,246.6,712679.0
2019-09-19,246.72,251.855,243.4499,244.13,610417.0
2019-09-20,245.48,245.85,239.45,240.06,778773.0
2019-09-23,240.08,243.15,238.54,240.75,600638.0
2019-09-24,243.24,243.28,235.7188,238.04,607206.0
2019-09-25,237.32,242.29,233.03,241.56,444406.0
2019-09-26,240.34,244.72,237.83,244.01,378689.0
2019-09-27,245.0,247.72,240.73,242.78,419320.0
2019-09-30,242.78,243.04,238.38,238.92,745047.0
2019-10-01,240.27,241.49,229.5,230.35,728561.0
2019-10-02,227.48,228.69,222.355,228.33,589264.0
2019-10-03,220.92,224.34,215.26,224.34,925843.0
2019-10-04,224.39,228.91,224.18,228.57,330658.0
2019-10-07,230.05,232.55,229.47,230.94,364524.0
2019-10-08,230.08,231.41,225.1073,229.1,448553.0
2019-10-09,231.01,231.92,227.51,230.03,463480.0
2019-10-10,228.56,228.87,225.5,227.72,693639.0
2019-10-11,232.72,238.74,230.7562,236.44,560149.0
2019-10-14,236.37,236.944,233.31,234.77,321391.0
2019-10-15,235.91,243.58,235.42,240.97,494617.0
2019-10-16,238.77,239.99,235.59,239.08,446314.0
2019-10-17,240.21,241.77,238.1201,241.51,394778.0
2019-10-18,239.62,241.1233,237.1,239.43,360422.0
2019-10-21,242.27,246.17,241.23,243.84,464382.0
2019-10-22,245.56,246.12,239.94,241.5,472322.0
2019-10-23,241.86,246.7822,240.0,246.61,374144.0
2019-10-24,246.01,246.4002,234.695,239.32,813842.0
2019-10-25,242.6,245.26,240.01,244.36,710475.0
2019-10-28,246.5,251.74,245.9154,248.9,673845.0
2019-10-29,248.0,249.53,245.43,245.96,359500.0
2019-10-30,246.0,247.9,243.11,246.27,493187.0
2019-10-31,247.8,247.8,242.3622,244.57,1846875.0
2019-11-01,173.66,189.34,173.31,185.3,10485864.0
2019-11-04,187.61,192.5668,187.0,191.27,2612082.0
2019-11-05,192.16,192.49,184.25,188.78,1894292.0
2019-11-06,189.9,192.78,188.4,190.43,1345790.0
2019-11-07,192.0,196.99,191.86,194.44,1343628.0
2019-11-08,194.86,194.93,192.0029,192.61,819012.0
2019-11-11,191.47,192.89,189.225,191.17,689273.0
2019-11-12,190.66,194.48,190.66,193.97,925203.0
2019-11-13,193.9,195.8516,190.25,190.65,624647.0
2019-11-14,189.59,191.13,187.8001,190.56,1143078.0
2019-11-15,192.48,193.91,190.21,192.62,870943.0
2019-11-18,192.09,195.49,191.52,193.02,848534.0
2019-11-19,195.49,196.3437,193.28,194.0,584865.0
2019-11-20,194.0,195.9197,192.5002,194.04,759779.0
2019-11-21,194.04,194.39,191.7,192.0,858188.0
2019-11-22,193.26,194.74,192.18,194.49,940540.0
2019-11-25,195.0,198.56,194.99,197.91,585055.0
2019-11-26,198.0,199.2,194.9,196.27,709484.0
