date,Open,High,Low,Close,Volume
2019-08-20,212.9,214.835,210.971,213.18,454308.0
2019-08-21,215.4,218.17,213.42,218.04,330824.0
2019-08-22,218.71,219.59,215.48,217.1,390903.0
2019-08-23,215.71,218.19,210.08,210.71,624204.0
2019-08-26,212.85,213.71,210.7,211.8,420222.0
2019-08-27,213.57,214.27,208.56,211.04,646591.0
2019-08-28,209.35,209.35,203.27,204.14,900506.0
2019-08-29,207.63,210.18,206.52,209.18,354850.0
2019-08-30,210.92,210.94,204.135,206.56,562051.0
2019-09-03,206.53,208.8,205.33,206.01,533123.0
2019-09-04,207.63,212.51,207.63,212.49,403710.0
2019-09-05,215.18,219.4,213.7,218.09,669835.0
2019-09-06,218.24,219.86,216.64,217.59,384614.0
2019-09-09,218.93,219.03,211.62,214.58,772876.0
2019-09-10,214.11,214.11,209.095,210.38,667026.0
2019-09-11,211.15,215.03,210.79,214.59,591801.0
2019-09-12,216.69,217.88,208.98,211.08,667813.0
2019-09-13,216.99,217.86,211.1635,212.13,536309.0
2019-09-16,210.46,216.0,210.45,212.13,453289.0
2019-09-17,213.03,216.78,212.63,216.13,486359.0
2019-09-18,215.62,217.87,214.245,217.59,593495.0
2019-09-19,218.53,220.82,216.8,219.05,411054.0
2019-09-20,219.58,220.46,215.3,216.57,594153.0
2019-09-23,215.26,217.58,214.36,216.73,283927.0
2019-09-24,217.68,219.435,213.0,213.86,369793.0
2019-09-25,213.16,216.17,211.46,215.64,410309.0
2019-09-26,216.2,220.72,215.94,220.08,373390.0
2019-09-27,220.23,220.335,215.06,217.09,518176.0
2019-09-30,217.19,221.785,217.19,221.36,386108.0
2019-10-01,221.83,223.98,216.51,216.73,528799.0
2019-10-02,215.3,216.3917,211.66,216.04,344708.0
2019-10-03,214.81,220.38,213.18,220.24,381662.0
2019-10-04,220.66,224.99,220.49,224.63,326912.0
2019-10-07,224.34,224.89,222.49,223.12,330899.0
2019-10-08,221.1,222.41,216.52,216.63,299218.0
2019-10-09,219.59,221.29,219.16,220.49,295036.0
2019-10-10,219.5,222.12,219.44,220.67,260141.0
