date,Open,High,Low,Close,Volume
2019-08-20,193.8,194.58,191.11,191.33,683376.0
2019-08-21,192.73,193.92,191.99,193.17,651868.0
2019-08-22,193.49,194.73,191.73,194.12,493496.0
2019-08-23,193.4,194.63,188.18,189.12,786158.0
2019-08-26,190.43,191.59,188.88,191.52,427979.0
2019-08-27,192.14,193.1,190.07,191.14,675635.0
2019-08-28,190.49,190.76,189.08,190.55,492373.0
2019-08-29,192.0,193.8,191.11,192.19,526595.0
2019-08-30,193.6,195.5,193.48,194.85,696904.0
2019-09-03,193.29,194.11,191.43,192.61,732572.0
2019-09-04,193.39,195.47,193.11,195.4,680278.0
2019-09-05,197.29,198.09,195.05,195.6,628554.0
2019-09-06,196.0,196.84,195.16,195.28,529855.0
2019-09-09,196.4,196.4,192.46,193.43,659933.0
2019-09-10,193.18,193.18,185.3,187.29,1717978.0
2019-09-11,187.9,191.17,187.44,188.38,917912.0
2019-09-12,189.09,190.72,188.34,189.76,827811.0
2019-09-13,190.34,192.0,188.4,190.88,720327.0
2019-09-16,189.74,191.32,188.67,191.12,544657.0
2019-09-17,191.6,194.53,190.01,194.52,635533.0
2019-09-18,193.8,194.57,191.73,194.11,556895.0
2019-09-19,193.94,195.65,193.42,194.22,556384.0
2019-09-20,194.65,195.0,191.83,193.0,1769610.0
2019-09-23,191.66,193.84,191.23,192.76,622684.0
2019-09-24,193.35,194.88,191.64,192.6,971290.0
2019-09-25,192.53,194.75,191.84,194.41,933255.0
2019-09-26,194.84,195.55,193.37,194.73,845783.0
2019-09-27,195.45,195.95,192.11,193.47,506831.0
2019-09-30,193.58,194.38,193.11,193.57,608764.0
2019-10-01,194.59,195.3,189.67,189.72,559285.0
2019-10-02,188.23,189.35,184.52,186.0,830336.0
2019-10-03,186.0,187.5,184.55,187.24,651940.0
2019-10-04,187.84,192.09,187.84,192.0,497878.0
2019-10-07,190.92,191.85,189.67,190.43,385401.0
2019-10-08,189.1,189.19,185.65,185.71,654355.0
2019-10-09,188.1,188.8,185.51,186.64,522117.0
2019-10-10,186.57,189.93,185.99,188.89,658031.0
2019-10-11,190.96,192.73,190.29,191.1,552519.0
2019-10-14,190.89,192.67,190.15,191.28,363270.0
2019-10-15,192.39,193.37,191.58,192.29,515619.0
2019-10-16,191.66,192.95,190.38,192.93,513688.0
