date,Open,High,Low,Close,Volume
2019-08-20,21.77,21.92,21.48,21.75,2915056.0
2019-08-21,22.05,22.23,21.59,21.73,5031300.0
2019-08-22,21.76,21.88,21.4,21.46,4558326.0
2019-08-23,20.93,21.52,20.59,20.69,7435059.0
2019-08-26,20.99,21.23,20.78,21.0,4647418.0
2019-08-27,21.18,21.33,20.59,20.96,5229953.0
2019-08-28,21.12,21.96,20.92,21.63,3981549.0
2019-08-29,21.84,22.25,21.81,22.04,4466930.0
2019-08-30,22.08,22.27,21.38,21.57,3152287.0
2019-09-03,21.07,21.5,20.27,21.41,4961017.0
2019-09-04,21.88,22.21,21.61,22.04,4052558.0
2019-09-05,22.27,23.15,22.25,22.67,4962076.0
2019-09-06,22.3,22.48,21.94,22.35,3852972.0
2019-09-09,22.79,23.71,22.64,23.65,6060509.0
2019-09-10,23.9,24.45,23.52,23.7,4925777.0
2019-09-11,23.87,24.63,23.54,23.99,5080800.0
2019-09-12,23.44,24.03,22.96,23.84,3772476.0
2019-09-13,24.14,24.47,23.78,24.34,3948493.0
2019-09-16,26.86,29.11,25.85,28.45,17811387.0
2019-09-17,28.15,28.35,25.75,26.02,9919787.0
2019-09-18,25.51,26.13,25.12,25.43,12094741.0
2019-09-19,25.86,26.11,25.41,25.76,5017533.0
2019-09-20,25.91,26.07,25.54,25.8,6141911.0
2019-09-23,25.47,26.34,25.39,26.18,5054428.0
2019-09-24,25.95,26.09,25.14,25.38,4191110.0
2019-09-25,24.94,25.62,24.85,25.52,4308153.0
2019-09-26,25.19,25.42,24.86,25.27,4535174.0
2019-09-27,24.87,25.92,24.85,25.7,5141049.0
2019-09-30,25.5,25.96,25.46,25.6,3847876.0
2019-10-01,25.71,25.88,24.22,24.27,4376127.0
2019-10-02,24.04,24.31,23.1,23.2,4360775.0
2019-10-03,22.92,23.37,22.44,23.37,5744347.0
2019-10-04,23.16,23.51,21.68,22.16,6228706.0
2019-10-07,22.23,22.3,21.33,21.4,5585267.0
2019-10-08,21.0,21.25,20.24,20.25,6352237.0
2019-10-09,20.52,20.73,20.12,20.53,4904043.0
2019-10-10,20.59,20.88,20.27,20.43,4145545.0
2019-10-11,20.72,21.59,20.72,21.42,6246076.0
2019-10-14,21.01,22.23,20.86,21.94,8722712.0
2019-10-15,21.81,22.52,21.44,22.18,5371926.0
2019-10-16,21.96,22.83,21.75,21.76,6649004.0
2019-10-17,21.85,22.33,21.52,22.12,4479122.0
2019-10-18,22.4,23.6,22.27,22.44,8684819.0
2019-10-21,22.19,22.88,22.05,22.77,4853203.0
2019-10-22,22.82,23.41,22.35,22.95,4823609.0
2019-10-23,22.97,23.63,22.4,23.54,3664655.0
2019-10-24,23.71,23.8,22.55,23.23,4393375.0
2019-10-25,23.22,23.26,20.57,22.07,14569881.0
2019-10-28,22.24,22.65,21.64,21.73,5127259.0
2019-10-29,21.45,22.57,21.16,22.05,4761266.0
2019-10-30,22.04,22.32,21.27,21.36,4858194.0
2019-10-31,20.99,22.3,20.47,21.66,6711909.0
2019-11-01,22.04,24.31,21.89,23.81,10233546.0
2019-11-04,24.4,24.84,24.35,24.52,7315897.0
2019-11-05,24.8,25.08,23.72,23.96,6279815.0
2019-11-06,23.85,24.62,23.23,23.62,4776806.0
2019-11-07,23.85,24.25,23.65,24.08,6138682.0
2019-11-08,23.74,24.5,23.39,24.43,4338091.0
2019-11-11,24.03,24.37,23.76,23.85,4421568.0
2019-11-12,24.05,24.34,23.54,23.8,4287874.0
2019-11-13,23.53,23.81,23.11,23.3,3179704.0
2019-11-14,23.41,24.03,23.28,23.43,5125547.0
2019-11-15,23.64,24.39,23.59,23.91,4145213.0
2019-11-18,23.57,23.57,22.67,22.98,4286319.0
2019-11-19,22.72,22.92,22.3,22.37,2943771.0
2019-11-20,22.42,23.43,22.19,22.87,3123023.0
2019-11-21,23.05,23.33,22.5,23.22,4423304.0
2019-11-22,23.35,23.61,23.02,23.41,3442035.0
2019-11-25,23.42,23.71,23.15,23.55,4438438.0
2019-11-26,23.5,23.74,22.8,22.89,4699105.0
2019-11-27,22.96,23.41,22.84,23.22,4219268.0
2019-11-29,22.78,23.16,22.25,22.28,3198120.0
2019-12-02,20.0,20.42,18.93,19.54,22790139.0
2019-12-03,19.25,19.3,18.33,18.38,15184773.0
2019-12-04,18.61,19.16,18.5,18.7,10407636.0
2019-12-05,18.78,18.98,18.44,18.58,7503508.0
2019-12-06,18.5,20.17,18.33,19.99,10085709.0
2019-12-09,19.78,20.74,19.54,20.63,8725742.0
2019-12-10,20.61,21.06,20.59,20.93,6271052.0
2019-12-11,20.98,21.48,20.86,21.28,4575367.0
2019-12-12,21.37,22.19,21.33,22.04,6290992.0
2019-12-13,22.18,22.32,21.3,21.35,5355673.0
2019-12-16,21.59,22.37,21.5,22.07,5108169.0
2019-12-17,22.08,22.58,21.95,22.47,4172170.0
2019-12-18,22.43,22.97,22.34,22.74,5604083.0
2019-12-19,22.78,23.11,22.6,22.71,3888618.0
2019-12-20,22.85,22.94,22.36,22.62,10967994.0
2019-12-23,24.08,26.73,23.95,26.53,22715744.0
2019-12-24,26.73,26.81,25.78,26.17,5840970.0
2019-12-26,26.49,26.98,26.19,26.27,4981978.0
2019-12-27,26.37,26.52,26.06,26.12,4094536.0
