date,Open,High,Low,Close,Volume
2019-08-20,88.01,88.01,86.68,86.74,1201862.0
2019-08-21,87.55,88.36,87.35,88.16,1600046.0
2019-08-22,88.65,88.82,87.18,87.85,1018081.0
2019-08-23,87.41,88.74,85.09,85.4,1385896.0
2019-08-26,86.17,86.31,84.85,85.26,1143103.0
2019-08-27,85.82,86.07,84.75,85.04,754164.0
2019-08-28,84.66,85.77,84.08,85.19,894239.0
2019-08-29,86.37,87.85,86.37,87.62,1147520.0
2019-08-30,88.31,88.54,87.23,87.54,883643.0
2019-09-03,86.33,86.68,85.36,85.69,981670.0
2019-09-04,86.73,87.33,86.49,86.7,846388.0
2019-09-05,87.77,89.94,87.77,89.79,1199634.0
2019-09-06,90.0,90.24,88.82,89.32,1027077.0
2019-09-09,89.96,89.97,88.34,88.97,1297831.0
2019-09-10,88.47,89.67,87.76,89.6,1433576.0
2019-09-11,89.96,91.53,89.01,91.5,1124770.0
2019-09-12,91.97,94.19,91.12,93.95,2276120.0
2019-09-13,94.3,95.05,93.92,94.71,2131795.0
2019-09-16,94.44,95.95,94.22,95.05,1830487.0
2019-09-17,94.6,95.23,93.64,95.08,1329253.0
2019-09-18,94.76,94.98,93.08,94.28,1462573.0
2019-09-19,94.33,95.43,94.07,94.24,963096.0
2019-09-20,94.56,94.85,93.64,93.82,1564678.0
2019-09-23,93.18,94.15,92.73,93.64,1169187.0
2019-09-24,94.08,94.58,92.92,93.83,1567088.0
2019-09-25,93.72,96.32,93.36,96.09,1430017.0
2019-09-26,96.1,96.91,95.62,96.4,1498254.0
2019-09-27,96.81,96.81,95.47,95.73,1587344.0
2019-09-30,96.5,96.67,95.81,96.5,988150.0
2019-10-01,97.0,97.67,95.12,95.28,1640340.0
2019-10-02,94.44,94.6,92.8,93.39,1296343.0
2019-10-03,93.55,94.64,92.6,94.62,882548.0
2019-10-04,94.56,96.18,94.56,96.14,873682.0
2019-10-07,95.71,96.36,95.25,95.37,986165.0
2019-10-08,94.57,94.57,92.94,93.18,917298.0
2019-10-09,94.4,95.5,93.74,94.95,1001977.0
2019-10-10,94.91,96.32,94.72,95.51,783022.0
2019-10-11,96.57,98.23,96.57,96.98,1332768.0
2019-10-14,96.89,97.36,96.64,96.91,1278324.0
2019-10-15,97.4,98.85,96.85,98.42,1109500.0
2019-10-16,98.13,98.88,98.08,98.78,1252169.0
2019-10-17,99.0,99.49,98.49,98.64,816044.0
2019-10-18,98.61,99.64,98.5,99.0,1318557.0
2019-10-21,99.7,100.52,99.38,100.41,1369709.0
2019-10-22,99.44,99.98,98.96,99.09,1277907.0
2019-10-23,101.5,101.74,98.4,101.59,2033688.0
2019-10-24,102.0,102.24,101.28,101.79,1193321.0
2019-10-25,101.68,102.0,100.12,100.23,1875474.0
2019-10-28,100.57,101.82,100.28,101.19,1475429.0
2019-10-29,100.5,101.48,100.33,100.98,882560.0
2019-10-30,100.5,100.97,99.27,100.82,1058270.0
2019-10-31,100.56,101.14,99.47,100.33,980069.0
2019-11-01,101.25,102.8,100.83,102.78,1209823.0
2019-11-04,103.0,104.36,102.85,104.2,1096544.0
2019-11-05,104.27,104.84,103.46,104.41,1509966.0
2019-11-06,103.74,104.07,102.27,102.89,1054485.0
2019-11-07,103.87,104.08,102.33,102.53,1031772.0
2019-11-08,102.27,102.85,101.87,102.7,790191.0
2019-11-11,102.03,102.69,101.78,102.17,610144.0
2019-11-12,102.16,102.73,101.19,101.51,851008.0
2019-11-13,101.02,102.11,101.02,101.67,885182.0
2019-11-14,101.54,101.59,100.79,101.1,798639.0
2019-11-15,101.65,102.74,101.53,102.25,1032448.0
2019-11-18,102.37,102.87,101.84,102.45,1429628.0
