date,Open,High,Low,Close,Volume
2019-08-20,149.83,149.83,147.74,147.84,530579.0
2019-08-21,148.33,149.54,147.94,148.55,493879.0
2019-08-22,148.95,149.67,148.15,149.41,315362.0
2019-08-23,148.96,150.6,146.43,146.83,505694.0
2019-08-26,147.83,147.93,145.54,147.24,770759.0
2019-08-27,147.94,148.37,146.18,146.24,558749.0
2019-08-28,146.61,148.03,146.04,147.41,299527.0
2019-08-29,148.19,149.69,147.93,149.38,440074.0
2019-08-30,149.98,150.3,149.04,149.84,728618.0
2019-09-03,149.53,150.52,148.9,149.99,552718.0
2019-09-04,150.91,152.65,150.69,152.59,713669.0
2019-09-05,152.57,152.67,151.47,152.19,615851.0
2019-09-06,152.25,153.72,152.13,153.11,583506.0
2019-09-09,153.39,153.39,151.62,152.55,473333.0
2019-09-10,151.85,151.96,149.66,151.61,521145.0
2019-09-11,151.18,152.8,150.65,152.33,418094.0
2019-09-12,153.55,154.42,152.3,153.38,870845.0
2019-09-13,153.05,154.18,150.95,151.52,513719.0
2019-09-16,151.38,153.27,150.93,153.16,458013.0
2019-09-17,153.39,154.2,152.82,153.92,454261.0
2019-09-18,154.34,154.4,151.65,153.02,783107.0
2019-09-19,153.76,154.87,153.33,154.04,371473.0
2019-09-20,154.57,155.22,153.41,153.44,963606.0
2019-09-23,152.84,154.75,152.83,153.54,529569.0
2019-09-24,153.96,154.6,152.35,153.15,484869.0
2019-09-25,153.06,154.06,152.39,153.52,434722.0
2019-09-26,154.0,155.99,153.44,155.23,491979.0
2019-09-27,154.44,154.87,151.22,153.11,901428.0
2019-09-30,153.02,154.52,152.93,154.04,528895.0
2019-10-01,154.03,154.38,151.41,153.14,441857.0
2019-10-02,152.21,152.51,150.68,151.9,782158.0
2019-10-03,151.98,154.27,151.57,154.14,541729.0
2019-10-04,154.43,155.71,154.24,154.8,882930.0
2019-10-07,154.03,155.61,153.67,154.35,596562.0
2019-10-08,153.91,154.7,152.55,153.1,521674.0
2019-10-09,154.05,154.71,153.12,153.85,346529.0
2019-10-10,154.06,154.62,153.2,154.13,745432.0
2019-10-11,154.81,155.03,153.8,153.97,554530.0
2019-10-14,154.01,154.15,152.79,153.87,449433.0
2019-10-15,153.38,153.62,151.56,153.28,647138.0
2019-10-16,152.98,155.53,152.32,155.27,475263.0
2019-10-17,155.08,155.87,154.73,155.31,644190.0
2019-10-18,155.89,156.22,154.31,156.01,432004.0
2019-10-21,156.03,157.58,155.61,157.55,540358.0
2019-10-22,157.7,158.05,155.94,157.14,547416.0
2019-10-23,157.3,158.03,156.6,157.73,621765.0
2019-10-24,157.95,159.26,156.96,159.16,497268.0
2019-10-25,159.03,159.03,157.84,158.25,488330.0
2019-10-28,158.12,158.88,157.47,158.88,748732.0
2019-10-29,158.39,159.23,155.97,156.31,697546.0
2019-10-30,156.5,159.16,155.91,159.06,1086196.0
2019-10-31,159.74,160.25,157.46,158.75,686401.0
2019-11-01,159.29,159.81,157.14,158.42,618833.0
2019-11-04,158.13,158.49,156.62,157.2,501343.0
2019-11-05,156.73,157.31,154.43,155.08,783814.0
2019-11-06,155.51,156.65,154.56,155.01,516994.0
2019-11-07,154.35,154.86,153.48,153.88,1152907.0
2019-11-08,153.31,153.93,152.69,153.91,641740.0
2019-11-11,153.74,155.46,153.74,155.13,477292.0
2019-11-12,154.9,156.2,154.42,154.73,967097.0
2019-11-13,155.04,157.21,154.86,156.6,671500.0
2019-11-14,156.77,157.77,156.74,157.46,396301.0
2019-11-15,157.55,158.79,157.31,158.76,548794.0
2019-11-18,158.87,159.62,158.83,159.49,387151.0
2019-11-19,159.79,159.79,158.75,159.34,743043.0
2019-11-20,159.38,160.37,158.84,160.03,422043.0
2019-11-21,159.7,159.72,157.97,159.01,650686.0
2019-11-22,159.4,160.46,158.73,159.67,768514.0
2019-11-25,160.29,162.02,160.14,160.81,1020579.0
2019-11-26,160.65,161.5,160.28,161.24,1478663.0
2019-11-27,161.18,162.53,160.54,162.31,448035.0
2019-11-29,162.72,163.51,162.04,162.52,322616.0
2019-12-02,162.4,162.86,159.57,159.61,817133.0
2019-12-03,159.53,161.53,159.53,161.28,527690.0
2019-12-04,160.96,162.79,160.03,160.07,620973.0
2019-12-05,160.05,161.55,159.24,161.07,532288.0
2019-12-06,161.24,163.16,161.21,161.94,543472.0
2019-12-09,161.9,162.65,160.96,162.4,561374.0
2019-12-10,162.4,163.28,161.66,162.04,638477.0
2019-12-11,162.38,162.38,158.45,159.08,623396.0
2019-12-12,159.49,160.39,156.75,156.85,822387.0
2019-12-13,157.04,158.26,155.42,156.47,696648.0
2019-12-16,157.24,157.42,155.15,156.37,880433.0
2019-12-17,156.93,157.09,154.59,154.9,561429.0
2019-12-18,155.29,158.29,155.18,158.14,690303.0
2019-12-19,158.09,159.93,157.76,159.82,524742.0
2019-12-20,160.32,160.63,159.22,159.24,1752956.0
2019-12-23,159.6,159.84,159.12,159.21,1390014.0
2019-12-24,159.46,160.77,158.79,160.1,440441.0
2019-12-26,160.24,160.67,159.51,160.03,388143.0
2019-12-27,160.99,161.26,159.8,160.4,806989.0
2019-12-30,159.33,160.05,159.17,159.67,969806.0
2019-12-31,159.62,161.63,159.21,161.58,582949.0
2020-01-02,161.93,162.42,158.52,159.73,1094942.0
2020-01-03,158.5,161.36,158.5,160.64,371340.0
2020-01-06,160.04,161.58,159.59,161.03,604418.0
2020-01-07,156.49,157.53,154.7,155.76,4546882.0
2020-01-08,156.5,158.0,155.78,157.83,2239287.0
2020-01-09,157.91,158.4,157.03,157.27,1644571.0
2020-01-10,157.59,158.74,156.86,158.57,1155330.0
2020-01-13,159.21,160.97,159.21,160.78,1216275.0
2020-01-14,160.55,160.9,158.59,160.46,1023517.0
2020-01-15,161.15,163.72,160.83,162.29,875722.0
2020-01-16,162.95,164.45,162.84,163.81,673248.0
2020-01-17,164.15,164.36,162.8,162.9,1963376.0
2020-01-21,163.33,165.0,163.1,164.8,1188831.0
2020-01-22,165.1,165.68,162.68,163.28,467394.0
2020-01-23,163.68,165.62,162.59,165.41,491659.0
2020-01-24,165.74,165.74,163.69,164.66,484337.0
2020-01-27,163.63,164.66,163.36,163.79,558109.0
2020-01-28,163.89,165.13,163.42,164.38,518523.0
2020-01-29,164.9,165.45,163.57,164.52,568985.0
2020-01-30,164.0,165.35,163.62,164.48,602961.0
2020-01-31,164.04,164.7,162.54,163.2,560106.0
2020-02-03,163.85,166.0,163.7,164.81,1126687.0
2020-02-04,165.4,169.05,165.4,167.79,814259.0
2020-02-05,168.19,169.11,167.33,167.93,595273.0
2020-02-06,168.51,169.85,167.42,167.84,771731.0
2020-02-07,168.42,168.42,166.86,167.55,931875.0
2020-02-10,168.38,170.57,168.17,170.57,514321.0
2020-02-11,170.99,172.6,170.48,171.65,550819.0
2020-02-12,172.04,174.05,171.36,173.41,778982.0
2020-02-13,173.4,174.8,173.3,173.58,630296.0
2020-02-14,173.8,175.02,173.58,174.93,463583.0
2020-02-18,175.08,175.74,173.27,173.85,477440.0
2020-02-19,173.85,174.0,169.17,169.19,773041.0
2020-02-20,169.0,169.38,168.06,168.72,770356.0
2020-02-21,168.29,168.72,167.24,167.98,916224.0
2020-02-24,166.07,167.47,165.24,166.74,955479.0
2020-02-25,167.02,167.19,163.01,163.65,762982.0
2020-02-26,164.03,165.18,162.88,163.08,945830.0
2020-02-27,161.44,162.73,154.57,154.68,1388656.0
2020-02-28,152.39,153.81,147.83,151.88,1578042.0
2020-03-02,152.89,155.95,151.39,155.58,1201546.0
2020-03-03,156.35,160.33,154.46,157.75,1153665.0
2020-03-04,159.79,163.44,159.33,163.44,1052683.0
2020-03-05,160.76,162.72,158.99,160.94,834552.0
2020-03-06,158.38,159.94,154.48,159.06,934725.0
2020-03-09,153.36,154.41,147.91,148.3,1064159.0
2020-03-10,151.5,157.25,147.97,157.12,1146796.0
2020-03-11,153.39,153.86,150.0,151.39,1048097.0
2020-03-12,141.72,145.67,136.13,136.39,1336931.0
2020-03-13,142.21,148.35,133.45,147.74,2054316.0
2020-03-16,134.33,134.33,121.75,122.31,1603915.0
2020-03-17,125.39,135.5,120.06,135.18,1442295.0
2020-03-18,126.7,134.3,124.03,132.95,1545007.0
2020-03-19,130.94,136.37,128.44,132.0,1116045.0
2020-03-20,133.58,134.65,121.09,123.31,2559950.0
2020-03-23,122.0,122.0,109.22,114.92,1195260.0
2020-03-24,119.66,129.7,117.23,129.51,1061800.0
2020-03-25,128.27,139.75,127.0,133.4,1356654.0
2020-03-26,134.4,142.39,130.8,141.8,2473893.0
2020-03-27,137.16,146.55,135.6,143.47,1533223.0
2020-03-30,143.98,145.74,138.75,144.65,1095425.0
2020-03-31,140.0,142.74,133.02,137.06,1869186.0
2020-04-01,131.67,133.21,127.57,131.24,979455.0
2020-04-02,129.0,132.43,127.42,131.38,1229119.0
2020-04-03,129.41,133.02,128.54,129.99,780937.0
2020-04-06,137.09,141.37,134.7,137.68,999079.0
2020-04-07,143.38,145.78,137.95,138.27,820094.0
2020-04-08,139.81,148.9,137.64,147.44,857472.0
2020-04-09,149.25,158.47,149.25,157.8,1360072.0
2020-04-13,158.1,158.1,144.8,147.35,762459.0
2020-04-14,150.93,156.53,150.76,155.36,618602.0
2020-04-15,152.05,155.2,148.8,152.01,981166.0
2020-04-16,152.29,153.15,150.01,152.07,1010747.0
2020-04-17,154.82,156.32,153.01,155.31,454309.0
2020-04-20,153.5,155.59,150.67,150.99,579335.0
2020-04-21,147.48,150.02,145.59,147.4,657780.0
2020-04-22,150.44,155.09,148.23,150.94,496992.0
2020-04-23,150.9,154.0,147.65,147.96,825683.0
2020-04-24,149.35,151.16,147.87,149.49,542876.0
2020-04-27,151.23,151.89,148.8,150.78,619170.0
2020-04-28,153.0,155.81,151.01,152.17,647423.0
2020-04-29,155.05,157.78,150.56,156.37,788852.0
2020-04-30,154.61,157.64,151.92,157.09,889239.0
2020-05-01,153.48,155.14,149.71,150.99,703949.0
2020-05-04,149.4,150.85,146.95,149.58,435013.0
2020-05-05,150.02,154.64,150.0,152.95,729174.0
2020-05-06,153.3,154.02,150.12,151.17,428059.0
2020-05-07,152.64,154.41,151.05,151.49,572125.0
2020-05-08,154.21,154.9,150.95,152.0,456470.0
2020-05-11,150.95,154.15,149.49,151.8,784742.0
2020-05-12,152.4,152.4,147.26,148.2,988859.0
2020-05-13,147.24,148.63,142.24,143.46,1252854.0
2020-05-14,140.95,143.17,136.52,140.53,1041544.0
2020-05-15,139.02,141.75,137.0,141.43,1804701.0
2020-05-18,146.38,149.8,144.77,145.36,986302.0
2020-05-19,144.57,147.01,144.57,145.31,720471.0
2020-05-20,146.91,148.33,144.5,146.22,860294.0
2020-05-21,145.01,147.8,144.86,145.43,484772.0
2020-05-22,145.11,147.54,145.05,146.99,549274.0
2020-05-26,149.33,151.79,149.28,150.52,683726.0
2020-05-27,152.17,153.33,147.27,151.45,770921.0
2020-05-28,153.27,155.38,151.61,155.14,1038059.0
2020-05-29,153.61,154.76,152.36,153.72,1875456.0
2020-06-01,153.5,155.24,152.57,154.1,616224.0
2020-06-02,155.27,155.27,152.89,154.96,687323.0
2020-06-03,155.17,156.75,154.28,154.72,1204096.0
2020-06-04,152.92,153.6,149.62,151.13,751738.0
2020-06-05,155.75,159.67,154.63,158.59,1126956.0
2020-06-08,161.74,162.44,158.56,160.08,910293.0
2020-06-09,157.82,161.26,156.07,160.09,749989.0
2020-06-10,159.71,160.02,156.64,157.92,813442.0
2020-06-11,152.99,155.59,151.59,152.39,874489.0
2020-06-12,156.66,159.76,153.96,159.27,1166351.0
2020-06-15,155.46,165.76,155.46,165.38,1724736.0
2020-06-16,170.5,173.5,167.1,169.18,1288028.0
2020-06-17,170.35,171.84,167.35,170.93,999859.0
2020-06-18,169.18,171.35,167.11,170.24,3038777.0
2020-06-19,173.12,173.26,165.36,165.84,5600067.0
2020-06-22,166.05,168.99,164.27,168.5,1035679.0
2020-06-23,170.57,170.88,166.7,167.34,790022.0
2020-06-24,165.32,167.71,160.28,163.48,891444.0
2020-06-25,162.9,166.75,161.81,166.6,589156.0
2020-06-26,167.59,167.8,161.11,161.83,976607.0
2020-06-29,162.21,162.21,159.176,161.63,516489.0
2020-06-30,161.97,163.32,161.16,162.25,817477.0
2020-07-01,162.94,166.47,162.76,165.41,656740.0
2020-07-02,168.01,168.44,163.11,165.04,1145910.0
2020-07-06,168.27,168.94,164.26,164.79,584471.0
2020-07-07,161.09,162.62,160.5,160.58,2949616.0
2020-07-08,161.76,162.2,159.49,160.85,1837656.0
2020-07-09,160.68,162.58,158.83,162.25,1513800.0
2020-07-10,162.0,162.92,160.0,160.81,1404492.0
2020-07-13,161.63,163.14,159.86,160.84,584886.0
2020-07-14,160.85,164.0,160.02,163.47,636043.0
2020-07-15,165.56,165.81,162.87,163.73,655899.0
2020-07-16,163.05,164.59,161.69,163.03,600451.0
2020-07-17,163.97,167.27,162.81,166.75,471620.0
2020-07-20,165.99,167.03,164.37,165.27,466694.0
2020-07-21,166.01,166.94,165.21,165.74,573959.0
2020-07-22,164.7,169.63,164.44,168.89,846716.0
2020-07-23,168.18,170.0,166.64,168.52,763727.0
2020-07-24,168.14,169.055,166.82,168.55,589456.0
2020-07-27,167.8,170.63,165.81,170.36,639356.0
2020-07-28,172.24,175.42,170.67,173.79,1030343.0
2020-07-29,174.07,177.64,174.07,176.06,964934.0
2020-07-30,174.54,176.56,173.83,176.13,600069.0
2020-07-31,175.47,177.63,173.415,177.55,840272.0
2020-08-03,176.43,177.24,174.62,176.33,518084.0
2020-08-04,176.35,177.7,175.2,176.49,672630.0
2020-08-05,176.79,177.15,173.44,174.62,615903.0
2020-08-06,173.8,175.54,172.96,174.38,699896.0
2020-08-07,173.92,176.105,173.92,175.65,419854.0
2020-08-10,175.65,176.92,174.27,174.98,704628.0
2020-08-11,176.06,176.575,171.0,172.05,624817.0
2020-08-12,172.57,174.36,172.16,173.3,603262.0
2020-08-13,172.0,174.11,170.5,170.7,391395.0
2020-08-14,170.62,172.16,169.5995,170.22,401519.0
2020-08-17,170.56,174.13,169.84,173.42,551308.0
2020-08-18,173.19,174.19,172.12,173.76,501249.0
2020-08-19,174.0,174.0,171.11,171.42,503427.0
2020-08-20,171.37,173.49,170.95,171.45,344731.0
