date,Open,High,Low,Close,Volume
2019-08-20,111.19,111.21,110.07,110.21,565800.0
2019-08-21,110.15,111.14,109.89,111.08,340900.0
2019-08-22,111.11,111.58,110.27,111.2,485300.0
2019-08-23,110.92,111.17,108.19,108.63,570100.0
2019-08-26,108.65,109.5,108.15,109.25,552800.0
2019-08-27,109.75,109.96,107.79,108.04,1022500.0
2019-08-28,108.1,108.4,107.25,108.28,1275300.0
2019-08-29,108.88,110.06,108.49,109.98,710300.0
2019-08-30,110.28,110.67,109.47,110.23,624900.0
2019-09-03,110.12,111.77,109.68,111.77,1121600.0
2019-09-04,111.9,111.9,110.39,110.96,1000300.0
2019-09-05,110.21,110.4,109.4,109.68,753700.0
2019-09-06,110.07,110.24,108.51,109.09,688600.0
2019-09-09,108.4,108.7,107.48,107.74,925500.0
2019-09-10,107.95,108.8,107.14,108.8,657900.0
2019-09-11,108.83,110.16,108.34,109.57,984600.0
2019-09-12,110.53,110.92,109.34,109.44,651400.0
2019-09-13,108.77,109.97,108.71,109.73,488500.0
2019-09-16,110.05,110.21,109.39,110.11,345900.0
2019-09-17,110.14,111.35,109.21,110.96,762100.0
2019-09-18,111.44,112.43,111.36,111.8,900900.0
2019-09-19,112.4,112.66,111.74,112.28,411900.0
2019-09-20,112.7,113.31,112.09,112.98,1216100.0
2019-09-23,112.9,113.41,112.55,112.59,524900.0
2019-09-24,112.96,114.7,112.85,114.29,974800.0
2019-09-25,114.13,115.19,113.63,114.42,1300300.0
2019-09-26,114.67,115.09,114.21,114.65,724000.0
2019-09-27,114.3,114.88,113.26,114.05,748600.0
2019-09-30,114.1,114.58,113.66,113.89,660000.0
2019-10-01,113.72,114.19,112.94,112.98,760600.0
2019-10-02,112.79,113.0,111.17,111.5,557800.0
2019-10-03,111.54,111.88,110.82,111.79,509200.0
2019-10-04,112.1,113.18,111.51,113.14,413400.0
2019-10-07,112.77,113.06,112.1,112.69,419700.0
2019-10-08,112.59,112.59,111.2,111.24,440800.0
2019-10-09,111.55,111.65,110.9,111.32,615700.0
2019-10-10,111.04,111.58,110.41,110.85,615400.0
2019-10-11,111.06,112.02,110.51,111.36,444000.0
2019-10-14,112.37,112.42,111.07,111.36,719200.0
2019-10-15,111.04,111.69,109.82,109.99,693100.0
2019-10-16,109.9,111.11,109.16,111.11,1272400.0
2019-10-17,110.96,112.05,110.6,111.84,548600.0
2019-10-18,111.2,111.91,110.68,111.6,732100.0
2019-10-21,111.6,111.95,111.06,111.88,615500.0
2019-10-22,112.12,112.93,112.11,112.33,497300.0
2019-10-23,112.42,113.22,112.24,113.01,529100.0
2019-10-24,112.92,113.62,112.71,113.42,447700.0
2019-10-25,113.62,113.65,111.66,112.3,455700.0
2019-10-28,112.02,112.37,110.86,110.94,571300.0
2019-10-29,111.1,111.56,110.46,111.56,1206000.0
2019-10-30,111.31,112.42,110.94,112.33,536800.0
2019-10-31,112.45,112.83,111.75,112.48,917300.0
2019-11-01,112.34,112.82,111.31,111.7,508000.0
2019-11-04,111.55,111.8,109.07,109.49,827300.0
2019-11-05,109.03,109.23,107.57,107.92,1032900.0
2019-11-06,108.05,109.13,107.78,108.77,786800.0
2019-11-07,108.56,109.73,107.11,108.18,1216600.0
2019-11-08,107.77,108.53,106.8,107.32,953400.0
2019-11-11,107.47,107.74,106.76,107.51,520300.0
2019-11-12,107.45,107.53,106.72,107.0,841100.0
2019-11-13,107.21,109.57,106.89,109.12,874400.0
2019-11-14,109.49,109.86,108.85,109.57,789400.0
2019-11-15,109.58,109.75,109.21,109.49,727200.0
2019-11-18,109.57,110.64,109.05,109.29,963100.0
2019-11-19,109.33,109.56,108.62,108.64,662300.0
2019-11-20,108.38,108.93,108.21,108.79,557000.0
2019-11-21,108.85,108.86,107.42,108.04,671500.0
2019-11-22,107.41,107.72,106.39,107.32,651900.0
