date,Open,High,Low,Close,Volume
2019-08-20,47.67,49.04,47.5,48.8,5863315.0
2019-08-21,49.1,49.54,48.71,49.04,4001823.0
2019-08-22,49.29,49.29,48.33,49.08,4002846.0
2019-08-23,48.6,49.38,47.16,47.33,7126115.0
2019-08-26,47.99,48.7,47.53,48.69,5200812.0
2019-08-27,50.5,52.22,49.9606,51.09,18226103.0
2019-08-28,50.63,50.935,49.54,50.21,7084553.0
2019-08-29,51.0,51.43,50.26,50.96,6268704.0
2019-08-30,51.29,51.405,50.17,50.6,5891610.0
2019-09-03,50.48,51.57,50.43,51.06,6268898.0
2019-09-04,52.06,53.61,52.01,53.5,9989393.0
2019-09-05,55.15,56.5966,53.77,54.58,11780719.0
2019-09-06,54.67,55.01,54.26,54.58,7034027.0
2019-09-09,55.25,55.55,54.2,55.19,9138653.0
2019-09-10,54.75,56.1473,54.28,56.03,8427626.0
2019-09-11,56.54,56.77,54.41,54.91,9687337.0
2019-09-12,56.46,57.52,55.14,55.45,10921157.0
2019-09-13,55.64,56.02,55.315,55.95,6401832.0
2019-09-16,55.18,55.94,55.17,55.78,6471327.0
2019-09-17,55.5,55.72,54.77,55.35,6980832.0
2019-09-18,55.21,55.23,54.13,55.12,5453088.0
2019-09-19,55.43,55.56,54.71,55.01,4569363.0
2019-09-20,55.04,55.48,54.52,54.76,7505581.0
2019-09-23,54.47,54.74,53.67,54.18,4539727.0
2019-09-24,54.61,54.63,53.4125,53.96,8340328.0
2019-09-25,53.89,55.04,53.58,54.94,5196544.0
2019-09-26,54.72,55.07,54.16,54.22,6575900.0
2019-09-27,54.21,54.72,52.05,52.33,7801124.0
2019-09-30,52.6,52.995,52.31,52.92,7438370.0
2019-10-01,53.34,53.55,52.24,52.9,9247348.0
2019-10-02,51.9,52.54,50.25,52.25,13592895.0
2019-10-03,52.19,54.77,52.07,54.07,14694844.0
2019-10-04,54.75,55.49,54.55,55.44,8782953.0
2019-10-07,55.06,55.89,54.56,55.41,6623619.0
2019-10-08,54.75,55.3,54.1,54.13,7335792.0
2019-10-09,53.76,54.75,53.2,53.43,9079005.0
2019-10-10,52.93,53.84,51.45,53.69,8790451.0
2019-10-11,54.35,55.38,54.15,54.82,8632567.0
2019-10-14,54.35,55.2,54.01,55.01,5969793.0
2019-10-15,55.15,55.6,54.16,55.56,6878469.0
2019-10-16,55.4,55.9398,55.14,55.59,5764574.0
2019-10-17,56.0,56.46,55.51,55.59,5995260.0
2019-10-18,55.66,55.688,53.38,54.54,8349509.0
2019-10-21,55.25,55.82,54.725,55.51,5925298.0
2019-10-22,55.67,55.72,54.49,54.52,4491840.0
2019-10-23,54.56,55.33,54.35,54.8,3368286.0
2019-10-24,55.18,55.735,54.62,55.44,5700614.0
2019-10-25,56.21,56.275,55.02,55.26,6320240.0
2019-10-28,55.99,56.18,54.21,54.56,7475524.0
2019-10-29,54.47,54.63,53.62,54.0,5680034.0
2019-10-30,55.25,55.95,54.405,55.87,8537516.0
2019-10-31,55.93,56.07,54.74,56.03,6621587.0
2019-11-01,56.21,57.43,55.46,55.82,10202913.0
2019-11-04,55.56,56.01,54.17,55.71,10345268.0
2019-11-05,55.8,56.27,55.01,55.54,5036329.0
2019-11-06,55.78,56.59,55.47,56.36,6239442.0
2019-11-07,56.75,56.82,54.3546,54.55,12512265.0
2019-11-08,53.5,54.84,52.65,54.3,15899887.0
