date,Open,High,Low,Close,Volume
2019-08-20,208.26,209.13,206.17,206.54,634577.0
2019-08-21,207.09,208.74,206.31,207.95,422047.0
2019-08-22,208.25,209.32,206.96,208.88,347717.0
2019-08-23,208.63,209.99,205.51,206.16,602701.0
2019-08-26,207.17,208.85,206.08,208.71,381947.0
2019-08-27,209.86,210.86,208.05,208.08,670479.0
2019-08-28,208.18,209.7,208.08,209.45,382422.0
2019-08-29,210.57,212.22,209.7,211.97,560860.0
2019-08-30,213.12,213.14,211.1,212.56,502083.0
2019-09-03,211.92,214.57,211.92,214.09,505169.0
2019-09-04,215.47,216.8,214.75,216.16,720097.0
2019-09-05,215.49,216.24,213.87,214.71,594911.0
2019-09-06,214.95,216.56,214.84,215.75,694528.0
2019-09-09,215.53,215.53,213.09,213.88,601234.0
2019-09-10,213.0,213.0,208.21,210.25,698217.0
2019-09-11,209.74,209.89,207.0,209.72,679770.0
2019-09-12,211.82,213.0,208.5,209.53,776835.0
2019-09-13,208.65,209.6,205.48,207.11,733287.0
2019-09-16,208.24,210.38,206.67,209.9,560982.0
2019-09-17,210.54,212.54,210.43,211.51,470704.0
2019-09-18,212.03,212.36,210.01,211.31,359878.0
2019-09-19,211.83,212.43,210.2,210.76,346980.0
2019-09-20,211.0,211.25,209.05,209.06,997097.0
2019-09-23,208.0,211.33,208.0,210.44,465626.0
2019-09-24,211.0,212.73,210.28,211.37,554180.0
2019-09-25,211.38,213.77,211.33,212.74,1531873.0
2019-09-26,213.8,216.13,213.28,215.58,963321.0
2019-09-27,214.38,215.31,212.82,214.27,689629.0
2019-09-30,213.98,216.33,213.85,215.33,907794.0
2019-10-01,214.73,215.48,212.12,214.0,724357.0
2019-10-02,213.71,215.16,212.13,215.0,887536.0
2019-10-03,214.58,218.44,214.58,217.97,876884.0
2019-10-04,218.19,219.17,217.24,219.0,674298.0
2019-10-07,218.97,219.52,217.4,219.2,517032.0
2019-10-08,218.05,219.42,215.52,217.73,831291.0
2019-10-09,218.07,219.71,217.61,218.75,599688.0
2019-10-10,218.6,219.6,216.54,218.68,474791.0
2019-10-11,218.97,219.07,216.69,218.08,410931.0
2019-10-14,218.01,218.18,216.8,218.08,391918.0
2019-10-15,218.2,218.77,215.6,217.37,658556.0
2019-10-16,217.51,219.33,215.89,219.21,585552.0
2019-10-17,218.94,220.12,218.7,219.08,516710.0
2019-10-18,219.33,220.4,218.24,220.17,573272.0
2019-10-21,220.23,222.04,219.09,222.04,762654.0
2019-10-22,222.52,222.87,220.83,221.83,765655.0
2019-10-23,222.12,222.14,219.2,221.53,554194.0
2019-10-24,221.28,222.07,219.48,220.24,407084.0
2019-10-25,219.74,220.83,218.85,219.41,522212.0
2019-10-28,219.42,219.42,216.39,216.99,1122418.0
2019-10-29,216.7,216.7,214.06,215.31,1830460.0
2019-10-30,216.11,219.06,214.78,218.98,984967.0
2019-10-31,219.19,220.56,217.27,217.66,838446.0
2019-11-01,217.99,219.41,214.52,217.24,916652.0
2019-11-04,216.65,216.65,212.97,214.24,766580.0
2019-11-05,213.43,213.43,208.59,210.66,1132326.0
2019-11-06,211.28,213.07,211.27,212.29,597188.0
2019-11-07,211.59,211.59,207.31,209.14,667524.0
2019-11-08,209.2,210.97,208.62,209.85,449827.0
2019-11-11,209.48,211.26,209.48,210.48,358928.0
2019-11-12,210.62,212.48,208.63,208.99,559567.0
2019-11-13,209.67,212.56,208.74,211.59,475566.0
2019-11-14,212.12,213.15,211.53,212.62,471470.0
2019-11-15,212.65,214.53,212.12,214.53,530865.0
2019-11-18,215.12,216.82,214.8,215.27,335387.0
2019-11-19,216.6,217.61,215.2,217.06,421573.0
2019-11-20,217.58,218.22,215.97,216.36,432178.0
2019-11-21,215.86,215.86,212.43,212.69,349485.0
2019-11-22,212.86,213.73,210.53,211.28,397136.0
2019-11-25,212.11,213.95,211.49,212.15,583592.0
2019-11-26,212.51,215.61,212.16,215.61,1033955.0
2019-11-27,215.61,215.63,214.0,215.57,556319.0
2019-11-29,215.27,217.21,213.9,214.41,292488.0
2019-12-02,214.42,214.94,210.96,211.2,578270.0
2019-12-03,210.95,213.78,210.5,213.5,767289.0
2019-12-04,212.75,215.88,212.75,215.32,618217.0
2019-12-05,214.65,216.07,213.57,215.91,699592.0
2019-12-06,215.96,216.67,214.82,215.94,468697.0
2019-12-09,216.16,216.16,213.98,215.91,370441.0
2019-12-10,215.91,216.84,213.32,215.28,388853.0
2019-12-11,215.57,215.98,211.56,212.07,398312.0
2019-12-12,211.72,212.8,208.13,209.16,763345.0
2019-12-13,209.33,210.83,206.29,208.64,599122.0
2019-12-16,208.73,209.96,207.04,209.37,723158.0
2019-12-17,209.56,210.0,206.3,206.64,561903.0
2019-12-18,207.6,208.22,206.08,207.47,669098.0
2019-12-19,207.66,208.82,207.15,207.74,798161.0
2019-12-20,208.05,209.4,207.66,208.01,1481418.0
2019-12-23,208.96,209.08,206.66,207.09,413015.0
2019-12-24,207.52,208.21,206.74,207.94,112654.0
2019-12-26,208.49,208.89,207.09,208.32,275625.0
2019-12-27,209.31,209.86,207.93,208.84,356670.0
2019-12-30,206.66,208.71,206.51,207.62,492228.0
2019-12-31,207.47,209.73,207.19,209.7,575972.0
2020-01-02,210.46,210.91,206.07,207.24,817428.0
2020-01-03,206.38,209.57,206.31,209.23,672070.0
2020-01-06,209.06,209.87,208.24,209.58,601613.0
2020-01-07,208.19,208.58,204.78,205.02,850460.0
2020-01-08,205.29,206.83,204.56,205.87,872346.0
2020-01-09,205.48,206.88,204.91,206.35,738816.0
2020-01-10,206.78,208.87,206.26,208.45,736074.0
2020-01-13,208.23,211.03,208.23,211.02,490241.0
2020-01-14,210.21,210.21,207.83,209.51,550572.0
2020-01-15,211.6,212.45,210.53,211.9,796635.0
2020-01-16,212.2,214.94,211.34,214.89,545238.0
2020-01-17,215.26,216.85,214.66,216.07,1213303.0
2020-01-21,216.42,219.41,216.29,219.3,730051.0
2020-01-22,219.85,220.7,215.81,216.64,718906.0
2020-01-23,216.86,218.71,216.01,218.49,554338.0
2020-01-24,218.83,219.4,217.66,219.33,566881.0
2020-01-27,218.44,219.42,217.14,218.86,786479.0
2020-01-28,218.65,220.88,218.04,219.27,516191.0
2020-01-29,220.03,220.03,216.3,216.62,734359.0
2020-01-30,215.99,218.35,215.3564,218.01,536452.0
2020-01-31,217.94,219.13,216.04,216.69,609604.0
2020-02-03,217.32,218.69,216.1,216.69,499859.0
2020-02-04,216.94,219.67,216.19,218.77,655671.0
2020-02-05,218.63,219.77,217.445,217.61,464451.0
2020-02-06,217.61,219.27,215.68,219.13,568951.0
2020-02-07,219.76,220.12,218.05,219.17,471490.0
2020-02-10,220.99,221.75,219.11,221.75,884744.0
2020-02-11,221.5,223.91,221.37,222.88,814664.0
2020-02-12,222.82,225.22,222.32,224.39,851546.0
2020-02-13,224.0,226.32,224.0,225.59,730546.0
2020-02-14,226.18,228.01,225.67,227.53,456885.0
2020-02-18,228.06,228.22,225.82,228.07,443542.0
2020-02-19,228.54,229.4,225.74,225.8,692433.0
2020-02-20,225.51,227.19,225.02,227.15,779213.0
2020-02-21,226.95,229.06,226.89,228.02,811841.0
2020-02-24,226.58,229.09,224.5,225.79,726725.0
2020-02-25,226.68,227.41,220.98,221.41,855862.0
2020-02-26,221.91,223.22,220.24,221.22,907519.0
2020-02-27,218.83,219.85,207.51,207.67,1120874.0
2020-02-28,204.17,204.33,195.57,200.59,1702857.0
2020-03-02,201.76,209.67,199.81,209.67,1275719.0
2020-03-03,209.67,216.57,207.38,208.73,1099227.0
2020-03-04,211.71,218.03,210.82,217.72,990229.0
2020-03-05,214.75,216.47,210.73,213.31,801391.0
2020-03-06,208.47,210.11,202.86,209.06,918968.0
2020-03-09,200.49,203.61,197.17,197.17,1306028.0
2020-03-10,201.43,209.0,195.99,208.84,1354370.0
2020-03-11,203.22,203.25,195.0,195.85,1101577.0
2020-03-12,182.25,196.65,179.12,181.98,1766878.0
2020-03-13,189.9,193.93,179.15,193.16,1343468.0
2020-03-16,175.84,178.25,163.47,163.47,1462995.0
2020-03-17,167.25,182.42,162.06,181.59,1992224.0
