date,Open,High,Low,Close,Volume
2019-08-20,115.31,115.75,114.01,114.09,390600.0
2019-08-21,114.75,116.06,114.42,114.97,293100.0
2019-08-22,115.28,115.75,114.24,114.95,328200.0
2019-08-23,114.5,114.68,110.13,110.72,668000.0
2019-08-26,111.7,112.2,110.76,111.69,338300.0
2019-08-27,112.14,113.33,112.11,112.92,524700.0
2019-08-28,112.76,113.74,111.85,113.69,312100.0
2019-08-29,114.94,115.36,114.29,115.0,290500.0
2019-08-30,116.02,116.44,114.7,115.57,524900.0
2019-09-03,114.18,115.08,112.06,112.66,373700.0
2019-09-04,113.47,114.49,113.34,114.35,279900.0
2019-09-05,115.19,115.84,113.84,113.93,481700.0
2019-09-06,114.54,114.89,114.17,114.19,426700.0
2019-09-09,114.94,115.15,112.87,113.42,280400.0
2019-09-10,113.39,113.69,112.05,113.69,518700.0
2019-09-11,113.88,114.22,112.72,113.0,541100.0
2019-09-12,113.2,114.29,112.63,113.0,947800.0
2019-09-13,115.78,117.62,114.52,116.55,827100.0
2019-09-16,115.24,115.24,111.78,112.94,564300.0
2019-09-17,112.66,114.97,112.05,114.7,508000.0
2019-09-18,114.5,114.52,113.06,114.42,348800.0
2019-09-19,113.88,114.53,112.81,114.07,495600.0
2019-09-20,114.32,114.96,112.74,112.82,754500.0
2019-09-23,112.55,114.11,111.44,113.2,349600.0
2019-09-24,113.92,114.51,111.98,112.33,453100.0
2019-09-25,112.45,113.01,111.05,112.26,369300.0
2019-09-26,112.51,113.13,111.58,112.56,316900.0
2019-09-27,113.52,113.58,111.89,112.82,249800.0
2019-09-30,113.06,113.99,112.87,113.57,291800.0
2019-10-01,114.25,114.67,111.18,111.66,351400.0
2019-10-02,110.75,111.22,108.55,109.41,422000.0
2019-10-03,109.0,109.57,107.08,109.45,386500.0
2019-10-04,109.8,111.83,109.78,111.36,470400.0
2019-10-07,111.02,112.3,110.74,111.17,443400.0
2019-10-08,109.94,110.15,108.27,108.9,401000.0
2019-10-09,110.31,111.02,109.39,110.51,297700.0
2019-10-10,110.19,111.66,110.14,111.3,255400.0
2019-10-11,112.81,115.11,112.81,113.37,336000.0
2019-10-14,113.29,113.47,112.52,112.9,289000.0
2019-10-15,113.67,114.12,113.23,113.62,336400.0
2019-10-16,114.04,115.04,113.32,114.08,617700.0
2019-10-17,114.25,116.31,114.25,115.35,447700.0
2019-10-18,115.01,117.4,114.72,116.89,502000.0
2019-10-21,117.88,119.1,117.0,118.5,643200.0
2019-10-22,118.63,119.28,117.7,118.43,641000.0
2019-10-23,121.98,130.61,120.54,126.14,1909700.0
2019-10-24,124.66,127.01,123.85,126.2,815900.0
2019-10-25,126.34,127.56,125.42,126.8,744800.0
2019-10-28,127.22,128.67,126.81,127.49,634300.0
2019-10-29,127.26,129.26,126.57,129.18,701300.0
2019-10-30,128.6,129.27,126.55,129.01,533400.0
2019-10-31,129.02,129.36,126.83,127.86,635700.0
2019-11-01,128.91,129.69,128.6,129.4,323900.0
2019-11-04,130.0,130.96,129.06,130.65,451100.0
2019-11-05,131.1,133.36,130.8,133.31,675800.0
2019-11-06,133.0,133.0,130.82,132.02,631100.0
2019-11-07,132.19,132.86,131.72,132.67,622700.0
2019-11-08,132.66,133.88,132.01,133.83,412100.0
2019-11-11,132.8,134.56,132.52,133.46,438300.0
2019-11-12,133.46,134.24,132.96,133.89,415000.0
2019-11-13,133.69,133.79,131.62,132.22,526200.0
2019-11-14,131.68,132.26,130.54,131.85,347700.0
2019-11-15,132.35,132.71,131.6,132.08,297000.0
2019-11-18,131.85,131.9,130.7,131.12,437600.0
2019-11-19,131.44,132.24,130.63,131.54,610300.0
2019-11-20,131.38,133.76,131.21,131.77,535300.0
2019-11-21,132.1,132.26,130.67,131.52,397100.0
2019-11-22,131.69,132.45,129.07,129.26,491400.0
2019-11-25,129.32,130.45,128.46,129.25,761600.0
2019-11-26,129.03,130.74,127.88,130.74,1098600.0
2019-11-27,131.06,131.18,129.82,130.81,1085400.0
2019-11-29,130.71,131.02,130.03,130.37,201300.0
2019-12-02,130.84,131.5,128.65,128.75,711400.0
2019-12-03,127.04,129.27,125.85,128.77,609700.0
2019-12-04,129.09,130.98,128.28,128.53,577000.0
2019-12-05,129.05,130.14,128.38,129.9,538600.0
2019-12-06,131.01,131.87,129.68,130.14,390200.0
2019-12-09,130.14,130.65,129.71,130.09,357700.0
2019-12-10,129.84,130.14,129.26,129.77,491800.0
2019-12-11,129.85,130.49,128.81,129.81,374900.0
2019-12-12,129.8,131.12,129.24,129.62,491000.0
2019-12-13,130.08,130.41,128.82,129.99,421900.0
2019-12-16,131.0,131.31,130.0,130.81,365700.0
2019-12-17,130.82,131.69,130.51,130.66,450300.0
2019-12-18,130.38,130.62,128.69,130.19,500800.0
2019-12-19,130.65,132.13,130.65,131.95,581000.0
