date,Open,High,Low,Close,Volume
2019-08-20,124.17,124.38,123.24,123.61,710212.0
2019-08-21,123.28,124.14,122.95,124.05,679272.0
2019-08-22,124.06,125.04,123.2,124.7,729747.0
2019-08-23,124.35,125.89,122.24,122.81,1012979.0
2019-08-26,123.34,124.8,123.0,124.75,451100.0
2019-08-27,125.17,126.11,124.92,125.1,911689.0
2019-08-28,125.6,126.79,125.26,126.04,995751.0
2019-08-29,126.65,126.95,125.48,126.9,663833.0
2019-08-30,127.17,127.8,126.5,127.32,790173.0
2019-09-03,128.36,129.6,127.34,129.5,1095987.0
2019-09-04,129.32,129.89,127.7,128.75,1064854.0
2019-09-05,127.7,128.28,125.55,126.53,1293861.0
2019-09-06,126.62,127.69,124.92,125.7,1148851.0
2019-09-09,125.09,125.36,121.8,122.36,1436162.0
2019-09-10,121.69,121.93,119.38,120.83,1221948.0
2019-09-11,120.65,122.23,119.5,121.25,1159657.0
2019-09-12,122.46,123.31,121.37,121.76,1267400.0
2019-09-13,121.5,121.99,120.71,121.22,1052337.0
2019-09-16,121.8,121.8,120.41,120.98,691789.0
2019-09-17,121.09,122.23,120.99,121.76,1055634.0
2019-09-18,122.62,122.62,120.85,121.52,1382437.0
2019-09-19,122.29,122.71,120.77,122.38,1263036.0
2019-09-20,122.0,123.61,121.65,122.83,1925639.0
2019-09-23,122.99,124.07,122.5,122.58,1143165.0
2019-09-24,123.06,125.3,122.94,124.87,1538822.0
2019-09-25,124.6,125.83,123.87,124.57,1065316.0
2019-09-26,125.06,125.58,124.21,125.13,971309.0
2019-09-27,125.15,125.49,123.8,124.24,885815.0
2019-09-30,124.54,125.21,123.81,124.23,1404247.0
2019-10-01,123.72,124.27,123.08,123.86,973575.0
2019-10-02,123.12,124.4,122.76,123.15,924161.0
2019-10-03,123.51,124.01,122.91,123.73,1209944.0
2019-10-04,124.08,125.96,123.74,125.78,841299.0
2019-10-07,125.68,125.91,124.2,124.57,756869.0
2019-10-08,124.61,124.73,123.51,123.88,574736.0
2019-10-09,124.27,125.22,124.22,124.87,522893.0
2019-10-10,124.44,125.45,123.86,125.05,617597.0
2019-10-11,124.86,125.14,123.0,123.69,887805.0
2019-10-14,123.7,123.75,121.59,121.73,843075.0
2019-10-15,122.03,122.43,120.39,120.8,889593.0
2019-10-16,121.0,121.67,120.16,121.63,1081577.0
2019-10-17,121.33,122.74,121.33,122.42,751718.0
2019-10-18,122.51,122.83,121.75,122.41,1099119.0
2019-10-21,122.1,122.4,120.81,122.3,1224525.0
2019-10-22,122.56,123.71,122.08,122.39,838692.0
2019-10-23,122.46,123.69,121.77,121.94,758953.0
2019-10-24,121.9,123.22,121.45,122.31,656850.0
2019-10-25,122.58,123.09,120.48,121.11,515732.0
2019-10-28,121.2,121.53,119.4,119.56,690116.0
2019-10-29,119.34,120.03,118.66,119.59,965849.0
2019-10-30,120.26,121.33,119.7,120.97,780055.0
2019-10-31,122.38,123.49,121.24,123.27,1264811.0
2019-11-01,123.4,124.17,122.44,122.78,1028000.0
2019-11-04,122.24,122.55,119.83,120.05,1189398.0
2019-11-05,119.62,120.26,118.76,120.09,1483702.0
2019-11-06,120.61,122.06,120.32,121.59,1165589.0
2019-11-07,120.47,121.23,117.64,118.15,1331327.0
2019-11-08,117.64,118.18,115.9,116.3,1114353.0
2019-11-11,116.58,117.2,115.55,115.59,750365.0
2019-11-12,115.39,116.33,114.96,115.38,748064.0
2019-11-13,116.06,117.17,115.24,116.93,841704.0
2019-11-14,117.39,118.74,116.78,117.85,580480.0
2019-11-15,117.98,118.31,116.79,118.24,720712.0
2019-11-18,118.63,119.92,118.2,118.68,750701.0
2019-11-19,118.24,119.64,117.73,119.13,958842.0
2019-11-20,119.15,120.69,119.11,120.57,1549115.0
2019-11-21,120.78,120.8,119.15,119.34,913643.0
2019-11-22,119.65,119.73,118.09,119.04,1118837.0
2019-11-25,118.98,119.78,118.31,119.31,653357.0
2019-11-26,119.56,121.06,119.34,121.03,1107648.0
2019-11-27,120.96,121.7,120.78,121.27,822249.0
2019-11-29,121.49,122.47,120.94,121.03,458199.0
2019-12-02,120.94,121.29,120.09,120.3,762692.0
2019-12-03,120.77,121.67,120.44,121.19,773110.0
2019-12-04,120.65,122.61,120.44,122.49,900480.0
2019-12-05,121.9,123.38,121.9,123.38,790346.0
2019-12-06,123.13,123.67,122.61,122.67,655030.0
2019-12-09,123.03,123.3,122.23,122.48,537392.0
2019-12-10,122.64,123.33,122.13,122.35,767188.0
2019-12-11,120.0,120.97,119.0,120.9,1113536.0
2019-12-12,120.6,120.78,117.97,118.43,1249165.0
2019-12-13,118.04,119.58,117.34,119.2,1023918.0
2019-12-16,119.43,120.96,118.93,120.9,1020519.0
2019-12-17,121.42,121.75,120.71,120.9,1091730.0
2019-12-18,120.88,121.55,119.85,121.23,1115579.0
2019-12-19,121.39,122.09,120.77,121.66,1111331.0
2019-12-20,122.59,123.56,121.67,122.72,1914646.0
2019-12-23,122.83,123.11,120.67,121.39,1073122.0
2019-12-24,121.1,122.02,120.78,121.62,243419.0
2019-12-26,121.5,122.29,121.41,121.88,309552.0
2019-12-27,122.06,122.97,121.81,122.96,575489.0
2019-12-30,122.59,123.29,122.52,123.05,737807.0
2019-12-31,123.25,123.82,122.34,122.85,766813.0
2020-01-02,123.0,123.16,119.58,120.2,1618937.0
2020-01-03,120.44,122.12,120.44,120.98,869300.0
2020-01-06,120.99,121.75,120.49,120.75,765815.0
2020-01-07,120.43,120.97,119.91,120.0,841106.0
2020-01-08,119.55,121.19,119.23,120.49,1096688.0
2020-01-09,120.49,122.22,120.15,122.13,803598.0
2020-01-10,122.2,122.74,122.15,122.56,754688.0
2020-01-13,122.77,124.03,122.77,123.74,961796.0
2020-01-14,124.0,124.57,123.51,124.57,886141.0
2020-01-15,125.0,127.03,124.88,126.88,912644.0
2020-01-16,127.0,128.73,126.83,128.57,984228.0
2020-01-17,128.83,130.59,128.81,130.44,1338428.0
2020-01-21,130.49,133.4,130.2,133.22,1666703.0
2020-01-22,133.8,134.81,133.27,134.05,1255013.0
2020-01-23,134.03,135.53,133.81,135.29,933307.0
2020-01-24,135.29,136.41,135.2,135.78,813775.0
2020-01-27,136.0,136.83,134.93,135.25,703430.0
2020-01-28,135.53,136.39,135.07,135.8,904195.0
2020-01-29,136.0,136.41,135.28,136.04,608379.0
2020-01-30,135.82,137.12,135.6,136.77,922652.0
2020-01-31,136.91,137.73,135.44,136.2,1300528.0
2020-02-03,136.33,136.95,136.15,136.52,1253809.0
2020-02-04,135.95,136.81,134.82,134.84,1192990.0
2020-02-05,134.56,135.67,134.09,135.07,923332.0
2020-02-06,134.62,135.29,134.17,135.0,669042.0
2020-02-07,135.88,136.13,134.39,134.45,938211.0
2020-02-10,134.71,135.55,134.45,135.21,1399955.0
2020-02-11,135.53,135.99,135.1,135.34,746785.0
2020-02-12,134.52,136.11,134.5,135.7,996011.0
2020-02-13,135.7,137.23,135.55,136.95,814155.0
2020-02-14,137.52,139.65,137.01,139.32,1091278.0
2020-02-18,140.34,140.57,139.26,139.26,1478401.0
2020-02-19,139.07,141.37,138.24,138.7,1288652.0
2020-02-20,138.32,138.67,136.5,137.3,1022410.0
2020-02-21,137.41,138.14,137.12,137.77,1222247.0
2020-02-24,136.85,137.75,135.95,136.53,1219398.0
2020-02-25,136.71,136.85,132.77,133.09,1056520.0
2020-02-26,132.95,134.93,132.59,133.04,1118590.0
2020-02-27,132.77,134.39,127.72,127.78,1277672.0
2020-02-28,124.11,125.8,120.62,123.66,3988783.0
2020-03-02,124.33,130.94,124.08,130.84,1860395.0
2020-03-03,131.22,134.75,130.6,131.42,1639241.0
2020-03-04,133.07,140.33,133.07,140.31,1528740.0
2020-03-05,138.52,140.49,136.7,139.36,1218410.0
2020-03-06,136.01,141.7,134.63,141.0,1492780.0
2020-03-09,133.15,139.78,132.65,137.19,2322247.0
2020-03-10,138.15,140.75,131.3,137.71,2185434.0
2020-03-11,135.35,136.63,128.28,129.67,2157057.0
2020-03-12,122.21,127.45,114.28,117.97,2493803.0
2020-03-13,121.36,128.33,116.54,128.29,1667010.0
2020-03-16,115.5,132.36,115.35,118.81,2367643.0
2020-03-17,121.33,140.29,120.5,138.5,2364383.0
2020-03-18,129.61,133.22,122.63,130.08,2512549.0
2020-03-19,129.0,130.26,114.06,115.12,2391727.0
2020-03-20,115.12,115.12,98.25,100.69,3440997.0
2020-03-23,100.38,100.38,92.0,97.07,2780908.0
2020-03-24,100.71,105.28,96.63,103.95,2167270.0
2020-03-25,103.77,114.27,101.35,110.45,1756911.0
2020-03-26,108.53,121.87,108.53,119.32,1634065.0
2020-03-27,116.77,125.03,115.0,120.77,1169885.0
2020-03-30,122.86,127.27,121.87,126.72,1584248.0
2020-03-31,124.92,126.5,117.19,119.56,2831027.0
2020-04-01,115.0,117.99,110.56,112.8,1355675.0
2020-04-02,111.54,118.45,110.95,117.64,944839.0
2020-04-03,118.39,118.8,112.6,113.32,1186864.0
2020-04-06,116.2,123.3,116.2,121.52,1224039.0
2020-04-07,124.0,124.95,116.82,118.27,1261413.0
2020-04-08,119.26,126.33,117.65,125.35,952815.0
2020-04-09,126.38,132.87,125.6,131.75,1177288.0
2020-04-13,129.79,130.48,125.41,127.24,764852.0
2020-04-14,131.1,133.72,129.51,133.61,904395.0
2020-04-15,131.39,132.77,128.92,129.21,922143.0
2020-04-16,131.87,132.74,129.59,131.24,915486.0
2020-04-17,132.68,133.0,128.56,131.76,1189451.0
2020-04-20,131.75,132.43,125.87,126.46,773340.0
2020-04-21,125.2,127.6,123.78,125.43,1075366.0
2020-04-22,127.92,129.8,126.59,127.89,739858.0
2020-04-23,127.25,129.19,124.53,124.68,946244.0
2020-04-24,126.25,126.81,124.42,125.01,1010888.0
2020-04-27,126.0,126.48,125.03,125.75,1476200.0
2020-04-28,127.76,128.0,125.88,126.52,929357.0
2020-04-29,127.67,127.81,123.74,125.72,934713.0
2020-04-30,125.0,125.6,120.1,121.69,1174751.0
2020-05-01,120.59,120.76,118.56,119.2,821150.0
2020-05-04,119.16,121.79,118.3,121.46,720068.0
2020-05-05,121.19,124.68,121.19,123.43,784022.0
2020-05-06,123.78,124.17,117.53,117.78,1127937.0
2020-05-07,120.63,123.52,118.39,119.08,1119049.0
2020-05-08,119.17,120.31,117.52,118.03,1068605.0
2020-05-11,117.02,119.82,115.55,119.49,1091116.0
2020-05-12,119.61,119.98,117.05,117.07,907604.0
2020-05-13,116.99,116.99,115.09,116.51,1194724.0
2020-05-14,115.89,116.85,112.5,116.27,1039060.0
2020-05-15,115.65,118.78,114.56,117.76,3087040.0
2020-05-18,120.59,123.26,119.68,122.51,931116.0
2020-05-19,122.11,123.09,120.11,120.17,755989.0
2020-05-20,121.28,122.07,120.19,120.6,683435.0
2020-05-21,121.0,121.94,120.06,120.62,685374.0
2020-05-22,120.16,121.03,119.3,120.71,445794.0
2020-05-26,122.65,123.8,120.18,120.74,873846.0
2020-05-27,122.04,122.27,118.05,120.54,876490.0
2020-05-28,122.25,124.59,122.07,123.72,947609.0
2020-05-29,123.71,127.4,122.55,127.0,1516837.0
2020-06-01,126.91,128.95,125.7,127.77,794217.0
2020-06-02,127.7,130.09,127.09,130.09,821907.0
2020-06-03,130.28,132.56,129.53,132.35,1117159.0
2020-06-04,131.36,132.6,128.73,130.7,1113254.0
2020-06-05,131.3,134.26,130.72,131.56,827363.0
2020-06-08,130.53,132.88,129.75,132.5,753331.0
2020-06-09,131.62,131.62,129.18,130.7,857132.0
2020-06-10,131.0,132.69,130.17,131.06,613882.0
2020-06-11,129.61,130.86,126.75,127.5,1024918.0
2020-06-12,129.65,129.78,125.81,127.29,901399.0
2020-06-15,126.27,130.43,124.73,129.22,1212324.0
2020-06-16,131.49,132.68,128.79,129.66,699817.0
2020-06-17,130.0,130.84,127.46,129.86,697741.0
2020-06-18,129.34,130.17,127.54,129.17,629218.0
2020-06-19,131.06,131.13,126.36,126.36,1765999.0
2020-06-22,126.33,127.6,125.7,126.83,1127371.0
2020-06-23,127.71,128.18,124.88,125.22,832977.0
2020-06-24,124.34,125.2,123.1,124.4,1038023.0
2020-06-25,124.4,124.4,120.67,122.22,707791.0
2020-06-26,122.43,125.56,121.84,124.08,1789407.0
2020-06-29,124.38,125.44,122.49,125.37,617720.0
2020-06-30,125.47,129.43,125.47,128.66,1228702.0
2020-07-01,128.45,131.13,128.45,130.62,811976.0
2020-07-02,131.15,132.16,130.6,131.06,731285.0
2020-07-06,132.63,133.92,130.35,131.04,551936.0
2020-07-07,130.25,131.53,129.38,130.31,693675.0
2020-07-08,130.4,132.19,130.01,131.76,673419.0
2020-07-09,131.35,131.69,128.76,130.69,713996.0
2020-07-10,130.95,133.41,130.74,133.39,715682.0
2020-07-13,132.82,134.41,132.17,132.97,983819.0
2020-07-14,133.43,135.23,132.85,134.84,1170444.0
2020-07-15,135.0,135.85,133.4,134.06,918690.0
2020-07-16,134.03,138.39,133.56,138.32,1100057.0
2020-07-17,138.92,141.53,138.42,141.22,875237.0
2020-07-20,140.86,142.84,138.99,139.71,695985.0
2020-07-21,139.8,141.87,139.32,141.18,566892.0
2020-07-22,140.93,144.48,140.21,143.79,607994.0
2020-07-23,144.67,145.81,143.91,144.89,719273.0
2020-07-24,145.0,145.97,143.2,144.52,834131.0
2020-07-27,145.0,145.91,143.7,144.33,833169.0
2020-07-28,143.88,146.27,143.88,145.36,724719.0
2020-07-29,145.94,148.16,145.92,147.99,811286.0
