date,Open,High,Low,Close,Volume
2019-08-20,123.63,123.78,121.34,121.42,3641626.0
2019-08-21,122.5,123.06,121.99,122.5,2948352.0
2019-08-22,123.31,123.71,121.77,122.27,2322069.0
2019-08-23,122.0,122.05,117.06,117.76,4800393.0
2019-08-26,118.33,118.94,117.38,118.53,3170604.0
2019-08-27,119.09,119.34,116.85,117.75,3145879.0
2019-08-28,117.03,119.31,116.97,119.09,2324868.0
2019-08-29,120.46,121.2,119.96,120.74,1901399.0
2019-08-30,121.47,121.66,119.82,120.37,2366225.0
2019-09-03,119.86,120.28,117.52,117.6,3198656.0
2019-09-04,118.42,118.73,117.8,118.4,3746852.0
2019-09-05,119.5,121.63,119.5,120.67,5261104.0
2019-09-06,121.14,121.19,120.0,120.19,4552385.0
2019-09-09,121.21,121.41,119.52,119.92,5289485.0
2019-09-10,119.6,119.61,116.3,117.31,6196053.0
2019-09-11,117.12,118.1,116.75,118.0,3670342.0
2019-09-12,119.0,120.43,118.78,119.02,3733524.0
2019-09-13,119.24,119.97,118.29,119.2,3941062.0
2019-09-16,118.14,118.44,116.68,117.64,4276906.0
2019-09-17,117.9,119.13,117.5,119.05,3075905.0
2019-09-18,118.59,118.8,117.47,118.74,2885008.0
2019-09-19,118.61,119.52,117.6,117.79,1994178.0
2019-09-20,117.83,118.24,116.37,116.8,5342358.0
2019-09-23,116.36,118.42,116.1,118.24,5202701.0
2019-09-24,118.89,120.2,117.52,118.17,5130164.0
2019-09-25,117.86,119.44,117.06,119.12,2759722.0
2019-09-26,119.31,120.03,118.84,118.91,3460103.0
2019-09-27,119.13,119.62,117.98,118.59,2909180.0
2019-09-30,119.05,119.24,118.14,118.28,2353631.0
2019-10-01,118.7,119.5,116.61,116.7,2856628.0
2019-10-02,115.76,115.81,112.75,112.86,4931450.0
2019-10-03,112.2,112.96,111.06,112.55,3530987.0
2019-10-04,112.66,114.53,112.6,114.41,2753180.0
2019-10-07,113.91,114.65,113.6,113.65,2583036.0
2019-10-08,112.83,113.65,112.05,112.54,3803434.0
2019-10-09,113.25,114.77,113.23,113.92,2385471.0
2019-10-10,114.81,115.79,113.93,115.02,2396506.0
2019-10-11,116.74,117.57,116.19,116.4,2875905.0
2019-10-14,116.14,117.0,115.94,116.39,1882325.0
2019-10-15,117.03,118.19,116.73,117.59,3071522.0
2019-10-16,117.63,117.99,117.07,117.41,2147177.0
2019-10-17,118.01,119.33,117.96,119.1,3023690.0
2019-10-18,119.73,119.98,116.67,116.76,6188096.0
2019-10-21,117.55,119.38,117.49,119.05,4320295.0
2019-10-22,118.67,119.35,118.29,118.61,3917049.0
2019-10-23,118.42,119.23,115.51,116.49,3937591.0
2019-10-24,116.44,116.9,116.14,116.41,2621342.0
2019-10-25,116.36,118.51,116.27,118.26,2324665.0
2019-10-28,118.64,119.3,118.07,118.58,2551054.0
2019-10-29,118.09,118.83,117.08,117.42,2753014.0
2019-10-30,117.44,118.17,116.86,118.07,2264204.0
2019-10-31,117.79,118.21,116.89,117.28,2507443.0
2019-11-01,118.41,119.45,118.17,119.14,2036492.0
2019-11-04,119.62,120.5,119.01,119.62,1954702.0
2019-11-05,119.84,119.96,117.76,118.77,2628878.0
2019-11-06,118.89,119.72,118.89,119.69,2420671.0
2019-11-07,120.27,122.43,120.1,121.28,2845041.0
2019-11-08,121.01,121.81,120.89,121.47,1984615.0
2019-11-11,120.76,121.81,120.51,120.9,1704102.0
2019-11-12,120.87,121.23,120.41,120.89,2012434.0
2019-11-13,120.27,120.97,120.13,120.26,1838883.0
2019-11-14,120.0,120.98,119.8,120.93,1990576.0
2019-11-15,120.98,121.33,120.39,120.76,2341454.0
2019-11-18,120.56,120.85,119.4,119.66,2617876.0
2019-11-19,120.01,120.45,119.86,120.0,1891039.0
2019-11-20,119.83,120.23,118.93,119.3,2544144.0
2019-11-21,119.29,119.47,118.49,118.8,2707351.0
2019-11-22,119.21,119.29,118.41,119.06,1629686.0
2019-11-25,119.14,120.6,119.14,120.6,2285404.0
2019-11-26,120.91,121.04,119.6,119.79,4600167.0
2019-11-27,120.0,120.36,119.35,120.33,2629692.0
2019-11-29,120.07,120.89,119.78,120.12,1961463.0
2019-12-02,120.31,120.36,117.07,117.26,5538216.0
2019-12-03,116.04,116.75,114.65,116.57,3845195.0
2019-12-04,117.31,118.54,117.0,117.94,2444140.0
2019-12-05,117.91,118.43,117.59,118.28,3128325.0
2019-12-06,120.21,121.44,119.91,120.61,3287597.0
2019-12-09,120.44,121.53,120.11,120.46,2885234.0
2019-12-10,120.45,121.47,120.03,120.9,2518152.0
2019-12-11,120.88,121.38,120.1,120.64,2009764.0
2019-12-12,120.6,123.07,120.05,122.64,2933319.0
2019-12-13,122.47,124.99,122.08,124.72,3918982.0
2019-12-16,125.65,126.33,123.34,123.68,3416062.0
2019-12-17,123.99,125.4,123.25,124.95,4325243.0
2019-12-18,125.03,125.07,124.08,124.26,3154150.0
2019-12-19,124.18,124.9,123.88,124.83,2543557.0
2019-12-20,125.86,126.28,124.83,125.77,5825418.0
2019-12-23,125.74,125.74,123.7,124.49,3031399.0
2019-12-24,124.95,125.33,124.38,124.74,953540.0
2019-12-26,124.98,125.44,124.53,125.41,1486575.0
2019-12-27,125.84,125.97,125.11,125.19,1788623.0
2019-12-30,125.2,125.46,124.18,124.3,2306453.0
2019-12-31,124.29,124.57,123.78,124.49,2340392.0
2020-01-02,124.66,126.27,124.23,125.85,2707979.0
2020-01-03,124.32,125.1,123.94,124.6,2090578.0
2020-01-06,123.37,124.16,123.12,124.06,2853031.0
2020-01-07,123.47,124.4,123.36,123.41,2042332.0
2020-01-08,124.05,126.36,123.8,125.54,3456793.0
2020-01-09,126.49,127.88,126.39,127.81,2787064.0
2020-01-10,127.58,128.17,126.92,127.28,2788965.0
2020-01-13,127.84,128.95,127.63,128.54,3285729.0
2020-01-14,128.62,130.09,128.34,128.8,3836018.0
2020-01-15,128.69,129.84,128.45,129.82,3186611.0
2020-01-16,130.5,130.93,129.71,130.55,2424504.0
2020-01-17,131.45,131.86,130.79,131.52,3658469.0
2020-01-21,131.11,131.82,130.39,130.53,3102701.0
2020-01-22,130.93,132.27,130.93,131.49,2483732.0
2020-01-23,131.26,131.57,130.14,131.37,3844574.0
2020-01-24,136.36,138.13,133.85,135.11,8611025.0
2020-01-27,131.15,131.98,128.87,130.64,6431255.0
2020-01-28,132.0,133.87,131.14,132.45,3712701.0
2020-01-29,132.48,133.13,131.44,131.68,2517499.0
2020-01-30,130.75,133.33,130.44,133.22,2428217.0
2020-01-31,132.17,132.25,129.38,129.87,3522628.0
2020-02-03,130.55,132.22,130.45,131.0,2721804.0
2020-02-04,132.88,133.34,131.72,131.85,2546960.0
2020-02-05,133.43,133.8,131.29,133.6,4083719.0
2020-02-06,134.16,134.35,133.11,133.25,1707611.0
2020-02-07,132.57,132.75,131.34,131.82,2885550.0
2020-02-10,131.61,132.5,131.35,132.24,1816474.0
2020-02-11,133.03,133.65,132.32,132.63,1733319.0
2020-02-12,133.39,133.72,132.53,133.24,1715433.0
2020-02-13,133.15,134.67,133.06,134.46,3178300.0
2020-02-14,134.71,136.37,134.53,135.87,2360319.0
