date,Open,High,Low,Close,Volume
2019-08-20,27.02,27.06,26.7,26.72,47665000.0
2019-08-21,26.93,27.08,26.79,26.93,47785400.0
2019-08-22,27.09,27.3,26.96,27.19,49353700.0
2019-08-23,26.95,27.22,26.26,26.47,81880700.0
2019-08-26,26.7,26.8,26.49,26.78,41499100.0
2019-08-27,26.86,26.9,26.28,26.47,52517000.0
2019-08-28,26.22,27.08,26.21,26.85,45897900.0
2019-08-29,27.0,27.45,26.92,27.33,55432900.0
2019-08-30,27.5,27.69,27.35,27.51,41326200.0
2019-09-03,27.21,27.23,26.61,27.05,50743100.0
2019-09-04,27.32,27.58,27.16,27.49,40862500.0
2019-09-05,27.85,28.43,27.8,28.12,63413700.0
2019-09-06,28.02,28.09,27.57,27.73,56054100.0
2019-09-09,28.0,28.85,27.97,28.63,68629300.0
2019-09-10,28.89,29.35,28.81,29.35,71066200.0
2019-09-11,29.37,29.47,28.9,29.46,53982200.0
2019-09-12,29.22,29.8,28.91,29.67,72943900.0
2019-09-13,30.0,30.32,29.87,30.17,79657000.0
2019-09-16,29.68,30.17,29.64,30.13,43391300.0
2019-09-17,29.85,30.02,29.59,29.94,48284900.0
2019-09-18,29.77,30.15,29.55,30.0,66640400.0
2019-09-19,30.0,30.1,29.75,29.82,43035700.0
2019-09-20,29.97,30.13,29.57,29.59,167269000.0
2019-09-23,29.31,29.62,29.17,29.52,52048300.0
2019-09-24,29.6,29.64,28.74,28.94,64806900.0
2019-09-25,28.78,29.41,28.78,29.25,45807700.0
2019-09-26,29.21,29.33,29.05,29.13,33198100.0
2019-09-27,29.41,29.71,29.21,29.35,41336600.0
2019-09-30,29.49,29.52,29.08,29.17,39191000.0
2019-10-01,29.44,29.51,28.41,28.44,49434400.0
2019-10-02,28.2,28.3,27.81,27.84,52293100.0
2019-10-03,27.76,27.88,27.16,27.81,53015800.0
2019-10-04,27.85,28.4,27.84,28.37,42641800.0
2019-10-07,28.33,28.62,28.18,28.31,36742400.0
2019-10-08,27.87,27.92,27.46,27.63,58201100.0
2019-10-09,27.83,28.07,27.75,27.89,37511400.0
2019-10-10,28.04,28.75,28.04,28.45,48239300.0
2019-10-11,28.99,29.34,28.86,28.91,70008600.0
2019-10-14,28.74,29.16,28.73,29.14,36040100.0
2019-10-15,29.34,30.24,29.11,29.73,78656000.0
2019-10-16,30.37,30.72,30.15,30.17,87131700.0
2019-10-17,30.3,30.54,30.0,30.26,55575900.0
2019-10-18,30.13,30.49,30.1,30.35,48872900.0
2019-10-21,30.67,31.15,30.63,31.02,61087400.0
2019-10-22,30.97,31.37,30.75,31.2,58662100.0
2019-10-23,31.13,31.44,31.09,31.42,47771200.0
2019-10-24,31.45,31.52,31.2,31.36,39491000.0
2019-10-25,31.36,31.85,31.34,31.72,43702000.0
2019-10-28,31.97,32.23,31.74,31.84,58790300.0
2019-10-29,31.94,32.14,31.81,32.07,48266600.0
2019-10-30,32.01,32.01,31.53,31.62,45262400.0
2019-10-31,31.41,31.62,30.82,31.27,49430900.0
2019-11-01,31.7,31.84,31.37,31.8,41985300.0
2019-11-04,32.24,32.5,32.1,32.4,54228600.0
2019-11-05,32.51,33.09,32.5,32.82,68785600.0
2019-11-06,32.76,33.06,32.67,32.79,47524500.0
2019-11-07,33.11,33.6,33.01,33.23,68310700.0
2019-11-08,33.07,33.27,32.93,33.26,38724000.0
2019-11-11,33.03,33.25,32.97,33.18,27784000.0
2019-11-12,33.13,33.32,32.99,33.09,37282200.0
2019-11-13,32.72,32.89,32.48,32.79,48887800.0
2019-11-14,32.69,32.86,32.49,32.7,35554600.0
2019-11-15,32.92,32.96,32.7,32.93,36398300.0
2019-11-18,32.86,33.03,32.75,32.96,31133700.0
2019-11-19,33.12,33.15,32.82,32.94,33183700.0
2019-11-20,32.79,32.83,32.42,32.69,43612200.0
2019-11-21,32.78,33.04,32.63,32.84,42787600.0
2019-11-22,32.96,33.32,32.94,33.18,38783900.0
