date,Open,High,Low,Close,Volume
2019-08-20,66.0,67.25,65.72,66.04,1299082.0
2019-08-21,67.71,68.61,67.46,67.86,1793255.0
2019-08-22,68.0,69.5,67.53,68.8,2433574.0
2019-08-23,68.01,68.21,65.24,66.21,4727685.0
2019-08-26,67.19,67.75,65.93,67.65,2689647.0
2019-08-27,68.65,69.13,67.64,67.82,3433276.0
2019-08-28,67.62,69.48,67.54,69.0,3402227.0
2019-08-29,65.28,65.89,62.04,63.49,13765099.0
2019-08-30,62.89,64.39,62.88,63.65,4712785.0
2019-09-03,63.03,64.84,62.48,63.21,4072516.0
2019-09-04,63.7,64.47,63.51,63.93,2731931.0
2019-09-05,65.05,66.2,64.64,65.76,2745136.0
2019-09-06,66.05,67.0,66.04,66.35,2626194.0
2019-09-09,67.02,69.3,67.01,69.22,2574593.0
2019-09-10,68.84,69.9,68.26,69.02,3092567.0
2019-09-11,68.75,69.49,67.45,67.84,2449385.0
2019-09-12,67.88,69.28,66.81,67.86,2720127.0
2019-09-13,68.35,68.85,67.18,67.54,2579692.0
2019-09-16,67.28,69.02,66.92,68.91,2334216.0
2019-09-17,68.68,68.87,67.57,68.42,2516522.0
2019-09-18,67.86,68.58,66.47,67.15,1713362.0
2019-09-19,67.6,68.0,67.43,67.59,1387087.0
2019-09-20,68.0,68.37,66.51,66.77,2273743.0
2019-09-23,66.6,67.81,66.35,67.41,1553043.0
2019-09-24,67.67,68.61,66.8,67.71,2178598.0
2019-09-25,68.18,68.22,66.67,67.43,2212190.0
2019-09-26,67.46,67.68,66.25,66.96,1806813.0
2019-09-27,67.22,68.53,67.22,68.27,1789212.0
2019-09-30,68.48,69.31,68.35,68.99,1849445.0
2019-10-01,69.2,69.93,67.8,68.01,2320944.0
2019-10-02,67.19,67.46,64.38,65.02,2439462.0
2019-10-03,64.7,65.69,63.52,65.66,2118526.0
2019-10-04,65.82,66.93,65.82,66.89,1701036.0
2019-10-07,66.65,67.59,66.57,66.82,1792131.0
2019-10-08,66.03,66.34,64.89,65.28,1689359.0
2019-10-09,65.89,66.28,65.49,65.7,1693608.0
2019-10-10,65.84,67.16,65.84,66.73,1929125.0
2019-10-11,67.84,70.18,67.84,69.53,2698410.0
2019-10-14,68.96,68.96,68.05,68.72,1331366.0
2019-10-15,68.78,69.05,67.94,67.94,1998789.0
2019-10-16,67.73,69.04,67.5,68.41,2260326.0
2019-10-17,68.9,70.09,68.67,69.88,1807809.0
2019-10-18,69.48,70.96,69.24,70.52,2305833.0
2019-10-21,71.13,72.08,71.06,71.47,1536286.0
2019-10-22,71.7,72.76,71.29,72.4,1512365.0
2019-10-23,72.4,72.75,71.85,72.07,1702586.0
2019-10-24,72.61,72.96,70.8,72.12,1578388.0
2019-10-25,71.85,73.94,71.48,73.15,1440723.0
2019-10-28,74.29,75.4,74.04,74.37,1980943.0
2019-10-29,74.13,74.76,73.81,73.9,2100309.0
2019-10-30,73.83,73.92,71.2,72.7,1834877.0
2019-10-31,72.32,72.7,71.12,71.83,1949298.0
2019-11-01,72.4,73.5,72.12,72.92,2353587.0
2019-11-04,73.65,74.95,73.6,74.81,1541668.0
2019-11-05,75.0,76.0,74.55,74.84,2867318.0
2019-11-06,74.97,75.28,73.61,75.05,2501297.0
2019-11-07,75.97,76.89,75.8,76.01,1818533.0
2019-11-08,75.68,76.86,75.41,76.85,1984155.0
2019-11-11,76.5,76.95,75.65,76.25,2602343.0
2019-11-12,76.19,76.19,74.98,75.19,2184067.0
2019-11-13,74.73,75.42,74.19,75.02,1600656.0
2019-11-14,74.92,75.99,74.87,75.6,1803129.0
2019-11-15,75.93,77.11,75.91,77.09,2206681.0
2019-11-18,76.66,77.69,76.3,77.29,2561934.0
2019-11-19,76.42,76.61,74.8,75.36,2322809.0
2019-11-20,74.92,75.34,73.8,74.15,2188483.0
2019-11-21,74.32,74.5,72.03,72.21,3390297.0
2019-11-22,72.29,72.8,71.89,72.64,2404395.0
2019-11-25,73.25,74.49,72.14,74.25,4211533.0
2019-11-26,77.2,83.63,77.04,81.57,13916022.0
2019-11-27,82.29,82.48,80.11,80.74,6039510.0
2019-11-29,80.27,81.44,79.51,80.64,2962469.0
2019-12-02,81.0,81.0,78.36,79.2,4329739.0
2019-12-03,77.5,78.18,77.05,78.11,4227104.0
2019-12-04,78.65,79.6,78.3,79.18,3112727.0
2019-12-05,78.91,80.37,78.89,80.32,3005915.0
2019-12-06,81.23,82.49,81.22,82.05,3698969.0
2019-12-09,81.73,83.65,81.47,82.57,2790527.0
2019-12-10,82.55,83.37,82.29,82.88,2102514.0
2019-12-11,82.58,84.06,82.02,83.83,2281318.0
2019-12-12,83.91,85.55,83.5,85.35,2904660.0
2019-12-13,85.5,85.61,83.96,84.79,2645539.0
2019-12-16,85.08,86.86,85.01,85.79,3643110.0
2019-12-17,85.75,86.48,84.55,86.36,1967017.0
2019-12-18,86.68,87.76,86.51,87.01,3172690.0
2019-12-19,87.62,88.84,87.05,88.64,3244914.0
2019-12-20,89.21,89.5,87.55,87.73,3650240.0
2019-12-23,88.17,88.32,87.25,87.64,1822229.0
2019-12-24,88.01,88.51,87.43,87.93,741790.0
2019-12-26,87.99,88.2,87.32,87.85,1342719.0
2019-12-27,88.0,88.13,86.95,87.01,1309496.0
2019-12-30,87.09,87.96,86.51,87.57,1520427.0
2019-12-31,87.25,88.18,86.95,87.8,1735181.0
2020-01-02,88.39,88.44,86.96,87.31,2447254.0
2020-01-03,86.07,87.64,85.91,87.18,1713577.0
2020-01-06,86.47,87.92,86.25,87.91,2268445.0
2020-01-07,87.79,89.21,87.46,88.41,2041495.0
2020-01-08,88.21,89.37,87.86,88.65,2047031.0
2020-01-09,89.43,89.49,88.43,89.37,2225731.0
2020-01-10,89.58,90.74,89.34,90.65,2452157.0
2020-01-13,90.64,91.28,90.36,91.26,2137973.0
2020-01-14,90.98,91.83,90.26,90.47,1994309.0
2020-01-15,87.6,89.87,87.29,88.92,3783422.0
2020-01-16,89.53,89.81,88.55,88.95,2006955.0
2020-01-17,89.45,90.33,88.35,89.94,3402777.0
2020-01-21,89.45,91.7,89.41,90.24,3611193.0
2020-01-22,90.93,91.17,88.96,89.27,2003295.0
2020-01-23,88.86,90.31,88.36,89.82,1619995.0
2020-01-24,90.27,90.27,88.77,89.44,1209609.0
2020-01-27,87.79,88.83,87.35,87.8,1718247.0
2020-01-28,88.4,89.3,87.82,88.89,1458084.0
2020-01-29,89.38,90.1,88.1,88.12,2620555.0
2020-01-30,87.05,87.59,85.905,87.1,2048884.0
2020-01-31,86.69,86.96,84.53,84.69,2841712.0
2020-02-03,85.39,86.37,84.91,85.26,2170375.0
2020-02-04,86.53,87.24,86.44,86.69,1795582.0
2020-02-05,87.68,89.88,87.36,89.5,2315818.0
2020-02-06,90.03,90.58,88.54,88.64,2018215.0
2020-02-07,88.25,88.77,86.48,87.02,1987076.0
2020-02-10,86.89,88.73,86.87,88.7,2311445.0
2020-02-11,89.38,90.07,88.72,89.89,1799463.0
2020-02-12,90.28,91.2,90.01,90.93,1578006.0
2020-02-13,90.48,91.31,90.2,90.4,1725449.0
2020-02-14,91.0,91.15,89.86,90.21,1220727.0
2020-02-18,89.51,90.76,89.2,90.16,1544480.0
2020-02-19,90.53,91.23,90.2,90.94,1421836.0
2020-02-20,91.08,91.99,90.57,91.93,2212193.0
2020-02-21,91.34,91.62,89.62,90.26,1877751.0
2020-02-24,86.17,88.0,85.05,85.5,2880947.0
2020-02-25,86.65,86.76,81.67,81.89,2900836.0
2020-02-26,82.83,84.83,82.15,82.18,3465874.0
2020-02-27,79.5,82.47,78.0,78.31,5767901.0
2020-02-28,76.06,77.98,73.34,75.65,4756388.0
2020-03-02,76.25,79.62,74.31,79.61,3898259.0
2020-03-03,79.2,81.43,75.82,76.55,2731425.0
2020-03-04,78.5,80.48,77.09,80.41,3110285.0
2020-03-05,77.83,79.37,77.01,77.87,2771408.0
2020-03-06,75.35,76.69,72.06,73.82,3047378.0
2020-03-09,67.74,69.73,66.06,66.87,3958851.0
2020-03-10,69.39,70.61,66.42,70.12,2767088.0
2020-03-11,67.84,68.04,63.84,65.37,3635812.0
2020-03-12,59.99,60.24,55.2,55.4,3944398.0
2020-03-13,59.0,61.48,54.39,61.06,4209505.0
2020-03-16,54.0,57.39,49.01,57.3,5345956.0
2020-03-17,58.32,61.23,55.32,60.32,7009438.0
2020-03-18,55.2,57.95,49.9,54.0,5065934.0
2020-03-19,52.51,59.21,48.11,54.75,4186687.0
2020-03-20,55.61,58.0,51.59,51.65,3850481.0
2020-03-23,50.48,53.0,49.01,50.69,4753112.0
2020-03-24,54.16,60.86,53.27,59.2,3909201.0
2020-03-25,59.76,64.98,56.53,60.56,3706308.0
2020-03-26,61.75,64.36,60.51,62.88,2567438.0
2020-03-27,60.49,64.78,59.65,62.47,2589075.0
2020-03-30,61.78,62.23,58.41,59.75,4583748.0
2020-03-31,59.73,60.73,56.4,57.0,4804176.0
2020-04-01,54.7,56.24,53.02,53.9,3620784.0
2020-04-02,53.13,55.06,51.71,52.76,3328242.0
2020-04-03,52.35,54.18,51.81,53.48,2390237.0
2020-04-06,56.95,60.69,55.9,60.15,2633570.0
2020-04-07,64.7,65.31,61.61,61.75,2623551.0
2020-04-08,63.13,65.34,62.54,64.45,3348535.0
2020-04-09,65.94,68.09,64.75,65.99,2729150.0
2020-04-13,65.6,68.73,64.72,68.34,3103847.0
2020-04-14,69.49,70.0,68.03,69.85,2722260.0
2020-04-15,66.72,67.92,64.3,64.76,2799835.0
2020-04-16,64.58,65.73,63.59,64.98,1695542.0
2020-04-17,67.35,70.99,67.25,70.4,3421575.0
2020-04-20,69.36,71.61,68.66,69.79,2289951.0
2020-04-21,68.05,69.06,67.05,67.8,1913408.0
2020-04-22,69.4,69.9,67.93,68.98,1255288.0
2020-04-23,68.74,70.58,68.09,69.6,1679008.0
2020-04-24,70.39,72.3,69.73,71.88,1589594.0
2020-04-27,72.23,75.18,72.21,74.57,2434122.0
2020-04-28,76.95,79.18,76.7,77.59,3078967.0
2020-04-29,79.23,80.89,78.79,80.05,2673514.0
2020-04-30,78.94,78.99,75.8,76.73,3896625.0
2020-05-01,74.84,75.63,71.84,72.26,2507325.0
2020-05-04,71.1,74.58,70.71,74.36,2614436.0
2020-05-05,76.18,77.04,74.64,74.75,2021856.0
2020-05-06,75.24,76.21,73.74,73.99,1914325.0
2020-05-07,75.34,77.09,75.2,76.25,1732125.0
2020-05-08,76.75,78.87,76.73,78.63,1439999.0
2020-05-11,77.78,79.31,77.05,78.02,1666678.0
2020-05-12,78.9,79.59,76.97,77.05,1526943.0
2020-05-13,76.37,77.39,74.18,75.03,1767442.0
2020-05-14,74.27,77.72,73.59,77.19,2504469.0
2020-05-15,76.13,79.82,75.85,78.61,5135172.0
2020-05-18,82.38,87.69,82.32,87.16,4949872.0
2020-05-19,86.28,86.57,83.35,83.48,3187292.0
2020-05-20,85.73,85.83,80.75,81.54,4153223.0
2020-05-21,79.5,81.91,76.88,77.98,6375353.0
2020-05-22,78.99,78.99,75.82,76.92,4686409.0
2020-05-26,79.76,81.16,79.3,79.47,2953231.0
2020-05-27,81.34,81.34,78.34,79.08,2894292.0
2020-05-28,80.19,80.19,76.19,76.43,3152421.0
2020-05-29,76.31,78.71,75.53,78.09,4219885.0
2020-06-01,77.02,77.99,76.07,77.5,2250263.0
2020-06-02,77.47,80.55,77.38,80.53,2777673.0
2020-06-03,81.6,82.44,81.02,82.22,2299619.0
2020-06-04,81.66,82.31,79.18,79.92,2566068.0
2020-06-05,82.82,83.6,81.9,82.53,2906279.0
2020-06-08,83.8,84.86,82.99,83.68,1943619.0
2020-06-09,82.27,82.53,80.92,81.62,2049989.0
2020-06-10,82.18,82.32,80.05,81.7,2862147.0
2020-06-11,79.45,79.45,76.57,77.25,2583205.0
2020-06-12,79.4,79.68,75.67,77.76,2538054.0
2020-06-15,75.53,80.98,75.27,80.01,2430682.0
2020-06-16,82.56,84.13,80.42,83.47,3789748.0
2020-06-17,83.47,84.33,82.16,83.24,2275328.0
2020-06-18,82.47,83.85,81.45,82.3,2285649.0
2020-06-19,83.84,83.86,80.53,81.2,4938770.0
2020-06-22,80.78,84.98,80.37,84.78,3110030.0
2020-06-23,85.88,86.61,84.58,85.84,2661796.0
2020-06-24,85.0,86.6,83.39,83.82,4005165.0
2020-06-25,83.35,84.85,82.84,84.71,2157331.0
2020-06-26,84.86,87.03,84.68,84.8,5378104.0
2020-06-29,85.59,86.78,84.78,86.33,2961906.0
2020-06-30,86.0,88.22,85.63,87.27,3122942.0
2020-07-01,87.42,88.12,86.34,87.35,2279571.0
2020-07-02,88.95,89.26,87.24,87.45,2489889.0
2020-07-06,89.0,89.73,87.07,87.7,2050097.0
2020-07-07,86.97,87.53,85.39,85.59,2243082.0
2020-07-08,85.57,87.22,85.48,87.18,2058382.0
2020-07-09,87.15,87.15,84.07,84.95,2034209.0
2020-07-10,85.04,85.72,84.48,84.9,1688365.0
2020-07-13,85.71,88.33,85.4,85.6,1873352.0
2020-07-14,85.6,87.08,84.42,86.89,1869138.0
2020-07-15,88.95,88.98,87.03,88.42,2010109.0
2020-07-16,88.23,89.71,87.85,88.35,1464814.0
2020-07-17,88.83,88.83,87.43,87.96,1290253.0
2020-07-20,87.69,88.98,86.48,88.38,2200656.0
2020-07-21,88.84,91.13,88.61,90.28,2176723.0
2020-07-22,95.47,99.42,95.33,97.36,7995572.0
