date,Open,High,Low,Close,Volume
2019-08-20,27.15,27.26,26.95,27.04,3665023.0
2019-08-21,27.34,27.34,27.0,27.04,2173214.0
2019-08-22,27.18,27.38,26.95,27.06,1906887.0
2019-08-23,26.91,27.04,26.01,26.13,3342689.0
2019-08-26,26.39,26.48,25.84,25.93,2870726.0
2019-08-27,26.05,26.4,25.79,25.95,3428805.0
2019-08-28,25.7,26.03,25.57,26.0,3196571.0
2019-08-29,26.34,26.55,26.06,26.35,2460488.0
2019-08-30,26.54,26.6,26.18,26.28,2215463.0
2019-09-03,26.01,26.16,25.76,26.03,4049301.0
2019-09-04,26.3,26.41,26.1,26.23,1893810.0
2019-09-05,26.6,27.24,26.6,27.03,2924631.0
2019-09-06,27.04,27.14,26.76,26.92,2130952.0
2019-09-09,27.08,27.8,27.07,27.78,3235296.0
2019-09-10,27.98,28.49,27.97,28.45,4466897.0
2019-09-11,28.45,29.54,28.01,29.48,6147485.0
2019-09-12,29.52,29.94,29.37,29.79,3792156.0
2019-09-13,30.0,30.21,29.87,29.91,3341258.0
2019-09-16,29.56,29.82,29.51,29.73,2397424.0
2019-09-17,29.3,29.67,28.99,29.46,2442847.0
2019-09-18,29.31,29.61,29.23,29.44,2005398.0
2019-09-19,29.59,29.95,29.47,29.56,2358878.0
2019-09-20,29.67,29.67,29.1,29.34,5276024.0
2019-09-23,29.01,29.37,28.92,29.08,2973546.0
2019-09-24,29.21,29.26,28.24,28.43,3683105.0
2019-09-25,28.43,28.85,28.35,28.79,3086061.0
2019-09-26,28.79,28.82,28.41,28.66,2007672.0
2019-09-27,28.63,28.95,28.46,28.63,1832642.0
2019-09-30,28.75,29.08,28.63,28.86,2705169.0
2019-10-01,28.86,29.05,27.88,27.91,2874640.0
2019-10-02,27.55,27.68,27.05,27.06,4008037.0
2019-10-03,26.93,27.21,26.47,27.13,2503168.0
2019-10-04,27.05,27.38,26.83,27.38,2429780.0
2019-10-07,27.23,27.45,26.92,27.14,3340489.0
2019-10-08,26.79,26.8,26.26,26.28,3415036.0
2019-10-09,26.48,26.57,26.18,26.37,2770680.0
2019-10-10,26.54,26.91,26.47,26.53,2181500.0
2019-10-11,27.12,27.83,27.09,27.32,3989588.0
2019-10-14,27.17,27.17,26.51,26.97,2352748.0
2019-10-15,27.24,27.59,26.98,27.27,3590607.0
2019-10-16,27.21,27.46,26.85,26.89,2270943.0
2019-10-17,27.21,27.41,26.94,27.14,2012160.0
2019-10-18,27.03,27.51,26.99,27.22,5204718.0
2019-10-21,27.49,27.77,27.38,27.43,2630444.0
2019-10-22,27.43,27.82,26.98,27.08,4801712.0
2019-10-23,27.0,27.91,26.96,27.88,6943037.0
2019-10-24,28.08,28.36,27.85,28.14,4726931.0
2019-10-25,27.41,28.13,26.81,27.83,4208741.0
2019-10-28,28.07,28.59,28.04,28.41,2745236.0
2019-10-29,28.19,28.47,28.0,28.12,3249760.0
2019-10-30,27.96,28.19,27.64,28.07,2230881.0
2019-10-31,27.92,28.07,27.37,27.55,8275888.0
2019-11-01,27.82,28.14,27.75,28.05,2257929.0
2019-11-04,28.33,28.71,28.27,28.67,2335722.0
2019-11-05,28.83,29.27,28.72,28.99,3974760.0
2019-11-06,28.95,29.0,28.49,28.56,3606781.0
2019-11-07,28.91,29.05,28.61,28.74,2585706.0
2019-11-08,28.66,28.76,28.11,28.28,2871281.0
2019-11-11,28.1,28.35,27.88,27.96,2571317.0
2019-11-12,27.94,28.21,27.68,27.97,2664783.0
2019-11-13,27.65,27.65,27.19,27.3,2629545.0
2019-11-14,27.22,27.53,27.12,27.23,2519970.0
2019-11-15,27.49,27.85,27.36,27.73,2007453.0
2019-11-18,27.59,27.73,27.21,27.73,2583933.0
2019-11-19,27.9,27.97,27.61,27.73,2504394.0
2019-11-20,27.62,27.71,27.18,27.33,2544118.0
2019-11-21,27.43,27.58,27.19,27.25,2228975.0
2019-11-22,27.29,27.5,27.18,27.32,1754288.0
2019-11-25,27.4,28.0,27.35,27.98,2248392.0
2019-11-26,27.88,27.95,27.55,27.72,3313529.0
2019-11-27,27.58,27.99,27.56,27.88,3480181.0
2019-11-29,27.8,27.86,27.45,27.49,1485635.0
2019-12-02,27.57,27.79,26.95,26.98,3471490.0
2019-12-03,26.58,26.61,26.06,26.38,3475493.0
2019-12-04,26.45,26.88,26.45,26.47,2185323.0
2019-12-05,26.62,26.7,26.42,26.46,2405554.0
2019-12-06,26.83,27.19,26.8,27.0,3015675.0
2019-12-09,26.88,27.14,26.81,27.02,2073833.0
2019-12-10,26.86,26.91,25.8,25.84,5947893.0
2019-12-11,25.92,26.71,25.77,25.93,5198717.0
2019-12-12,26.01,26.8,25.95,26.79,4448048.0
2019-12-13,26.79,26.79,25.86,25.99,4868096.0
2019-12-16,26.26,26.7,26.16,26.17,2866924.0
2019-12-17,26.11,26.39,26.11,26.24,2261445.0
2019-12-18,26.33,26.35,26.09,26.1,2047449.0
2019-12-19,26.14,26.17,25.86,26.14,3920852.0
2019-12-20,26.24,26.3,25.7,25.8,8169478.0
2019-12-23,25.89,26.35,25.83,26.19,3269055.0
2019-12-24,26.23,26.32,26.02,26.14,1207510.0
2019-12-26,26.21,26.36,26.17,26.32,2095614.0
2019-12-27,26.4,26.46,26.21,26.25,2707923.0
2019-12-30,26.21,26.22,25.72,25.82,2929732.0
2019-12-31,25.69,26.2,25.67,25.98,3028548.0
2020-01-02,25.61,25.8,25.34,25.61,3626956.0
2020-01-03,25.23,25.33,24.87,25.09,3735686.0
2020-01-06,24.91,25.29,24.73,25.29,3265342.0
2020-01-07,25.95,25.95,25.27,25.56,4474825.0
2020-01-08,25.62,25.73,25.23,25.42,3995223.0
2020-01-09,25.62,25.65,25.03,25.2,4126532.0
2020-01-10,25.25,25.32,24.96,25.02,2571671.0
2020-01-13,25.02,25.62,24.99,25.51,3554362.0
2020-01-14,25.46,25.53,25.14,25.25,2618378.0
2020-01-15,25.14,25.37,25.0,25.12,2190446.0
2020-01-16,25.33,25.77,25.25,25.76,2372996.0
2020-01-17,25.84,25.93,25.59,25.74,2722558.0
2020-01-21,25.6,25.72,25.38,25.51,3522696.0
2020-01-22,25.69,25.99,25.6,25.86,3102596.0
2020-01-23,25.91,25.92,25.32,25.68,3113264.0
2020-01-24,25.7,25.74,25.07,25.26,2299038.0
2020-01-27,24.77,24.84,24.48,24.64,4959488.0
2020-01-28,24.94,25.23,24.86,25.09,4314336.0
2020-01-29,25.31,25.49,24.84,24.84,4796376.0
2020-01-30,25.07,26.24,24.47,26.21,8693704.0
2020-01-31,26.0,26.14,25.18,25.3,14991935.0
2020-02-03,25.35,25.7,25.2,25.2,3738841.0
2020-02-04,25.66,26.03,25.57,25.58,2833337.0
2020-02-05,26.07,26.375,25.91,26.31,3181962.0
2020-02-06,26.57,26.69,26.01,26.08,2717384.0
2020-02-07,25.6,25.99,25.46,25.6,2322441.0
2020-02-10,25.47,25.61,25.28,25.6,2458539.0
2020-02-11,25.51,25.57,24.9,25.16,4121510.0
2020-02-12,25.4,25.63,24.53,24.61,5056286.0
2020-02-13,24.49,24.64,24.01,24.21,4308648.0
2020-02-14,24.22,24.4,23.96,24.36,3614191.0
2020-02-18,27.03,27.6,25.305,26.05,19282274.0
2020-02-19,26.16,26.26,25.13,25.37,8752529.0
2020-02-20,25.44,25.93,25.29,25.67,5393253.0
2020-02-21,25.41,25.48,24.99,25.2,5012612.0
2020-02-24,24.26,24.71,24.1,24.19,5771724.0
2020-02-25,24.42,24.46,23.53,23.58,5792877.0
2020-02-26,23.71,23.82,23.0,23.01,5036593.0
2020-02-27,22.48,23.84,22.19,22.64,7901113.0
2020-02-28,21.86,22.14,21.36,21.76,10490327.0
2020-03-02,21.95,23.36,21.73,23.35,8850947.0
2020-03-03,23.2,24.0,22.96,23.39,15145067.0
2020-03-04,23.53,23.67,22.92,23.42,8539330.0
2020-03-05,22.45,22.64,21.71,22.13,7152798.0
2020-03-06,21.25,22.49,21.17,21.65,7709529.0
2020-03-09,19.72,20.6,19.5,19.51,7533000.0
2020-03-10,20.47,20.68,18.72,20.15,6393898.0
2020-03-11,19.56,19.72,18.31,18.8,6889775.0
2020-03-12,17.39,17.78,16.43,16.76,6359274.0
2020-03-13,17.8,18.38,16.8,18.11,7078092.0
2020-03-16,15.7,18.31,15.3,17.76,7485799.0
2020-03-17,18.18,20.16,17.67,20.16,7188903.0
2020-03-18,18.85,22.04,18.5,19.8,10336259.0
2020-03-19,19.38,21.43,19.36,19.43,8122394.0
2020-03-20,19.43,19.43,16.7,16.9,9294680.0
2020-03-23,16.83,17.15,15.29,15.3,7235041.0
2020-03-24,16.15,16.91,15.61,16.56,6294231.0
2020-03-25,16.65,17.91,15.88,16.79,5599980.0
2020-03-26,16.9,18.27,16.55,18.22,5649970.0
2020-03-27,17.78,18.19,17.08,17.35,4514141.0
2020-03-30,17.2,17.9,16.86,17.76,4361364.0
2020-03-31,17.54,17.69,16.57,16.69,3800322.0
2020-04-01,16.06,16.21,15.65,15.86,4354084.0
2020-04-02,15.83,16.75,15.76,16.06,5109461.0
2020-04-03,16.06,16.5,15.33,15.61,3697105.0
2020-04-06,16.24,16.91,16.18,16.75,4413752.0
2020-04-07,17.11,17.54,16.58,16.64,4032818.0
