date,Open,High,Low,Close,Volume
2019-08-20,336.9,344.77,332.5,340.48,218202.0
2019-08-21,341.42,345.5,340.745,344.2,346940.0
2019-08-22,342.99,344.14,338.5,341.95,93874.0
2019-08-23,341.05,341.695,331.18,332.67,165660.0
2019-08-26,333.68,336.185,331.0,335.25,171981.0
2019-08-27,336.48,338.18,332.01,334.7,155822.0
2019-08-28,333.31,337.93,332.7,335.11,175617.0
2019-08-29,338.31,339.36,334.95,337.31,220646.0
2019-08-30,339.6,340.81,336.14,337.71,100100.0
2019-09-03,335.72,337.3,330.2067,333.34,122119.0
2019-09-04,336.65,338.32,332.46,335.2,161209.0
2019-09-05,336.35,342.185,334.88,339.48,161436.0
2019-09-06,337.46,340.49,334.05,335.59,250741.0
2019-09-09,334.79,340.275,333.23,335.47,187156.0
2019-09-10,333.97,334.3,321.84,322.93,241506.0
2019-09-11,323.21,327.97,323.21,326.42,238068.0
2019-09-12,321.76,339.7099,321.76,335.89,197471.0
2019-09-13,336.01,338.98,333.88,334.49,314550.0
2019-09-16,333.0,336.29,331.66,334.15,108463.0
2019-09-17,335.02,338.57,329.46,337.45,375838.0
2019-09-18,337.13,339.6,335.0,338.34,191063.0
2019-09-19,338.98,343.98,337.675,339.73,133318.0
2019-09-20,342.16,347.27,342.16,345.24,415943.0
2019-09-23,345.73,348.39,341.96,342.02,211807.0
2019-09-24,344.89,347.495,339.56,341.62,209202.0
2019-09-25,340.68,344.01,336.585,342.99,244977.0
2019-09-26,343.26,344.6,336.89,340.21,114669.0
2019-09-27,341.58,342.23,333.05,333.99,316917.0
2019-09-30,333.82,337.01,332.22,332.74,127745.0
2019-10-01,333.55,336.4,325.59,327.28,153268.0
2019-10-02,326.02,328.5,323.8,327.16,310378.0
2019-10-03,327.62,335.04,322.11,333.56,191640.0
2019-10-04,334.11,339.57,334.11,339.37,173949.0
2019-10-07,337.44,341.4,335.76,338.52,177321.0
2019-10-08,333.03,335.57,319.26,319.73,307622.0
2019-10-09,323.0,327.13,322.84,323.33,144769.0
2019-10-10,322.81,326.29,322.44,324.29,315066.0
2019-10-11,328.11,335.53,327.54,331.24,261188.0
2019-10-14,332.34,334.53,330.0,331.55,320839.0
2019-10-15,332.82,336.005,332.82,334.51,135566.0
2019-10-16,334.08,338.66,333.21,337.6,298243.0
2019-10-17,339.9,344.45,339.115,343.45,241384.0
2019-10-18,343.07,345.15,341.745,343.27,149714.0
2019-10-21,344.44,346.855,342.0,345.56,173468.0
2019-10-22,345.87,348.11,342.13,343.54,136641.0
2019-10-23,344.26,349.99,343.565,348.48,381044.0
2019-10-24,349.0,349.0,339.33,340.63,218546.0
2019-10-25,339.43,348.67,337.27,345.67,188389.0
2019-10-28,345.82,347.745,341.03,341.5,135583.0
2019-10-29,340.73,341.88,336.65,337.92,163592.0
2019-10-30,338.96,344.78,337.285,344.5,248298.0
2019-10-31,344.14,345.77,331.09,331.62,308958.0
2019-11-01,329.0,358.89,327.97,352.33,488632.0
2019-11-04,353.1,354.7284,347.03,349.44,205196.0
2019-11-05,348.18,351.09,346.18,348.41,266526.0
2019-11-06,348.51,351.09,346.64,347.33,163491.0
2019-11-07,349.13,350.94,344.16,345.48,121314.0
2019-11-08,344.38,352.91,342.83,352.45,188864.0
2019-11-11,351.15,354.085,349.26,349.93,143363.0
2019-11-12,350.21,357.61,349.62,352.72,175859.0
2019-11-13,351.64,355.79,350.43,351.92,176647.0
2019-11-14,352.53,355.2,350.15,354.13,183556.0
2019-11-15,355.58,357.6,354.68,355.89,136891.0
2019-11-18,355.06,363.0,354.23,358.28,208610.0
2019-11-19,359.59,365.79,358.64,364.12,122258.0
2019-11-20,361.82,366.03,359.53,362.84,172223.0
2019-11-21,364.23,364.97,357.46,360.21,226399.0
2019-11-22,361.03,364.94,359.29,362.18,296563.0
2019-11-25,363.6,370.725,363.52,368.83,244464.0
2019-11-26,368.23,373.56,368.23,371.48,1016892.0
2019-11-27,372.73,374.61,371.09,373.04,118171.0
2019-11-29,370.92,374.35,369.26,369.38,98727.0
2019-12-02,369.41,372.63,368.195,371.68,185319.0
2019-12-03,368.565,372.59,367.81,371.58,162798.0
2019-12-04,371.64,374.925,369.41,371.36,192455.0
2019-12-05,371.21,372.215,368.33,369.02,432250.0
2019-12-06,373.42,376.43,370.995,374.2,195225.0
2019-12-09,373.65,373.65,357.4,357.61,330510.0
2019-12-10,357.2,357.99,339.0,353.94,528347.0
2019-12-11,352.98,354.07,348.53,351.88,189274.0
2019-12-12,355.4,364.05,353.04,362.69,265269.0
2019-12-13,361.9,364.73,353.89,354.62,121280.0
2019-12-16,355.0,368.2,354.625,366.89,407654.0
2019-12-17,368.24,368.24,363.46,365.09,480523.0
2019-12-18,365.94,367.36,358.21,359.66,237741.0
2019-12-19,360.3,361.41,356.08,360.02,252665.0
2019-12-20,362.5,373.23,361.5,372.77,385270.0
2019-12-23,371.36,372.29,368.55,370.91,227603.0
2019-12-24,372.0,372.82,367.94,368.76,122150.0
2019-12-26,369.42,370.0,366.06,367.55,90777.0
2019-12-27,368.5,368.82,364.43,368.35,91274.0
2019-12-30,367.86,370.45,366.5,369.64,147897.0
2019-12-31,368.05,372.44,368.05,370.03,102163.0
2020-01-02,372.08,373.7,367.16,372.16,150822.0
2020-01-03,366.9,370.785,364.19,366.78,138119.0
2020-01-06,363.45,372.23,363.19,372.03,140257.0
2020-01-07,374.94,384.22,372.98,380.54,253725.0
2020-01-08,384.25,386.92,380.72,381.79,269093.0
2020-01-09,384.6,390.6,384.6,388.73,244860.0
2020-01-10,391.22,391.22,382.31,383.52,149299.0
2020-01-13,385.15,388.4325,383.155,384.14,180198.0
2020-01-14,381.85,387.24,380.26,384.16,205842.0
2020-01-15,383.28,387.09,375.32,376.43,145430.0
2020-01-16,379.69,380.61,377.51,379.7,134194.0
2020-01-17,380.13,381.19,375.52,376.89,262082.0
2020-01-21,375.94,380.786,375.52,378.88,204542.0
2020-01-22,379.77,383.025,377.59,378.52,100959.0
2020-01-23,377.11,379.34,375.28,375.34,166592.0
2020-01-24,376.13,376.13,368.27,369.97,86602.0
2020-01-27,363.39,369.3,362.935,365.34,168731.0
2020-01-28,368.09,370.19,366.04,366.99,100170.0
2020-01-29,369.17,375.22,367.96,368.64,95696.0
2020-01-30,366.45,367.98,362.17,367.12,103952.0
2020-01-31,366.37,366.37,358.675,360.92,245948.0
2020-02-03,363.22,370.7,362.84,364.01,110648.0
2020-02-04,368.69,371.04,362.18,363.72,183839.0
2020-02-05,367.3,372.79,366.965,371.19,100122.0
2020-02-06,373.9,375.415,369.96,374.24,104016.0
2020-02-07,373.56,375.3089,369.73,370.3,91756.0
2020-02-10,368.02,370.28,366.405,369.67,136884.0
2020-02-11,371.03,375.13,368.34,371.48,97537.0
2020-02-12,373.86,377.57,372.4725,375.58,205925.0
2020-02-13,373.1,381.37,373.1,379.34,137329.0
2020-02-14,380.7,404.825,380.7,403.63,506300.0
2020-02-18,401.39,409.0,393.85,407.45,265893.0
2020-02-19,407.47,410.63,406.5,409.01,182921.0
2020-02-20,406.68,413.02,401.78,409.07,124965.0
2020-02-21,406.69,406.69,397.04,400.5,154581.0
2020-02-24,386.15,390.905,378.85,385.33,137093.0
2020-02-25,385.82,385.82,366.56,368.38,309270.0
2020-02-26,372.4,378.4,365.69,369.0,155193.0
2020-02-27,361.83,376.33,352.09,360.8,227367.0
2020-02-28,349.36,355.9,343.335,352.02,290783.0
2020-03-02,353.83,369.44,344.02,368.95,264147.0
2020-03-03,370.32,390.19,364.41,370.0,256985.0
2020-03-04,377.27,385.28,371.5,384.93,149690.0
2020-03-05,375.6,389.45,373.68,386.68,261019.0
2020-03-06,377.03,377.03,363.75,374.56,295965.0
2020-03-09,355.45,358.31,345.77,351.34,184399.0
2020-03-10,360.78,368.53,351.02,367.59,358255.0
2020-03-11,359.17,365.14,341.56,345.79,258388.0
2020-03-12,324.01,335.65,319.51,320.01,357373.0
2020-03-13,337.06,348.81,321.625,347.79,271322.0
2020-03-16,315.0,349.4423,315.0,335.71,306118.0
2020-03-17,342.79,364.36,338.805,358.78,437716.0
2020-03-18,341.05,362.57,340.62,359.0,391411.0
