date,Open,High,Low,Close,Volume
2019-08-20,42.52,42.59,41.91,41.96,2441677.0
2019-08-21,42.13,42.37,41.82,41.94,3295649.0
2019-08-22,42.23,42.47,41.82,42.17,3712680.0
2019-08-23,41.9,42.24,40.77,41.02,3737502.0
2019-08-26,41.33,41.45,40.84,41.11,4231947.0
2019-08-27,41.34,41.53,40.9,40.95,3878326.0
2019-08-28,40.79,41.19,40.52,41.05,4184732.0
2019-08-29,41.47,42.06,41.4,41.72,3051507.0
2019-08-30,42.02,42.25,41.83,42.06,3051029.0
2019-09-03,41.69,41.84,41.01,41.53,3613246.0
2019-09-04,41.96,42.04,41.49,41.92,2671594.0
2019-09-05,42.55,43.35,42.32,42.82,4544446.0
2019-09-06,42.94,43.1,42.6,43.03,3388916.0
2019-09-09,43.31,45.8,43.17,45.48,7858947.0
2019-09-10,45.77,46.25,45.29,45.78,5969944.0
2019-09-11,45.96,46.36,45.3,46.34,3986297.0
2019-09-12,46.13,46.56,45.72,46.31,3106213.0
2019-09-13,46.88,47.17,46.58,46.9,3209560.0
2019-09-16,46.38,47.0,46.14,46.75,2811510.0
2019-09-17,45.43,46.37,45.36,46.35,4957936.0
2019-09-18,46.37,47.24,45.93,47.0,4667941.0
2019-09-19,46.95,47.45,46.65,46.98,3258211.0
2019-09-20,46.98,47.2,46.23,46.38,8355775.0
2019-09-23,46.08,46.84,46.03,46.77,2357794.0
2019-09-24,46.6,46.89,46.0,46.25,2783127.0
2019-09-25,46.37,46.99,46.28,46.89,2785262.0
2019-09-26,46.82,46.91,46.38,46.63,2604352.0
2019-09-27,45.98,46.14,44.08,44.53,13736508.0
2019-09-30,44.88,45.48,44.78,45.21,5699735.0
2019-10-01,45.21,45.28,43.59,43.73,4891271.0
2019-10-02,43.4,43.5,42.43,42.49,7628056.0
2019-10-03,42.54,42.79,42.02,42.43,9525574.0
2019-10-04,42.59,42.77,42.14,42.63,14416511.0
2019-10-07,42.6,42.61,42.17,42.24,7868473.0
2019-10-08,41.92,42.7,41.66,42.33,8077789.0
2019-10-09,42.68,42.99,42.31,42.83,3735348.0
2019-10-10,42.93,43.79,42.8,43.5,4184978.0
2019-10-11,44.39,44.69,44.06,44.12,5316140.0
2019-10-14,43.92,44.13,43.41,43.91,5008844.0
2019-10-15,44.07,44.47,43.56,44.36,11081524.0
2019-10-16,45.0,45.67,44.42,44.44,7767075.0
2019-10-17,44.99,45.2,44.33,44.38,4233931.0
2019-10-18,44.32,45.91,44.25,45.34,7161704.0
2019-10-21,45.53,45.97,45.47,45.67,6941720.0
2019-10-22,45.62,46.72,45.33,46.14,5818266.0
2019-10-23,46.04,46.95,46.04,46.73,6547837.0
2019-10-24,46.68,46.85,45.96,46.28,5719327.0
2019-10-25,45.92,46.75,45.86,46.38,5696967.0
2019-10-28,46.75,47.02,46.62,46.89,5010894.0
2019-10-29,46.66,47.18,46.61,46.63,8328269.0
2019-10-30,46.57,46.85,46.32,46.62,5709160.0
2019-10-31,46.44,46.75,46.18,46.75,8581636.0
2019-11-01,47.09,47.6,46.94,47.16,7002211.0
2019-11-04,47.74,48.74,47.6,48.72,6596840.0
2019-11-05,48.94,49.65,48.87,49.17,6951757.0
2019-11-06,49.15,49.49,48.93,49.13,3460007.0
2019-11-07,49.54,50.03,49.39,49.4,5281346.0
2019-11-08,49.33,49.67,48.98,49.2,3748684.0
2019-11-11,49.2,49.57,48.99,49.06,2988305.0
2019-11-12,49.21,49.31,48.78,48.9,3443831.0
2019-11-13,48.38,48.77,48.04,48.35,2806342.0
2019-11-14,48.32,48.63,48.18,48.42,2034717.0
2019-11-15,48.56,48.62,48.19,48.57,4286131.0
2019-11-18,48.63,49.03,48.43,48.73,2930857.0
2019-11-19,48.99,49.0,48.56,48.69,3052361.0
2019-11-20,48.56,48.94,48.38,48.88,3204842.0
2019-11-21,48.99,49.11,48.5,48.57,2743634.0
2019-11-22,48.65,49.1,48.56,48.8,3133657.0
2019-11-25,48.86,49.45,48.85,49.33,2359774.0
2019-11-26,49.37,49.43,48.55,48.78,3530903.0
2019-11-27,49.02,49.15,48.78,48.96,2820100.0
2019-11-29,48.88,49.1,48.64,48.97,3290357.0
2019-12-02,49.11,49.4,48.96,49.13,3429775.0
2019-12-03,48.61,48.69,47.91,48.12,3845601.0
2019-12-04,48.12,48.89,48.12,48.78,2188361.0
2019-12-05,49.03,49.3,48.9,49.27,2372529.0
2019-12-06,49.83,49.93,49.61,49.64,3686927.0
2019-12-09,49.57,49.89,49.41,49.7,2634292.0
2019-12-10,49.76,49.91,49.53,49.84,3265747.0
2019-12-11,49.93,50.37,49.8,49.88,4329004.0
2019-12-12,50.13,51.4,49.92,51.22,4453253.0
2019-12-13,51.03,51.4,50.16,50.22,3885607.0
2019-12-16,50.73,51.04,50.1,50.16,3239744.0
2019-12-17,50.62,51.25,50.51,51.16,4070630.0
2019-12-18,51.11,51.26,50.92,51.0,5175174.0
2019-12-19,50.95,51.25,50.73,50.85,4391393.0
2019-12-20,50.94,51.11,50.48,50.63,8378257.0
2019-12-23,50.65,50.7,50.09,50.37,2084437.0
2019-12-24,50.39,50.47,50.17,50.35,763740.0
2019-12-26,50.46,50.65,50.29,50.49,1211668.0
2019-12-27,50.53,50.64,50.17,50.32,1859160.0
2019-12-30,50.54,50.71,50.09,50.18,3458208.0
2019-12-31,50.14,50.48,50.06,50.33,2264833.0
2020-01-02,50.46,50.92,50.22,50.92,2587184.0
2020-01-03,50.26,50.43,49.8,50.27,2276082.0
2020-01-06,50.31,50.75,50.02,50.74,3973777.0
2020-01-07,50.69,51.42,50.69,51.25,3573535.0
2020-01-08,51.45,51.57,51.01,51.31,3941404.0
2020-01-09,51.51,51.6,51.27,51.48,2775413.0
2020-01-10,51.39,51.39,50.42,50.54,3307775.0
2020-01-13,50.67,50.89,50.55,50.88,3557461.0
2020-01-14,50.83,51.21,50.65,51.01,3150119.0
2020-01-15,50.73,50.89,50.37,50.69,4272405.0
2020-01-16,46.75,47.45,46.36,46.72,12393482.0
2020-01-17,46.85,46.96,45.86,46.18,12579796.0
2020-01-21,46.31,47.5,46.23,46.78,7862904.0
2020-01-22,46.92,47.07,46.5,46.73,6344781.0
2020-01-23,46.48,47.44,46.25,47.02,5585235.0
2020-01-24,46.66,46.7,45.54,45.95,6416428.0
2020-01-27,45.17,45.76,45.04,45.05,5940144.0
2020-01-28,45.4,45.43,44.81,44.97,8295672.0
2020-01-29,45.1,45.18,44.28,44.46,9835986.0
2020-01-30,44.16,45.48,44.1,45.4,5153412.0
2020-01-31,45.04,45.19,44.34,44.78,6765759.0
2020-02-03,45.04,45.88,44.92,45.21,6482200.0
2020-02-04,45.84,46.63,45.83,45.95,6870489.0
2020-02-05,46.48,47.195,46.45,46.98,5209430.0
2020-02-06,47.25,47.63,47.06,47.54,5696917.0
2020-02-07,47.23,47.51,46.98,47.25,3866985.0
2020-02-10,46.98,47.06,46.34,46.49,3078865.0
2020-02-11,46.66,46.8,46.31,46.42,3480555.0
2020-02-12,46.81,47.2,46.51,46.56,2631647.0
2020-02-13,46.44,46.6,45.96,46.03,2699250.0
2020-02-14,46.1,46.23,45.69,45.9,3770824.0
2020-02-18,45.8,46.03,45.18,45.29,3253182.0
2020-02-19,45.3,46.01,45.2,45.92,3956973.0
2020-02-20,45.8,46.3,45.6,45.83,2925832.0
2020-02-21,45.51,45.74,44.83,45.04,5058517.0
2020-02-24,44.02,44.12,42.9,43.13,5084909.0
2020-02-25,43.21,43.42,41.33,41.59,5765061.0
2020-02-26,41.82,42.07,41.19,41.37,6737006.0
2020-02-27,40.51,42.82,40.23,40.96,11047762.0
2020-02-28,39.52,40.07,38.54,39.9,14487905.0
2020-03-02,40.03,40.96,39.2,40.96,11489604.0
2020-03-03,40.89,40.94,38.1,38.83,14057775.0
2020-03-04,39.31,40.91,38.65,40.5,12017380.0
2020-03-05,38.56,40.12,38.16,39.3,10984106.0
2020-03-06,37.57,38.74,37.36,38.07,9299773.0
2020-03-09,34.8,37.44,34.2,34.95,8351380.0
2020-03-10,36.51,36.61,35.04,36.55,8741017.0
2020-03-11,35.62,35.92,33.7,34.2,8599322.0
2020-03-12,31.85,32.34,29.4,29.52,9726369.0
2020-03-13,31.75,34.13,30.45,34.13,9089111.0
2020-03-16,29.14,32.62,29.0,29.18,9714870.0
2020-03-17,30.13,30.6,28.19,29.97,11952328.0
2020-03-18,28.06,29.54,26.4,28.76,10158814.0
2020-03-19,28.46,31.32,27.7,30.0,7907503.0
2020-03-20,30.3,31.31,28.87,29.07,9555944.0
2020-03-23,28.81,28.96,26.93,27.49,8554646.0
2020-03-24,29.21,31.59,29.17,31.0,9411081.0
2020-03-25,31.51,32.89,29.51,31.64,9866627.0
2020-03-26,31.93,33.17,30.93,33.0,8440925.0
2020-03-27,31.63,33.53,31.28,32.54,5764473.0
2020-03-30,32.6,34.18,31.72,34.0,6232210.0
2020-03-31,33.56,34.88,33.29,33.68,7047247.0
