date,Open,High,Low,Close,Volume
2019-08-20,1942.51,1952.12,1929.21,1934.4,230370.0
2019-08-21,1945.69,1957.6,1939.7,1955.75,203037.0
2019-08-22,1962.45,1967.52,1928.3,1952.47,204639.0
2019-08-23,1942.98,1951.92,1893.08,1898.67,303413.0
2019-08-26,1918.24,1918.5,1902.21,1916.81,219308.0
2019-08-27,1921.74,1931.8,1912.33,1919.99,276244.0
2019-08-28,1911.8,1947.95,1903.57,1942.0,227571.0
2019-08-29,1966.43,1976.76,1948.0,1957.14,312969.0
2019-08-30,1971.8,1973.23,1953.0,1966.41,271034.0
2019-09-03,1956.56,1967.9,1931.42,1941.78,341499.0
2019-09-04,1960.88,1963.56,1935.71,1958.79,280034.0
2019-09-05,1974.15,2010.94,1967.44,1994.44,440336.0
2019-09-06,2006.34,2006.34,1962.75,1967.63,413012.0
2019-09-09,1980.64,1994.51,1973.38,1992.25,369671.0
2019-09-10,1983.34,2018.76,1964.03,2018.76,456165.0
2019-09-11,2013.2,2054.17,2001.38,2050.16,399579.0
2019-09-12,2056.0,2067.07,2037.3,2041.41,442198.0
2019-09-13,2047.02,2071.78,2039.6,2063.9,392795.0
2019-09-16,2057.24,2081.81,2035.01,2072.95,393924.0
2019-09-17,2067.6,2081.24,2058.17,2077.44,267060.0
2019-09-18,2072.21,2078.85,2036.98,2058.37,187332.0
2019-09-19,2053.74,2062.7,2046.73,2058.57,259642.0
2019-09-20,2046.22,2057.43,2029.46,2031.57,525418.0
2019-09-23,2016.0,2030.0,2007.14,2009.41,320497.0
2019-09-24,2012.82,2020.99,1985.92,1990.64,292818.0
2019-09-25,1991.65,2000.63,1962.0,1993.53,334590.0
2019-09-26,1994.08,1994.08,1964.0,1978.45,311490.0
2019-09-27,1969.56,1979.35,1936.86,1944.25,308957.0
2019-09-30,1953.0,1982.71,1942.34,1962.61,231208.0
2019-10-01,1977.0,1987.76,1964.71,1978.03,234815.0
2019-10-02,1969.0,1969.0,1929.9,1941.44,295804.0
2019-10-03,1936.55,1964.3,1918.23,1961.45,224224.0
2019-10-04,1970.64,1984.87,1965.31,1983.2,164138.0
2019-10-07,1971.01,1980.26,1949.08,1951.56,273949.0
2019-10-08,1937.05,1955.73,1923.56,1938.19,198940.0
2019-10-09,1953.72,1954.16,1926.2,1943.33,231547.0
2019-10-10,1942.69,1970.43,1933.84,1962.91,233971.0
2019-10-11,1984.3,2003.79,1972.94,1977.18,281647.0
2019-10-14,1964.52,1994.38,1964.52,1988.75,206869.0
2019-10-15,1992.21,2023.11,1991.6,2016.39,275998.0
2019-10-16,2016.8,2037.09,2016.8,2027.63,300300.0
2019-10-17,2033.0,2044.77,2021.37,2028.53,200964.0
2019-10-18,2030.86,2033.92,2006.95,2013.53,349673.0
2019-10-21,2022.68,2035.0,2017.4,2022.24,194545.0
2019-10-22,2029.04,2033.3,2010.01,2023.05,188478.0
2019-10-23,2019.66,2034.68,2016.21,2032.23,177143.0
2019-10-24,2035.0,2045.83,2016.47,2043.75,173604.0
2019-10-25,2020.13,2058.86,2019.77,2055.93,242371.0
2019-10-28,2053.02,2079.7,2047.29,2057.05,193899.0
2019-10-29,2054.14,2057.43,2037.73,2042.8,177675.0
2019-10-30,2035.53,2050.86,2030.35,2049.55,150345.0
2019-10-31,2046.08,2059.17,2031.29,2048.77,192380.0
2019-11-01,2023.62,2041.58,2007.75,2032.02,333184.0
2019-11-04,2042.0,2045.78,2002.83,2007.68,328280.0
2019-11-05,2008.99,2029.8,2001.59,2025.43,255737.0
2019-11-06,2018.56,2022.44,2001.41,2012.09,378348.0
2019-11-07,1942.2,1945.22,1844.45,1849.93,1827313.0
2019-11-08,1941.0,1954.0,1841.0,1879.19,1034066.0
2019-11-11,1869.0,1897.98,1852.84,1896.04,471196.0
2019-11-12,1901.35,1901.35,1860.23,1875.84,496625.0
2019-11-13,1855.59,1871.86,1852.64,1859.09,445481.0
2019-11-14,1855.39,1875.0,1850.96,1865.55,276931.0
2019-11-15,1873.85,1873.99,1843.03,1848.82,366585.0
2019-11-18,1847.04,1853.15,1826.69,1838.03,361985.0
2019-11-19,1845.0,1854.36,1833.41,1845.3,274044.0
2019-11-20,1846.06,1856.69,1837.0,1851.82,354734.0
2019-11-21,1851.34,1876.0,1844.59,1873.31,342706.0
2019-11-22,1881.45,1884.99,1870.44,1877.53,239868.0
2019-11-25,1885.09,1902.57,1875.01,1897.54,298656.0
2019-11-26,1899.7,1899.74,1882.02,1887.46,329695.0
2019-11-27,1893.0,1916.35,1883.03,1906.45,263046.0
2019-11-29,1904.89,1910.0,1899.08,1904.03,153587.0
2019-12-02,1898.21,1903.49,1867.76,1884.44,400300.0
2019-12-03,1865.39,1881.58,1852.52,1879.98,289982.0
2019-12-04,1894.64,1929.0,1879.98,1921.53,423616.0
2019-12-05,1929.0,1929.0,1901.51,1904.22,353916.0
2019-12-06,1923.27,1935.92,1920.21,1930.27,299300.0
2019-12-09,1928.08,1928.65,1903.18,1905.79,345804.0
2019-12-10,1902.4,1926.4,1901.58,1904.63,238801.0
2019-12-11,1915.9,1929.82,1904.48,1925.88,267361.0
2019-12-12,1930.85,1959.04,1924.45,1948.48,302445.0
2019-12-13,1960.87,1990.0,1949.08,1973.6,395755.0
2019-12-16,1983.47,1998.01,1983.47,1995.02,264163.0
2019-12-17,2000.0,2011.63,1991.0,2001.87,311345.0
2019-12-18,2008.67,2008.67,1977.77,1991.51,379818.0
2019-12-19,1996.0,2014.97,1994.76,2003.12,277465.0
2019-12-20,2017.0,2025.0,2002.34,2023.26,583181.0
2019-12-23,2026.01,2041.5,2017.67,2032.1,219590.0
2019-12-24,2032.24,2047.3,2031.29,2044.0,97345.0
2019-12-26,2049.34,2068.81,2047.65,2064.32,182675.0
2019-12-27,2063.0,2080.99,2053.64,2072.54,280016.0
2019-12-30,2071.99,2082.67,2050.47,2053.87,224732.0
2019-12-31,2046.51,2057.99,2039.97,2053.73,226931.0
2020-01-02,2068.4,2077.41,2053.22,2074.58,310369.0
2020-01-03,2042.47,2067.69,2035.0,2065.48,293992.0
2020-01-06,2050.0,2059.79,2035.0,2047.4,384040.0
2020-01-07,2047.39,2072.83,2038.54,2068.05,346694.0
2020-01-08,2066.84,2088.66,2057.14,2062.9,326068.0
2020-01-09,2072.0,2090.0,2072.0,2084.29,274027.0
2020-01-10,2088.37,2094.0,2076.94,2086.9,198485.0
2020-01-13,2090.25,2090.25,2073.01,2080.5,244698.0
2020-01-14,2074.6,2085.99,2067.16,2071.48,331704.0
2020-01-15,2073.56,2083.99,2061.38,2065.16,308969.0
2020-01-16,2073.01,2073.01,2040.97,2054.75,546830.0
2020-01-17,2060.0,2064.04,2046.9,2054.69,470801.0
2020-01-21,2006.0,2014.51,1963.87,1990.57,707221.0
2020-01-22,2004.33,2014.24,1992.04,2000.24,357431.0
2020-01-23,1986.24,2006.39,1975.12,1993.2,368553.0
