date,Open,High,Low,Close,Volume
2019-08-20,423.41,423.41,417.53,418.29,401700.0
2019-08-21,422.8,424.97,420.11,420.93,351200.0
2019-08-22,423.0,423.92,416.63,419.0,551900.0
2019-08-23,416.94,418.97,405.07,407.25,853300.0
2019-08-26,411.68,411.88,403.54,405.47,812300.0
2019-08-27,406.65,410.9,405.26,410.51,1068800.0
2019-08-28,408.01,413.97,406.39,413.84,590700.0
2019-08-29,419.0,424.83,416.99,422.04,699700.0
2019-08-30,424.96,425.85,420.93,422.56,466300.0
2019-09-03,420.99,420.99,412.69,415.82,540200.0
2019-09-04,416.28,418.67,412.12,415.64,525000.0
2019-09-05,421.82,429.98,420.83,424.72,888800.0
2019-09-06,424.88,426.13,421.18,423.83,467200.0
2019-09-09,426.96,432.87,424.86,430.85,724700.0
2019-09-10,432.0,434.11,421.44,428.34,734800.0
2019-09-11,429.27,434.14,423.86,432.83,605100.0
2019-09-12,432.91,437.25,428.74,434.75,602200.0
2019-09-13,438.15,444.79,437.07,442.96,586500.0
2019-09-16,439.17,442.63,432.45,435.71,697400.0
2019-09-17,436.95,439.54,434.69,439.18,675300.0
2019-09-18,442.55,444.95,438.93,443.16,641700.0
2019-09-19,443.55,448.95,442.1,443.98,517700.0
2019-09-20,446.16,447.13,441.82,444.39,1228200.0
2019-09-23,440.94,448.08,440.26,446.2,647100.0
2019-09-24,449.1,449.97,439.14,442.12,765400.0
2019-09-25,442.0,445.56,437.3,445.19,597500.0
2019-09-26,444.72,447.21,442.15,446.0,516700.0
2019-09-27,448.58,449.52,440.95,446.13,539200.0
2019-09-30,448.09,448.98,445.0,445.64,362500.0
2019-10-01,445.63,448.67,433.27,433.69,597000.0
2019-10-02,428.5,429.33,417.47,420.36,743200.0
2019-10-03,418.89,421.61,411.21,419.61,505400.0
2019-10-04,421.15,427.7,419.09,427.44,349800.0
2019-10-07,424.76,427.24,421.28,423.17,566900.0
2019-10-08,419.37,420.26,411.75,413.16,498400.0
2019-10-09,415.81,419.33,413.96,417.17,380800.0
2019-10-10,417.07,424.88,417.07,420.38,587400.0
2019-10-11,428.0,435.9,425.46,434.0,733500.0
2019-10-14,432.29,434.5,429.63,434.21,709800.0
2019-10-15,437.82,447.98,435.05,444.45,834700.0
2019-10-16,445.0,447.4,444.06,446.4,482800.0
2019-10-17,449.99,454.38,449.0,450.67,544600.0
2019-10-18,448.73,450.19,444.6,445.04,527900.0
2019-10-21,447.06,454.39,447.04,453.65,568600.0
2019-10-22,453.63,455.26,449.0,450.32,403100.0
2019-10-23,449.83,457.32,448.33,457.06,374000.0
2019-10-24,457.58,459.48,451.71,454.66,404600.0
2019-10-25,455.8,460.6,451.67,459.8,475400.0
2019-10-28,461.47,469.5,461.47,466.56,584100.0
2019-10-29,464.95,470.79,464.6,466.16,473700.0
2019-10-30,465.4,467.55,460.63,466.94,323600.0
2019-10-31,464.22,466.94,458.0,461.7,429500.0
2019-11-01,466.36,471.6,466.31,469.17,441500.0
2019-11-04,474.88,476.8,472.91,476.53,544100.0
2019-11-05,476.53,484.89,475.79,482.44,716800.0
2019-11-06,484.91,491.58,483.08,489.54,792800.0
2019-11-07,492.2,495.39,489.54,490.16,756500.0
2019-11-08,489.85,491.94,485.66,490.21,356200.0
2019-11-11,486.4,488.81,485.39,486.79,414100.0
2019-11-12,487.0,487.62,484.41,486.79,365300.0
2019-11-13,482.53,487.9,480.57,485.57,330100.0
2019-11-14,484.97,485.63,481.84,484.59,413300.0
2019-11-15,486.07,491.88,484.0,490.96,342100.0
2019-11-18,490.81,492.57,488.69,491.74,303700.0
2019-11-19,493.0,495.78,491.13,492.8,350600.0
2019-11-20,490.58,492.71,485.17,488.81,438800.0
2019-11-21,489.0,489.5,482.54,484.98,526700.0
2019-11-22,485.0,487.77,484.1,485.0,483100.0
2019-11-25,486.24,492.56,484.36,491.86,434700.0
2019-11-26,490.76,491.46,487.5,490.89,525100.0
2019-11-27,490.43,494.64,488.86,494.21,299700.0
2019-11-29,496.55,496.9,493.46,494.91,239600.0
2019-12-02,495.28,495.69,488.91,489.7,379800.0
2019-12-03,484.64,486.21,478.68,485.76,465700.0
2019-12-04,485.66,493.0,485.66,486.69,730800.0
2019-12-05,485.11,490.54,482.52,490.3,460600.0
2019-12-06,495.47,499.7,491.85,495.76,507000.0
2019-12-09,494.3,498.09,492.1,497.07,372800.0
2019-12-10,497.79,497.92,492.85,494.03,354100.0
2019-12-11,494.28,497.34,492.62,493.91,469600.0
2019-12-12,494.04,503.69,493.52,502.12,535800.0
2019-12-13,501.59,503.86,495.49,498.61,455600.0
2019-12-16,503.61,506.81,501.22,502.05,426900.0
2019-12-17,503.53,505.22,500.1,502.29,425100.0
2019-12-18,503.17,503.17,498.17,499.49,542900.0
2019-12-19,499.34,503.86,499.02,502.34,428300.0
2019-12-20,506.36,506.36,499.42,499.59,967600.0
2019-12-23,501.62,502.82,497.61,499.66,361200.0
2019-12-24,500.3,500.76,497.44,499.64,126400.0
2019-12-26,499.84,503.26,499.73,503.24,157000.0
2019-12-27,503.25,504.55,501.62,503.01,221700.0
2019-12-30,504.0,504.0,499.59,500.84,276200.0
2019-12-31,500.76,502.89,498.28,502.7,296900.0
2020-01-02,510.0,510.0,504.92,508.98,560400.0
2020-01-03,501.72,506.7,501.52,503.57,337300.0
2020-01-06,500.17,504.77,498.51,504.0,411300.0
2020-01-07,502.88,509.82,502.88,507.22,453900.0
2020-01-08,507.77,510.14,502.24,507.1,726500.0
2020-01-09,513.88,514.82,510.6,513.1,477100.0
2020-01-10,514.51,515.24,510.41,512.18,484000.0
2020-01-13,513.27,523.45,513.27,523.11,651800.0
2020-01-14,520.15,525.0,516.52,518.32,923600.0
2020-01-15,518.5,531.62,518.5,530.26,1005100.0
2020-01-16,536.91,536.91,530.25,535.0,778100.0
2020-01-17,537.06,539.2,533.23,535.24,669100.0
2020-01-21,532.01,534.15,527.76,529.14,775800.0
2020-01-22,532.53,539.63,531.34,536.86,778100.0
2020-01-23,533.6,544.0,532.88,541.94,804500.0
2020-01-24,544.42,547.35,532.76,536.84,751200.0
2020-01-27,522.0,530.33,519.61,523.81,516500.0
2020-01-28,527.96,533.77,525.15,529.97,496600.0
2020-01-29,534.45,542.17,532.37,536.49,434700.0
2020-01-30,531.04,540.26,528.91,539.69,510956.0
2020-01-31,537.94,539.09,525.18,527.35,646400.0
2020-02-03,530.23,537.15,529.8,530.08,503100.0
2020-02-04,538.17,540.32,531.45,535.24,851800.0
2020-02-05,543.84,546.6809,537.47,543.48,942967.0
2020-02-06,548.07,555.24,541.33,554.67,824400.0
2020-02-07,550.0,556.01,549.5,555.74,712900.0
2020-02-10,553.44,561.25,553.3,561.1,744100.0
2020-02-11,564.05,571.31,563.88,570.44,598900.0
2020-02-12,574.84,576.81,570.01,572.48,426300.0
2020-02-13,568.69,572.75,567.37,568.55,479700.0
2020-02-14,565.74,568.92,562.71,565.94,472400.0
2020-02-18,565.0,565.22,562.31,564.81,403200.0
2020-02-19,567.98,573.0,566.19,572.07,383200.0
2020-02-20,570.0,572.95,560.62,566.92,475200.0
2020-02-21,563.41,564.85,555.0,557.0,494200.0
2020-02-24,536.05,541.31,527.65,528.0,1063700.0
2020-02-25,530.26,531.13,502.47,506.0,1064600.0
2020-02-26,508.17,517.96,505.49,508.47,959600.0
2020-02-27,495.64,500.86,475.78,475.82,1286000.0
2020-02-28,459.25,465.41,449.02,463.01,2039300.0
2020-03-02,467.14,488.18,461.57,487.94,1278200.0
2020-03-03,488.34,503.98,476.18,482.07,1589800.0
2020-03-04,488.09,497.77,479.3,495.31,1175000.0
2020-03-05,477.37,482.4,464.58,472.47,1022200.0
2020-03-06,452.04,458.96,440.52,450.41,1460300.0
2020-03-09,411.39,436.1,405.15,419.01,1478200.0
2020-03-10,441.33,459.02,434.23,459.0,1608300.0
2020-03-11,445.0,447.99,422.17,430.97,1263400.0
2020-03-12,398.38,420.0,383.43,386.22,1669700.0
2020-03-13,415.11,419.24,388.0,413.78,1579400.0
2020-03-16,368.44,376.57,354.01,357.28,1569300.0
2020-03-17,366.21,398.24,355.39,386.76,1609700.0
2020-03-18,357.17,374.57,323.98,373.36,1969400.0
2020-03-19,367.29,415.15,351.3,397.36,1593700.0
2020-03-20,401.01,402.4,350.96,354.72,1363100.0
2020-03-23,354.72,354.72,326.28,327.42,1422800.0
2020-03-24,349.3,373.06,346.29,371.7,1319600.0
2020-03-25,384.9,439.99,377.0,401.38,1951000.0
2020-03-26,408.06,454.5,405.57,451.9,1598200.0
2020-03-27,428.54,449.48,421.12,434.34,1044200.0
2020-03-30,438.0,456.25,434.51,455.35,1177300.0
2020-03-31,451.89,458.63,436.99,439.97,1389200.0
2020-04-01,418.11,424.5,401.9,409.54,1163700.0
2020-04-02,408.18,433.87,406.19,426.53,649300.0
2020-04-03,426.71,432.98,411.03,418.07,612600.0
2020-04-06,442.01,452.98,433.4,449.52,957900.0
2020-04-07,469.0,469.07,441.98,443.12,831100.0
2020-04-08,445.81,455.64,441.63,450.97,772300.0
2020-04-09,460.0,478.69,458.43,471.42,1154600.0
2020-04-13,468.86,470.24,449.25,452.39,689100.0
2020-04-14,466.79,467.99,456.48,458.03,566300.0
2020-04-15,442.49,451.0,440.0,443.07,590400.0
2020-04-16,445.19,462.85,444.84,458.99,764900.0
2020-04-17,476.32,484.69,469.35,476.87,977200.0
2020-04-20,467.84,475.24,464.15,470.8,589500.0
2020-04-21,460.07,477.62,453.33,474.37,1200700.0
2020-04-22,484.32,487.88,475.54,481.0,842800.0
2020-04-23,481.32,484.76,469.31,471.2,512300.0
2020-04-24,476.03,476.03,469.64,475.14,517600.0
2020-04-27,481.07,498.15,477.06,496.65,613900.0
2020-04-28,508.07,510.79,494.76,497.77,655700.0
2020-04-29,510.67,516.0,500.59,511.39,638000.0
2020-04-30,501.24,507.94,497.81,502.04,580300.0
2020-05-01,491.42,492.47,483.15,484.16,526300.0
2020-05-04,479.0,483.71,473.11,481.51,634900.0
2020-05-05,488.11,493.73,484.88,485.49,525900.0
2020-05-06,489.73,491.7,476.67,483.4,520900.0
2020-05-07,494.87,502.81,493.33,497.39,537100.0
2020-05-08,505.53,506.0,496.62,498.78,450500.0
2020-05-11,492.27,497.18,488.64,493.11,699600.0
2020-05-12,472.83,473.34,451.35,454.44,3499000.0
2020-05-13,459.99,491.78,456.5,485.8,9666100.0
2020-05-14,481.0,500.14,471.45,498.2,11804100.0
2020-05-15,495.0,515.59,490.52,513.73,5957000.0
2020-05-18,519.0,528.79,514.59,516.43,5587200.0
2020-05-19,512.46,515.58,498.83,501.2,2099700.0
2020-05-20,509.56,513.0,503.46,508.74,1496400.0
2020-05-21,508.08,509.63,504.15,508.51,1007600.0
2020-05-22,506.0,513.57,503.0,513.3,632700.0
2020-05-26,525.0,530.15,521.41,523.63,1064300.0
2020-05-27,536.25,537.35,525.33,536.4,1182100.0
2020-05-28,548.48,550.0,535.01,536.84,1132800.0
2020-05-29,530.69,534.5,520.55,528.64,1159300.0
2020-06-01,528.0,543.11,526.73,538.23,668000.0
2020-06-02,544.4,547.77,538.43,541.34,846800.0
2020-06-03,550.0,551.94,542.81,547.71,1071500.0
2020-06-04,541.93,548.14,540.0,546.19,913400.0
2020-06-05,558.0,562.09,551.62,556.53,1438000.0
2020-06-08,557.22,561.92,550.55,557.33,1133400.0
2020-06-09,547.97,562.5,546.95,558.06,851900.0
2020-06-10,559.45,567.58,555.63,558.06,779700.0
2020-06-11,544.07,548.67,521.14,525.21,1250800.0
2020-06-12,538.4,539.13,516.1,527.04,1065600.0
2020-06-15,518.23,549.59,515.72,543.03,1242900.0
2020-06-16,558.9,558.9,539.35,550.4,826900.0
2020-06-17,554.96,561.5,552.8,555.23,704600.0
2020-06-18,549.87,558.35,548.53,556.77,531800.0
2020-06-19,566.98,566.98,546.85,555.37,1875200.0
2020-06-22,550.77,558.57,548.59,553.21,478600.0
2020-06-23,560.0,561.99,553.21,554.65,605900.0
2020-06-24,548.65,551.9,536.24,538.57,868800.0
2020-06-25,537.77,550.4,532.75,546.97,713900.0
2020-06-26,542.11,544.42,528.63,534.85,1167800.0
2020-06-29,540.0,540.57,530.99,532.87,774366.0
2020-06-30,533.97,545.98,533.97,544.09,1067100.0
2020-07-01,544.29,546.48,537.46,544.32,548600.0
2020-07-02,555.48,560.56,548.62,551.77,742000.0
2020-07-06,560.0,564.4,557.09,557.55,703100.0
2020-07-07,553.37,560.47,549.16,549.23,557300.0
2020-07-08,551.01,559.94,549.49,557.61,435700.0
2020-07-09,554.46,557.47,544.26,549.44,462700.0
2020-07-10,550.53,555.92,546.78,554.08,489500.0
2020-07-13,558.2,565.23,552.0,552.56,786400.0
2020-07-14,552.76,562.51,551.46,561.33,567300.0
2020-07-15,572.28,573.0,560.24,568.59,767600.0
2020-07-16,565.3,569.76,563.12,566.96,729900.0
2020-07-17,578.35,592.48,572.65,587.72,1150200.0
2020-07-20,580.22,585.0,577.13,579.6,706700.0
2020-07-21,584.75,584.75,578.29,580.0,523000.0
2020-07-22,580.33,586.62,577.98,582.54,460500.0
2020-07-23,580.31,585.0533,575.2197,578.15,453666.0
2020-07-24,578.0,578.0,567.66,570.62,421653.0
2020-07-27,568.73,578.275,565.345,575.33,618478.0
2020-07-28,572.9,574.19,569.0001,570.7,488884.0
