date,Open,High,Low,Close,Volume
2019-08-20,128.37,129.48,127.49,128.18,482390.0
2019-08-21,129.11,131.42,129.01,131.27,637835.0
2019-08-22,130.84,131.66,129.34,130.19,580425.0
2019-08-23,129.77,130.94,126.97,127.46,1743648.0
2019-08-26,128.14,128.77,126.75,128.33,606645.0
2019-08-27,129.5,130.86,128.7,129.45,650319.0
2019-08-28,128.75,129.13,126.96,128.58,561039.0
2019-08-29,130.06,131.04,129.46,130.33,428808.0
2019-08-30,131.27,131.43,129.08,129.44,465237.0
2019-09-03,128.55,129.55,127.85,128.35,426710.0
2019-09-04,129.9,129.97,128.56,129.78,398415.0
2019-09-05,130.0,131.96,129.69,131.51,326016.0
2019-09-06,132.11,132.11,130.16,130.29,414794.0
2019-09-09,131.05,131.05,128.47,129.17,373640.0
2019-09-10,128.38,128.38,123.92,125.0,582582.0
2019-09-11,124.98,125.35,123.86,124.65,518065.0
2019-09-12,125.1,126.23,124.15,124.3,372313.0
2019-09-13,124.72,124.8,123.45,124.02,358703.0
2019-09-16,123.4,125.42,123.17,124.86,309108.0
2019-09-17,125.16,127.3,125.16,127.18,460189.0
2019-09-18,127.52,128.27,124.44,126.34,488985.0
2019-09-19,128.34,128.34,126.2,126.87,375273.0
2019-09-20,127.04,128.33,126.2,126.71,1041397.0
2019-09-23,126.19,126.54,124.29,125.43,520006.0
2019-09-24,126.52,128.28,124.97,125.46,666913.0
2019-09-25,125.13,126.89,124.27,126.62,259573.0
2019-09-26,126.82,127.58,125.58,126.65,364814.0
2019-09-27,127.28,127.28,122.75,123.88,435304.0
2019-09-30,123.94,125.35,123.94,124.43,556330.0
2019-10-01,125.05,126.71,124.5,124.9,446190.0
2019-10-02,123.9,124.06,121.49,121.63,741587.0
2019-10-03,121.33,122.3,119.26,121.67,809334.0
2019-10-04,122.51,123.46,121.92,123.0,735604.0
2019-10-07,122.48,122.66,121.27,121.79,976676.0
2019-10-08,120.97,121.43,118.99,119.57,1481707.0
2019-10-09,120.61,121.3,119.85,120.84,1438710.0
2019-10-10,120.54,122.85,119.61,122.54,452661.0
2019-10-11,123.83,125.57,123.83,124.34,409434.0
2019-10-14,124.41,124.85,123.45,123.6,258278.0
2019-10-15,124.01,125.56,123.76,125.24,330001.0
2019-10-16,124.89,125.26,123.6,125.23,545643.0
2019-10-17,125.48,126.49,125.04,125.38,327467.0
2019-10-18,125.08,125.14,122.13,122.98,456724.0
2019-10-21,123.38,123.81,121.99,123.65,381735.0
2019-10-22,124.39,124.66,121.56,121.67,448389.0
2019-10-23,121.65,123.43,121.51,123.1,491351.0
2019-10-24,123.6,125.49,122.57,124.78,641817.0
2019-10-25,124.55,125.18,123.38,123.55,455924.0
2019-10-28,124.26,125.23,124.09,124.75,316370.0
2019-10-29,124.63,126.09,124.06,124.6,432808.0
2019-10-30,124.61,124.97,123.85,124.86,461667.0
2019-10-31,124.88,125.92,122.5,125.22,344503.0
2019-11-01,125.63,126.77,125.36,125.81,364918.0
2019-11-04,126.21,126.26,123.34,123.47,428713.0
2019-11-05,123.76,124.26,122.37,123.4,705243.0
2019-11-06,118.47,119.66,115.15,116.84,1537282.0
2019-11-07,117.21,120.97,116.83,120.48,832168.0
2019-11-08,119.99,120.5,117.64,119.58,475332.0
2019-11-11,119.06,119.81,118.01,118.62,398289.0
2019-11-12,118.4,119.12,117.81,118.23,472148.0
2019-11-13,118.03,119.33,117.95,118.87,357249.0
2019-11-14,119.04,119.41,118.36,119.37,549884.0
2019-11-15,119.84,119.84,118.72,119.8,570800.0
2019-11-18,120.2,121.41,119.8,120.59,570947.0
2019-11-19,120.38,122.42,119.8,122.05,731511.0
2019-11-20,121.81,123.48,121.35,122.44,496530.0
2019-11-21,122.39,122.63,120.56,121.35,662897.0
2019-11-22,121.59,121.79,119.75,121.2,415531.0
2019-11-25,121.47,122.09,121.22,121.47,388793.0
2019-11-26,121.32,123.59,121.3,123.39,805380.0
2019-11-27,123.81,123.81,122.45,123.1,406399.0
2019-11-29,122.89,124.28,122.39,123.71,284766.0
2019-12-02,123.65,123.65,121.11,122.21,408843.0
2019-12-03,121.07,121.75,120.82,121.46,446343.0
2019-12-04,121.27,122.5,121.24,121.76,469906.0
2019-12-05,121.79,122.41,121.38,121.86,652544.0
2019-12-06,122.74,124.95,122.43,123.01,439142.0
2019-12-09,123.06,123.14,121.01,121.19,544686.0
2019-12-10,120.87,121.93,120.77,121.4,432252.0
2019-12-11,120.98,121.07,118.86,119.42,830456.0
2019-12-12,118.69,120.47,118.62,119.55,609693.0
2019-12-13,119.1,119.97,119.07,119.72,609602.0
2019-12-16,120.57,121.73,120.4,120.88,1336350.0
2019-12-17,121.02,122.83,120.86,122.47,854664.0
2019-12-18,122.73,124.69,122.64,123.71,655071.0
2019-12-19,123.29,123.89,122.29,122.54,640928.0
2019-12-20,123.26,123.87,122.73,123.61,1307876.0
2019-12-23,123.81,124.29,122.78,122.86,345730.0
2019-12-24,123.03,123.22,122.66,123.06,110031.0
2019-12-26,122.94,123.59,122.06,122.62,261909.0
2019-12-27,122.86,123.53,122.12,123.21,286745.0
2019-12-30,123.1,123.22,122.03,122.79,273814.0
2019-12-31,122.51,123.62,122.2,123.54,375364.0
2020-01-02,124.69,124.89,122.97,123.78,391226.0
2020-01-03,122.01,123.99,121.9,123.88,359154.0
2020-01-06,123.15,125.01,122.79,125.0,401248.0
2020-01-07,125.0,125.47,124.21,124.56,585420.0
2020-01-08,124.86,126.22,124.03,125.36,486151.0
2020-01-09,125.98,128.5,125.81,128.1,752343.0
2020-01-10,128.07,128.12,126.78,127.59,643966.0
2020-01-13,127.86,128.84,127.47,128.49,430407.0
