date,Open,High,Low,Close,Volume
2019-08-20,42.74,43.2,42.47,42.5,4168875.0
2019-08-21,42.78,42.86,42.32,42.55,3742733.0
2019-08-22,42.69,42.94,42.32,42.69,3333786.0
2019-08-23,42.69,42.72,41.0,41.17,5308114.0
2019-08-26,41.53,41.87,41.28,41.85,3434774.0
2019-08-27,42.03,42.34,41.935,42.22,5996740.0
2019-08-28,42.0,42.72,41.955,42.49,4206748.0
2019-08-29,42.83,43.41,42.49,42.84,5804908.0
2019-08-30,43.03,43.23,42.5,42.73,3234418.0
2019-09-03,42.5,42.65,41.31,41.67,4695509.0
2019-09-04,42.04,42.09,41.37,42.05,3490907.0
2019-09-05,42.54,42.675,42.14,42.61,4867007.0
2019-09-06,42.95,43.84,42.63,43.45,6349373.0
2019-09-09,43.49,43.55,41.63,41.74,6127790.0
2019-09-10,41.28,41.36,39.83,41.3,10912100.0
2019-09-11,41.56,42.38,41.23,42.3,6368407.0
2019-09-12,42.67,43.05,42.2,42.24,5676512.0
2019-09-13,42.11,42.45,41.56,41.81,4535293.0
2019-09-16,41.73,42.02,41.45,41.94,3097038.0
2019-09-17,42.03,42.64,41.96,42.32,3943535.0
2019-09-18,42.42,42.94,42.275,42.9,3984372.0
2019-09-19,42.97,43.15,42.79,43.06,6475597.0
2019-09-20,43.29,43.395,42.85,43.29,8005873.0
2019-09-23,43.1,43.38,42.89,43.15,4314423.0
2019-09-24,43.45,43.65,42.05,42.33,6527504.0
2019-09-25,42.34,42.55,41.94,42.2,4450595.0
2019-09-26,42.44,42.755,42.02,42.35,5208232.0
2019-09-27,42.45,42.46,39.75,40.31,10845681.0
2019-09-30,40.41,41.06,40.22,40.69,8029296.0
2019-10-01,40.93,41.38,40.105,40.24,6123800.0
2019-10-02,39.77,39.905,38.9,39.15,8431489.0
2019-10-03,39.09,39.83,38.9,39.75,5502726.0
2019-10-04,40.04,40.715,39.89,40.53,6235817.0
2019-10-07,40.35,40.51,40.105,40.35,3616638.0
2019-10-08,40.05,40.23,37.78,37.87,19613154.0
2019-10-09,38.3,38.88,38.23,38.61,8644013.0
2019-10-10,38.29,38.57,37.645,37.98,17401253.0
2019-10-11,38.32,38.945,38.11,38.23,16058079.0
2019-10-14,38.28,38.52,37.95,37.97,5517217.0
2019-10-15,38.38,38.655,37.76,38.46,10241455.0
2019-10-16,38.22,38.4,37.8684,38.18,14838164.0
2019-10-17,38.43,38.56,38.125,38.17,6337883.0
2019-10-18,38.25,38.66,38.01,38.47,10584809.0
2019-10-21,38.67,38.95,38.5,38.65,8770058.0
2019-10-22,38.9,38.935,38.085,38.18,9868007.0
2019-10-23,40.75,41.24,39.77,40.09,21366173.0
2019-10-24,40.22,40.72,39.89,40.54,10835008.0
2019-10-25,40.48,41.24,40.26,40.85,6548950.0
2019-10-28,40.85,41.68,40.81,41.57,6527825.0
2019-10-29,41.36,42.11,41.25,41.75,4831266.0
2019-10-30,41.86,42.04,41.37,42.01,4275049.0
2019-10-31,41.92,42.07,41.605,41.7,5321689.0
2019-11-01,42.05,42.42,41.41,41.51,7382379.0
2019-11-04,41.71,41.71,40.815,40.98,6187154.0
2019-11-05,40.9,40.96,40.155,40.59,5798559.0
2019-11-06,40.75,40.97,40.19,40.72,4296049.0
2019-11-07,40.76,41.03,40.3331,40.72,4586078.0
2019-11-08,40.61,40.86,40.41,40.51,3235631.0
2019-11-11,40.32,40.79,40.04,40.17,5199655.0
2019-11-12,40.22,41.29,40.17,41.22,7075153.0
2019-11-13,41.28,41.55,41.01,41.42,5149881.0
2019-11-14,41.45,41.66,41.26,41.57,4674451.0
2019-11-15,41.89,42.32,41.56,42.31,7513747.0
2019-11-18,42.36,43.49,42.17,42.29,11969770.0
2019-11-19,42.36,42.725,42.07,42.63,5389192.0
2019-11-20,42.59,42.84,42.305,42.61,5274366.0
2019-11-21,42.49,42.56,41.872,42.36,3935668.0
2019-11-22,42.48,42.55,41.645,41.85,5655492.0
2019-11-25,42.1,42.89,41.99,42.85,5029904.0
2019-11-26,42.86,42.88,42.6,42.83,5848156.0
