date,Open,High,Low,Close,Volume
2019-08-20,63.72,64.08,63.35,63.42,9819119.0
2019-08-21,64.13,64.17,63.06,63.25,14694516.0
2019-08-22,63.81,64.21,63.41,63.91,9719041.0
2019-08-23,63.28,64.13,61.52,61.95,18001254.0
2019-08-26,62.57,62.82,62.17,62.72,10628954.0
2019-08-27,63.01,63.1,61.16,61.66,17219326.0
2019-08-28,61.3,62.8,61.3,62.36,12340992.0
2019-08-29,63.31,64.23,63.1,63.9,11478860.0
2019-08-30,64.34,64.82,64.19,64.35,11844605.0
2019-09-03,64.0,64.04,62.32,63.42,11991468.0
2019-09-04,64.0,64.48,63.84,64.28,9682309.0
2019-09-05,65.65,67.28,65.61,66.34,14723478.0
2019-09-06,66.19,66.5,65.75,65.97,10475964.0
2019-09-09,66.76,69.3,66.69,68.79,20050676.0
2019-09-10,69.18,70.01,68.45,68.98,18145148.0
2019-09-11,68.72,69.21,68.11,68.9,11854066.0
2019-09-12,68.11,70.06,67.93,69.3,15518935.0
2019-09-13,70.34,70.74,69.85,70.39,14312015.0
2019-09-16,68.96,70.11,68.96,69.83,12063160.0
2019-09-17,69.78,69.78,68.67,69.48,10940224.0
2019-09-18,69.21,70.35,68.96,70.09,11326556.0
2019-09-19,70.06,70.47,69.59,69.73,10132359.0
2019-09-20,70.15,70.54,69.33,69.35,26090994.0
2019-09-23,68.62,69.7,68.61,69.55,9599761.0
2019-09-24,69.5,69.57,67.56,67.9,16834596.0
2019-09-25,67.91,69.7,67.87,69.38,12263055.0
2019-09-26,69.32,69.53,68.8,69.11,8561238.0
2019-09-27,69.82,70.36,69.06,69.46,11559629.0
2019-09-30,69.8,69.9,69.01,69.08,8677452.0
2019-10-01,69.57,70.27,68.01,68.15,12470801.0
2019-10-02,67.76,67.8,66.19,66.26,15108007.0
2019-10-03,66.08,66.73,64.79,66.7,12652097.0
2019-10-04,66.76,68.24,66.67,68.18,11022955.0
2019-10-07,67.87,68.84,67.86,68.15,7840722.0
2019-10-08,67.03,67.18,66.03,66.4,13511469.0
2019-10-09,67.0,67.77,66.79,67.43,8376836.0
2019-10-10,67.77,69.29,67.55,68.62,9917189.0
2019-10-11,69.99,70.93,69.99,70.1,14925207.0
2019-10-14,69.53,70.5,69.46,70.24,11482654.0
2019-10-15,70.17,72.08,68.7,71.22,22038223.0
2019-10-16,70.82,71.46,69.42,69.5,17355830.0
2019-10-17,70.03,70.34,69.18,69.6,11385190.0
2019-10-18,69.32,70.09,69.14,69.74,10413594.0
2019-10-21,70.52,71.89,70.52,71.81,13105335.0
2019-10-22,71.72,72.87,71.47,72.06,11059553.0
2019-10-23,71.9,72.47,71.73,72.45,10327917.0
2019-10-24,72.55,72.86,71.86,72.3,7465458.0
2019-10-25,71.97,73.42,71.81,73.17,10496131.0
2019-10-28,73.73,74.28,73.44,73.59,13086766.0
2019-10-29,73.14,73.79,72.72,73.09,9590594.0
2019-10-30,72.75,73.35,72.1,72.97,12430390.0
2019-10-31,72.36,72.97,71.33,71.86,16862300.0
2019-11-01,72.25,73.99,72.1,73.84,12934278.0
2019-11-04,74.94,75.27,74.11,75.15,12582950.0
2019-11-05,75.19,75.97,74.64,74.83,14399586.0
2019-11-06,74.42,75.05,73.97,74.42,12628015.0
2019-11-07,75.41,76.28,75.41,75.81,14332050.0
2019-11-08,75.48,76.12,75.06,76.12,7927066.0
2019-11-11,75.45,76.08,75.24,75.6,6019364.0
2019-11-12,75.55,75.96,75.01,75.07,11066332.0
2019-11-13,74.25,74.91,73.71,73.91,14055632.0
2019-11-14,73.61,74.01,73.33,73.84,9446780.0
2019-11-15,74.34,74.46,73.68,74.4,10293986.0
