date,Open,High,Low,Close,Volume
2019-08-20,117.59,117.79,116.47,116.67,2402447.0
2019-08-21,118.0,119.32,117.54,117.68,2783752.0
2019-08-22,118.33,118.94,117.22,117.89,2120512.0
2019-08-23,116.25,116.9,113.32,114.06,6105282.0
2019-08-26,115.06,115.67,113.84,114.42,5201870.0
2019-08-27,115.16,115.46,113.15,113.38,3161180.0
2019-08-28,112.86,114.95,111.75,114.86,3187612.0
2019-08-29,116.62,118.13,116.49,117.77,3447962.0
2019-08-30,119.02,119.59,118.45,119.0,2911957.0
2019-09-03,117.9,117.9,115.4,117.03,3780617.0
2019-09-04,118.42,119.24,118.26,119.1,3688350.0
2019-09-05,120.5,124.24,120.5,122.99,5352344.0
2019-09-06,123.71,124.34,122.46,122.7,3314205.0
2019-09-09,123.39,127.39,123.2,127.25,4406468.0
2019-09-10,127.26,130.29,127.22,130.29,8478847.0
2019-09-11,130.85,133.19,129.47,133.09,7556696.0
2019-09-12,132.0,132.69,130.07,131.75,5590540.0
2019-09-13,132.8,133.99,131.13,133.78,3704091.0
2019-09-16,132.99,133.8,131.99,133.15,2874186.0
2019-09-17,132.59,132.76,131.19,132.17,2904099.0
2019-09-18,131.63,132.22,129.72,131.07,3019875.0
2019-09-19,131.47,132.03,129.87,130.12,2735827.0
2019-09-20,130.01,130.99,127.87,128.16,6435831.0
2019-09-23,127.34,128.88,126.34,128.42,2830925.0
2019-09-24,128.74,129.0,125.57,125.99,3445667.0
2019-09-25,125.85,126.82,125.02,126.61,2383176.0
2019-09-26,126.79,126.92,125.65,126.39,2538958.0
2019-09-27,127.0,127.38,125.66,126.59,2214249.0
2019-09-30,126.34,127.1,125.88,126.31,2803970.0
2019-10-01,127.4,128.5,122.3,122.37,3737381.0
2019-10-02,121.15,121.85,119.34,119.96,4303573.0
2019-10-03,119.34,120.06,117.25,120.04,3154263.0
2019-10-04,119.72,121.15,119.35,121.04,2472981.0
2019-10-07,120.85,121.7,119.75,120.25,2374606.0
2019-10-08,118.79,119.2,117.69,117.97,3549005.0
2019-10-09,119.49,120.06,118.0,119.44,2630301.0
2019-10-10,120.04,123.03,119.76,122.69,3281495.0
2019-10-11,125.61,130.38,125.4,128.4,6771880.0
2019-10-14,126.81,128.56,126.01,128.38,2882953.0
2019-10-15,127.99,131.68,127.65,131.03,3297990.0
2019-10-16,131.0,132.81,130.11,130.19,3063610.0
2019-10-17,130.97,132.86,130.18,132.07,3423128.0
2019-10-18,130.15,132.03,129.99,130.71,4329206.0
2019-10-21,131.95,133.45,131.5,132.23,4272416.0
2019-10-22,132.59,134.26,130.94,133.69,4738472.0
2019-10-23,134.23,135.99,130.7,135.34,11303533.0
2019-10-24,135.09,135.29,132.38,133.85,3935233.0
2019-10-25,135.0,139.98,134.85,139.73,8315889.0
2019-10-28,139.97,141.63,138.87,140.06,6173719.0
2019-10-29,139.38,141.45,138.77,141.33,4426511.0
2019-10-30,141.0,141.0,139.61,140.34,3947925.0
2019-10-31,139.37,140.34,136.39,137.8,4037511.0
2019-11-01,139.37,144.61,139.23,144.49,6218814.0
2019-11-04,145.35,147.0,145.02,146.92,5431844.0
2019-11-05,146.86,148.0,145.67,146.37,4515385.0
2019-11-06,146.47,146.47,144.66,145.49,3736610.0
2019-11-07,147.39,148.41,146.75,147.01,3815636.0
2019-11-08,146.66,148.18,145.8,148.16,2776564.0
2019-11-11,146.74,148.15,146.61,148.0,2205134.0
2019-11-12,148.11,148.47,146.02,146.34,2841758.0
2019-11-13,144.36,145.86,143.69,144.49,3226303.0
2019-11-14,144.21,145.34,143.21,143.44,2581677.0
2019-11-15,144.56,145.88,144.51,145.31,2827367.0
2019-11-18,144.24,144.78,143.02,143.59,2638619.0
2019-11-19,144.35,144.76,142.76,143.18,2085066.0
2019-11-20,142.45,142.7,140.1,141.52,3484710.0
2019-11-21,141.55,143.94,140.95,143.36,3295852.0
2019-11-22,143.92,144.46,143.03,143.88,2258300.0
2019-11-25,144.75,146.57,143.8,146.42,3085151.0
2019-11-26,146.4,146.65,145.49,146.09,2469320.0
2019-11-27,145.02,145.72,143.7,145.69,2660067.0
2019-11-29,144.19,145.46,143.79,144.73,1652467.0
2019-12-02,145.2,146.04,142.84,142.96,2896209.0
2019-12-03,140.05,140.43,138.56,140.06,3962174.0
2019-12-04,140.98,142.28,140.0,140.12,2484619.0
2019-12-05,140.58,141.12,139.53,141.05,2277716.0
2019-12-06,142.91,143.42,142.17,142.72,2271358.0
2019-12-09,142.97,143.28,142.37,142.83,1584606.0
2019-12-10,142.69,143.59,141.75,142.87,1888942.0
2019-12-11,143.77,144.62,143.29,144.0,2261863.0
2019-12-12,143.54,147.4,143.0,146.78,3713947.0
2019-12-13,146.8,148.4,145.15,145.53,3311710.0
2019-12-16,147.71,148.3,145.23,145.36,2414763.0
2019-12-17,145.5,146.99,145.46,146.37,2850726.0
2019-12-18,146.5,147.3,145.6,147.12,2629513.0
2019-12-19,146.98,146.98,144.3,145.02,3576840.0
2019-12-20,147.38,147.77,145.24,147.57,6805221.0
2019-12-23,147.68,148.53,146.78,148.5,2346471.0
2019-12-24,148.7,148.8,147.29,147.48,966205.0
2019-12-26,147.9,148.23,146.99,148.22,1576855.0
2019-12-27,148.64,148.93,147.99,148.28,1544462.0
2019-12-30,148.42,148.47,147.01,147.52,1789153.0
2019-12-31,147.43,148.23,146.79,147.68,1952419.0
2020-01-02,149.0,150.55,147.98,150.53,3311828.0
2020-01-03,148.77,149.96,147.45,148.44,3100514.0
2020-01-06,147.27,148.56,146.54,148.34,2547522.0
2020-01-07,147.35,147.57,145.51,146.38,2847741.0
2020-01-08,146.83,148.57,146.46,147.68,2153172.0
2020-01-09,147.81,147.97,146.51,147.31,2272529.0
2020-01-10,147.45,147.72,145.83,146.13,2393702.0
