date,Open,High,Low,Close,Volume
2019-08-20,52.25,52.57,51.9,52.14,836583.0
2019-08-21,52.78,53.09,52.45,52.8,1185951.0
2019-08-22,52.77,52.79,51.55,51.86,1507734.0
2019-08-23,51.34,51.44,49.06,49.26,1802654.0
2019-08-26,49.66,49.89,49.09,49.39,1489847.0
2019-08-27,49.8,50.015,49.26,49.33,1879996.0
2019-08-28,49.27,50.25,49.0,50.11,1150984.0
2019-08-29,50.68,51.885,50.6,51.63,1254365.0
2019-08-30,52.0,52.41,51.58,52.27,1508237.0
2019-09-03,51.68,52.06,51.19,51.95,1633977.0
2019-09-04,52.5,52.72,52.22,52.58,1290060.0
2019-09-05,53.11,53.86,53.03,53.15,1012115.0
2019-09-06,53.29,54.1,53.08,53.86,1452513.0
2019-09-09,54.15,55.52,54.05,55.35,1696711.0
2019-09-10,55.31,55.73,55.06,55.73,1631306.0
2019-09-11,55.51,56.135,54.94,55.11,1924336.0
2019-09-12,55.36,55.4,54.49,54.72,1472847.0
2019-09-13,54.74,54.74,53.885,54.0,2386610.0
2019-09-16,53.66,54.26,53.42,54.12,1343966.0
2019-09-17,53.66,54.07,53.25,53.9,1650053.0
2019-09-18,53.88,53.98,53.24,53.92,1177657.0
2019-09-19,53.94,54.25,53.63,53.85,1147810.0
2019-09-20,54.1,54.41,53.41,53.54,6519879.0
2019-09-23,53.09,53.51,52.57,52.78,1405167.0
2019-09-24,53.15,53.49,52.08,52.36,1594214.0
2019-09-25,52.28,53.7604,52.28,53.38,1546027.0
2019-09-26,53.54,53.55,52.92,53.24,789343.0
2019-09-27,53.53,53.67,52.5,52.9,1160983.0
2019-09-30,53.2,53.51,52.91,53.01,1578988.0
2019-10-01,53.08,53.62,51.085,51.19,1660084.0
2019-10-02,50.67,51.0,49.25,49.45,1995040.0
2019-10-03,49.24,49.98,48.76,49.98,1720254.0
2019-10-04,50.15,50.7,50.11,50.67,1310668.0
2019-10-07,50.49,51.115,50.0,50.42,1828382.0
2019-10-08,49.95,50.32,49.59,49.63,1537467.0
2019-10-09,50.23,50.66,50.01,50.34,1245052.0
2019-10-10,50.14,51.02,50.14,50.49,1872688.0
2019-10-11,51.2,52.3,51.2,51.82,1961863.0
2019-10-14,51.71,52.09,51.36,51.98,1035795.0
2019-10-15,51.96,53.17,51.92,52.49,1592936.0
2019-10-16,52.37,52.94,51.851,52.47,1530040.0
2019-10-17,52.77,53.13,52.3,52.35,1434573.0
2019-10-18,52.29,52.41,51.195,52.21,1840010.0
2019-10-21,52.69,52.98,52.25,52.65,1345338.0
2019-10-22,52.7,52.7,51.635,51.71,1348303.0
2019-10-23,51.82,52.39,51.73,52.37,945493.0
2019-10-24,52.47,52.565,51.87,52.45,967427.0
2019-10-25,52.29,52.76,52.0,52.61,863271.0
2019-10-28,53.01,53.4,52.97,53.25,795200.0
2019-10-29,52.99,54.22,52.8907,53.63,1287111.0
2019-10-30,53.78,53.86,53.04,53.81,846875.0
2019-10-31,53.61,53.95,53.14,53.55,1752674.0
2019-11-01,53.86,54.83,53.76,54.79,982669.0
2019-11-04,55.19,55.245,54.57,54.84,1441340.0
2019-11-05,55.29,56.6,55.0,55.54,2524814.0
2019-11-06,55.01,55.58,52.75,53.08,1757641.0
2019-11-07,53.7,54.69,53.64,54.5,1413303.0
2019-11-08,54.34,54.9,53.98,54.89,1191483.0
2019-11-11,54.38,55.35,54.26,55.16,988137.0
2019-11-12,55.06,55.78,54.9,55.05,1646144.0
2019-11-13,54.74,55.18,54.39,55.07,1396431.0
2019-11-14,55.07,55.6,54.9,55.57,1284218.0
2019-11-15,55.3,56.72,55.26,56.44,1781014.0
2019-11-18,56.37,56.44,55.37,56.05,1250430.0
2019-11-19,56.03,56.162,55.255,55.87,2404760.0
2019-11-20,55.56,56.01,54.99,55.5,1738456.0
2019-11-21,55.6,55.6,54.73,54.78,1189924.0
2019-11-22,54.94,55.1,54.72,54.91,1027425.0
2019-11-25,55.0,56.18,54.98,56.12,1372101.0
2019-11-26,56.59,57.92,56.33,57.88,3075231.0
2019-11-27,57.8,58.0,57.09,57.56,1174762.0
2019-11-29,57.36,57.77,56.94,57.02,665322.0
2019-12-02,57.09,57.22,55.91,56.52,1455311.0
2019-12-03,55.97,56.53,55.6,56.32,1169329.0
2019-12-04,56.53,57.56,56.47,57.03,879632.0
2019-12-05,57.1,57.93,57.04,57.87,1348841.0
2019-12-06,58.4,58.66,57.94,58.5,1331193.0
2019-12-09,58.25,58.78,58.245,58.28,1340783.0
2019-12-10,58.43,58.56,58.17,58.48,1032231.0
2019-12-11,58.61,59.16,58.32,58.41,1480517.0
2019-12-12,58.38,59.34,58.17,58.96,1056023.0
2019-12-13,58.79,58.91,57.74,58.26,1724861.0
2019-12-16,58.6,59.41,58.27,59.22,1905146.0
2019-12-17,59.55,59.55,58.15,58.84,2432690.0
2019-12-18,58.6,60.285,58.6,60.11,2028884.0
2019-12-19,59.67,60.1005,59.58,59.82,1574939.0
2019-12-20,60.38,61.02,59.82,60.64,3958509.0
2019-12-23,60.87,60.87,59.98,60.11,1379553.0
2019-12-24,59.94,60.71,59.855,60.59,298249.0
2019-12-26,60.32,61.28,60.15,61.28,738393.0
2019-12-27,61.18,61.3,60.61,60.95,763353.0
2019-12-30,60.97,61.28,60.36,61.04,694805.0
2019-12-31,61.03,61.54,60.75,61.29,1036672.0
2020-01-02,61.9,61.9,60.97,61.48,1326732.0
2020-01-03,60.44,61.28,60.0,60.97,1213324.0
2020-01-06,60.56,60.88,60.25,60.69,1487919.0
2020-01-07,60.67,60.75,60.01,60.62,1012095.0
2020-01-08,60.81,61.06,60.17,60.2,1252295.0
2020-01-09,60.49,60.7878,60.25,60.56,986520.0
2020-01-10,60.58,60.635,60.07,60.24,837699.0
2020-01-13,60.01,60.82,59.9,60.66,1038807.0
2020-01-14,60.49,60.79,60.13,60.28,971083.0
2020-01-15,60.02,60.77,60.02,60.39,955575.0
2020-01-16,60.66,61.275,60.45,60.8,1222111.0
2020-01-17,61.09,61.44,60.77,61.03,1374318.0
2020-01-21,60.75,61.41,60.61,61.1,1424664.0
2020-01-22,61.67,61.78,60.82,60.91,892000.0
2020-01-23,60.74,61.37,60.35,60.84,1026942.0
2020-01-24,60.62,61.04,60.26,60.77,1509946.0
2020-01-27,59.66,60.49,59.26,60.44,1782002.0
2020-01-28,60.84,61.585,60.81,61.46,1105796.0
2020-01-29,61.7,61.7408,61.245,61.45,918444.0
2020-01-30,60.81,61.98,60.81,61.88,1004269.0
2020-01-31,61.63,61.85,60.885,61.05,1707694.0
2020-02-03,61.41,62.48,61.41,62.02,1019126.0
2020-02-04,62.81,64.08,62.64,63.43,1295829.0
2020-02-05,63.86,64.16,63.48,63.93,1363283.0
2020-02-06,64.3,64.61,63.7,63.88,1070503.0
2020-02-07,63.5,64.225,63.38,64.03,1329080.0
2020-02-10,64.03,64.36,63.94,64.25,636355.0
2020-02-11,64.67,64.75,62.88,63.08,1680815.0
2020-02-12,63.23,63.705,62.18,63.69,1486095.0
2020-02-13,63.39,64.14,63.18,64.12,920519.0
2020-02-14,64.04,64.31,63.78,63.96,873376.0
2020-02-18,63.96,63.96,63.15,63.46,998184.0
2020-02-19,63.4,63.6654,63.26,63.4,989011.0
2020-02-20,63.14,63.9,62.92,63.7,1212898.0
2020-02-21,63.49,63.7,62.39,62.73,1059029.0
2020-02-24,61.01,61.4,59.62,60.07,1282729.0
2020-02-25,60.13,60.65,57.81,57.96,1412239.0
2020-02-26,58.29,58.94,56.93,56.93,2033505.0
2020-02-27,56.01,58.375,53.53,56.54,3415164.0
2020-02-28,55.25,56.9,54.39,56.14,4469173.0
2020-03-02,56.28,58.19,55.54,58.19,1817232.0
2020-03-03,58.22,59.23,56.92,57.73,2085879.0
2020-03-04,58.36,59.31,58.015,59.16,1594587.0
2020-03-05,57.43,58.18,56.16,56.78,2045214.0
2020-03-06,54.7,55.54,52.81,54.58,2786427.0
2020-03-09,50.13,51.62,49.07,49.17,2846447.0
2020-03-10,50.75,52.77,48.95,52.61,2792626.0
2020-03-11,51.13,51.59,49.11,49.69,2942803.0
2020-03-12,45.75,48.94,44.4101,44.53,3185007.0
2020-03-13,47.21,47.21,43.51,46.38,3877520.0
2020-03-16,36.4,41.32,34.6931,38.4,3962442.0
2020-03-17,39.11,40.24,35.2314,36.28,6622791.0
2020-03-18,34.0,35.698,31.51,35.52,3458891.0
2020-03-19,34.88,41.03,34.47,39.44,3154262.0
2020-03-20,40.24,40.505,34.25,34.26,3167924.0
2020-03-23,34.26,35.04,29.168,29.83,4278927.0
2020-03-24,31.12,35.93,31.03,33.86,4393853.0
2020-03-25,33.6,37.33,33.03,35.8,2974071.0
2020-03-26,36.31,41.0,35.76,40.65,2302803.0
2020-03-27,39.33,40.09,38.01,39.2,2120343.0
2020-03-30,39.2,41.24,38.03,41.03,2099975.0
2020-03-31,40.67,41.41,37.35,37.71,2683158.0
2020-04-01,35.54,36.605,34.21,35.74,3207093.0
2020-04-02,35.05,37.535,35.05,36.67,3970101.0
2020-04-03,36.67,36.79,34.73,35.5,2202388.0
2020-04-06,37.62,40.06,36.86,39.78,2975444.0
2020-04-07,42.45,44.05,42.0,42.05,3374265.0
2020-04-08,42.12,45.57,41.55,45.26,2913394.0
2020-04-09,45.27,46.04,43.66,45.61,4439134.0
2020-04-13,45.0,45.42,43.19,43.46,1883300.0
2020-04-14,44.69,44.755,43.44,43.86,2378498.0
2020-04-15,42.18,43.14,41.63,42.89,2162129.0
2020-04-16,42.95,42.95,41.58,42.54,2174898.0
2020-04-17,44.23,45.06,44.1,44.5,1908905.0
2020-04-20,43.3,44.06,41.96,41.96,2223575.0
2020-04-21,40.63,41.09,39.83,39.97,2479915.0
2020-04-22,41.12,41.19,39.42,39.77,3158244.0
2020-04-23,40.06,41.06,39.8,39.99,1723437.0
2020-04-24,40.5,40.565,39.69,39.99,1664676.0
2020-04-27,40.07,41.59,40.07,41.39,1397389.0
2020-04-28,42.47,43.07,41.72,41.9,1738407.0
2020-04-29,43.62,45.1,42.65,44.92,2025534.0
2020-04-30,44.0,44.0,42.68,42.93,2125396.0
2020-05-01,41.66,41.85,39.26,39.7,2208017.0
2020-05-04,38.69,39.52,38.55,39.39,1718563.0
2020-05-05,40.29,41.4,39.535,39.59,2423598.0
2020-05-06,40.06,40.58,38.13,38.15,2399866.0
2020-05-07,39.63,41.83,38.2,40.89,2187444.0
2020-05-08,41.65,42.54,41.4024,41.6,1370049.0
2020-05-11,41.18,41.18,40.47,40.82,1857576.0
2020-05-12,40.82,40.96,37.15,37.2,1996406.0
2020-05-13,36.7,36.86,34.2,34.84,4229462.0
2020-05-14,34.06,35.91,33.03,35.85,2629054.0
2020-05-15,35.59,36.44,35.12,35.99,1820485.0
2020-05-18,37.77,39.56,37.54,39.09,2455657.0
2020-05-19,38.98,39.1,37.95,37.97,2162163.0
2020-05-20,38.82,39.96,38.6086,39.6,2634519.0
2020-05-21,39.42,40.84,39.42,40.75,2707658.0
2020-05-22,40.8,40.92,40.08,40.3,2598107.0
2020-05-26,42.36,44.73,42.36,43.94,3112036.0
2020-05-27,45.0,45.6,43.27,45.15,2177953.0
2020-05-28,45.72,45.98,43.97,44.12,2731451.0
2020-05-29,43.21,44.29,42.81,43.98,6324170.0
2020-06-01,43.81,44.59,43.59,44.14,1331270.0
2020-06-02,44.51,46.22,44.19,45.99,2309513.0
2020-06-03,47.47,50.2,47.04,49.5,3234382.0
2020-06-04,49.01,51.01,48.25,50.41,3064204.0
2020-06-05,53.57,55.63,53.4327,54.02,3442595.0
2020-06-08,55.0,56.05,54.49,55.49,2342641.0
2020-06-09,53.48,54.14,52.51,53.33,2065824.0
2020-06-10,52.77,53.2,50.96,51.33,1993728.0
2020-06-11,48.5,48.62,46.19,46.31,2606859.0
2020-06-12,48.6,48.6,45.75,47.57,2133607.0
2020-06-15,45.15,48.06,45.0299,47.86,3025186.0
2020-06-16,50.33,50.46,47.26,48.37,1920610.0
2020-06-17,48.66,48.74,47.14,47.79,2342205.0
2020-06-18,47.21,47.7,47.03,47.48,1039672.0
2020-06-19,48.19,48.26,45.99,46.74,2315517.0
2020-06-22,46.07,46.39,45.25,46.19,1333625.0
2020-06-23,46.91,47.06,45.78,46.01,1556089.0
2020-06-24,45.06,45.195,42.55,42.75,2289275.0
2020-06-25,42.35,43.55,41.61,43.52,2397543.0
2020-06-26,43.52,44.06,42.425,43.04,5525624.0
2020-06-29,43.41,44.26,42.83,44.24,1550700.0
2020-06-30,44.33,45.49,44.15,45.22,1697900.0
2020-07-01,45.51,45.83,44.46,44.85,1598200.0
2020-07-02,45.84,46.57,45.09,45.51,1399600.0
2020-07-06,46.48,47.1,45.7,46.38,1471300.0
2020-07-07,45.73,45.9,44.24,44.31,1478400.0
2020-07-08,44.07,44.77,43.54,44.49,1447100.0
2020-07-09,44.86,44.93,42.64,43.87,2278800.0
2020-07-10,43.75,45.05,43.75,44.2,1211300.0
2020-07-13,44.54,44.81,43.19,43.19,1519400.0
2020-07-14,42.89,43.62,42.54,43.35,1533000.0
2020-07-15,44.84,45.51,44.35,45.22,1764100.0
2020-07-16,44.81,45.33,44.38,44.59,890900.0
2020-07-17,44.97,45.49,44.77,44.95,1458000.0
2020-07-20,44.65,44.91,43.95,44.26,1295386.0
2020-07-21,44.48,45.04,43.77,43.94,1292180.0
