date,Open,High,Low,Close,Volume
2019-08-20,114.59,115.4,113.6,113.73,371400.0
2019-08-21,114.77,116.69,114.36,115.88,325100.0
2019-08-22,115.96,117.95,115.32,116.52,508000.0
2019-08-23,115.22,115.71,111.75,112.23,510000.0
2019-08-26,114.15,114.15,111.91,112.77,603400.0
2019-08-27,113.72,113.97,112.49,112.58,801900.0
2019-08-28,112.14,112.49,111.5,111.73,588300.0
2019-08-29,113.63,115.25,113.63,114.7,768100.0
2019-08-30,115.53,116.5,113.59,115.5,1099700.0
2019-09-03,115.52,116.33,113.95,116.02,709700.0
2019-09-04,117.02,118.65,116.7,118.06,903200.0
2019-09-05,119.27,119.99,117.59,118.47,581700.0
2019-09-06,118.91,118.91,117.55,118.39,659700.0
2019-09-09,119.0,119.32,116.65,117.51,590400.0
2019-09-10,116.65,116.87,110.76,111.5,968300.0
2019-09-11,111.75,112.92,110.09,112.81,695600.0
2019-09-12,112.78,114.62,111.06,114.32,661000.0
2019-09-13,113.89,113.98,110.97,111.71,957400.0
2019-09-16,111.6,116.02,110.52,113.0,1174000.0
2019-09-17,112.68,114.62,111.0,113.8,739100.0
2019-09-18,121.0,122.2,118.79,120.38,7389300.0
2019-09-19,119.89,122.91,119.64,121.8,3147500.0
2019-09-20,122.07,122.39,118.84,121.06,24549400.0
2019-09-23,120.88,121.76,119.21,119.34,2503000.0
2019-09-24,119.57,120.47,117.26,118.66,2107000.0
2019-09-25,118.47,121.79,117.05,121.52,1658300.0
2019-09-26,121.52,124.34,120.13,123.4,1754100.0
2019-09-27,123.14,124.08,120.94,121.79,1727400.0
2019-09-30,122.42,123.52,121.65,123.24,1703500.0
2019-10-01,123.43,124.52,121.1,121.12,1302900.0
2019-10-02,121.29,121.3,118.9,119.82,1473800.0
2019-10-03,119.64,120.78,117.55,119.68,1171400.0
2019-10-04,120.01,122.61,119.84,122.4,1463000.0
2019-10-07,122.34,124.11,121.05,123.12,883900.0
2019-10-08,121.93,124.06,121.45,122.99,1864300.0
2019-10-09,123.86,123.86,120.92,121.8,1462400.0
2019-10-10,121.34,122.85,121.0,122.54,1359200.0
2019-10-11,123.97,125.41,123.24,124.41,790200.0
2019-10-14,123.62,124.4,123.2,123.33,941000.0
2019-10-15,123.33,124.34,123.0,123.36,954500.0
2019-10-16,123.37,124.93,123.01,123.67,802700.0
2019-10-17,123.92,124.75,122.78,123.97,641800.0
2019-10-18,124.43,125.0,122.7,123.91,761900.0
2019-10-21,124.36,125.22,123.93,124.06,727700.0
2019-10-22,124.89,124.98,122.21,122.41,812400.0
2019-10-23,122.1,123.26,121.75,123.04,837300.0
2019-10-24,124.03,124.51,122.94,124.45,773400.0
2019-10-25,123.85,125.06,123.54,124.86,751800.0
2019-10-28,126.08,127.01,125.65,125.99,1103300.0
2019-10-29,125.12,127.25,125.11,126.18,919800.0
2019-10-30,126.15,127.51,124.91,127.38,1030400.0
2019-10-31,131.5,132.35,127.42,127.91,1670600.0
2019-11-01,128.96,131.4,128.47,131.2,1063400.0
2019-11-04,132.34,133.44,131.41,131.8,1290200.0
2019-11-05,131.99,136.31,131.59,135.81,1201400.0
