date,Open,High,Low,Close,Volume
2019-08-20,111.79,112.18,110.75,111.74,612522.0
2019-08-21,113.12,113.75,112.88,113.17,699829.0
2019-08-22,113.54,114.78,112.13,113.74,867243.0
2019-08-23,112.98,113.0,106.65,107.25,1104319.0
2019-08-26,108.11,108.99,106.56,107.4,682389.0
2019-08-27,108.14,108.72,105.93,107.22,1040644.0
2019-08-28,107.04,109.72,106.59,109.54,797465.0
2019-08-29,111.18,112.36,110.76,111.76,671818.0
2019-08-30,112.85,114.1,112.61,113.37,1061281.0
2019-09-03,111.89,112.61,110.64,111.7,589147.0
2019-09-04,113.33,114.38,112.88,113.82,829867.0
2019-09-05,115.25,118.34,114.85,117.63,818985.0
2019-09-06,117.88,118.42,116.85,118.07,555500.0
2019-09-09,118.41,121.06,118.2,120.91,883826.0
2019-09-10,120.97,123.9,120.75,123.32,1340678.0
2019-09-11,123.45,124.36,121.34,124.31,947548.0
2019-09-12,124.99,125.0,122.57,124.2,753843.0
2019-09-13,125.28,127.15,124.95,125.49,799842.0
2019-09-16,125.15,126.01,123.8,124.45,607569.0
2019-09-17,124.13,124.25,122.25,123.98,916950.0
2019-09-18,123.5,124.05,122.23,123.74,754282.0
2019-09-19,123.74,124.42,123.24,123.8,685699.0
2019-09-20,124.22,124.22,122.23,122.68,1506693.0
2019-09-23,121.59,123.16,121.25,122.47,771231.0
2019-09-24,122.06,122.5,120.83,121.35,619541.0
2019-09-25,121.69,122.62,121.12,122.21,716169.0
2019-09-26,121.18,122.23,120.73,121.59,656314.0
2019-09-27,121.88,123.6,121.56,122.14,716059.0
2019-09-30,122.43,122.98,121.17,122.29,777427.0
2019-10-01,122.48,123.94,119.98,120.35,1197119.0
2019-10-02,119.14,119.76,117.22,118.1,1067455.0
2019-10-03,117.69,118.7,116.59,118.67,744180.0
2019-10-04,118.49,119.95,118.21,119.53,534007.0
2019-10-07,119.1,120.44,118.47,119.44,706791.0
2019-10-08,118.57,119.54,117.32,117.85,1066950.0
2019-10-09,119.53,119.65,117.37,118.72,742287.0
2019-10-10,119.05,119.75,117.66,118.36,908391.0
2019-10-11,119.69,122.83,119.69,121.87,802233.0
2019-10-14,121.12,121.66,120.44,120.44,644368.0
2019-10-15,120.96,122.55,120.54,122.04,672292.0
2019-10-16,122.4,123.64,121.06,121.52,752650.0
2019-10-17,121.93,122.32,120.95,121.96,552711.0
2019-10-18,121.32,123.94,121.32,121.65,953175.0
2019-10-21,122.07,123.04,121.22,121.31,990514.0
2019-10-22,121.05,122.42,115.16,119.3,1479802.0
2019-10-23,119.24,122.94,119.24,121.76,1083424.0
2019-10-24,122.84,123.62,121.62,123.52,765615.0
2019-10-25,122.94,124.44,121.99,123.65,558995.0
2019-10-28,124.36,125.81,121.06,121.56,1294063.0
2019-10-29,121.17,124.46,121.05,123.28,625416.0
2019-10-30,122.67,122.91,121.44,122.28,619110.0
2019-10-31,122.17,122.42,120.09,121.15,986282.0
2019-11-01,122.29,123.33,121.71,122.5,1084119.0
2019-11-04,123.85,124.11,122.67,123.66,925443.0
2019-11-05,124.06,125.66,123.77,124.48,611397.0
2019-11-06,124.2,125.15,123.49,125.08,624827.0
2019-11-07,124.92,126.05,124.25,125.74,777033.0
2019-11-08,125.72,128.88,125.35,127.31,885837.0
2019-11-11,126.34,127.23,126.34,126.73,500444.0
2019-11-12,127.22,127.71,126.64,126.94,438849.0
2019-11-13,125.98,126.44,124.98,125.41,425662.0
2019-11-14,125.11,126.5,125.11,126.31,382296.0
2019-11-15,126.95,127.58,125.48,125.96,630470.0
2019-11-18,125.4,125.69,124.08,125.48,1006894.0
2019-11-19,126.31,126.39,124.0,125.89,625788.0
2019-11-20,125.1,125.96,124.1,124.24,513416.0
2019-11-21,124.43,124.71,123.61,123.87,647392.0
2019-11-22,124.27,125.75,124.18,124.79,502279.0
2019-11-25,125.01,126.56,124.49,126.41,548408.0
2019-11-26,126.45,127.52,125.98,127.39,553939.0
2019-11-27,127.53,127.53,126.1,126.53,632608.0
2019-11-29,126.38,126.55,125.42,125.57,257385.0
2019-12-02,125.85,126.64,124.48,124.8,714626.0
2019-12-03,123.07,123.07,121.55,122.56,661147.0
2019-12-04,123.04,124.34,122.03,122.11,905107.0
2019-12-05,122.52,123.44,121.68,123.33,548660.0
2019-12-06,124.49,125.56,124.19,125.21,512632.0
2019-12-09,125.18,125.32,123.29,123.86,461494.0
2019-12-10,123.7,123.7,120.72,120.95,891153.0
2019-12-11,121.75,122.96,121.37,122.79,771524.0
2019-12-12,122.72,125.53,122.25,125.36,653866.0
2019-12-13,125.59,126.31,124.28,124.47,423138.0
2019-12-16,125.25,126.24,123.61,123.68,1143566.0
2019-12-17,123.68,124.36,121.46,123.23,906844.0
2019-12-18,123.14,123.32,120.89,121.1,1164725.0
2019-12-19,121.76,123.43,120.91,122.48,1085898.0
2019-12-20,122.48,124.36,121.76,123.35,2163024.0
2019-12-23,123.26,123.75,122.26,123.21,685727.0
2019-12-24,123.3,123.7,122.67,123.39,167194.0
2019-12-26,123.06,123.34,122.14,123.11,391712.0
2019-12-27,123.83,124.26,123.3,123.32,534111.0
2019-12-30,123.38,123.63,122.45,122.7,416680.0
2019-12-31,122.56,123.26,122.37,123.12,633023.0
2020-01-02,123.9,124.59,121.31,121.43,911085.0
2020-01-03,120.03,120.74,119.7,119.78,770808.0
2020-01-06,118.92,119.5,118.22,118.46,710893.0
2020-01-07,117.13,119.1,116.12,118.0,1231346.0
2020-01-08,117.75,118.4,116.55,117.08,826325.0
2020-01-09,117.44,117.86,116.65,117.86,998306.0
2020-01-10,117.96,118.15,116.82,117.01,555090.0
2020-01-13,117.18,118.53,116.89,118.13,470208.0
2020-01-14,118.15,119.37,117.48,118.45,856805.0
2020-01-15,118.07,119.56,117.93,118.2,542180.0
2020-01-16,118.8,119.65,117.75,118.14,788328.0
2020-01-17,118.41,119.1,117.24,117.59,1218415.0
2020-01-21,117.1,118.33,116.47,117.55,924814.0
2020-01-22,118.08,118.32,116.76,116.78,708603.0
2020-01-23,115.95,116.1,114.24,115.58,595977.0
2020-01-24,115.55,115.99,114.13,114.51,696970.0
2020-01-27,112.21,112.22,110.83,111.34,632876.0
2020-01-28,111.81,112.6,111.24,112.26,560780.0
