date,Open,High,Low,Close,Volume
2019-08-20,48.48,48.68,47.88,48.04,1326452.0
2019-08-21,48.51,48.99,47.81,48.89,1894939.0
2019-08-22,49.25,50.14,48.46,48.54,2190263.0
2019-08-23,47.82,48.45,46.92,47.12,2445139.0
2019-08-26,47.7,47.72,46.97,47.24,1210330.0
2019-08-27,47.62,47.68,46.45,46.69,1352516.0
2019-08-28,46.36,47.6,46.07,47.31,1313652.0
2019-08-29,48.41,48.97,47.97,48.26,1451473.0
2019-08-30,48.65,48.92,47.95,48.19,1574641.0
2019-09-03,47.69,48.08,46.97,47.25,1885723.0
2019-09-04,48.39,48.43,47.35,47.76,1610295.0
2019-09-05,48.39,48.65,47.98,48.17,3450543.0
2019-09-06,48.32,48.94,47.96,48.64,1327964.0
2019-09-09,48.74,49.24,48.43,48.85,1333261.0
2019-09-10,49.12,50.95,48.63,50.78,2122304.0
2019-09-11,50.78,51.55,50.18,50.38,2342170.0
2019-09-12,50.82,50.82,49.08,49.1,2014883.0
2019-09-13,49.5,50.3,49.1,49.91,2246192.0
2019-09-16,50.26,52.3,50.16,51.34,2840869.0
2019-09-17,50.82,51.16,50.13,50.58,1374052.0
2019-09-18,50.33,51.0,50.05,50.65,1691448.0
2019-09-19,50.43,50.74,50.0,50.01,1987044.0
2019-09-20,50.21,50.55,49.25,49.29,2501562.0
2019-09-23,48.99,49.98,48.78,49.91,2085877.0
2019-09-24,49.8,49.99,48.58,48.88,2587537.0
2019-09-25,49.0,49.5,48.61,48.67,1363484.0
2019-09-26,49.02,49.58,48.61,49.22,1693092.0
2019-09-27,49.36,49.76,48.35,48.65,1699983.0
2019-09-30,48.74,49.39,47.54,49.2,3332699.0
2019-10-01,49.43,50.08,48.79,49.13,2136430.0
2019-10-02,48.47,48.85,47.59,48.28,1945360.0
2019-10-03,48.14,48.99,47.6,48.76,1438108.0
2019-10-04,48.8,48.85,47.6,48.78,2139234.0
2019-10-07,48.83,49.7,48.7,48.91,1637653.0
2019-10-08,48.49,49.43,48.18,48.86,1919894.0
2019-10-09,49.4,49.52,48.65,48.84,1284988.0
2019-10-10,49.47,50.05,48.67,49.15,1634998.0
2019-10-11,50.0,51.06,49.86,50.62,2458907.0
2019-10-14,50.22,50.26,48.93,48.97,1577815.0
2019-10-15,49.01,49.62,48.49,48.58,2040737.0
2019-10-16,48.51,49.25,48.36,48.91,1867865.0
2019-10-17,49.0,49.2,48.2,48.46,2540868.0
2019-10-18,48.34,48.4,47.71,47.77,2432121.0
2019-10-21,48.33,48.33,46.26,46.46,2577502.0
2019-10-22,46.49,46.8,45.58,46.41,2157368.0
2019-10-23,46.35,46.39,45.56,45.82,1911306.0
2019-10-24,45.99,46.09,45.39,45.47,1537471.0
2019-10-25,45.45,46.64,45.21,46.14,1657716.0
2019-10-28,46.36,46.72,45.81,45.83,1548722.0
2019-10-29,45.5,47.28,45.5,46.87,2023176.0
2019-10-30,46.78,47.46,46.51,47.04,3807712.0
2019-10-31,46.0,46.5,43.32,45.35,4872136.0
2019-11-01,45.49,46.33,44.99,46.27,2666142.0
2019-11-04,46.77,47.86,46.59,47.62,2613495.0
2019-11-05,47.53,48.39,47.34,47.73,2548043.0
2019-11-06,47.67,48.07,46.39,46.39,1629768.0
2019-11-07,46.73,46.99,46.23,46.63,1177437.0
2019-11-08,46.42,46.9,45.77,46.63,1812077.0
2019-11-11,46.26,46.54,45.65,46.45,961798.0
2019-11-12,46.54,48.03,46.33,47.91,2890775.0
2019-11-13,47.43,47.43,46.23,46.84,1810645.0
2019-11-14,45.84,46.45,45.75,46.36,1739540.0
2019-11-15,46.66,46.9,45.87,45.93,1251496.0
2019-11-18,45.63,45.83,44.82,45.13,1421560.0
2019-11-19,45.45,46.01,45.23,45.76,1803918.0
2019-11-20,45.55,45.89,45.06,45.1,1691126.0
2019-11-21,45.12,45.69,44.77,45.4,1866116.0
2019-11-22,45.55,45.82,44.73,44.95,1580994.0
2019-11-25,45.52,46.31,45.45,46.29,1813736.0
2019-11-26,46.35,46.37,45.52,45.72,1677727.0
2019-11-27,45.71,45.99,45.31,45.65,1636728.0
2019-11-29,45.58,46.31,45.58,46.21,779026.0
2019-12-02,46.09,46.23,45.52,45.69,1686414.0
2019-12-03,45.03,45.3,44.34,44.95,1476157.0
2019-12-04,45.2,45.85,44.76,44.77,1408343.0
2019-12-05,44.97,45.09,44.26,44.45,1361787.0
2019-12-06,44.89,45.55,44.77,45.34,2255860.0
2019-12-09,45.55,45.79,45.09,45.4,1646599.0
2019-12-10,44.35,44.55,43.67,44.02,2176391.0
2019-12-11,43.94,45.1,43.84,44.56,2744591.0
2019-12-12,44.44,45.78,44.2,45.4,2968709.0
2019-12-13,45.4,45.9,44.78,45.14,2441679.0
2019-12-16,45.85,47.31,45.73,46.88,2631902.0
2019-12-17,46.88,47.23,46.56,46.92,2422559.0
2019-12-18,46.83,46.84,45.65,46.53,2936335.0
2019-12-19,46.29,46.75,46.05,46.38,2002732.0
2019-12-20,46.66,48.51,46.43,48.28,6009136.0
2019-12-23,48.14,48.32,47.44,47.75,1496943.0
2019-12-24,47.69,48.22,47.69,47.94,293856.0
2019-12-26,47.94,48.51,47.93,48.46,873319.0
2019-12-27,48.88,48.88,47.54,47.55,1306394.0
2019-12-30,47.79,47.86,47.28,47.36,975447.0
2019-12-31,47.2,47.8,47.16,47.74,1016402.0
2020-01-02,48.19,48.19,46.03,46.4,2653481.0
2020-01-03,46.37,47.21,45.97,46.08,2349572.0
2020-01-06,45.75,46.22,45.02,46.0,2282658.0
2020-01-07,45.73,46.42,45.56,45.58,1944772.0
2020-01-08,45.37,45.93,45.02,45.79,2121476.0
2020-01-09,45.94,45.96,44.79,45.57,1762563.0
