date,Open,High,Low,Close,Volume
2019-08-20,79.8,79.93,78.05,78.24,1586705.0
2019-08-21,78.45,79.23,78.22,78.89,864504.0
2019-08-22,78.99,79.52,78.7,79.32,568190.0
2019-08-23,79.23,79.96,78.14,78.5,990140.0
2019-08-26,78.78,79.32,78.46,79.15,872385.0
2019-08-27,79.42,80.01,79.37,79.72,1512457.0
2019-08-28,79.95,80.39,79.44,80.28,1286579.0
2019-08-29,80.57,80.7,78.89,79.93,1001052.0
2019-08-30,80.36,80.67,79.65,79.78,901491.0
2019-09-03,79.56,80.56,79.53,79.87,1275867.0
2019-09-04,79.74,80.33,79.74,80.19,922875.0
2019-09-05,79.8,79.88,75.37,77.5,4867079.0
2019-09-06,77.44,77.73,75.4,75.9,3316296.0
2019-09-09,75.54,75.54,72.84,73.64,3285250.0
2019-09-10,72.99,72.99,71.07,71.58,3906961.0
2019-09-11,70.6,72.31,69.97,71.87,3585959.0
2019-09-12,73.09,74.04,72.48,72.65,3175081.0
2019-09-13,72.35,73.19,71.64,71.98,2907154.0
2019-09-16,72.05,72.55,70.7,72.38,2829727.0
2019-09-17,72.93,73.61,72.64,72.75,2615329.0
2019-09-18,73.14,73.18,72.19,72.81,2685904.0
2019-09-19,72.81,73.25,72.69,72.77,1690114.0
2019-09-20,73.07,73.18,72.65,72.8,2323757.0
2019-09-23,73.09,73.82,73.04,73.35,1851755.0
2019-09-24,73.65,74.32,72.53,73.84,1834423.0
2019-09-25,73.84,74.08,72.98,73.42,1476312.0
2019-09-26,73.75,74.89,73.51,74.64,1293161.0
2019-09-27,76.22,76.7,74.83,75.66,1983933.0
2019-09-30,75.19,75.86,75.14,75.24,1552518.0
2019-10-01,74.92,75.56,74.7,75.56,1756492.0
2019-10-02,75.59,76.05,74.39,74.85,2063077.0
2019-10-03,74.84,75.46,74.6,75.14,1454220.0
2019-10-04,75.45,76.1,75.42,76.05,1190264.0
2019-10-07,75.94,76.43,75.58,76.05,1030688.0
2019-10-08,76.33,76.33,75.33,75.67,1150975.0
2019-10-09,75.94,76.14,75.0,75.92,853144.0
2019-10-10,75.23,75.93,74.45,75.63,877465.0
2019-10-11,75.24,75.24,74.11,74.12,1652493.0
2019-10-14,74.7,74.7,73.47,73.68,1759829.0
2019-10-15,73.63,74.07,72.4,72.8,1354890.0
2019-10-16,73.07,73.56,72.44,72.99,1454290.0
2019-10-17,73.23,73.86,73.05,73.76,1078612.0
2019-10-18,73.63,74.09,73.17,73.89,2161546.0
2019-10-21,73.89,74.0,73.19,73.7,1332408.0
2019-10-22,74.33,74.58,73.7,74.18,2258608.0
2019-10-23,74.01,75.29,73.87,75.28,1794196.0
2019-10-24,75.28,75.97,75.23,75.75,2229176.0
2019-10-25,75.76,75.76,74.88,74.89,1372514.0
2019-10-28,74.93,75.69,74.57,74.6,1359631.0
2019-10-29,74.16,74.44,73.54,73.65,1268272.0
2019-10-30,73.81,75.56,73.64,75.41,1417542.0
2019-10-31,74.57,75.41,69.7,69.94,3468860.0
2019-11-01,69.85,70.75,68.21,68.78,2570267.0
2019-11-04,68.78,69.03,66.9,67.16,2122724.0
2019-11-05,66.8,68.03,66.45,67.27,1788306.0
2019-11-06,68.07,68.18,67.37,67.51,1382238.0
2019-11-07,67.5,67.77,66.7,67.19,1487781.0
2019-11-08,67.33,67.97,67.07,67.58,1646312.0
2019-11-11,67.76,67.78,67.15,67.53,811832.0
2019-11-12,67.6,67.74,66.71,67.05,1599928.0
2019-11-13,67.73,68.53,67.01,68.37,1417283.0
