date,Open,High,Low,Close,Volume
2019-08-20,386.95,394.2,386.7741,391.55,1098277.0
2019-08-21,393.3,393.94,389.52,392.13,899835.0
2019-08-22,392.68,393.13,387.43,391.25,891907.0
2019-08-23,388.84,395.37,384.43,385.51,1333593.0
2019-08-26,387.85,399.07,387.13,396.78,1460528.0
2019-08-27,397.43,401.4,395.04,398.49,1013954.0
2019-08-28,398.65,403.5,395.67,400.5,803398.0
2019-08-29,404.62,410.09,403.07,407.24,892040.0
2019-08-30,409.12,412.5,407.425,409.59,1140383.0
2019-09-03,408.08,413.16,407.255,411.81,977818.0
2019-09-04,415.38,420.26,415.22,419.47,1492853.0
2019-09-05,424.75,428.95,420.31,422.05,1113371.0
2019-09-06,423.12,427.9,421.02,425.72,973778.0
2019-09-09,425.99,427.11,417.66,419.78,1192854.0
2019-09-10,418.97,423.915,415.97,421.34,1367686.0
2019-09-11,420.18,425.79,420.18,425.0,751397.0
2019-09-12,427.67,431.43,423.55,425.0,1233897.0
2019-09-13,425.06,426.65,421.91,425.52,890776.0
2019-09-16,425.19,427.0,419.15,423.25,908934.0
2019-09-17,423.31,425.36,419.05,425.15,760665.0
2019-09-18,424.24,425.71,419.07,425.42,837434.0
2019-09-19,426.78,429.875,425.1,427.42,833703.0
2019-09-20,426.01,427.29,419.65,420.35,3016047.0
2019-09-23,421.69,423.51,420.14,421.51,1148883.0
2019-09-24,422.54,424.59,416.69,417.53,1313158.0
2019-09-25,417.2,418.57,414.51,416.66,1840869.0
2019-09-26,418.45,418.753,406.16,411.0,2123950.0
2019-09-27,411.83,411.83,401.835,406.21,1266386.0
2019-09-30,408.21,413.765,406.89,412.12,929366.0
2019-10-01,412.53,415.48,405.02,405.6,1136939.0
2019-10-02,409.91,412.92,405.8,410.75,1199862.0
2019-10-03,409.01,416.96,406.7,416.67,810061.0
2019-10-04,422.17,429.4025,420.9,427.72,1076651.0
2019-10-07,425.53,432.16,425.29,430.04,996365.0
2019-10-08,426.91,430.94,423.05,428.07,1248039.0
2019-10-09,431.23,431.51,427.475,429.28,626753.0
2019-10-10,428.97,430.3,424.88,426.93,704009.0
2019-10-11,430.22,430.72,422.88,423.16,1235519.0
