date,Open,High,Low,Close,Volume
2019-08-20,162.56,164.03,160.7,161.15,1250456.0
2019-08-21,162.65,164.05,161.565,162.34,1263647.0
2019-08-22,162.4,162.4,155.41,155.78,2060732.0
2019-08-23,155.0,157.08,152.29,153.3,2202008.0
2019-08-26,154.23,154.51,152.2,152.91,1529258.0
2019-08-27,153.19,153.539,146.23,146.27,2794455.0
2019-08-28,146.28,149.38,145.505,147.45,2342304.0
2019-08-29,149.09,152.83,148.9196,152.5,2045174.0
2019-08-30,153.3,155.37,152.5401,153.97,1553481.0
2019-09-03,152.82,155.3296,152.121,154.99,2993956.0
2019-09-04,156.44,157.58,152.535,152.94,1915661.0
2019-09-05,154.89,154.89,150.94,151.0,2092923.0
2019-09-06,150.86,154.72,150.0,153.8,2031315.0
2019-09-09,155.17,162.59,154.65,162.16,2943504.0
2019-09-10,162.39,166.96,160.27,164.99,2936459.0
2019-09-11,164.42,165.46,160.19,161.89,2194533.0
2019-09-12,165.13,165.28,158.75,158.98,3362675.0
2019-09-13,160.1,162.99,159.55,160.85,2194811.0
2019-09-16,159.98,165.62,159.98,165.5,1556700.0
2019-09-17,164.09,165.76,160.79,161.5,1625333.0
2019-09-18,160.53,161.96,159.38,160.44,1766919.0
2019-09-19,161.02,166.7,160.5935,164.71,2015540.0
2019-09-20,165.54,166.72,161.32,161.38,2722688.0
2019-09-23,160.57,161.4,159.69,160.15,2202190.0
2019-09-24,160.79,161.61,156.73,157.91,1847763.0
2019-09-25,157.46,158.46,154.91,155.22,1785860.0
2019-09-26,155.91,156.3,149.4575,149.79,3534585.0
2019-09-27,150.61,152.04,148.13,149.48,2463897.0
2019-09-30,150.53,152.89,148.23,151.79,2387678.0
2019-10-01,152.96,153.1,147.92,150.43,2234111.0
2019-10-02,149.21,152.05,148.4101,149.24,2590261.0
2019-10-03,149.02,150.04,147.81,148.61,2079862.0
2019-10-04,148.37,151.26,148.0,150.74,2099391.0
2019-10-07,150.59,151.85,149.15,149.2,2219740.0
2019-10-08,147.98,148.78,146.5,147.19,2037336.0
2019-10-09,148.39,149.99,147.385,149.59,1851003.0
2019-10-10,149.1,152.46,148.55,150.83,2248162.0
2019-10-11,152.54,155.99,151.73,152.4,1951910.0
2019-10-14,152.21,152.8,150.79,151.58,1326013.0
2019-10-15,155.3,161.34,155.1,160.16,2801961.0
2019-10-16,159.74,161.68,157.81,161.47,1826215.0
2019-10-17,161.73,165.29,161.47,164.77,1808124.0
2019-10-18,165.84,167.38,163.8316,166.88,2030321.0
2019-10-21,166.95,168.055,165.85,166.74,1969147.0
2019-10-22,166.08,172.23,166.08,170.38,2386834.0
2019-10-23,170.2,173.53,169.0,172.91,2098696.0
2019-10-24,172.87,173.6699,168.0,170.11,1982029.0
2019-10-25,169.99,172.15,168.87,171.49,1325311.0
2019-10-28,171.68,175.74,171.37,174.79,2019282.0
2019-10-29,174.6,178.13,174.32,177.98,1926996.0
2019-10-30,176.55,177.65,175.44,176.44,2033157.0
2019-10-31,178.25,179.5,171.65,178.46,3971407.0
2019-11-01,179.21,184.56,178.0,179.51,3425800.0
