date,Open,High,Low,Close,Volume
2019-08-20,72.96,73.28,72.43,72.54,2463650.0
2019-08-21,73.0,73.17,72.46,72.61,2527057.0
2019-08-22,72.66,73.29,72.37,73.04,1526564.0
2019-08-23,73.11,73.88,71.81,72.23,3910856.0
2019-08-26,72.66,72.94,72.21,72.77,1770258.0
2019-08-27,73.28,73.73,73.03,73.44,2582071.0
2019-08-28,73.5,74.07,73.32,74.0,2050113.0
2019-08-29,74.47,74.55,73.38,74.2,1819661.0
2019-08-30,74.47,74.51,73.91,74.15,2899684.0
2019-09-03,73.67,74.55,73.46,74.31,1963799.0
2019-09-04,74.83,75.0,74.46,74.87,2422930.0
2019-09-05,75.0,75.0,74.09,74.29,3430901.0
2019-09-06,74.41,74.71,74.23,74.7,2333283.0
2019-09-09,74.6,74.6,72.86,73.19,5076636.0
2019-09-10,72.51,72.52,71.18,72.12,4712881.0
2019-09-11,71.95,72.86,71.4,72.85,2305494.0
2019-09-12,73.37,73.86,72.24,72.29,2644243.0
2019-09-13,71.6,71.72,70.39,70.71,4679568.0
2019-09-16,70.1,70.39,68.97,69.43,4079378.0
2019-09-17,69.57,70.7,69.53,69.86,3385439.0
2019-09-18,70.18,70.81,69.88,70.75,3551695.0
2019-09-19,70.94,71.11,70.66,70.95,3841094.0
2019-09-20,71.02,71.26,70.76,70.95,4790091.0
2019-09-23,70.85,71.72,70.84,71.5,4186181.0
2019-09-24,71.96,72.93,71.79,72.49,4400863.0
2019-09-25,72.54,72.8,71.89,72.24,2784883.0
2019-09-26,72.3,73.08,72.2,72.72,2630616.0
2019-09-27,73.14,73.35,72.65,73.26,3766231.0
2019-09-30,73.15,74.28,73.15,73.51,3389316.0
2019-10-01,72.78,73.21,71.49,71.73,3561333.0
2019-10-02,71.4,71.85,70.07,70.52,3764058.0
2019-10-03,70.81,71.41,70.44,70.87,2271821.0
2019-10-04,70.97,72.14,70.83,72.07,2422636.0
2019-10-07,71.97,72.18,71.56,71.62,2698655.0
2019-10-08,71.49,71.58,70.63,70.68,2546570.0
2019-10-09,70.88,71.12,70.08,70.63,1932358.0
2019-10-10,69.96,70.88,69.7,70.77,2220107.0
2019-10-11,71.11,71.12,70.22,70.51,2579300.0
2019-10-14,70.61,70.79,69.36,69.41,2584339.0
2019-10-15,69.43,69.52,68.23,68.4,4428964.0
2019-10-16,68.38,68.38,67.37,67.85,4466403.0
2019-10-17,68.16,68.65,67.89,68.08,3788918.0
2019-10-18,68.01,68.29,67.47,68.03,4022608.0
2019-10-21,68.0,68.38,67.85,68.3,2533814.0
2019-10-22,68.55,68.6,66.97,67.06,3881519.0
2019-10-23,66.82,67.7,66.8,67.54,4107122.0
2019-10-24,67.75,68.54,67.55,68.34,5257813.0
2019-10-25,68.4,68.75,68.21,68.41,3850349.0
2019-10-28,68.64,68.7,66.96,67.35,4594478.0
2019-10-29,67.17,67.96,67.01,67.92,3018785.0
2019-10-30,67.98,68.64,67.8,68.58,2575686.0
2019-10-31,68.42,68.96,67.92,68.6,4373885.0
2019-11-01,67.44,67.5,65.58,66.81,6128439.0
2019-11-04,66.53,66.98,65.24,65.41,6528489.0
2019-11-05,65.17,66.19,64.75,65.96,5392680.0
2019-11-06,66.31,66.89,66.19,66.52,4412594.0
2019-11-07,66.58,66.94,65.93,66.87,4332105.0
2019-11-08,66.76,67.06,66.38,66.63,3489444.0
2019-11-11,66.4,66.8,65.95,66.54,2640392.0
2019-11-12,66.67,66.97,66.53,66.64,3315610.0
2019-11-13,67.0,67.08,66.52,66.88,3474917.0
2019-11-14,66.63,67.01,66.54,66.64,2956239.0
2019-11-15,66.66,66.74,66.13,66.37,5146810.0
2019-11-18,66.81,67.94,66.71,67.13,4568175.0
2019-11-19,67.13,67.31,66.52,67.16,3710400.0
2019-11-20,67.23,67.59,66.82,67.21,3008609.0
2019-11-21,67.52,67.7,66.71,66.75,3432877.0
2019-11-22,66.61,66.88,66.22,66.71,2616321.0
2019-11-25,66.83,66.98,66.34,66.98,3020169.0
2019-11-26,67.2,67.8,67.02,67.79,3525995.0
2019-11-27,67.79,67.89,67.22,67.68,2517608.0
2019-11-29,67.81,67.98,67.49,67.82,1385098.0
2019-12-02,68.0,68.0,67.13,67.57,3487817.0
2019-12-03,67.63,67.63,66.8,67.3,3786263.0
2019-12-04,67.12,68.16,67.12,68.08,3278996.0
2019-12-05,67.86,67.92,67.36,67.82,4056456.0
2019-12-06,67.88,68.33,67.39,68.24,3504747.0
2019-12-09,68.25,68.67,68.01,68.6,3610196.0
2019-12-10,68.31,68.67,67.85,67.93,3820631.0
2019-12-11,67.92,68.68,67.3,67.46,2889860.0
2019-12-12,67.55,67.83,66.94,67.23,3658404.0
2019-12-13,67.23,68.87,67.07,68.69,5179643.0
2019-12-16,68.84,69.23,68.52,68.87,3371164.0
2019-12-17,68.65,68.65,67.81,67.84,4647645.0
2019-12-18,68.13,68.43,67.69,68.27,5467051.0
2019-12-19,67.27,68.48,67.27,68.34,4266396.0
2019-12-20,69.1,69.3,68.76,68.85,6007616.0
2019-12-23,69.01,69.06,68.6,68.72,2775951.0
2019-12-24,68.65,68.73,68.26,68.55,816689.0
2019-12-26,68.8,68.98,68.43,68.58,2493597.0
2019-12-27,68.84,69.34,68.83,69.18,2943708.0
