date,Open,High,Low,Close,Volume
2019-08-20,162.24,162.24,158.64,158.98,1043195.0
2019-08-21,159.76,160.03,157.6,158.07,803901.0
2019-08-22,158.53,159.61,157.48,159.15,666518.0
2019-08-23,159.18,159.18,155.12,155.93,802519.0
2019-08-26,156.54,157.64,156.03,156.96,669776.0
2019-08-27,157.83,159.44,157.5,158.65,689313.0
2019-08-28,158.83,160.19,158.42,159.98,554854.0
2019-08-29,160.56,160.56,157.65,159.25,785325.0
2019-08-30,159.2,160.46,157.58,158.16,1096903.0
2019-09-03,158.07,162.52,157.5,162.35,1473131.0
2019-09-04,162.61,164.4,162.11,164.36,1196632.0
2019-09-05,164.9,164.9,161.55,162.2,978843.0
2019-09-06,163.17,163.39,161.38,162.04,868798.0
2019-09-09,161.92,161.92,156.26,158.33,1471652.0
2019-09-10,157.22,158.31,155.05,158.28,1334609.0
2019-09-11,156.75,158.94,155.28,158.93,892375.0
2019-09-12,160.2,161.03,158.75,160.2,707816.0
2019-09-13,159.54,160.46,157.88,158.94,911141.0
2019-09-16,157.75,158.04,153.7,153.77,1049027.0
2019-09-17,153.46,156.26,153.46,155.54,869927.0
2019-09-18,156.68,156.77,154.13,155.8,802134.0
2019-09-19,156.19,156.29,154.09,154.21,1116073.0
2019-09-20,154.61,154.61,151.4,151.78,1977551.0
2019-09-23,149.99,152.12,149.13,150.23,1388713.0
2019-09-24,151.48,151.64,149.48,151.0,1414608.0
2019-09-25,151.3,151.82,149.67,150.77,1037283.0
2019-09-26,151.65,151.95,150.53,150.59,942897.0
2019-09-27,151.82,152.77,150.79,152.68,932506.0
2019-09-30,151.27,152.47,150.9,151.87,867182.0
2019-10-01,152.44,152.85,151.06,151.28,932622.0
2019-10-02,151.42,152.74,144.12,149.35,2844603.0
2019-10-03,148.56,149.94,146.13,147.02,1711215.0
2019-10-04,147.7,151.49,147.69,151.38,1285094.0
2019-10-07,151.72,152.9,151.06,151.16,934925.0
2019-10-08,151.53,151.53,149.54,149.8,814198.0
2019-10-09,149.91,150.66,149.0,150.11,735813.0
2019-10-10,149.96,151.64,149.81,150.75,767356.0
2019-10-11,151.79,151.89,150.02,150.25,675750.0
2019-10-14,150.73,150.73,148.54,148.72,605280.0
2019-10-15,148.62,149.29,147.5,148.21,904870.0
2019-10-16,148.78,149.04,146.74,148.51,768207.0
2019-10-17,148.45,150.18,148.03,149.4,636887.0
2019-10-18,149.19,150.44,149.19,149.7,582722.0
2019-10-21,149.67,149.7,148.69,149.07,871705.0
2019-10-22,149.29,149.36,147.25,148.44,934205.0
2019-10-23,147.43,149.89,147.37,149.81,688030.0
2019-10-24,150.58,151.34,149.81,150.76,732700.0
2019-10-25,151.05,151.76,149.9,151.4,667732.0
2019-10-28,152.14,152.7,150.63,150.77,1143754.0
2019-10-29,149.37,149.97,148.26,149.46,1256866.0
