date,Open,High,Low,Close,Volume
2019-08-20,61.45,61.45,60.69,60.89,1201594.0
2019-08-21,61.65,61.77,60.99,61.53,1326208.0
2019-08-22,62.04,62.46,61.18,61.56,1203972.0
2019-08-23,61.07,61.87,59.34,59.62,1333257.0
2019-08-26,60.26,60.5,59.4,59.82,1077612.0
2019-08-27,59.99,60.41,58.54,58.8,1688006.0
2019-08-28,58.68,60.34,58.6,60.07,1611206.0
2019-08-29,60.59,61.83,60.53,61.53,2015873.0
2019-08-30,62.09,62.65,61.55,61.65,1654152.0
2019-09-03,60.88,61.1,59.53,59.93,2237618.0
2019-09-04,60.01,60.75,59.96,60.53,1357403.0
2019-09-05,61.67,63.4,61.44,62.38,3188146.0
2019-09-06,62.25,62.75,61.14,61.61,2349506.0
2019-09-09,61.41,63.62,60.06,63.21,3029353.0
2019-09-10,63.77,64.7,62.96,64.07,2650342.0
2019-09-11,64.07,65.83,62.51,65.77,2418751.0
2019-09-12,63.74,65.3,62.74,64.76,2777680.0
2019-09-13,65.71,66.39,64.91,65.6,2074611.0
2019-09-16,64.16,66.55,64.16,66.5,1569214.0
2019-09-17,65.92,65.93,64.85,65.48,1476099.0
2019-09-18,64.98,67.18,64.69,66.92,2393451.0
2019-09-19,66.59,66.97,65.81,66.0,1553380.0
2019-09-20,66.53,66.87,65.73,65.97,3292419.0
2019-09-23,65.31,66.31,65.03,65.81,1105243.0
2019-09-24,65.71,65.91,64.0,64.52,1755130.0
2019-09-25,64.65,65.78,64.55,65.5,1078624.0
2019-09-26,65.16,65.67,64.86,64.98,1127488.0
2019-09-27,65.61,66.62,65.27,65.79,728648.0
2019-09-30,66.0,66.32,65.61,65.99,1169285.0
2019-10-01,66.43,66.83,63.71,64.05,1736347.0
2019-10-02,63.58,63.76,62.71,63.23,1311909.0
2019-10-03,62.69,63.45,61.43,63.42,1658489.0
2019-10-04,63.3,63.91,62.37,63.91,1116667.0
2019-10-07,64.08,64.9,63.55,64.03,1125030.0
2019-10-08,62.85,63.23,62.18,62.33,1394407.0
2019-10-09,63.0,63.09,62.12,62.59,1311897.0
2019-10-10,63.25,64.62,63.03,63.86,1506159.0
2019-10-11,65.35,66.29,65.18,65.36,1750776.0
2019-10-14,64.8,65.51,64.32,65.26,1146993.0
2019-10-15,65.7,67.41,65.24,67.0,2020021.0
2019-10-16,68.0,68.0,64.79,65.49,2340273.0
