date,Open,High,Low,Close,Volume
2019-08-20,43.88,44.46,43.69,43.94,15758088.0
2019-08-21,43.76,44.16,43.48,44.11,11329583.0
2019-08-22,44.23,44.41,43.62,43.77,9960534.0
2019-08-23,43.5,43.84,42.27,42.43,18196656.0
2019-08-26,42.74,43.51,42.55,43.35,13009631.0
2019-08-27,43.9,43.92,43.42,43.6,12508281.0
2019-08-28,43.4,43.9,43.21,43.77,11674674.0
2019-08-29,44.15,44.5,43.95,44.17,11339524.0
2019-08-30,44.49,44.65,44.03,44.26,15484753.0
2019-09-03,43.89,44.08,43.53,43.88,12712092.0
2019-09-04,44.32,45.71,44.22,45.52,26198579.0
2019-09-05,46.43,46.62,45.99,46.41,22076269.0
2019-09-06,46.43,46.61,46.2,46.35,13101832.0
2019-09-09,46.65,46.69,46.14,46.42,16383180.0
2019-09-10,46.19,46.57,46.01,46.45,17566693.0
2019-09-11,46.28,46.57,46.09,46.4,12874394.0
2019-09-12,46.79,47.27,46.5,46.97,18660032.0
2019-09-13,46.96,47.16,46.79,46.88,11732669.0
2019-09-16,46.23,46.62,45.79,46.27,13581676.0
2019-09-17,46.12,46.71,45.88,46.67,10085059.0
2019-09-18,46.98,47.05,46.46,46.94,13184084.0
2019-09-19,47.04,47.16,46.57,46.68,10570434.0
2019-09-20,46.67,46.82,46.18,46.36,28652428.0
2019-09-23,46.17,46.51,46.16,46.22,19455992.0
2019-09-24,46.62,46.65,45.45,45.71,21170984.0
2019-09-25,45.79,45.98,45.32,45.83,22330848.0
2019-09-26,45.62,45.8,44.25,44.9,22577893.0
2019-09-27,45.16,45.3,44.33,44.81,15005261.0
2019-09-30,45.0,45.22,44.77,45.08,14142772.0
2019-10-01,45.18,45.71,44.48,44.52,15230293.0
2019-10-02,44.39,44.63,43.97,44.05,17558025.0
2019-10-03,44.07,44.17,43.61,44.06,14036986.0
2019-10-04,44.33,45.02,44.29,44.71,14984986.0
2019-10-07,44.39,44.96,44.33,44.59,13492411.0
2019-10-08,44.75,44.75,43.64,44.11,14376526.0
2019-10-09,44.49,44.52,44.05,44.38,10640651.0
2019-10-10,44.4,44.84,44.3,44.5,9837381.0
2019-10-11,44.84,45.94,44.63,45.55,23089944.0
2019-10-14,45.37,45.54,45.06,45.23,10177755.0
2019-10-15,45.31,45.82,45.1,45.67,9376770.0
2019-10-16,45.56,45.81,45.31,45.6,15021246.0
2019-10-17,45.83,45.96,45.51,45.93,9393032.0
2019-10-18,46.06,46.1,45.42,45.57,13477306.0
2019-10-21,45.89,46.22,45.81,46.08,10646894.0
2019-10-22,45.89,46.05,45.7,45.77,12172167.0
2019-10-23,46.01,46.19,45.47,45.72,23521466.0
2019-10-24,47.21,47.24,44.5,44.84,19165918.0
2019-10-25,45.18,45.78,44.93,45.65,15256752.0
2019-10-28,45.39,46.05,44.55,45.44,14798282.0
2019-10-29,45.19,45.65,45.12,45.35,12664523.0
2019-10-30,45.35,45.43,44.46,44.69,14443119.0
2019-10-31,44.75,44.85,43.89,44.82,23563135.0
2019-11-01,45.19,45.21,44.51,44.75,16314076.0
2019-11-04,45.11,45.22,43.75,43.89,20926406.0
2019-11-05,43.96,44.48,43.67,44.28,15991268.0
2019-11-06,44.32,44.35,43.53,44.22,19927421.0
2019-11-07,44.48,45.01,44.27,44.7,15632907.0
2019-11-08,44.68,45.2,44.43,45.19,13741759.0
2019-11-11,44.88,45.6,44.88,45.25,11169496.0
2019-11-12,45.18,45.31,44.95,45.23,12175346.0
2019-11-13,45.05,45.56,44.97,45.2,11477580.0
2019-11-14,45.14,45.57,45.04,45.45,11364315.0
2019-11-15,45.66,45.67,44.43,44.56,23183714.0
2019-11-18,44.31,44.62,44.08,44.61,16261422.0
