date,Open,High,Low,Close,Volume
2019-08-20,216.74,217.65,213.61,213.85,871800.0
2019-08-21,215.07,215.2,211.99,213.49,1089500.0
2019-08-22,214.52,214.79,213.14,213.24,755400.0
2019-08-23,212.53,213.75,210.4,211.22,1547500.0
2019-08-26,211.82,214.81,211.82,214.64,798600.0
2019-08-27,215.44,217.51,214.81,216.22,993500.0
2019-08-28,216.57,217.22,214.31,215.76,817900.0
2019-08-29,216.83,216.87,213.09,215.69,667200.0
2019-08-30,215.91,217.74,214.67,217.29,947300.0
2019-09-03,216.07,218.1,215.67,217.76,1045300.0
2019-09-04,217.62,221.76,217.54,221.06,1131700.0
2019-09-05,224.03,224.86,220.55,221.18,1185100.0
2019-09-06,221.52,224.91,221.32,223.07,1093900.0
2019-09-09,223.99,224.0,214.85,215.58,1343200.0
2019-09-10,215.38,216.65,204.51,205.43,2569700.0
2019-09-11,206.0,206.7,201.94,202.58,2564200.0
2019-09-12,201.98,205.77,201.78,205.38,1764800.0
2019-09-13,206.13,206.54,202.54,205.8,1122600.0
2019-09-16,205.57,209.19,205.13,207.0,1244700.0
2019-09-17,207.02,214.86,205.63,214.73,2497000.0
2019-09-18,215.1,216.47,212.99,216.17,1166000.0
2019-09-19,214.06,216.15,210.94,211.95,1362700.0
2019-09-20,212.89,212.89,209.78,211.15,2050100.0
2019-09-23,209.77,213.0,209.58,212.28,835200.0
2019-09-24,213.06,216.67,211.99,212.91,1125800.0
2019-09-25,213.42,214.06,211.18,213.28,1119500.0
2019-09-26,214.82,216.69,214.22,215.99,1248300.0
2019-09-27,217.18,217.88,213.22,213.89,1030800.0
2019-09-30,214.8,214.83,210.59,211.34,1119700.0
2019-10-01,211.34,211.88,208.32,210.72,1106400.0
2019-10-02,210.05,211.81,206.88,207.84,1260600.0
2019-10-03,208.42,210.97,207.7,209.43,1007600.0
2019-10-04,210.25,216.19,209.96,216.02,1036900.0
2019-10-07,214.57,215.6,212.68,213.33,916900.0
2019-10-08,212.51,213.81,211.26,212.14,1264500.0
2019-10-09,214.25,215.42,212.52,215.13,768700.0
2019-10-10,214.22,217.24,214.02,215.89,673100.0
2019-10-11,217.79,217.79,211.75,212.83,1193900.0
2019-10-14,213.43,214.89,212.01,212.35,774000.0
2019-10-15,213.13,214.0,211.4,212.57,721700.0
2019-10-16,211.25,212.06,208.67,212.01,1166600.0
2019-10-17,211.95,213.22,210.3,213.01,1420900.0
2019-10-18,213.58,214.12,211.61,213.17,1245100.0
2019-10-21,212.21,212.94,205.79,206.07,1274400.0
2019-10-22,206.23,207.47,201.5,202.02,1584800.0
2019-10-23,201.9,204.12,200.12,202.23,1043100.0
2019-10-24,202.92,204.42,201.44,203.25,1197400.0
2019-10-25,203.52,204.4,200.4,200.46,1396100.0
2019-10-28,201.63,201.72,196.95,200.66,2563000.0
2019-10-29,200.99,203.54,199.95,201.0,2497500.0
2019-10-30,203.89,207.42,202.11,204.97,1595000.0
2019-10-31,204.2,209.35,203.95,205.75,1541000.0
2019-11-01,206.91,207.79,200.53,201.51,1358000.0
2019-11-04,201.75,202.37,196.71,197.02,1377800.0
2019-11-05,197.02,197.97,195.79,196.95,1178800.0
2019-11-06,196.81,198.86,196.51,198.59,976800.0
2019-11-07,199.02,199.09,196.74,199.0,1023400.0
2019-11-08,198.94,200.5,197.54,198.17,1172300.0
2019-11-11,197.49,199.75,197.19,198.65,773000.0
2019-11-12,198.97,201.84,198.22,201.49,1009300.0
2019-11-13,202.6,205.96,202.4,204.62,1076600.0
2019-11-14,204.44,206.34,203.36,206.05,1059600.0
2019-11-15,206.78,206.78,203.92,204.2,1182700.0
2019-11-18,204.85,205.6,203.06,205.33,1070300.0
2019-11-19,204.29,206.72,204.11,206.18,832900.0
2019-11-20,206.39,208.77,205.13,206.64,1187300.0
2019-11-21,207.38,208.0,205.16,205.49,955400.0
2019-11-22,205.36,207.16,204.86,206.9,851100.0
2019-11-25,207.5,208.78,205.55,206.8,967200.0
2019-11-26,206.96,207.5,204.37,205.87,2469800.0
2019-11-27,205.84,205.9,200.56,200.98,1722300.0
2019-11-29,200.0,203.52,199.51,202.73,1155100.0
2019-12-02,202.8,205.4,202.02,203.32,1404200.0
2019-12-03,203.4,206.68,202.58,204.12,1250700.0
2019-12-04,202.68,205.4,202.68,204.78,1042100.0
2019-12-05,204.86,207.69,204.36,207.43,1201900.0
2019-12-06,206.98,207.96,205.12,205.96,1629200.0
2019-12-09,205.31,205.55,204.12,204.99,994400.0
2019-12-10,205.15,206.6,204.09,205.1,1168700.0
2019-12-11,205.39,206.05,204.42,204.71,1189700.0
2019-12-12,204.19,205.6,201.98,203.14,1651200.0
2019-12-13,203.1,205.34,201.67,204.59,900400.0
2019-12-16,204.59,206.52,202.63,203.18,1544500.0
2019-12-17,203.81,205.08,202.25,203.57,1245000.0
2019-12-18,203.97,204.18,199.54,200.49,1191100.0
2019-12-19,200.88,204.79,200.49,204.72,1229300.0
2019-12-20,205.0,206.65,202.43,202.52,3423900.0
2019-12-23,203.88,204.46,202.26,203.28,1368900.0
2019-12-24,202.51,203.74,201.51,203.36,750000.0
2019-12-26,201.0,202.36,200.35,201.35,970700.0
2019-12-27,201.28,203.03,200.32,202.78,1001100.0
2019-12-30,202.79,203.53,198.76,199.18,1012400.0
2019-12-31,199.2,200.83,198.35,200.72,1016700.0
2020-01-02,201.11,202.05,200.58,201.85,1464900.0
2020-01-03,201.16,205.05,201.1,204.55,1184900.0
2020-01-06,205.09,206.29,203.67,205.39,1329800.0
2020-01-07,205.5,206.01,202.94,204.99,968000.0
2020-01-08,205.56,208.38,205.56,206.1,1512300.0
2020-01-09,206.19,210.25,205.58,208.47,1667200.0
2020-01-10,208.4,208.89,204.69,205.09,1838200.0
2020-01-13,204.6,205.12,202.84,204.14,1245700.0
2020-01-14,204.53,204.95,203.03,203.56,1260600.0
2020-01-15,204.66,206.78,203.01,205.01,1185000.0
2020-01-16,205.38,207.22,205.29,207.15,1008400.0
2020-01-17,207.28,208.6,205.77,206.86,1263000.0
2020-01-21,207.46,209.28,206.58,206.86,1183900.0
2020-01-22,207.39,208.48,206.37,207.55,952500.0
2020-01-23,207.69,209.14,206.59,208.24,1101600.0
2020-01-24,208.79,209.79,208.19,209.24,1245500.0
2020-01-27,208.88,214.19,208.37,212.99,1719900.0
2020-01-28,213.01,213.86,211.93,213.21,1406700.0
2020-01-29,213.78,215.17,211.65,213.58,921100.0
2020-01-30,213.16,218.88,213.05,218.78,1559246.0
2020-01-31,218.04,220.35,216.18,217.11,1634600.0
2020-02-03,218.0,218.44,214.16,214.57,1661800.0
2020-02-04,216.48,218.44,214.79,215.54,1649300.0
2020-02-05,216.22,216.9,211.39,213.43,1870362.0
2020-02-06,213.17,214.57,210.28,212.63,1280000.0
2020-02-07,212.75,215.26,212.66,213.2,1163100.0
2020-02-10,213.7,215.0,212.14,213.37,1042700.0
2020-02-11,213.59,215.14,211.3,211.65,1269900.0
2020-02-12,208.1,210.0,204.01,207.64,2374400.0
2020-02-13,207.7,210.25,206.87,208.31,1094200.0
2020-02-14,208.22,213.24,208.02,213.13,1054500.0
