date,Open,High,Low,Close,Volume
2019-08-20,823.0,823.63,816.89,820.14,201627.0
2019-08-21,822.35,828.795,820.2722,827.51,252069.0
2019-08-22,830.0,831.59,817.7,819.15,275331.0
2019-08-23,815.12,824.18,802.21,805.44,421887.0
2019-08-26,812.77,827.43,812.77,826.8,392143.0
2019-08-27,833.68,847.49,833.18,842.11,492744.0
2019-08-28,839.89,841.0,833.0,839.34,235729.0
2019-08-29,845.0,847.95,836.8,843.64,249316.0
2019-08-30,847.36,848.84,833.78,838.42,289387.0
2019-09-03,833.0,836.1,823.43,827.87,391677.0
2019-09-04,832.0,840.32,828.0,838.28,327598.0
2019-09-05,842.0,843.8296,831.83,838.11,328941.0
2019-09-06,837.89,842.14,833.36,836.32,274744.0
2019-09-09,847.37,857.9,839.08,839.65,582416.0
2019-09-10,839.31,839.31,779.7801,787.98,1175863.0
2019-09-11,793.0,802.6441,785.365,799.21,617719.0
2019-09-12,802.8,810.2918,801.51,805.45,370948.0
2019-09-13,805.7,805.7,780.84,787.86,465860.0
2019-09-16,783.0,802.76,783.0,799.87,681989.0
2019-09-17,802.89,831.7499,802.89,825.75,643484.0
2019-09-18,825.0,840.23,822.11,834.97,609642.0
2019-09-19,834.95,838.4,825.88,832.09,287215.0
2019-09-20,835.53,840.82,831.03,834.66,566346.0
2019-09-23,834.65,849.787,831.97,843.29,603767.0
2019-09-24,846.25,851.8,821.48,824.49,529425.0
2019-09-25,824.0,829.24,802.4006,819.22,442989.0
2019-09-26,820.56,822.75,808.36,817.57,328407.0
2019-09-27,819.84,825.0,808.615,818.83,449382.0
2019-09-30,822.0,843.9,822.0,840.47,467559.0
2019-10-01,845.08,847.95,828.15,828.84,504114.0
2019-10-02,826.68,826.68,805.485,809.98,640231.0
2019-10-03,809.0,821.025,805.14,815.29,522557.0
2019-10-04,819.0,825.1035,817.0102,823.93,285704.0
2019-10-07,822.11,822.44,806.7,814.16,323485.0
2019-10-08,806.9,813.36,800.15,805.88,384584.0
2019-10-09,815.01,829.8,810.77,827.29,442395.0
2019-10-10,829.97,831.7,816.73,827.75,404007.0
2019-10-11,832.29,845.0,828.62,830.35,450289.0
2019-10-14,830.0,830.0,821.985,828.13,295064.0
2019-10-15,830.35,836.91,823.0481,826.74,293566.0
2019-10-16,827.0,827.632,815.61,823.25,307433.0
2019-10-17,830.0,834.74,824.53,829.07,338422.0
2019-10-18,828.21,849.6,827.08,841.48,822235.0
2019-10-21,847.64,852.0,842.112,851.54,529045.0
2019-10-22,856.75,856.75,823.15,831.07,1266575.0
2019-10-23,813.73,814.42,782.4,788.19,1783614.0
2019-10-24,792.0,809.77,788.31,798.34,772875.0
2019-10-25,796.8,800.1222,785.58,787.87,497557.0
2019-10-28,790.75,792.6368,767.23,782.61,930722.0
2019-10-29,784.85,784.85,761.02,763.82,502222.0
2019-10-30,763.86,775.725,758.88,775.52,474166.0
2019-10-31,779.17,782.6,773.4248,778.16,293789.0
2019-11-01,778.26,781.91,767.615,768.63,394444.0
2019-11-04,768.0,771.1599,747.5102,751.77,762041.0
2019-11-05,750.0,751.61,733.52,740.76,830893.0
2019-11-06,742.33,750.74,740.795,744.31,383592.0
2019-11-07,745.0,746.5775,734.11,737.34,479825.0
2019-11-08,736.0,744.655,730.5,731.62,534619.0
2019-11-11,728.69,745.87,728.0,743.37,585423.0
2019-11-12,757.99,764.79,755.06,757.27,667948.0
2019-11-13,754.12,757.5139,747.205,753.3,464338.0
2019-11-14,755.0,755.835,743.61,749.2,427675.0
2019-11-15,749.3,754.85,746.73,754.66,339925.0
2019-11-18,756.5,774.87,755.29,771.31,401073.0
2019-11-19,771.05,775.1601,763.93,766.78,348313.0
2019-11-20,767.13,778.65,767.13,775.94,347645.0
2019-11-21,776.84,781.72,770.26,773.46,308767.0
2019-11-22,773.12,777.855,770.395,772.61,220619.0
2019-11-25,774.81,787.72,774.81,786.51,341964.0
2019-11-26,799.05,816.43,799.0,815.84,677375.0
