date,Open,High,Low,Close,Volume
2019-08-20,61.75,61.75,61.07,61.46,1433601.0
2019-08-21,61.43,62.1,61.38,62.06,1064614.0
2019-08-22,61.85,62.28,61.55,62.14,1010435.0
2019-08-23,62.35,62.61,61.33,61.58,1610289.0
2019-08-26,61.75,62.46,61.66,62.41,1127189.0
2019-08-27,62.64,63.13,62.56,62.56,1823744.0
2019-08-28,62.61,63.02,62.29,62.47,2056483.0
2019-08-29,62.77,63.06,62.27,63.03,1595996.0
2019-08-30,63.22,63.31,62.8,63.05,1274184.0
2019-09-03,63.07,64.39,63.01,64.38,1818595.0
2019-09-04,64.47,64.67,64.03,64.48,1014458.0
2019-09-05,64.13,64.17,63.22,63.4,1820090.0
2019-09-06,63.56,63.69,62.6,62.76,2363911.0
2019-09-09,62.52,62.67,61.3,61.45,3251627.0
2019-09-10,61.45,61.49,60.1,60.99,3088015.0
2019-09-11,60.86,61.53,60.54,61.25,2182376.0
2019-09-12,61.79,62.14,61.27,61.63,2120468.0
2019-09-13,61.27,61.68,60.98,61.27,1303232.0
2019-09-16,61.23,61.74,61.05,61.46,1281319.0
2019-09-17,61.6,62.6,61.55,62.37,1980067.0
2019-09-18,62.77,62.82,62.13,62.63,1186781.0
2019-09-19,62.78,62.98,62.46,62.85,2270230.0
2019-09-20,62.99,63.55,62.64,63.11,3509185.0
2019-09-23,63.26,63.41,62.97,63.19,1658135.0
2019-09-24,63.34,64.83,63.26,64.09,2087450.0
2019-09-25,64.27,64.42,63.81,64.33,2084100.0
2019-09-26,64.61,65.31,64.55,65.04,2373079.0
2019-09-27,65.12,65.13,63.68,64.01,2781931.0
2019-09-30,64.15,64.61,63.77,63.95,1870234.0
2019-10-01,63.77,64.24,63.37,64.15,1691334.0
2019-10-02,64.06,64.26,63.43,63.58,1920423.0
2019-10-03,63.68,64.01,63.49,64.0,1832369.0
2019-10-04,64.17,65.02,64.04,64.92,1273403.0
2019-10-07,64.78,64.79,64.27,64.45,1222704.0
2019-10-08,64.46,64.65,63.99,64.1,1996541.0
2019-10-09,64.24,64.86,64.15,64.6,1443772.0
2019-10-10,64.44,64.58,63.81,64.33,1516639.0
2019-10-11,64.08,64.34,63.37,63.88,1772276.0
2019-10-14,64.06,64.16,63.26,63.48,908044.0
2019-10-15,63.56,63.82,63.01,63.23,1505119.0
2019-10-16,63.12,63.55,62.84,63.54,1233498.0
2019-10-17,63.47,63.89,63.38,63.68,1693884.0
2019-10-18,63.61,64.11,63.24,64.01,1326890.0
2019-10-21,63.91,64.07,63.42,63.95,1088891.0
2019-10-22,64.13,64.36,63.69,63.73,2540803.0
2019-10-23,63.88,64.29,63.22,63.29,5182562.0
2019-10-24,64.3,65.01,63.64,64.45,2944988.0
2019-10-25,64.91,64.91,63.28,63.65,2255904.0
2019-10-28,63.39,63.7,62.38,62.51,1961918.0
2019-10-29,62.49,63.08,62.32,62.98,1870718.0
2019-10-30,63.08,64.02,63.04,63.9,2120101.0
2019-10-31,63.69,64.06,63.31,63.92,1935650.0
2019-11-01,64.0,64.14,63.26,63.34,1538086.0
2019-11-04,63.24,63.45,61.39,61.67,2378177.0
2019-11-05,61.19,61.52,60.33,60.73,3099097.0
2019-11-06,60.91,61.5,60.85,61.36,1819377.0
2019-11-07,61.06,61.06,59.42,60.01,2490192.0
2019-11-08,59.91,60.43,59.35,59.61,1746756.0
2019-11-11,59.58,59.9,59.49,59.58,1095496.0
2019-11-12,59.64,59.74,59.33,59.59,1310139.0
2019-11-13,59.71,60.67,59.69,60.49,1177145.0
2019-11-14,60.66,61.0,60.4,60.76,1516507.0
2019-11-15,60.86,60.9,60.55,60.9,1470140.0
2019-11-18,61.13,61.7,61.06,61.19,1756937.0
2019-11-19,61.0,61.88,60.71,61.44,1999815.0
2019-11-20,61.56,62.17,61.36,61.7,1939815.0
2019-11-21,61.56,62.09,61.28,61.95,2852548.0
2019-11-22,62.06,62.14,61.07,61.76,1777131.0
2019-11-25,61.81,61.84,60.89,61.2,2055774.0
2019-11-26,61.28,61.71,61.11,61.68,3065212.0
2019-11-27,61.68,61.76,61.26,61.52,1737630.0
2019-11-29,61.76,62.0,61.24,61.3,776744.0
2019-12-02,61.43,61.43,60.83,60.87,1600399.0
2019-12-03,61.11,61.33,60.86,61.13,1345739.0
2019-12-04,60.96,61.82,60.96,61.71,1242336.0
2019-12-05,61.5,61.85,61.35,61.84,867497.0
2019-12-06,61.61,61.78,61.2,61.46,1183700.0
2019-12-09,61.52,61.71,61.02,61.28,1365916.0
2019-12-10,61.41,61.64,61.2,61.44,1636856.0
2019-12-11,61.54,61.83,61.08,61.45,1355890.0
2019-12-12,61.35,61.45,60.62,60.77,1407405.0
2019-12-13,60.69,61.07,60.25,60.99,1609486.0
2019-12-16,60.99,61.89,60.99,61.87,2371695.0
2019-12-17,61.83,62.37,61.73,62.08,1959275.0
2019-12-18,62.18,62.5,61.92,62.34,2057380.0
2019-12-19,62.43,62.64,62.27,62.4,1998617.0
2019-12-20,62.5,63.44,62.47,63.1,2709443.0
2019-12-23,63.17,63.21,62.05,62.29,1435240.0
2019-12-24,62.3,62.33,61.98,62.28,314912.0
2019-12-26,62.5,62.5,62.05,62.28,681365.0
2019-12-27,62.28,62.55,62.08,62.54,1309771.0
2019-12-30,62.39,62.59,62.18,62.59,889752.0
2019-12-31,62.56,62.88,62.47,62.84,1041902.0
2020-01-02,62.86,62.88,61.57,61.71,2420073.0
2020-01-03,61.69,62.7,61.66,62.31,2074769.0
2020-01-06,62.47,62.71,62.17,62.59,1478321.0
2020-01-07,62.48,62.65,62.09,62.27,1683475.0
2020-01-08,62.36,62.39,61.93,62.25,1703714.0
2020-01-09,62.12,62.88,62.0,62.73,1152359.0
2020-01-10,62.93,63.17,62.75,63.06,1843999.0
2020-01-13,63.07,63.93,63.07,63.69,1474484.0
2020-01-14,63.67,63.9,63.48,63.89,1789031.0
2020-01-15,64.15,64.91,64.12,64.7,1480343.0
2020-01-16,65.05,65.51,64.94,65.38,1915160.0
2020-01-17,65.54,65.88,65.14,65.65,2604990.0
2020-01-21,65.65,66.21,65.53,66.21,2539185.0
2020-01-22,66.32,66.78,66.32,66.55,2443282.0
2020-01-23,66.57,67.12,66.57,67.11,1832426.0
2020-01-24,67.04,67.74,66.93,67.49,1625242.0
2020-01-27,67.48,67.96,66.79,67.25,1627941.0
2020-01-28,67.28,67.55,66.88,67.07,1857854.0
2020-01-29,67.07,67.38,66.53,67.31,1697452.0
2020-01-30,67.46,68.08,67.07,68.07,2429671.0
2020-01-31,68.27,68.98,67.96,68.51,2939413.0
2020-02-03,68.62,68.93,68.41,68.48,1850267.0
2020-02-04,68.24,68.46,67.37,67.37,2346406.0
2020-02-05,67.27,68.05,66.97,67.91,2119535.0
2020-02-06,67.63,67.7,67.12,67.32,1677875.0
2020-02-07,67.68,67.72,67.09,67.14,1545459.0
2020-02-10,67.0,67.68,67.0,67.56,1380548.0
2020-02-11,67.65,67.82,67.24,67.37,1161673.0
2020-02-12,67.05,67.64,66.97,67.36,1337336.0
2020-02-13,67.46,67.97,67.2,67.92,1624108.0
2020-02-14,68.14,68.63,68.0,68.51,1365655.0
2020-02-18,68.81,69.12,68.63,68.86,1400003.0
2020-02-19,68.75,68.97,68.45,68.48,1629728.0
2020-02-20,68.47,68.64,68.03,68.59,1390137.0
2020-02-21,68.55,69.17,68.44,68.45,2028273.0
2020-02-24,68.56,68.91,67.95,68.25,2121848.0
2020-02-25,68.31,68.57,66.82,66.84,2173507.0
2020-02-26,66.99,67.68,66.43,66.44,2032977.0
2020-02-27,66.22,66.72,62.77,62.82,3188364.0
2020-02-28,61.57,61.72,59.12,60.42,5533307.0
2020-03-02,60.6,64.15,60.56,64.14,3386676.0
2020-03-03,64.25,65.75,63.7,64.32,4155434.0
2020-03-04,65.28,68.72,65.27,68.35,2932003.0
2020-03-05,67.46,68.99,66.74,67.73,2997109.0
2020-03-06,66.01,68.08,65.35,67.89,3584608.0
2020-03-09,63.58,66.69,62.52,65.42,5894713.0
2020-03-10,65.86,67.72,62.67,65.51,5114850.0
2020-03-11,64.26,65.09,61.98,63.25,4299098.0
2020-03-12,58.77,63.38,56.83,58.89,5918377.0
2020-03-13,61.33,62.63,57.91,62.39,4145396.0
2020-03-16,56.21,62.16,55.7,56.95,4327954.0
2020-03-17,58.4,67.79,57.89,64.82,5257745.0
2020-03-18,61.41,64.34,54.35,60.64,4019114.0
2020-03-19,60.82,60.82,55.78,56.49,2977941.0
2020-03-20,55.95,55.95,48.62,49.55,4233125.0
