date,Open,High,Low,Close,Volume
2019-08-20,47.36,47.4499,46.49,46.54,4091243.0
2019-08-21,46.88,47.3,46.77,46.93,2995350.0
2019-08-22,47.04,47.16,45.51,45.55,5372776.0
2019-08-23,45.25,45.85,44.5,44.72,4318194.0
2019-08-26,45.1,45.3,44.73,45.27,4667414.0
2019-08-27,45.3,45.86,44.525,45.03,7528565.0
2019-08-28,44.8,45.75,44.58,45.32,4117864.0
2019-08-29,45.78,46.36,45.51,46.32,3743330.0
2019-08-30,46.74,47.01,46.24,46.62,3042942.0
2019-09-03,46.22,46.3099,45.575,46.14,3040844.0
2019-09-04,46.54,46.67,45.5,45.61,2822627.0
2019-09-05,46.17,46.48,45.5,46.14,2627297.0
2019-09-06,46.3,46.665,45.78,45.89,3079930.0
2019-09-09,45.91,46.4,45.28,46.23,5507740.0
2019-09-10,46.33,47.475,45.78,47.31,4448724.0
2019-09-11,47.42,47.53,46.45,46.78,2721017.0
2019-09-12,47.09,47.17,44.81,44.89,6337994.0
2019-09-13,45.36,46.12,45.25,45.4,5923755.0
2019-09-16,45.15,46.46,45.15,46.12,5306960.0
2019-09-17,46.09,46.23,45.48,45.55,5700679.0
2019-09-18,45.47,46.4,45.41,46.0,4385712.0
2019-09-19,46.25,47.17,46.2,46.45,4139254.0
2019-09-20,46.68,46.9,46.045,46.39,6167750.0
2019-09-23,46.12,46.49,45.85,46.39,3264950.0
2019-09-24,46.62,46.76,45.22,45.78,4429952.0
2019-09-25,45.64,46.47,45.29,45.33,3353613.0
2019-09-26,45.19,45.35,42.955,43.13,6661154.0
2019-09-27,43.42,43.75,42.77,43.17,4681522.0
2019-09-30,43.09,43.69,42.93,43.26,4852332.0
2019-10-01,43.5,43.62,41.6246,42.75,7670583.0
2019-10-02,42.47,43.45,42.19,42.73,5830983.0
2019-10-03,42.53,43.28,42.45,43.23,4951237.0
2019-10-04,43.44,43.73,42.76,43.57,3181528.0
2019-10-07,43.51,44.41,43.37,43.82,5603502.0
2019-10-08,43.42,43.58,42.63,42.76,7341648.0
2019-10-09,43.1,43.95,43.02,43.82,4134930.0
2019-10-10,43.68,44.265,43.2861,44.09,4536109.0
2019-10-11,44.67,45.24,44.195,44.27,3173673.0
2019-10-14,44.12,44.37,43.71,43.9,2477668.0
2019-10-15,44.68,45.995,44.4,45.21,5752163.0
2019-10-16,44.89,45.75,44.83,45.54,3500455.0
2019-10-17,45.98,47.26,45.8,47.18,7235873.0
2019-10-18,47.09,47.2899,46.13,46.88,5150398.0
2019-10-21,47.2,47.3,45.77,45.77,5598937.0
2019-10-22,45.68,49.58,45.22,48.75,11045183.0
2019-10-23,48.26,48.91,47.5,48.39,5451928.0
2019-10-24,48.7,48.7,47.07,47.64,3466071.0
2019-10-25,47.53,48.415,47.06,48.23,4486107.0
2019-10-28,48.25,49.26,48.1,48.6,4298343.0
2019-10-29,48.62,50.04,48.37,49.91,6437430.0
2019-10-30,53.0,54.44,52.52,54.04,13838213.0
2019-10-31,53.8,54.36,52.2,53.08,5902081.0
2019-11-01,53.4,53.7576,52.06,52.13,5499690.0
2019-11-04,52.39,52.43,51.01,51.71,5732675.0
2019-11-05,51.99,52.48,51.25,51.84,3506260.0
2019-11-06,51.85,52.39,50.81,50.83,3947929.0
2019-11-07,50.84,53.115,50.84,53.09,5953839.0
2019-11-08,53.33,55.11,53.18,55.06,6699722.0
2019-11-11,54.59,54.85,53.8401,53.96,5643324.0
2019-11-12,54.0,55.34,53.711,55.2,4468849.0
2019-11-13,54.8,55.94,54.7,55.35,5665666.0
2019-11-14,55.46,55.4999,54.47,54.65,3170143.0
2019-11-15,54.64,58.18,54.26,57.56,8367129.0
2019-11-18,57.88,60.37,57.88,59.36,11091832.0
2019-11-19,59.68,59.74,58.8599,59.39,4223209.0
2019-11-20,58.94,59.545,58.15,59.46,4426304.0
2019-11-21,59.38,59.83,58.9,59.69,3096540.0
2019-11-22,59.9,60.28,59.2,59.45,3428764.0
2019-11-25,59.69,61.285,59.59,61.17,4989456.0
2019-11-26,60.73,61.08,59.91,60.02,3572431.0
2019-11-27,60.11,60.76,59.61,60.44,2983286.0
2019-11-29,60.4,60.64,59.72,60.47,1147838.0
2019-12-02,60.32,60.92,59.4125,60.18,5176891.0
2019-12-03,59.22,60.09,58.53,60.07,3080198.0
2019-12-04,60.3,60.47,59.91,59.98,2530508.0
2019-12-05,60.0,60.22,59.23,60.02,2754597.0
2019-12-06,60.27,61.285,60.165,60.98,3156849.0
2019-12-09,61.18,61.2199,59.135,59.17,3962403.0
2019-12-10,59.11,59.65,58.97,59.62,2684917.0
2019-12-11,59.39,59.54,58.485,58.64,4780683.0
2019-12-12,58.75,59.7,58.31,58.52,3427989.0
2019-12-13,57.97,59.03,57.05,57.71,6230462.0
2019-12-16,58.06,60.82,57.64,60.02,7383014.0
2019-12-17,59.68,59.9,58.8,58.94,3507279.0
2019-12-18,59.19,60.53,58.88,60.35,3225715.0
2019-12-19,63.07,63.49,61.715,61.87,5745579.0
2019-12-20,61.24,62.06,60.51,61.93,6544208.0
2019-12-23,62.29,63.14,61.75,62.9,4281687.0
2019-12-24,63.0,63.2606,62.56,63.23,978875.0
2019-12-26,63.34,63.56,62.99,63.4,1870835.0
2019-12-27,63.43,63.67,63.21,63.65,1622851.0
2019-12-30,63.78,63.79,62.795,63.04,2199515.0
2019-12-31,63.0,63.39,62.4,62.87,2163095.0
2020-01-02,62.98,63.27,60.82,61.88,4969235.0
2020-01-03,60.74,62.12,60.74,61.16,4964998.0
2020-01-06,61.05,63.1,60.95,63.03,4091311.0
2020-01-07,63.03,63.29,61.91,63.03,3494502.0
2020-01-08,63.09,64.59,62.71,64.37,3969505.0
2020-01-09,64.52,64.77,63.96,64.16,2510544.0
2020-01-10,64.5,64.99,64.09,64.48,2897766.0
2020-01-13,64.31,64.44,62.83,63.4,4546665.0
2020-01-14,63.29,63.56,62.89,63.17,5818749.0
2020-01-15,63.35,64.99,63.29,64.52,3355954.0
2020-01-16,64.68,65.18,64.06,65.13,2098227.0
2020-01-17,65.07,65.08,63.47,64.54,3427988.0
