date,Open,High,Low,Close,Volume
2019-08-20,86.53,86.65,85.11,85.22,1838049.0
2019-08-21,86.36,86.58,85.78,86.02,1073487.0
2019-08-22,86.24,86.8,85.24,85.73,2074664.0
2019-08-23,85.12,85.89,82.68,83.11,2172429.0
2019-08-26,83.55,84.32,83.15,84.28,1428913.0
2019-08-27,84.82,85.03,82.63,83.11,1927796.0
2019-08-28,82.76,84.86,82.67,84.59,1814982.0
2019-08-29,85.63,86.62,85.55,86.22,1861641.0
2019-08-30,86.89,87.27,86.21,86.62,1879072.0
2019-09-03,85.75,86.0,84.47,85.35,2647459.0
2019-09-04,86.25,86.47,85.35,85.96,2334343.0
2019-09-05,86.98,88.9,86.82,88.32,1872566.0
2019-09-06,88.42,88.68,87.79,88.19,1594230.0
2019-09-09,88.98,91.35,88.77,90.96,2504908.0
2019-09-10,91.35,92.46,90.8,91.83,2184466.0
2019-09-11,91.83,92.1,90.12,92.09,1921461.0
2019-09-12,91.85,93.21,91.01,92.91,3211806.0
2019-09-13,93.92,94.66,93.12,93.62,1787687.0
2019-09-16,92.89,94.39,92.65,94.34,2371022.0
2019-09-17,94.12,94.19,92.77,93.83,1891177.0
2019-09-18,93.44,94.26,92.51,93.9,1452538.0
2019-09-19,93.86,94.73,93.25,93.27,1375172.0
2019-09-20,93.33,94.19,92.73,92.74,2842625.0
2019-09-23,92.07,93.18,91.72,92.85,1802574.0
2019-09-24,93.22,93.32,90.92,91.35,3411361.0
2019-09-25,91.24,91.95,90.23,91.29,2124582.0
2019-09-26,91.42,91.94,90.8,91.13,1636615.0
2019-09-27,91.8,92.26,90.76,91.34,1357173.0
2019-09-30,91.85,91.85,90.86,90.98,1755040.0
2019-10-01,91.68,92.1,88.87,89.07,1577418.0
2019-10-02,88.12,88.15,85.92,86.25,2305198.0
2019-10-03,86.1,86.29,83.73,85.83,2850288.0
2019-10-04,85.93,87.38,85.67,87.32,2014804.0
2019-10-07,86.99,87.95,86.86,86.88,1331477.0
2019-10-08,85.7,86.5,84.36,84.4,1961500.0
2019-10-09,85.17,86.15,85.02,85.69,1656183.0
2019-10-10,85.9,87.81,85.74,87.03,1652371.0
2019-10-11,88.51,90.4,88.27,88.82,2479129.0
2019-10-14,88.52,89.32,88.3,88.61,1852193.0
2019-10-15,89.04,90.75,88.28,90.13,1545801.0
2019-10-16,90.11,91.14,89.79,89.94,2181467.0
2019-10-17,90.54,91.09,89.58,90.01,1446426.0
2019-10-18,89.92,90.52,89.57,89.8,2182331.0
2019-10-21,90.71,91.72,90.57,91.32,1305882.0
2019-10-22,91.13,92.56,90.74,92.16,2173407.0
2019-10-23,91.9,92.86,91.81,92.79,1987859.0
2019-10-24,92.85,93.13,91.29,91.98,2216747.0
2019-10-25,91.5,93.44,90.46,93.25,2764631.0
2019-10-28,93.36,95.39,93.36,95.17,2846125.0
2019-10-29,94.73,95.64,93.97,94.46,2367733.0
2019-10-30,94.64,94.83,93.32,94.53,1802896.0
2019-10-31,93.95,94.68,92.48,93.25,2472341.0
2019-11-01,94.35,95.4,93.94,95.25,2315016.0
2019-11-04,95.79,96.18,95.36,96.17,2161768.0
2019-11-05,96.75,97.52,96.44,97.3,2508283.0
2019-11-06,97.32,97.49,96.72,97.04,2462063.0
2019-11-07,97.92,99.62,97.48,97.7,3205830.0
2019-11-08,97.26,97.49,96.12,97.26,2094014.0
2019-11-11,96.52,97.31,96.47,97.01,1920989.0
2019-11-12,97.11,97.41,96.58,97.21,2581132.0
2019-11-13,96.37,96.89,95.87,96.31,1337402.0
2019-11-14,96.11,96.87,96.02,96.64,1368443.0
2019-11-15,97.31,97.63,96.86,97.38,1758256.0
2019-11-18,97.43,97.43,96.82,97.2,2575520.0
2019-11-19,97.6,97.69,96.71,97.07,1769253.0
2019-11-20,96.5,97.35,95.93,96.51,2526854.0
2019-11-21,96.91,97.21,96.0,96.77,1646574.0
2019-11-22,97.25,98.33,96.92,98.1,2515214.0
2019-11-25,98.28,99.99,98.24,99.86,2201010.0
2019-11-26,99.54,99.81,98.36,99.22,2558508.0
2019-11-27,99.13,100.29,99.13,100.25,1402806.0
2019-11-29,99.83,100.35,99.52,100.01,1115471.0
2019-12-02,100.33,100.64,99.1,99.23,1750157.0
2019-12-03,98.1,98.35,96.63,98.17,3055418.0
2019-12-04,98.11,99.49,98.02,99.25,2046828.0
2019-12-05,99.5,100.25,99.14,99.57,1795798.0
2019-12-06,100.85,101.84,100.65,101.38,1996405.0
2019-12-09,101.39,102.56,101.25,102.21,2036778.0
2019-12-10,102.02,102.57,101.8,102.42,3155085.0
2019-12-11,102.5,102.9,101.28,101.43,1977690.0
2019-12-12,101.35,104.54,101.31,104.03,2237212.0
2019-12-13,103.91,104.95,102.96,104.37,1858514.0
2019-12-16,105.0,105.7,103.33,103.33,2756890.0
2019-12-17,103.9,104.63,103.55,104.34,1655813.0
2019-12-18,104.6,104.6,103.84,104.18,2300743.0
2019-12-19,104.08,104.34,103.13,103.38,2134539.0
2019-12-20,104.09,104.49,103.19,103.37,3069986.0
2019-12-23,103.37,103.37,102.47,102.93,1333792.0
2019-12-24,103.06,103.25,102.53,102.95,326223.0
2019-12-26,103.16,103.51,102.88,103.48,1124337.0
2019-12-27,103.63,103.74,102.79,103.0,840275.0
2019-12-30,103.39,103.45,102.49,102.64,961108.0
2019-12-31,102.46,103.06,102.38,102.91,1472807.0
2020-01-02,103.41,103.62,102.3,103.61,1603049.0
2020-01-03,101.98,102.52,101.32,102.0,1450089.0
2020-01-06,100.88,101.13,100.06,101.08,1522480.0
2020-01-07,100.2,100.7,99.83,100.08,1978433.0
2020-01-08,100.51,101.55,100.27,101.14,2194646.0
2020-01-09,101.99,102.78,101.42,102.51,1825537.0
2020-01-10,102.45,102.62,101.16,101.55,1167898.0
2020-01-13,101.69,102.05,101.3,101.91,1159926.0
2020-01-14,101.9,103.57,101.86,102.56,2251912.0
2020-01-15,101.78,102.82,101.45,102.34,1745405.0
2020-01-16,102.99,103.48,102.32,102.92,4126513.0
2020-01-17,103.1,104.47,103.01,104.13,2679451.0
2020-01-21,103.3,103.74,102.19,102.19,3075941.0
2020-01-22,105.0,107.59,104.55,106.76,5725703.0
2020-01-23,106.42,106.55,105.2,106.03,2110357.0
2020-01-24,105.38,105.96,103.39,104.3,2528082.0
2020-01-27,101.43,102.11,100.59,101.16,2447494.0
2020-01-28,102.09,103.33,101.34,102.04,1990474.0
2020-01-29,102.36,102.83,101.13,101.2,1883903.0
2020-01-30,100.16,102.29,99.61,102.17,2176690.0
2020-01-31,101.28,101.69,99.21,99.8,2637298.0
2020-02-03,100.57,101.7,99.46,99.75,2113505.0
2020-02-04,101.58,102.55,101.38,101.7,1556863.0
2020-02-05,103.1,104.84,103.1,104.74,2396416.0
2020-02-06,105.53,106.0,103.42,103.52,1807705.0
2020-02-07,102.38,102.87,101.53,101.8,1640613.0
2020-02-10,101.29,101.95,100.9,101.95,1433986.0
2020-02-11,102.6,103.74,102.31,102.4,2132055.0
2020-02-12,103.23,103.62,102.48,102.8,1767898.0
2020-02-13,102.65,102.99,102.03,102.78,2019537.0
2020-02-14,102.87,103.23,102.22,102.64,1271687.0
2020-02-18,102.13,103.28,101.81,103.03,2009906.0
2020-02-19,103.39,104.36,102.84,104.14,2059616.0
2020-02-20,101.25,104.61,101.25,103.54,2262928.0
2020-02-21,102.51,102.81,100.72,101.15,2764413.0
2020-02-24,97.57,99.09,97.0,98.24,2522802.0
2020-02-25,98.52,98.54,92.18,92.78,4499588.0
2020-02-26,94.27,95.25,92.78,92.82,2761723.0
2020-02-27,90.03,93.11,88.59,89.17,4273368.0
2020-02-28,85.84,88.3,84.62,88.26,6114270.0
2020-03-02,88.56,91.52,86.93,91.47,4111779.0
2020-03-03,90.9,92.55,85.31,86.42,4682438.0
2020-03-04,87.96,89.48,85.76,89.33,2888092.0
2020-03-05,86.01,87.05,83.9,85.08,3484597.0
2020-03-06,81.67,83.39,80.56,82.29,4154869.0
2020-03-09,75.17,77.14,71.06,73.07,4878763.0
2020-03-10,76.52,78.35,73.62,78.35,6218145.0
2020-03-11,75.96,76.37,70.59,71.42,5369845.0
2020-03-12,65.96,68.32,61.08,63.63,7037164.0
2020-03-13,69.0,72.99,66.29,72.84,5656612.0
2020-03-16,61.01,64.15,55.44,55.45,6546424.0
2020-03-17,56.44,57.15,51.31,53.92,10474216.0
2020-03-18,49.69,50.34,38.0,44.3,12148322.0
2020-03-19,43.08,47.83,39.78,46.26,9057820.0
2020-03-20,48.0,48.3,43.59,45.01,8036140.0
2020-03-23,43.39,44.94,42.03,42.87,6718990.0
2020-03-24,46.46,51.34,46.01,50.91,5552285.0
2020-03-25,52.61,55.0,50.05,52.34,5469019.0
2020-03-26,55.57,61.4,54.46,57.87,6025804.0
2020-03-27,54.62,57.08,52.69,55.3,4392095.0
2020-03-30,54.59,54.99,52.32,53.87,3843508.0
2020-03-31,52.97,53.77,50.0,50.42,5283354.0
2020-04-01,46.43,46.63,44.0,44.68,7347555.0
2020-04-02,43.75,45.86,43.08,43.93,5457872.0
2020-04-03,43.78,43.89,39.9,42.27,6420392.0
2020-04-06,46.28,50.17,45.79,49.42,5840862.0
2020-04-07,54.69,58.37,52.75,52.91,6080395.0
2020-04-08,54.41,57.08,53.63,56.72,5218140.0
2020-04-09,60.76,62.98,59.22,60.11,7632752.0
2020-04-13,60.0,60.05,55.68,56.5,4652583.0
2020-04-14,58.0,58.65,54.25,55.34,4793285.0
2020-04-15,51.51,52.85,49.77,52.6,6017830.0
2020-04-16,52.34,52.34,49.41,50.01,4906232.0
2020-04-17,52.97,55.16,52.8,54.63,5264174.0
2020-04-20,52.38,55.51,51.44,53.87,3986446.0
2020-04-21,51.39,53.43,50.84,51.16,5188540.0
2020-04-22,53.16,53.43,51.01,51.52,4830687.0
2020-04-23,51.5,53.55,51.5,52.61,5257152.0
2020-04-24,54.78,57.28,54.01,56.15,9179591.0
2020-04-27,56.88,59.46,56.88,59.19,6070229.0
2020-04-28,62.89,64.92,62.16,63.75,7829273.0
2020-04-29,69.62,71.47,67.04,69.75,13345423.0
2020-04-30,67.16,68.27,64.71,64.76,8419346.0
2020-05-01,62.17,62.17,60.16,61.58,6249089.0
2020-05-04,59.5,62.38,58.27,61.59,8372144.0
2020-05-05,64.38,64.93,60.57,60.96,8939731.0
2020-05-06,61.52,61.88,58.3,58.49,4267712.0
2020-05-07,59.6,62.53,59.6,60.82,4214770.0
2020-05-08,61.92,62.47,61.1,62.2,3004547.0
2020-05-11,61.01,61.01,58.53,59.5,4423032.0
2020-05-12,60.0,61.22,58.03,58.1,5471488.0
2020-05-13,57.02,57.39,53.63,53.97,5641953.0
2020-05-14,52.6,59.16,51.91,59.16,8391189.0
2020-05-15,58.13,59.45,57.25,58.03,3359612.0
2020-05-18,62.41,63.98,61.52,63.4,4731445.0
2020-05-19,62.52,63.01,60.17,60.25,4656513.0
2020-05-20,61.75,62.85,60.91,61.48,4952174.0
2020-05-21,61.39,62.04,60.34,60.92,2788188.0
2020-05-22,60.82,61.36,59.62,60.21,3643899.0
2020-05-26,64.25,66.75,64.03,65.8,5171868.0
2020-05-27,70.27,71.37,67.82,70.88,5950371.0
2020-05-28,71.92,72.04,67.88,68.54,6158802.0
2020-05-29,67.0,69.0,65.82,68.04,9175668.0
2020-06-01,68.59,70.28,67.88,68.99,4603990.0
2020-06-02,70.21,72.48,69.34,70.9,5558211.0
2020-06-03,72.97,75.17,72.36,74.34,5696088.0
2020-06-04,73.97,77.16,72.72,77.15,4367247.0
2020-06-05,84.87,85.22,78.3,79.02,7546808.0
2020-06-08,81.23,82.15,78.94,80.0,7021568.0
2020-06-09,77.01,79.34,76.45,78.47,3869515.0
2020-06-10,77.83,78.38,71.8,71.8,7764333.0
2020-06-11,66.71,70.16,66.02,66.12,6427560.0
2020-06-12,70.26,70.7,67.08,70.63,5170056.0
2020-06-15,66.5,72.2,66.15,71.17,4043248.0
2020-06-16,75.08,75.36,70.42,73.6,5360122.0
2020-06-17,73.58,73.95,71.22,71.47,2950839.0
2020-06-18,70.47,71.67,69.42,69.98,3581843.0
2020-06-19,71.68,71.68,67.31,68.07,6014240.0
2020-06-22,68.58,70.15,67.9,68.3,3797054.0
2020-06-23,69.57,70.19,68.83,69.57,2365007.0
2020-06-24,68.44,68.44,64.99,65.46,3728258.0
2020-06-25,64.86,67.39,64.04,67.04,4254726.0
2020-06-26,65.54,65.54,60.84,61.16,8712551.0
2020-06-29,61.84,62.98,60.76,62.38,3461848.0
2020-06-30,62.08,63.37,61.65,62.59,4061364.0
2020-07-01,62.85,64.25,60.17,60.7,3403828.0
2020-07-02,62.27,63.25,60.72,61.15,3376208.0
2020-07-06,63.08,63.54,61.59,62.65,2644032.0
2020-07-07,61.91,61.91,59.74,59.91,3035978.0
2020-07-08,59.76,61.46,59.2,61.39,3087662.0
2020-07-09,60.99,61.2,57.3,58.35,4074928.0
2020-07-10,58.18,60.84,57.87,60.8,3137142.0
2020-07-13,61.58,63.11,59.76,61.56,3808538.0
2020-07-14,61.17,61.96,60.06,60.68,4071271.0
2020-07-15,62.41,63.81,61.58,63.68,3184140.0
2020-07-16,62.76,64.54,62.41,63.36,2957817.0
2020-07-17,63.36,63.39,61.66,61.99,2485448.0
2020-07-20,61.42,61.99,60.47,60.84,3063166.0
2020-07-21,61.51,63.06,61.2,62.87,4415756.0
2020-07-22,60.49,64.96,60.3,64.05,10854667.0
2020-07-23,63.65,66.04,63.355,65.4,4594607.0
2020-07-24,65.41,65.78,64.72,65.06,2194849.0
2020-07-27,64.48,65.98,63.06,65.74,3736607.0
2020-07-28,65.02,65.805,63.96,64.1,3132299.0
2020-07-29,64.12,66.41,63.64,66.38,1800780.0
2020-07-30,64.52,65.21,63.44,64.84,1915867.0
2020-07-31,64.79,64.79,62.745,63.8,1992527.0
2020-08-03,63.93,64.51,63.2,63.49,1792499.0
2020-08-04,63.2,63.74,62.65,63.24,1828693.0
2020-08-05,63.98,64.88,63.445,64.67,2172855.0
2020-08-06,64.01,65.31,63.31,63.55,2880812.0
2020-08-07,62.92,66.04,62.26,65.75,3832733.0
2020-08-10,66.1,67.94,66.0,67.41,2711173.0
2020-08-11,69.59,71.88,69.37,69.63,3146373.0
2020-08-12,71.0,71.9,67.02,68.15,2595563.0
2020-08-13,67.24,68.58,66.8,67.64,2965283.0
