date,Open,High,Low,Close,Volume
2019-08-20,16.95,16.96,16.73,16.81,7462057.0
2019-08-21,16.91,17.07,16.68,16.84,10899757.0
2019-08-22,16.7,16.96,16.61,16.82,6025084.0
2019-08-23,16.67,17.07,16.56,16.84,8163409.0
2019-08-26,16.93,17.0,16.41,16.55,7844788.0
2019-08-27,16.56,16.77,16.51,16.6,5322096.0
2019-08-28,16.67,16.86,16.5,16.79,4812112.0
2019-08-29,16.88,17.4,16.87,17.23,6898892.0
2019-08-30,17.19,17.28,16.86,17.12,5695549.0
2019-09-03,16.92,17.2,16.9,17.02,6305102.0
2019-09-04,17.19,17.24,17.01,17.13,4989080.0
2019-09-05,17.26,17.61,17.16,17.4,5500913.0
2019-09-06,17.27,17.61,17.18,17.55,5489598.0
2019-09-09,17.66,18.44,17.66,18.4,15668918.0
2019-09-10,18.23,18.73,18.2,18.59,11402672.0
2019-09-11,18.75,19.01,18.5,19.01,9465390.0
2019-09-12,18.84,19.02,18.5,18.65,7139663.0
2019-09-13,18.76,18.9,18.55,18.81,7414344.0
2019-09-16,18.77,19.29,17.89,18.15,13892817.0
2019-09-17,18.07,18.52,17.86,18.35,12202731.0
2019-09-18,18.36,18.59,18.27,18.33,7125230.0
2019-09-19,18.45,18.53,17.98,18.17,6758419.0
2019-09-20,18.22,18.25,17.9,18.05,9939848.0
2019-09-23,17.75,18.2,17.75,18.12,7416220.0
2019-09-24,18.11,18.15,17.9,17.94,4928853.0
2019-09-25,17.78,17.96,17.53,17.58,5446403.0
2019-09-26,17.49,17.52,16.97,17.17,9359408.0
2019-09-27,17.01,17.6,16.99,17.53,7767650.0
2019-09-30,17.43,17.85,17.37,17.57,8190276.0
2019-10-01,17.65,17.81,17.45,17.58,6288637.0
2019-10-02,17.48,17.67,17.1,17.13,9824207.0
2019-10-03,17.05,17.69,17.01,17.67,7052309.0
2019-10-04,17.54,18.02,17.54,17.98,6270747.0
2019-10-07,17.99,18.24,17.63,18.17,6329036.0
2019-10-08,18.01,18.08,17.55,17.69,7863810.0
2019-10-09,17.78,17.85,17.25,17.34,7156039.0
2019-10-10,17.37,17.56,17.2,17.51,4412252.0
2019-10-11,17.7,17.85,17.55,17.56,4474634.0
2019-10-14,17.56,17.6,17.28,17.59,5125903.0
2019-10-15,17.59,18.34,17.55,17.99,6637885.0
2019-10-16,17.88,18.16,17.82,17.85,4336357.0
2019-10-17,17.95,18.03,17.68,17.9,4808219.0
2019-10-18,17.92,18.2,17.92,17.95,4199058.0
2019-10-21,17.89,18.3,17.65,18.25,6877671.0
2019-10-22,18.23,18.81,18.22,18.52,6673309.0
2019-10-23,18.48,18.77,18.24,18.52,8236041.0
2019-10-24,18.6,18.61,18.04,18.46,7876182.0
2019-10-25,18.51,19.34,18.33,18.81,9423019.0
2019-10-28,18.48,19.01,18.11,18.11,7116364.0
2019-10-29,18.17,19.13,18.08,18.96,7165881.0
2019-10-30,19.11,19.11,18.45,18.49,6457456.0
2019-10-31,18.51,18.72,18.27,18.64,6720340.0
2019-11-01,18.63,18.73,18.39,18.43,6945466.0
2019-11-04,18.7,19.01,18.6,18.75,8199918.0
2019-11-05,18.72,18.85,18.06,18.11,11567304.0
2019-11-06,17.98,18.59,17.91,18.38,6740316.0
2019-11-07,18.5,18.58,18.16,18.36,7013628.0
2019-11-08,18.22,18.53,18.17,18.37,4553191.0
2019-11-11,18.01,18.15,17.7,17.74,6093967.0
2019-11-12,17.81,17.84,17.63,17.8,8424344.0
2019-11-13,17.76,18.0,17.74,17.9,5806535.0
2019-11-14,17.81,18.06,17.77,17.85,5210450.0
2019-11-15,17.81,18.22,17.6,18.17,8433624.0
2019-11-18,18.05,18.1,17.1,17.17,8390865.0
2019-11-19,17.18,17.27,16.85,16.9,8014489.0
2019-11-20,16.8,16.87,16.31,16.39,9092528.0
2019-11-21,16.4,16.46,15.96,16.05,9899327.0
2019-11-22,16.15,16.54,15.92,16.39,11786436.0
2019-11-25,16.09,16.81,16.08,16.69,8891738.0
2019-11-26,16.68,16.72,15.91,16.01,14329938.0
2019-11-27,16.0,16.43,15.93,16.25,11319682.0
2019-11-29,16.02,16.16,15.85,15.94,3971335.0
2019-12-02,16.01,16.09,15.72,16.0,11661384.0
2019-12-03,15.99,16.0,15.61,15.71,13797872.0
2019-12-04,15.7,16.13,15.62,16.1,8734158.0
2019-12-05,16.19,16.34,15.76,15.96,9957012.0
2019-12-06,16.05,16.29,16.0,16.08,7040839.0
