date,Open,High,Low,Close,Volume
2019-08-20,335.75,338.68,332.09,332.33,249216.0
2019-08-21,333.0,335.15,327.22,332.61,389215.0
2019-08-22,333.12,334.56,329.46,329.82,270190.0
2019-08-23,330.03,332.12,320.31,321.67,307909.0
2019-08-26,323.4,325.0,322.18,324.24,208489.0
2019-08-27,325.2,327.96,323.24,326.39,191022.0
2019-08-28,324.0,325.69,318.2,320.97,351401.0
2019-08-29,322.9,332.7,322.9,328.59,431947.0
2019-08-30,303.81,309.9,295.25,309.75,774280.0
2019-09-03,308.78,309.69,296.01,299.54,525765.0
2019-09-04,300.72,302.4,298.48,301.23,387306.0
2019-09-05,304.77,307.98,303.21,307.73,462821.0
2019-09-06,307.8,309.87,302.55,302.84,300532.0
2019-09-09,302.35,302.35,296.6,297.68,401092.0
2019-09-10,296.74,299.52,290.86,296.89,404753.0
2019-09-11,297.0,300.15,297.0,299.17,312884.0
2019-09-12,302.02,305.32,300.74,305.0,512516.0
2019-09-13,304.03,306.72,299.85,301.51,408483.0
2019-09-16,300.01,305.1,298.52,303.09,266286.0
2019-09-17,302.65,307.0,302.2,305.55,339303.0
2019-09-18,306.38,307.39,300.6,303.1,412376.0
2019-09-19,302.92,304.7,301.04,301.25,193579.0
2019-09-20,301.71,306.37,301.35,302.32,376717.0
2019-09-23,301.39,303.69,299.3,302.19,255211.0
2019-09-24,302.98,305.88,297.56,298.94,398869.0
2019-09-25,299.98,299.98,294.73,297.28,356475.0
2019-09-26,298.59,301.92,297.27,298.88,282556.0
2019-09-27,300.82,301.73,292.68,294.25,254467.0
2019-09-30,294.32,299.17,294.25,297.0,274208.0
2019-10-01,297.54,298.99,292.56,292.84,287964.0
2019-10-02,291.22,292.81,286.96,288.93,319537.0
2019-10-03,289.39,294.15,285.05,293.75,523484.0
2019-10-04,294.87,297.88,294.0,296.87,428887.0
2019-10-07,294.88,296.72,293.38,293.94,423668.0
2019-10-08,292.03,292.03,285.97,286.07,442204.0
2019-10-09,287.32,290.31,286.52,288.98,393141.0
2019-10-10,287.82,292.99,287.8,290.81,349388.0
2019-10-11,293.47,298.27,289.72,293.89,327077.0
2019-10-14,294.06,294.31,291.44,292.51,141231.0
2019-10-15,295.24,297.21,291.78,295.15,264840.0
2019-10-16,294.44,295.02,290.75,291.53,324044.0
2019-10-17,292.62,295.0,291.32,292.25,214054.0
2019-10-18,292.19,293.39,287.6,287.81,310261.0
2019-10-21,289.28,289.74,286.48,287.34,314595.0
2019-10-22,288.96,290.5,280.26,281.18,336258.0
2019-10-23,281.11,284.32,280.77,282.2,227878.0
2019-10-24,283.54,283.56,280.24,282.72,240042.0
2019-10-25,282.26,286.42,281.01,281.75,246943.0
2019-10-28,283.11,286.16,282.86,284.02,257355.0
2019-10-29,284.2,291.41,283.51,290.7,317282.0
2019-10-30,290.84,292.46,289.5,292.1,201386.0
2019-10-31,292.08,294.88,287.62,291.0,189140.0
2019-11-01,292.38,295.45,291.46,291.83,189337.0
2019-11-04,293.01,294.53,289.66,290.14,211235.0
