date,Open,High,Low,Close,Volume
2019-08-20,276.28,276.36,272.85,272.97,1390900.0
2019-08-21,275.41,276.54,274.7,275.68,1682347.0
2019-08-22,277.01,280.99,276.87,279.92,2345701.0
2019-08-23,278.21,280.13,272.7,274.01,1984929.0
2019-08-26,275.75,278.53,275.69,278.46,1426519.0
2019-08-27,281.0,293.44,280.34,292.38,5176415.0
2019-08-28,293.75,299.95,292.42,294.49,5155605.0
2019-08-29,297.48,297.73,292.76,296.57,2614701.0
2019-08-30,298.0,298.28,292.83,294.76,1801420.0
2019-09-03,292.57,294.0,290.46,292.05,1843045.0
2019-09-04,294.0,296.3,293.77,296.12,1376086.0
2019-09-05,298.43,299.71,296.68,296.97,1865731.0
2019-09-06,299.2,304.64,298.29,303.76,3018101.0
2019-09-09,304.5,307.34,298.21,299.0,3397183.0
2019-09-10,297.38,298.25,294.58,297.0,2724986.0
2019-09-11,294.3,295.74,287.81,290.69,4754696.0
2019-09-12,290.34,292.75,288.68,289.89,2942632.0
2019-09-13,290.2,294.07,289.85,291.9,2306343.0
2019-09-16,290.57,291.38,288.34,288.69,1508893.0
2019-09-17,289.56,291.79,288.69,291.41,1776040.0
2019-09-18,290.7,293.57,288.8,292.43,1687336.0
2019-09-19,289.49,289.76,284.71,287.83,3055125.0
2019-09-20,288.75,289.41,286.14,286.36,3473365.0
2019-09-23,286.36,288.13,285.75,287.57,2058102.0
2019-09-24,289.3,292.62,286.4,287.91,2495624.0
2019-09-25,288.26,289.68,286.87,288.51,1848371.0
2019-09-26,289.43,289.81,286.6,288.26,1891317.0
2019-09-27,289.53,289.53,284.4,285.95,1538930.0
2019-09-30,287.7,288.62,286.57,288.11,2179096.0
2019-10-01,288.04,288.68,283.18,283.93,2654476.0
2019-10-02,283.23,285.79,282.22,285.11,2506362.0
2019-10-03,285.39,290.86,281.6,289.0,3958168.0
2019-10-04,287.85,291.95,283.32,291.67,4536695.0
2019-10-07,291.04,295.69,290.5,293.41,2051519.0
2019-10-08,292.95,295.58,290.45,291.89,2224561.0
2019-10-09,293.11,298.57,293.11,296.9,2287230.0
2019-10-10,298.63,299.48,296.26,297.14,1721504.0
2019-10-11,298.07,300.76,297.36,297.6,1891654.0
2019-10-14,298.0,300.34,297.5,297.52,1313041.0
2019-10-15,298.32,299.64,297.23,298.39,1601860.0
2019-10-16,296.8,298.97,295.08,298.78,1827669.0
2019-10-17,298.85,302.61,298.85,302.4,1811818.0
2019-10-18,302.0,304.0,300.98,302.86,1799298.0
2019-10-21,303.0,303.51,300.17,301.08,1322894.0
2019-10-22,301.61,304.88,299.95,299.97,1970748.0
2019-10-23,299.58,300.05,297.18,297.32,1810559.0
2019-10-24,295.05,298.28,294.56,297.05,2117020.0
2019-10-25,295.52,297.25,295.11,296.5,1686226.0
2019-10-28,295.7,299.09,295.21,298.94,1614402.0
2019-10-29,298.21,298.94,295.81,295.86,1295287.0
2019-10-30,296.92,300.25,295.97,299.84,1264263.0
2019-10-31,298.36,299.62,294.55,297.11,2277444.0
2019-11-01,297.99,298.42,295.5,296.09,1364483.0
2019-11-04,297.16,298.22,295.17,296.82,1651608.0
2019-11-05,297.09,299.69,295.81,299.18,2204542.0
2019-11-06,299.97,301.65,297.93,301.57,1675008.0
2019-11-07,303.93,307.1,302.48,305.21,2399391.0
2019-11-08,302.74,304.29,301.28,302.62,1502221.0
2019-11-11,301.55,302.33,299.7,300.84,1160960.0
2019-11-12,300.83,302.73,298.66,300.5,1540974.0
2019-11-13,300.18,304.0,299.52,302.9,1554889.0
2019-11-14,304.39,305.89,302.27,304.59,1337458.0
2019-11-15,305.31,305.44,301.6,303.66,1707125.0
2019-11-18,303.11,306.38,302.75,304.54,1242504.0
2019-11-19,304.5,304.64,301.45,302.24,1761832.0
2019-11-20,302.44,303.17,298.01,300.57,1979783.0
2019-11-21,300.69,301.87,299.52,300.27,1303042.0
2019-11-22,301.94,301.94,297.23,299.31,1277594.0
2019-11-25,300.29,300.63,297.55,299.05,1613126.0
2019-11-26,299.26,301.35,298.82,301.24,3360612.0
2019-11-27,301.82,302.79,300.57,300.76,1907095.0
2019-11-29,300.82,300.89,299.66,299.81,981610.0
2019-12-02,299.75,300.2,294.27,297.39,2706951.0
2019-12-03,295.13,296.19,292.7,295.67,1962133.0
2019-12-04,296.04,297.16,295.15,296.52,1742589.0
2019-12-05,297.13,297.13,292.5,293.1,1941250.0
2019-12-06,294.98,295.99,294.26,294.95,1462553.0
2019-12-09,295.0,297.19,294.55,295.16,1986336.0
2019-12-10,296.03,296.69,294.55,295.78,1566311.0
2019-12-11,296.0,296.35,293.05,295.3,1752457.0
2019-12-12,295.27,297.76,294.12,297.34,2754453.0
2019-12-13,294.64,295.0,289.1,291.87,5204305.0
2019-12-16,293.03,294.46,292.85,293.5,2410244.0
2019-12-17,293.5,296.3,292.75,295.55,2474762.0
2019-12-18,295.99,296.36,291.82,291.87,3311187.0
2019-12-19,292.06,293.81,291.5,293.71,2595501.0
2019-12-20,293.85,295.02,292.78,294.83,4866674.0
2019-12-23,294.91,295.31,293.03,293.31,1309886.0
2019-12-24,293.91,294.45,293.36,294.23,543581.0
2019-12-26,294.49,295.73,293.9,295.73,1103034.0
2019-12-27,296.22,296.3,293.18,294.11,1439479.0
2019-12-30,294.2,295.61,293.66,295.14,1238990.0
2019-12-31,295.0,295.45,292.18,293.92,1551191.0
2020-01-02,294.06,294.58,291.0,291.49,2052922.0
2020-01-03,290.05,292.9,289.33,291.73,1926624.0
2020-01-06,290.55,292.07,288.62,291.81,2655433.0
2020-01-07,291.32,291.69,289.28,291.35,1971494.0
2020-01-08,290.99,295.48,290.5,294.69,2495438.0
2020-01-09,298.55,301.96,297.71,299.42,3262225.0
2020-01-10,300.0,300.27,296.66,297.24,2025220.0
2020-01-13,296.92,300.65,296.8,299.87,1540097.0
2020-01-14,299.25,301.0,298.58,299.75,1460562.0
2020-01-15,298.35,301.04,298.04,300.82,1604433.0
2020-01-16,301.39,304.06,300.98,303.03,1758762.0
2020-01-17,303.4,305.3,303.03,304.68,2506588.0
2020-01-21,306.2,313.34,305.76,313.26,3539260.0
2020-01-22,313.4,313.56,310.21,311.89,2219022.0
2020-01-23,312.02,313.4,310.73,312.88,1535973.0
2020-01-24,314.02,314.28,309.1,310.51,1986279.0
2020-01-27,306.15,311.77,305.65,309.45,2265350.0
2020-01-28,310.51,311.71,309.1,310.85,1571672.0
2020-01-29,310.86,311.97,309.39,309.58,1714823.0
2020-01-30,308.84,309.64,306.665,309.47,1232855.0
2020-01-31,308.55,309.18,304.56,305.52,1836994.0
2020-02-03,307.0,308.58,301.67,302.0,2817541.0
2020-02-04,304.57,305.91,302.76,304.9,1982323.0
2020-02-05,307.0,309.59,305.4,308.95,1731802.0
2020-02-06,309.35,311.84,307.85,310.61,1917896.0
2020-02-07,310.0,313.81,309.12,313.63,1903467.0
2020-02-10,313.76,316.94,312.6,313.79,2336523.0
2020-02-11,314.03,314.43,310.47,310.68,2047510.0
2020-02-12,310.77,315.48,310.77,315.12,1384611.0
2020-02-13,314.85,318.79,313.54,318.2,1438248.0
2020-02-14,318.87,319.81,316.95,318.31,1113716.0
2020-02-18,319.0,323.48,318.61,322.05,1547929.0
2020-02-19,322.08,324.53,321.73,323.02,1413768.0
2020-02-20,322.32,325.07,321.01,324.08,1427524.0
2020-02-21,322.56,325.26,321.03,321.95,2239230.0
2020-02-24,315.5,320.0,313.26,313.62,2300379.0
2020-02-25,315.0,316.57,304.4,304.87,2881835.0
2020-02-26,307.55,311.3,304.68,305.69,2239556.0
2020-02-27,301.98,305.0,293.0,293.13,3625276.0
2020-02-28,285.25,287.33,271.28,281.14,7096587.0
2020-03-02,294.44,309.51,291.38,309.14,7563779.0
2020-03-03,309.14,314.17,301.03,302.73,5131419.0
2020-03-04,308.29,320.97,305.02,320.74,4219326.0
2020-03-05,315.77,324.51,313.2,315.76,6407662.0
2020-03-06,312.14,317.49,302.75,311.34,6185520.0
2020-03-09,295.85,310.33,293.0,301.98,5203087.0
2020-03-10,307.97,309.73,294.42,309.4,4245488.0
2020-03-11,300.86,307.79,294.19,297.43,3625906.0
2020-03-12,280.44,295.63,276.34,279.85,7307637.0
2020-03-13,288.83,303.25,278.27,302.27,6100115.0
2020-03-16,281.83,299.53,279.51,283.18,5465540.0
2020-03-17,289.0,307.19,286.3,306.99,7170645.0
2020-03-18,298.0,318.0,296.0,307.5,6701800.0
