date,Open,High,Low,Close,Volume
2019-08-20,43.43,43.43,42.81,43.08,2634006.0
2019-08-21,43.29,43.76,42.87,43.27,4363899.0
2019-08-22,43.27,43.84,43.27,43.68,1120292.0
2019-08-23,43.68,43.7,42.4,42.68,1531195.0
2019-08-26,42.83,43.11,42.41,42.66,1581547.0
2019-08-27,42.6,42.66,41.67,42.05,1829436.0
2019-08-28,41.98,42.08,41.56,41.97,1640921.0
2019-08-29,42.23,43.52,41.89,43.31,4168339.0
2019-08-30,44.92,48.03,44.75,45.0,11450647.0
2019-09-03,44.81,45.5,44.14,45.43,3118156.0
2019-09-04,45.7,46.2,45.05,45.07,2396550.0
2019-09-05,45.13,45.13,44.27,44.62,2129336.0
2019-09-06,44.78,45.2,44.53,44.98,1847144.0
2019-09-09,45.07,45.08,44.11,44.59,2620326.0
2019-09-10,44.43,45.94,44.3,45.89,3165198.0
2019-09-11,45.89,46.66,45.64,46.66,3143155.0
2019-09-12,46.9,47.46,46.89,47.15,4153511.0
2019-09-13,46.89,47.35,46.01,46.28,4608586.0
2019-09-16,46.07,46.78,45.82,46.74,1927594.0
2019-09-17,46.57,47.12,46.44,46.69,2849217.0
2019-09-18,46.71,46.94,46.12,46.58,2615043.0
2019-09-19,46.59,46.73,46.18,46.61,1885977.0
2019-09-20,46.49,47.25,46.49,46.76,7082013.0
2019-09-23,46.91,47.04,46.66,46.66,1462389.0
2019-09-24,46.85,46.94,46.13,46.15,1496109.0
2019-09-25,46.26,46.89,46.23,46.56,2188920.0
2019-09-26,46.91,46.94,46.42,46.7,1334847.0
2019-09-27,46.73,46.98,46.41,46.87,1167439.0
2019-09-30,46.85,47.27,46.79,46.92,1632632.0
2019-10-01,47.0,47.2,46.66,46.82,1753748.0
2019-10-02,46.64,46.8,46.12,46.16,1937751.0
2019-10-03,46.29,46.94,45.95,46.77,1594469.0
2019-10-04,46.94,47.42,46.78,47.34,1593170.0
2019-10-07,47.06,47.38,46.8,47.0,909738.0
2019-10-08,47.01,47.22,46.66,46.77,1609356.0
2019-10-09,46.59,46.84,46.38,46.83,995080.0
2019-10-10,46.59,47.38,46.53,47.32,2413205.0
2019-10-11,47.32,47.47,46.82,46.87,1958948.0
2019-10-14,46.88,47.02,46.55,46.83,2255908.0
2019-10-15,46.83,46.83,45.77,46.61,1597776.0
2019-10-16,46.61,47.2,46.53,47.17,1507247.0
2019-10-17,47.5,48.38,47.35,47.96,2935357.0
2019-10-18,47.9,48.23,47.54,47.56,2235326.0
2019-10-21,47.56,48.2,47.56,47.89,1857561.0
2019-10-22,48.0,48.0,47.45,47.67,2161094.0
2019-10-23,47.71,48.07,47.45,47.8,1790947.0
2019-10-24,47.63,47.74,46.73,47.08,1858698.0
2019-10-25,47.18,47.18,46.27,46.46,1544609.0
2019-10-28,46.41,46.57,46.07,46.56,1588949.0
2019-10-29,46.76,47.02,46.35,46.49,1973708.0
2019-10-30,46.63,46.81,46.03,46.27,1098614.0
2019-10-31,46.35,46.78,46.01,46.31,1637005.0
2019-11-01,46.27,46.86,46.19,46.54,1254004.0
2019-11-04,46.44,46.62,46.07,46.34,1212298.0
2019-11-05,46.27,46.8,46.25,46.49,1420448.0
2019-11-06,46.59,47.06,46.53,46.6,1381083.0
2019-11-07,46.96,47.13,46.18,46.42,2025591.0
2019-11-08,46.38,46.4,45.91,46.25,1257888.0
2019-11-11,46.24,46.25,45.85,46.07,972776.0
2019-11-12,46.19,46.42,46.1,46.38,1251886.0
2019-11-13,46.51,47.41,46.27,47.37,1762176.0
2019-11-14,47.46,47.56,46.89,47.07,2096325.0
2019-11-15,46.93,47.36,46.54,47.28,1349555.0
2019-11-18,47.16,48.12,47.07,48.04,1889900.0
2019-11-19,48.0,48.21,47.88,48.16,1112135.0
2019-11-20,48.23,48.39,47.91,48.28,1208331.0
2019-11-21,48.03,48.2,46.84,46.84,2533001.0
2019-11-22,46.86,47.08,46.1,46.83,1924766.0
2019-11-25,46.97,46.97,46.36,46.8,1392030.0
2019-11-26,46.91,47.12,46.51,47.1,2837639.0
2019-11-27,47.27,47.71,46.95,47.06,1742043.0
2019-11-29,46.98,47.01,46.41,46.57,1140185.0
2019-12-02,46.47,47.16,46.15,47.14,2485485.0
2019-12-03,46.96,47.85,46.83,47.58,4921296.0
2019-12-04,47.49,48.89,47.49,48.47,5655679.0
2019-12-05,48.51,48.93,47.58,47.63,4524647.0
2019-12-06,47.83,48.31,47.62,47.75,2378176.0
2019-12-09,47.75,48.32,47.7,48.24,2243285.0
2019-12-10,48.12,48.8,47.95,48.39,2179619.0
2019-12-11,48.42,48.46,47.91,47.98,1980401.0
2019-12-12,47.9,48.12,47.59,47.71,1466860.0
2019-12-13,47.59,48.15,47.57,47.86,1313176.0
2019-12-16,47.95,48.01,47.59,47.96,1364774.0
2019-12-17,47.85,48.17,47.65,47.76,1503980.0
2019-12-18,48.15,48.31,48.03,48.22,1703258.0
2019-12-19,48.49,48.76,48.06,48.22,2323809.0
2019-12-20,48.41,49.26,48.22,49.17,6267955.0
2019-12-23,49.38,49.44,48.92,49.11,1127860.0
2019-12-24,49.19,49.4,49.03,49.23,420566.0
2019-12-26,49.24,49.35,48.91,49.02,1932106.0
