date,Open,High,Low,Close,Volume
2019-08-20,76.1,76.205,75.19,75.79,701374.0
2019-08-21,76.28,77.47,76.18,76.87,742047.0
2019-08-22,76.77,77.05,75.96,76.24,871589.0
2019-08-23,75.98,76.14,73.4401,73.68,1061500.0
2019-08-26,73.99,74.13,73.32,73.78,1301677.0
2019-08-27,74.47,74.89,74.12,74.63,1167058.0
2019-08-28,74.51,75.07,73.2,75.01,1150468.0
2019-08-29,75.55,76.21,75.55,75.74,883592.0
2019-08-30,76.36,76.49,75.085,75.39,1413322.0
2019-09-03,75.22,75.48,73.98,74.76,2281334.0
2019-09-04,75.13,76.24,75.12,75.66,1312319.0
2019-09-05,76.5,81.43,73.62,80.61,3691726.0
2019-09-06,80.7,82.32,80.45,81.38,2065905.0
2019-09-09,82.01,83.55,81.66,82.29,2350443.0
2019-09-10,82.03,82.03,80.2379,80.96,1532296.0
2019-09-11,80.98,81.47,80.32,80.75,1530768.0
2019-09-12,81.56,81.98,80.38,80.88,1584398.0
2019-09-13,81.41,82.01,80.75,81.81,1722293.0
2019-09-16,81.58,82.23,81.45,82.18,1630453.0
2019-09-17,82.57,83.7,82.57,83.44,1249555.0
2019-09-18,83.44,83.65,81.81,82.57,957247.0
2019-09-19,82.76,83.1531,81.99,82.23,1141047.0
2019-09-20,82.13,83.3,82.0,82.58,1636061.0
2019-09-23,82.58,83.275,81.51,81.795,1699624.0
2019-09-24,82.18,82.37,81.47,81.69,2033031.0
2019-09-25,81.61,82.02,80.49,81.04,1055816.0
2019-09-26,81.16,81.38,80.21,80.91,1031980.0
2019-09-27,80.97,81.07,79.3,79.71,933812.0
2019-09-30,79.71,80.47,79.58,80.33,1062264.0
2019-10-01,80.33,81.06,79.5,79.53,1945837.0
2019-10-02,79.34,79.34,76.8399,77.43,1891189.0
2019-10-03,77.29,79.26,76.35,79.22,4149838.0
2019-10-04,79.77,80.75,79.47,79.99,1497079.0
2019-10-07,79.56,80.215,79.42,79.76,872353.0
2019-10-08,79.34,80.84,78.91,80.15,1218187.0
2019-10-09,80.65,80.77,78.07,80.48,1659153.0
2019-10-10,80.64,81.74,80.4,81.055,1168430.0
2019-10-11,81.85,82.81,81.35,81.37,1016591.0
2019-10-14,81.39,82.06,81.32,81.68,657951.0
2019-10-15,81.95,82.48,81.505,81.74,933836.0
2019-10-16,81.72,81.72,80.66,81.38,937927.0
2019-10-17,81.92,82.03,80.915,81.02,1065985.0
2019-10-18,81.44,82.43,80.99,82.32,2173604.0
2019-10-21,82.5,84.33,82.5,83.62,4265850.0
2019-10-22,84.65,84.9,83.06,83.13,1342239.0
2019-10-23,82.79,83.21,82.14,83.04,1120885.0
2019-10-24,83.49,84.72,83.21,84.63,1615608.0
2019-10-25,84.7,85.1,83.76,83.94,1321504.0
2019-10-28,84.24,84.64,83.91,83.98,738728.0
2019-10-29,83.75,85.31,83.61,84.68,1095308.0
2019-10-30,84.68,84.68,83.89,84.0,898846.0
2019-10-31,83.85,84.4,82.42,82.64,1291712.0
