date,Open,High,Low,Close,Volume
2019-08-20,65.06,65.33,64.73,64.79,3311300.0
2019-08-21,65.23,65.57,64.86,65.34,3417000.0
2019-08-22,65.74,66.76,65.39,66.14,5539300.0
2019-08-23,65.7,66.25,64.27,64.62,5330600.0
2019-08-26,65.24,65.65,64.53,65.03,3952000.0
2019-08-27,65.53,65.65,64.41,64.41,3526900.0
2019-08-28,64.25,65.41,64.07,65.39,3703200.0
2019-08-29,65.9,67.0,65.85,66.51,4669900.0
2019-08-30,67.14,67.67,66.91,67.02,3897700.0
2019-09-03,66.34,66.72,65.44,66.35,3794600.0
2019-09-04,66.55,67.55,66.55,67.5,6065900.0
2019-09-05,68.01,68.78,67.96,68.06,5767200.0
2019-09-06,68.44,68.59,67.14,67.52,5419900.0
2019-09-09,67.91,69.07,67.52,69.05,4890800.0
2019-09-10,69.04,70.81,69.03,70.69,6610700.0
2019-09-11,70.69,71.23,69.76,70.97,8121600.0
2019-09-12,71.04,71.81,70.47,71.55,6672900.0
2019-09-13,71.98,72.75,71.98,72.47,5511300.0
2019-09-16,71.71,72.85,71.55,72.39,5190000.0
2019-09-17,72.36,72.36,70.75,71.18,3110200.0
2019-09-18,70.92,71.24,70.08,71.15,3652700.0
2019-09-19,71.34,71.44,70.57,70.79,2851200.0
2019-09-20,70.72,71.0,68.42,68.62,12804900.0
2019-09-23,68.61,69.06,67.97,68.86,4060300.0
2019-09-24,69.22,70.39,68.35,68.63,5386200.0
2019-09-25,68.85,69.19,68.21,68.87,3048300.0
2019-09-26,68.89,69.76,68.68,69.42,2933800.0
2019-09-27,69.68,70.0,68.55,68.91,2597700.0
2019-09-30,68.95,69.92,68.95,69.27,3095900.0
2019-10-01,69.61,70.0,66.7,67.02,4072600.0
2019-10-02,66.61,67.31,66.1,66.27,6949400.0
2019-10-03,66.13,67.23,65.37,66.96,4915400.0
2019-10-04,66.34,67.03,65.93,66.71,6504200.0
2019-10-07,66.58,67.42,66.23,66.79,3462800.0
2019-10-08,66.05,66.8,65.63,65.86,4050900.0
2019-10-09,66.18,66.87,66.04,66.22,4026200.0
2019-10-10,66.25,67.03,66.22,66.94,3810400.0
2019-10-11,68.0,69.64,67.56,69.05,4379100.0
2019-10-14,68.61,68.94,68.01,68.56,2711100.0
2019-10-15,68.56,69.6,68.4,69.17,4208700.0
2019-10-16,69.92,69.92,68.53,69.0,4570700.0
2019-10-17,70.96,72.12,69.54,69.78,11474300.0
2019-10-18,68.55,69.21,68.3,68.67,20265600.0
2019-10-21,68.91,70.81,68.91,70.75,8598800.0
2019-10-22,70.76,72.32,69.98,72.29,7590000.0
2019-10-23,72.0,72.43,71.55,72.26,7008700.0
2019-10-24,72.53,72.74,71.26,71.66,3001600.0
2019-10-25,71.93,72.49,71.57,72.32,2675500.0
2019-10-28,72.53,72.61,71.31,71.52,5512700.0
2019-10-29,71.11,71.44,70.68,70.83,3934300.0
2019-10-30,70.88,71.28,70.06,71.05,2699400.0
2019-10-31,70.73,71.05,69.64,70.27,3865200.0
2019-11-01,70.94,72.29,70.5,72.27,4647300.0
2019-11-04,72.7,73.52,72.37,73.49,4229000.0
2019-11-05,73.31,74.35,73.17,73.88,3418300.0
2019-11-06,73.8,73.8,72.79,73.64,3125300.0
2019-11-07,73.91,74.72,73.76,74.08,3467300.0
2019-11-08,74.06,74.21,73.6,74.03,2258800.0
2019-11-11,73.66,74.05,73.22,73.9,1335800.0
2019-11-12,73.54,73.62,72.53,72.75,2718200.0
2019-11-13,72.21,72.36,71.77,71.95,2457100.0
2019-11-14,71.94,72.12,71.42,71.84,1606300.0
2019-11-15,72.31,72.31,71.36,71.61,2860900.0
2019-11-18,71.15,71.51,70.76,71.02,4512800.0
2019-11-19,71.55,71.55,70.89,71.01,2365900.0
2019-11-20,70.55,70.64,69.43,69.56,3366000.0
2019-11-21,69.6,69.86,69.18,69.4,2796000.0
2019-11-22,69.16,70.58,69.14,70.51,2526000.0
2019-11-25,70.39,71.95,70.11,71.79,3488900.0
2019-11-26,71.66,72.41,71.42,71.95,4560500.0
2019-11-27,71.7,71.99,71.42,71.89,1972800.0
2019-11-29,71.6,71.88,71.27,71.54,1500900.0
2019-12-02,71.42,71.74,69.98,70.01,4452500.0
2019-12-03,69.57,69.75,68.1,69.71,6813800.0
2019-12-04,70.13,70.72,69.88,70.45,4902000.0
2019-12-05,70.55,70.73,69.81,70.65,4833000.0
2019-12-06,71.27,71.95,71.12,71.27,4365100.0
2019-12-09,71.05,71.08,70.28,70.41,3780900.0
2019-12-10,69.9,70.58,69.43,70.4,3483600.0
2019-12-11,70.82,71.79,70.53,71.73,5163000.0
2019-12-12,71.57,73.4,71.21,72.28,6627600.0
2019-12-13,72.57,73.12,71.64,72.78,4701600.0
2019-12-16,73.16,73.55,72.72,72.79,3107200.0
2019-12-17,72.71,73.48,71.71,72.1,7769200.0
2019-12-18,72.3,73.58,72.11,72.94,4703600.0
2019-12-19,72.87,73.19,72.31,72.59,3143800.0
2019-12-20,72.58,73.24,72.14,73.18,11847200.0
2019-12-23,72.9,73.22,72.49,72.72,3807200.0
2019-12-24,72.86,73.1,72.77,72.98,862300.0
2019-12-26,73.0,73.23,72.39,72.87,1678000.0
2019-12-27,72.94,73.11,72.61,72.85,2050900.0
2019-12-30,72.83,72.99,72.09,72.34,1892200.0
2019-12-31,72.18,72.78,72.09,72.36,2079500.0
2020-01-02,72.82,73.19,72.25,73.19,2830100.0
2020-01-03,72.0,72.94,71.63,72.89,3326300.0
2020-01-06,72.18,72.75,71.74,72.51,4878800.0
2020-01-07,72.7,73.53,72.16,73.0,4786900.0
2020-01-08,73.47,73.83,73.07,73.38,2870900.0
2020-01-09,73.4,73.75,73.22,73.74,2154300.0
2020-01-10,73.72,73.86,73.27,73.36,2036500.0
2020-01-13,73.37,74.77,73.15,74.69,3552100.0
2020-01-14,74.48,75.32,74.21,74.66,3083200.0
2020-01-15,74.51,75.58,74.38,74.99,4785200.0
2020-01-16,75.65,76.85,75.65,76.74,7035500.0
2020-01-17,75.5,77.19,75.19,76.4,10446600.0
2020-01-21,75.72,76.06,74.65,74.83,4927100.0
2020-01-22,75.12,75.19,74.22,74.61,4259900.0
2020-01-23,74.54,76.72,73.94,76.64,4368600.0
2020-01-24,76.68,77.04,76.04,76.7,3604100.0
2020-01-27,75.0,75.83,74.61,75.17,3677900.0
2020-01-28,75.72,76.63,75.3,76.22,3653400.0
2020-01-29,76.73,78.4,76.5,77.53,4943700.0
2020-01-30,76.41,77.845,76.35,77.78,3225793.0
2020-01-31,77.28,77.37,75.88,76.34,4649000.0
2020-02-03,77.18,77.59,76.67,77.1,3439700.0
2020-02-04,78.25,78.55,77.55,77.77,2937800.0
2020-02-05,78.81,78.81,77.895,78.17,3599047.0
2020-02-06,78.52,78.65,77.79,78.32,2262100.0
2020-02-07,78.92,79.19,77.67,77.87,3097700.0
2020-02-10,77.39,78.91,77.31,78.88,3284600.0
2020-02-11,78.97,79.44,78.41,78.52,2978400.0
2020-02-12,79.09,79.5,78.46,79.49,2761600.0
2020-02-13,79.3,79.97,78.9,79.84,2443800.0
2020-02-14,79.67,79.95,79.14,79.59,2341700.0
2020-02-18,79.36,80.09,78.98,79.51,2735000.0
2020-02-19,79.8,80.25,79.6,80.17,2251800.0
2020-02-20,80.08,80.62,79.6,80.45,2241900.0
2020-02-21,79.89,80.44,79.46,79.56,3853400.0
2020-02-24,77.97,78.59,77.6,78.06,7515900.0
2020-02-25,78.13,78.64,75.4,75.57,8901100.0
2020-02-26,76.13,76.74,74.73,75.31,6862500.0
2020-02-27,73.66,75.44,72.18,72.27,8697200.0
2020-02-28,70.08,70.96,68.42,70.45,11539000.0
2020-03-02,70.32,71.41,68.98,70.75,10651300.0
2020-03-03,70.23,73.04,68.55,68.91,8122400.0
2020-03-04,69.87,72.24,69.38,72.0,5576300.0
2020-03-05,69.93,70.58,68.63,68.96,4894700.0
2020-03-06,65.94,68.83,65.72,68.25,5189500.0
2020-03-09,62.95,63.73,59.59,60.39,8465700.0
2020-03-10,62.32,63.16,59.35,62.88,8232800.0
2020-03-11,60.89,61.83,58.06,58.31,10872500.0
2020-03-12,53.55,56.4,51.88,53.41,12256700.0
2020-03-13,56.5,58.79,54.01,57.94,12272900.0
2020-03-16,49.02,53.36,47.56,48.93,11278600.0
2020-03-17,49.51,54.93,48.17,54.26,8822100.0
2020-03-18,50.67,52.48,48.06,50.97,7879000.0
2020-03-19,50.53,56.2,48.79,55.01,6092500.0
2020-03-20,54.51,55.18,49.6,49.87,9861800.0
2020-03-23,49.43,50.79,46.81,47.66,7631200.0
2020-03-24,50.98,55.69,49.51,55.5,7612000.0
2020-03-25,55.11,60.57,55.01,56.53,7658200.0
2020-03-26,57.12,59.13,55.83,58.57,6366200.0
2020-03-27,56.27,57.82,55.03,56.29,5588500.0
2020-03-30,56.11,58.26,55.74,58.02,5029300.0
2020-03-31,57.72,58.15,56.32,57.3,5590800.0
2020-04-01,54.1,55.23,53.25,54.85,4703700.0
2020-04-02,54.17,57.12,53.63,56.86,5459100.0
2020-04-03,56.61,57.66,55.9,56.77,5271800.0
2020-04-06,60.66,61.69,59.22,61.27,6486800.0
2020-04-07,64.33,64.82,60.8,61.15,5647400.0
2020-04-08,62.23,63.88,61.8,63.52,3771600.0
2020-04-09,63.89,64.8,63.1,64.0,5150600.0
2020-04-13,63.31,63.88,60.94,61.57,4186100.0
2020-04-14,62.12,63.39,62.05,62.54,3244700.0
2020-04-15,60.37,61.01,59.9,60.89,3180600.0
2020-04-16,61.21,61.21,58.97,60.64,4927500.0
2020-04-17,62.92,63.66,62.03,62.77,6837600.0
2020-04-20,61.02,62.57,60.27,61.0,4797100.0
2020-04-21,59.33,60.31,58.8,59.48,4565200.0
2020-04-22,60.65,62.41,59.47,60.89,5274400.0
2020-04-23,63.9,64.13,61.3,61.47,4662200.0
2020-04-24,62.58,64.0,61.38,63.82,3990800.0
2020-04-27,65.5,66.78,64.77,66.41,7198300.0
2020-04-28,67.16,67.64,65.83,66.85,6002300.0
2020-04-29,68.38,69.28,67.77,68.15,4067400.0
2020-04-30,67.02,67.82,66.01,66.23,8379100.0
2020-05-01,65.59,65.59,64.55,65.0,7579300.0
2020-05-04,64.72,64.72,63.05,63.74,3871500.0
2020-05-05,64.36,64.97,63.57,63.77,4341600.0
2020-05-06,63.95,64.22,62.52,62.63,5289900.0
2020-05-07,63.59,64.42,63.19,63.92,3361300.0
2020-05-08,64.75,66.3,64.68,66.11,2830000.0
2020-05-11,65.19,66.7,65.14,65.91,3146000.0
2020-05-12,66.2,66.2,64.14,64.16,2893100.0
2020-05-13,64.09,64.09,61.68,62.33,4144100.0
2020-05-14,61.92,63.09,60.0,62.97,3893300.0
2020-05-15,62.04,62.61,61.62,62.0,5259000.0
2020-05-18,64.49,66.9,64.05,66.39,3996100.0
2020-05-19,66.64,67.56,65.96,65.96,4534900.0
2020-05-20,68.84,69.81,68.11,68.36,5168100.0
2020-05-21,68.1,68.28,66.92,67.8,3357600.0
2020-05-22,67.5,68.63,67.42,68.53,2723600.0
2020-05-26,70.48,72.16,70.04,72.14,5751200.0
2020-05-27,72.79,73.93,72.71,73.6,5586700.0
2020-05-28,73.98,74.0,70.71,71.25,5479800.0
2020-05-29,70.95,72.35,70.01,71.58,5284800.0
2020-06-01,70.98,71.58,70.33,70.86,2749900.0
2020-06-02,71.68,72.47,71.13,72.18,3034800.0
2020-06-03,73.41,74.87,73.0,74.67,3919500.0
2020-06-04,74.1,74.48,73.7,74.04,3136300.0
2020-06-05,75.95,76.91,74.93,75.08,5925400.0
2020-06-08,74.82,75.99,73.82,74.33,4632000.0
2020-06-09,73.57,74.22,73.06,73.66,3437500.0
2020-06-10,73.66,74.13,72.36,73.29,4080500.0
2020-06-11,71.78,72.4,68.22,68.29,4971000.0
2020-06-12,70.51,70.67,68.06,69.57,4170700.0
2020-06-15,67.91,70.56,67.44,70.15,3922300.0
2020-06-16,72.56,72.57,69.58,70.36,3887900.0
2020-06-17,71.07,71.07,69.83,69.9,3058600.0
2020-06-18,69.24,70.12,69.08,69.47,2789500.0
2020-06-19,70.4,70.47,67.75,67.99,7092700.0
2020-06-22,67.75,68.67,67.07,68.6,3226700.0
2020-06-23,69.32,69.86,68.75,69.43,3105700.0
