date,Open,High,Low,Close,Volume
2019-08-20,11.46,11.71,11.21,11.26,12676100.0
2019-08-21,11.32,11.41,11.22,11.35,6829900.0
2019-08-22,11.44,11.7,11.36,11.57,8709400.0
2019-08-23,11.5,11.62,11.17,11.21,11600800.0
2019-08-26,11.33,11.61,11.31,11.6,6165200.0
2019-08-27,11.7,11.75,11.36,11.36,11290400.0
2019-08-28,11.38,11.56,11.21,11.56,12222400.0
2019-08-29,11.28,11.43,11.22,11.31,8016200.0
2019-08-30,11.32,11.47,11.27,11.38,8428200.0
2019-09-03,11.3,11.53,11.21,11.52,10688600.0
2019-09-04,11.65,11.88,11.6,11.66,9938600.0
2019-09-05,11.73,11.9,11.65,11.86,10834500.0
2019-09-06,11.88,11.97,11.79,11.8,7122000.0
2019-09-09,11.92,12.23,11.91,11.96,10193400.0
2019-09-10,12.0,12.61,11.98,12.6,20445700.0
2019-09-11,12.68,13.36,12.67,13.31,22745900.0
2019-09-12,13.4,13.61,12.87,13.53,17361000.0
2019-09-13,13.57,13.62,12.79,12.9,16283500.0
2019-09-16,12.75,13.01,12.64,12.88,10268100.0
2019-09-17,12.88,13.07,12.69,12.81,12840600.0
2019-09-18,12.66,12.81,12.53,12.8,11994900.0
2019-09-19,12.81,12.93,12.74,12.81,9407000.0
2019-09-20,12.88,12.94,12.48,12.52,18167700.0
2019-09-23,12.46,12.94,12.39,12.92,10451000.0
2019-09-24,12.96,12.98,12.65,12.73,9989300.0
2019-09-25,12.71,12.99,12.66,12.92,7262500.0
2019-09-26,12.92,12.93,12.52,12.54,8096600.0
2019-09-27,12.62,12.82,12.39,12.39,13681300.0
2019-09-30,12.43,12.61,12.35,12.48,11897800.0
2019-10-01,12.5,12.58,12.05,12.13,15106100.0
2019-10-02,12.05,12.1,11.51,11.53,12858800.0
2019-10-03,11.53,11.58,11.36,11.5,8857900.0
2019-10-04,11.48,11.62,11.34,11.54,9317600.0
2019-10-07,11.49,11.56,11.35,11.49,13190200.0
2019-10-08,11.43,11.53,11.25,11.35,12844200.0
2019-10-09,11.45,11.55,11.39,11.42,4870300.0
2019-10-10,11.42,11.74,11.42,11.63,7019400.0
2019-10-11,11.77,11.92,11.71,11.73,7310400.0
2019-10-14,11.73,11.82,11.57,11.81,7411300.0
2019-10-15,11.7,12.25,11.68,12.11,14070300.0
2019-10-16,12.03,12.4,12.03,12.17,12312500.0
2019-10-17,12.2,12.21,11.92,12.04,6980300.0
2019-10-18,12.02,12.71,11.99,12.44,16496600.0
2019-10-21,12.5,12.79,12.31,12.41,12326700.0
2019-10-22,12.35,12.83,12.21,12.81,12276500.0
2019-10-23,12.77,13.1,12.62,13.09,14966400.0
2019-10-24,13.05,13.07,12.65,12.77,12552800.0
2019-10-25,12.82,12.93,12.76,12.89,6673500.0
2019-10-28,12.95,13.25,12.88,12.93,12479100.0
2019-10-29,12.84,12.98,12.73,12.84,6394000.0
2019-10-30,12.83,13.05,12.68,12.89,9603900.0
2019-10-31,12.86,12.97,12.64,12.94,8728800.0
2019-11-01,12.98,13.36,12.89,13.32,11165800.0
2019-11-04,13.4,13.68,13.35,13.65,15181300.0
2019-11-05,13.65,13.89,13.55,13.67,14252300.0
2019-11-06,13.12,13.44,13.07,13.36,23376700.0
2019-11-07,13.59,15.05,13.59,14.88,44688900.0
2019-11-08,14.8,15.02,14.47,14.79,17107000.0
2019-11-11,14.61,15.21,14.54,15.06,17048200.0
2019-11-12,15.0,15.03,14.37,14.62,18904300.0
2019-11-13,14.41,14.91,14.39,14.89,9472500.0
2019-11-14,14.86,15.03,14.73,14.89,8293900.0
2019-11-15,14.89,15.0,14.79,14.97,9489000.0
2019-11-18,14.94,15.29,14.88,15.22,10510900.0
2019-11-19,15.24,15.24,14.94,15.08,6753300.0
2019-11-20,15.01,15.08,14.77,14.87,11128700.0
2019-11-21,14.94,15.02,14.65,14.85,6989400.0
2019-11-22,14.87,15.05,14.82,14.97,5648500.0
2019-11-25,14.97,15.04,14.83,14.91,11750300.0
2019-11-26,14.86,14.89,14.28,14.29,21428700.0
2019-11-27,14.44,14.56,14.27,14.55,8293200.0
2019-11-29,14.33,14.57,14.3,14.49,5159400.0
2019-12-02,14.44,14.47,14.2,14.3,9515800.0
2019-12-03,14.04,14.2,13.68,14.19,10681200.0
2019-12-04,14.25,14.46,14.2,14.26,6705200.0
2019-12-05,14.32,14.43,14.12,14.14,19762300.0
2019-12-06,14.3,14.4,14.13,14.16,8035100.0
2019-12-09,14.17,14.4,14.15,14.17,6710900.0
2019-12-10,14.14,14.26,13.95,14.14,10586400.0
2019-12-11,14.09,14.1,13.93,14.01,9143300.0
2019-12-12,14.04,14.06,13.7,13.74,9825100.0
2019-12-13,13.78,13.89,13.55,13.6,13354400.0
2019-12-16,13.69,13.97,13.55,13.58,9478500.0
2019-12-17,13.4,13.49,13.08,13.13,17537200.0
2019-12-18,13.14,13.33,13.09,13.24,10606400.0
2019-12-19,13.24,13.41,13.22,13.33,10795700.0
2019-12-20,13.38,13.4,13.1,13.22,17258000.0
2019-12-23,13.23,13.38,13.14,13.19,10928400.0
2019-12-24,13.17,13.25,13.12,13.16,3427200.0
2019-12-26,13.18,13.31,13.06,13.11,8356000.0
2019-12-27,13.15,13.53,13.12,13.42,9547600.0
2019-12-30,13.34,13.43,13.07,13.1,7441000.0
2019-12-31,13.08,13.23,12.97,13.21,8941500.0
2020-01-02,13.34,13.37,12.74,12.92,12652500.0
2020-01-03,12.78,12.86,12.51,12.59,11253000.0
2020-01-06,12.52,12.96,12.47,12.85,17276500.0
2020-01-07,12.86,12.88,12.56,12.73,18035100.0
2020-01-08,12.7,13.02,12.7,12.98,20760300.0
2020-01-09,13.03,13.29,12.89,13.12,10801100.0
2020-01-10,13.16,13.18,12.88,12.99,8359300.0
2020-01-13,12.99,13.12,12.88,13.09,9128900.0
2020-01-14,13.04,13.22,13.04,13.18,12508400.0
2020-01-15,13.15,13.19,13.03,13.06,8140000.0
2020-01-16,13.36,13.68,13.27,13.56,17802200.0
2020-01-17,13.73,14.12,13.64,14.06,15061700.0
2020-01-21,14.05,14.74,13.96,14.72,21275900.0
2020-01-22,14.72,15.25,14.65,15.07,26902300.0
2020-01-23,15.08,15.12,14.77,14.85,9107400.0
2020-01-24,14.92,14.97,14.59,14.71,10766700.0
2020-01-27,14.45,14.67,14.35,14.54,8533500.0
2020-01-28,14.64,14.65,14.34,14.47,8061100.0
2020-01-29,14.5,14.5,13.81,13.83,9226100.0
2020-01-30,13.7,13.975,13.65,13.88,9594808.0
2020-01-31,13.85,13.96,13.6,13.66,9330500.0
2020-02-03,13.7,13.88,13.57,13.6,6356600.0
2020-02-04,13.69,13.97,13.66,13.96,7784500.0
2020-02-05,14.03,14.44,13.93,14.41,8168900.0
2020-02-06,14.49,14.53,14.3,14.5,7691600.0
2020-02-07,14.48,14.59,14.44,14.53,6845100.0
2020-02-10,14.51,14.86,14.47,14.81,11337700.0
2020-02-11,14.9,14.94,14.68,14.93,7141000.0
2020-02-12,14.97,15.3,14.95,15.16,17786400.0
2020-02-13,14.49,14.5,13.43,13.88,29903600.0
2020-02-14,13.9,14.19,13.74,13.9,8816600.0
2020-02-18,13.55,13.7,13.11,13.34,20970400.0
2020-02-19,13.39,13.53,13.31,13.33,9368600.0
2020-02-20,13.07,13.38,12.98,13.37,9598300.0
2020-02-21,13.23,13.37,13.2,13.22,7082600.0
2020-02-24,13.0,13.22,12.93,13.05,7989800.0
2020-02-25,13.08,13.1,12.45,12.56,11568100.0
2020-02-26,12.58,12.97,12.53,12.75,10896700.0
2020-02-27,12.51,12.6,11.81,12.08,16264300.0
2020-02-28,11.8,12.11,11.54,12.07,25300900.0
2020-03-02,12.13,12.66,11.9,12.59,16969000.0
2020-03-03,12.6,13.15,12.28,12.45,11994000.0
2020-03-04,12.65,12.7,12.43,12.63,8847600.0
2020-03-05,12.31,12.64,12.22,12.56,12252600.0
2020-03-06,12.01,12.15,11.73,11.97,11375200.0
2020-03-09,11.11,11.19,10.25,10.26,20273700.0
2020-03-10,10.66,11.17,10.16,11.17,13882200.0
2020-03-11,10.75,10.84,10.05,10.36,15016500.0
2020-03-12,9.58,10.17,8.95,9.28,16743800.0
2020-03-13,10.05,10.25,9.18,10.12,21023000.0
2020-03-16,8.9,10.35,8.45,9.78,20759600.0
2020-03-17,10.02,11.13,9.79,10.86,19567300.0
2020-03-18,10.09,10.49,9.3,10.32,17499900.0
2020-03-19,10.03,10.79,9.89,10.1,13420900.0
2020-03-20,10.17,10.38,9.01,9.1,21130900.0
2020-03-23,9.06,9.09,8.16,8.69,18642200.0
2020-03-24,9.2,10.0,8.95,9.95,12836500.0
2020-03-25,9.0,9.86,8.66,9.05,19658700.0
2020-03-26,9.06,9.41,9.0,9.29,14728500.0
2020-03-27,9.03,9.18,8.81,9.06,18763600.0
2020-03-30,9.1,9.93,9.02,9.84,17308300.0
2020-03-31,9.84,9.96,9.38,9.46,12839000.0
2020-04-01,8.61,9.05,8.51,8.79,11837700.0
2020-04-02,8.96,9.1,8.63,8.8,14273800.0
2020-04-03,8.76,9.25,8.68,9.11,13572700.0
2020-04-06,9.51,9.54,9.05,9.43,15558000.0
2020-04-07,9.75,9.81,9.48,9.5,11522300.0
2020-04-08,9.6,9.9,9.54,9.83,11226300.0
2020-04-09,10.0,10.9,9.91,10.65,15495200.0
2020-04-13,10.57,10.67,9.95,10.1,10747600.0
2020-04-14,10.3,10.33,10.02,10.26,11693700.0
2020-04-15,10.03,10.2,9.82,10.1,11442300.0
2020-04-16,10.16,10.16,9.68,9.75,9588400.0
2020-04-17,10.0,10.3,9.99,10.25,10458200.0
2020-04-20,10.05,10.31,9.9,10.14,10635500.0
2020-04-21,9.97,10.0,9.69,9.71,11475300.0
2020-04-22,9.95,10.01,9.65,9.7,9982100.0
2020-04-23,9.74,10.14,9.72,9.94,12442100.0
2020-04-24,10.01,10.26,9.97,10.21,8292600.0
2020-04-27,10.26,10.43,10.15,10.34,6501100.0
2020-04-28,10.51,10.8,10.37,10.61,7205500.0
2020-04-29,10.81,11.1,10.61,11.02,11283600.0
2020-04-30,10.93,10.98,10.56,10.62,8131200.0
2020-05-01,10.49,10.58,10.09,10.17,8508400.0
2020-05-04,10.09,10.14,9.93,10.03,6991400.0
2020-05-05,10.11,10.24,9.98,10.01,10611200.0
2020-05-06,10.04,10.09,9.74,9.88,18600700.0
2020-05-07,9.99,10.07,9.4,9.52,17719300.0
2020-05-08,9.69,10.13,9.63,9.94,12027900.0
2020-05-11,9.73,9.91,9.64,9.67,12582500.0
2020-05-12,9.73,9.97,9.7,9.73,9064100.0
2020-05-13,9.74,9.79,8.95,9.19,15795500.0
2020-05-14,9.04,9.19,8.74,9.19,12561600.0
2020-05-15,9.09,9.33,9.06,9.27,11185700.0
2020-05-18,9.58,9.77,9.47,9.69,8970100.0
2020-05-19,9.65,9.72,9.53,9.58,9411500.0
2020-05-20,9.69,10.07,9.56,9.9,14146200.0
2020-05-21,9.94,10.04,9.66,9.71,13711300.0
2020-05-22,9.73,9.83,9.65,9.82,6344000.0
2020-05-26,10.17,10.18,9.91,9.97,12863800.0
2020-05-27,10.24,10.49,10.1,10.29,14913800.0
2020-05-28,10.29,10.29,10.04,10.17,9415000.0
2020-05-29,9.9,9.9,9.45,9.83,23211700.0
2020-06-01,9.81,10.23,9.74,10.14,12529800.0
2020-06-02,10.24,10.3,10.03,10.24,9906100.0
2020-06-03,10.3,10.73,10.3,10.61,12509300.0
2020-06-04,10.55,10.71,10.42,10.6,12411100.0
2020-06-05,11.0,11.11,10.74,10.81,14386900.0
2020-06-08,10.95,11.39,10.95,11.37,9441500.0
2020-06-09,11.14,11.16,10.76,11.01,10078400.0
2020-06-10,11.01,11.03,10.45,10.71,13515000.0
2020-06-11,10.13,10.22,9.63,9.75,17080100.0
2020-06-12,10.18,10.23,9.84,10.08,10859600.0
2020-06-15,9.78,10.28,9.67,10.15,16685000.0
2020-06-16,10.56,10.73,10.16,10.45,10097600.0
2020-06-17,10.4,10.45,10.18,10.22,7444600.0
2020-06-18,10.08,10.2,9.99,10.15,7783800.0
2020-06-19,10.33,10.34,9.98,10.15,25819800.0
2020-06-22,10.14,10.32,10.05,10.15,7943500.0
2020-06-23,10.24,10.32,10.05,10.1,8665900.0
2020-06-24,10.03,10.04,9.65,9.74,11627900.0
2020-06-25,9.69,10.11,9.65,10.04,9189800.0
2020-06-26,9.99,9.99,9.45,9.51,16876100.0
2020-06-29,9.55,9.79,9.425,9.79,8920287.0
2020-06-30,9.82,10.07,9.78,10.03,14155700.0
2020-07-01,9.97,10.17,9.83,9.87,9137100.0
2020-07-02,10.0,10.09,9.77,9.79,9555400.0
2020-07-06,9.97,10.08,9.84,9.98,10363000.0
2020-07-07,9.86,9.98,9.86,9.9,7672500.0
2020-07-08,9.87,9.9,9.68,9.8,9288600.0
2020-07-09,9.76,9.88,9.6,9.63,8715800.0
2020-07-10,9.65,9.92,9.57,9.91,8884900.0
2020-07-13,9.98,10.0,9.64,9.68,10834300.0
2020-07-14,9.68,9.96,9.64,9.89,9871600.0
2020-07-15,9.87,9.93,9.69,9.71,11117700.0
2020-07-16,9.65,9.97,9.64,9.93,9554700.0
2020-07-17,9.97,9.97,9.7,9.8,7857900.0
2020-07-20,9.75,9.79,9.62,9.64,7073700.0
2020-07-21,9.69,9.91,9.65,9.73,7664000.0
2020-07-22,9.71,9.87,9.64,9.82,6597775.0
2020-07-23,9.82,10.15,9.74,9.99,10993757.0
2020-07-24,10.03,10.12,9.86,10.09,11647782.0
2020-07-27,10.04,10.04,9.56,9.7,16208094.0
2020-07-28,9.72,10.0,9.69,9.89,12668540.0
2020-07-29,9.91,9.945,9.74,9.84,7818259.0
2020-07-30,9.76,9.88,9.62,9.74,9164248.0
2020-07-31,9.71,9.805,9.455,9.65,32421006.0
2020-08-03,9.7,9.82,9.53,9.8,8852349.0
2020-08-04,9.77,9.97,9.77,9.88,9229488.0
2020-08-05,9.95,10.0357,9.77,9.84,12628743.0
2020-08-06,10.16,10.83,10.1,10.56,29837158.0
2020-08-07,10.54,10.6,10.25,10.49,11322453.0
2020-08-10,10.58,10.88,10.55,10.86,13295985.0
2020-08-11,11.0,11.185,10.92,11.04,18722660.0
2020-08-12,11.16,11.22,10.72,10.79,14064941.0
2020-08-13,10.73,10.91,10.61,10.85,11274300.0
2020-08-14,10.76,11.13,10.6,11.07,12123689.0
2020-08-17,11.0,11.08,10.775,10.8,11603791.0
2020-08-18,10.84,10.97,10.785,10.9,7282676.0
2020-08-19,10.89,11.31,10.82,11.29,17753334.0
2020-08-20,11.22,11.33,10.97,11.0,12799646.0
