date,Open,High,Low,Close,Volume
2019-08-20,92.31,92.93,91.88,91.89,1939600.0
2019-08-21,92.58,93.0,92.34,92.71,1389600.0
2019-08-22,92.71,93.22,92.35,92.94,1206300.0
2019-08-23,92.76,93.29,91.38,91.46,2279500.0
2019-08-26,92.15,92.6,91.72,92.19,1365400.0
2019-08-27,92.77,92.79,92.11,92.41,1803700.0
2019-08-28,92.04,92.78,91.19,92.12,1281200.0
2019-08-29,92.85,93.31,92.59,92.76,1226800.0
2019-08-30,93.49,93.63,92.63,92.98,1254300.0
2019-09-03,92.34,92.9,92.11,92.9,1405300.0
2019-09-04,93.71,93.71,92.87,93.17,1078400.0
2019-09-05,93.65,94.97,93.36,94.35,2171200.0
2019-09-06,94.51,95.17,94.27,94.41,1452800.0
2019-09-09,94.74,95.14,94.24,94.97,2114500.0
2019-09-10,94.58,95.79,94.23,95.76,1535400.0
2019-09-11,96.04,96.76,95.59,96.5,1575800.0
2019-09-12,96.94,97.35,96.48,96.53,1604300.0
2019-09-13,96.37,96.68,95.57,95.95,1506800.0
2019-09-16,95.66,96.78,95.12,96.64,1480400.0
2019-09-17,96.53,96.77,95.39,95.72,1756600.0
2019-09-18,95.73,96.91,95.37,96.72,1556300.0
2019-09-19,96.64,97.22,95.97,96.45,1506100.0
2019-09-20,96.22,97.12,96.12,96.97,3237900.0
2019-09-23,96.76,97.17,96.23,96.25,1300900.0
2019-09-24,96.51,96.84,94.68,95.16,2117900.0
2019-09-25,95.42,96.15,94.36,95.97,1370400.0
2019-09-26,96.13,96.59,95.62,95.84,1698300.0
2019-09-27,96.42,96.65,94.99,95.81,1572200.0
2019-09-30,95.89,96.94,95.76,96.52,1440500.0
2019-10-01,96.95,97.39,95.71,96.03,1677900.0
2019-10-02,95.3,95.7,94.75,95.18,1825700.0
2019-10-03,95.04,95.92,94.17,95.69,1437000.0
2019-10-04,96.11,96.74,95.68,96.51,1291700.0
2019-10-07,96.23,97.58,95.58,96.8,2565800.0
2019-10-08,96.07,96.54,94.2,95.78,1482600.0
2019-10-09,96.63,96.92,95.99,96.59,1020900.0
2019-10-10,96.29,97.33,96.29,96.96,1198400.0
2019-10-11,98.0,99.46,97.45,98.22,1157800.0
2019-10-14,98.13,98.88,97.68,98.29,1004600.0
2019-10-15,98.76,99.77,98.45,99.45,1049700.0
2019-10-16,99.04,99.94,98.34,99.93,1178400.0
2019-10-17,99.91,100.86,99.09,100.79,963300.0
2019-10-18,100.79,101.95,100.51,101.52,2334500.0
2019-10-21,101.65,103.96,101.65,103.19,2003000.0
2019-10-22,103.29,104.36,103.22,104.1,1598200.0
2019-10-23,104.24,104.59,103.35,103.67,2049400.0
2019-10-24,106.98,108.46,105.0,107.77,3182800.0
2019-10-25,108.12,108.12,104.32,105.64,2957500.0
2019-10-28,105.53,107.11,105.38,106.87,1590300.0
2019-10-29,107.04,107.58,106.74,107.17,1795300.0
2019-10-30,107.36,108.85,106.99,108.82,1643600.0
2019-10-31,108.58,108.97,108.16,108.86,1421900.0
2019-11-01,109.07,109.93,108.6,109.54,1510000.0
2019-11-04,109.57,110.06,109.22,109.25,1437400.0
2019-11-05,109.79,110.03,108.64,108.79,2124500.0
2019-11-06,108.74,109.89,108.6,109.59,1467200.0
2019-11-07,109.9,110.35,109.35,110.11,2039000.0
2019-11-08,109.95,110.76,109.6,110.73,1139400.0
2019-11-11,110.65,111.51,110.31,111.31,1546100.0
2019-11-12,111.57,111.81,111.03,111.43,1909500.0
2019-11-13,111.05,112.26,111.05,111.94,989200.0
2019-11-14,111.46,111.93,111.14,111.39,1213900.0
2019-11-15,111.9,112.67,111.4,112.59,2285400.0
2019-11-18,112.61,112.88,112.22,112.55,1458800.0
2019-11-19,113.06,113.7,112.48,113.33,1481900.0
2019-11-20,113.08,113.69,112.48,112.92,1536000.0
2019-11-21,113.05,113.45,112.5,113.24,1876000.0
2019-11-22,113.38,114.29,112.96,113.75,1800200.0
2019-11-25,114.16,114.73,113.91,114.04,1423700.0
2019-11-26,114.24,114.65,113.16,113.97,7134700.0
2019-11-27,114.28,114.28,112.68,113.52,1523900.0
2019-11-29,113.01,113.14,112.55,112.81,1147700.0
2019-12-02,112.48,112.74,110.89,111.91,1462900.0
2019-12-03,111.55,111.59,110.24,111.22,2036300.0
2019-12-04,111.24,111.97,110.74,110.87,980400.0
2019-12-05,110.8,110.95,110.3,110.78,874800.0
2019-12-06,111.39,111.74,110.61,110.62,1063900.0
