date,Open,High,Low,Close,Volume
2019-08-20,61.24,61.87,61.07,61.56,8961886.0
2019-08-21,62.18,62.58,61.6,61.65,9597321.0
2019-08-22,61.91,62.17,61.1,62.05,6402593.0
2019-08-23,61.36,62.12,60.03,60.24,9357701.0
2019-08-26,60.8,60.99,60.28,60.76,4849509.0
2019-08-27,61.21,61.31,59.12,59.19,7703032.0
2019-08-28,59.06,59.58,58.62,59.48,7817168.0
2019-08-29,60.12,60.6,59.85,60.15,6784289.0
2019-08-30,60.67,61.15,60.26,60.92,6310270.0
2019-09-03,60.44,60.83,59.69,60.69,5379449.0
2019-09-04,61.19,61.8,61.0,61.66,5698235.0
2019-09-05,63.01,63.34,62.38,62.76,7892700.0
2019-09-06,62.74,62.97,62.01,62.23,7124783.0
2019-09-09,62.54,63.86,62.51,63.68,8621797.0
2019-09-10,63.75,64.12,62.8,63.6,10238399.0
2019-09-11,63.48,64.01,63.29,63.99,7312018.0
2019-09-12,64.94,65.25,63.64,63.9,8812089.0
2019-09-13,64.1,64.72,63.16,64.06,6183864.0
2019-09-16,63.3,63.85,63.18,63.43,4405099.0
2019-09-17,63.5,63.75,63.15,63.48,4669664.0
2019-09-18,63.22,63.54,62.74,63.26,4867271.0
2019-09-19,63.45,64.03,63.28,63.63,4605322.0
2019-09-20,64.18,64.69,64.01,64.3,10422455.0
2019-09-23,63.93,64.32,63.1,63.35,7393804.0
2019-09-24,63.55,64.19,62.67,62.93,6796928.0
2019-09-25,62.65,63.37,62.47,62.59,5447697.0
2019-09-26,62.68,62.78,60.95,61.59,7459506.0
2019-09-27,61.94,62.5,61.58,62.08,4938930.0
2019-09-30,62.11,63.44,61.77,63.07,6577349.0
2019-10-01,63.2,63.56,61.76,62.35,6032088.0
2019-10-02,61.98,62.1,60.96,61.5,6513142.0
2019-10-03,61.51,61.78,60.37,61.22,5807648.0
2019-10-04,61.15,62.32,61.13,62.24,4701936.0
2019-10-07,62.13,62.55,61.73,61.99,4475314.0
2019-10-08,61.48,61.62,60.14,60.38,6964555.0
2019-10-09,60.86,61.34,60.61,60.8,5231486.0
2019-10-10,60.9,62.5,60.85,62.14,6751516.0
2019-10-11,62.8,63.61,62.77,62.94,6288464.0
2019-10-14,62.77,63.25,62.43,62.99,3170908.0
2019-10-15,63.48,64.97,63.48,64.83,8235334.0
2019-10-16,65.0,65.79,64.76,65.41,7350970.0
2019-10-17,65.56,66.58,65.31,66.5,8423956.0
2019-10-18,66.32,66.46,65.73,66.16,6249529.0
2019-10-21,66.63,66.78,65.61,65.7,6866997.0
2019-10-22,65.88,66.92,65.73,66.56,6320245.0
2019-10-23,66.04,66.31,65.32,65.6,4720622.0
2019-10-24,65.6,65.89,64.47,64.84,5739749.0
2019-10-25,64.64,65.61,64.38,65.1,5068225.0
2019-10-28,65.45,66.54,65.35,65.88,7015487.0
2019-10-29,65.69,66.1,64.95,65.89,6502242.0
2019-10-30,66.15,67.33,65.85,67.05,8026433.0
2019-10-31,66.8,67.1,65.72,66.39,6135759.0
2019-11-01,66.86,67.59,66.71,67.24,6788403.0
2019-11-04,67.97,68.41,67.48,68.04,8819522.0
2019-11-05,68.25,68.65,67.13,67.32,15562833.0
2019-11-06,69.43,70.94,69.3,70.93,22355000.0
2019-11-07,71.94,72.09,71.18,71.78,11692309.0
2019-11-08,71.8,72.98,71.57,72.47,9245557.0
2019-11-11,71.98,72.75,71.57,71.73,5057584.0
2019-11-12,71.55,72.47,71.0,72.35,5030285.0
2019-11-13,71.83,73.29,71.71,72.82,5173878.0
2019-11-14,72.77,73.25,72.63,72.94,4032738.0
2019-11-15,73.34,74.39,72.98,74.29,8766931.0
2019-11-18,74.15,75.13,74.11,75.1,8463564.0
2019-11-19,75.28,75.47,74.46,75.35,6923947.0
2019-11-20,75.25,75.49,74.34,74.92,6958148.0
2019-11-21,74.87,75.28,74.16,74.94,4336252.0
2019-11-22,75.28,75.7,75.09,75.31,5401334.0
2019-11-25,75.5,77.03,75.5,76.58,8806275.0
2019-11-26,76.76,76.79,74.64,74.94,10128288.0
2019-11-27,75.1,75.56,74.63,75.04,7823843.0
2019-11-29,74.69,75.4,74.43,75.27,4463613.0
2019-12-02,75.22,75.91,75.01,75.55,5264279.0
2019-12-03,74.39,74.79,73.6,74.71,6393229.0
2019-12-04,75.25,75.44,74.9,75.0,4958326.0
2019-12-05,75.06,75.08,73.89,74.48,4900220.0
2019-12-06,75.08,75.75,75.0,75.36,5103415.0
2019-12-09,75.03,75.49,74.89,74.99,4812127.0
2019-12-10,75.0,75.05,72.64,73.18,10942823.0
2019-12-11,73.07,73.75,72.84,73.35,6495759.0
2019-12-12,73.63,74.53,73.38,74.26,4773789.0
2019-12-13,74.22,74.54,73.58,73.59,3902356.0
2019-12-16,74.25,75.01,73.94,74.4,5511783.0
2019-12-17,74.39,74.44,72.81,73.35,7901188.0
2019-12-18,72.94,73.6,72.65,73.28,6719601.0
2019-12-19,73.95,74.28,73.65,74.1,6583876.0
2019-12-20,75.0,75.0,74.11,74.58,8571673.0
2019-12-23,74.54,74.95,74.32,74.38,3882527.0
