date,Open,High,Low,Close,Volume
2019-08-20,117.13,117.19,115.66,116.13,5150919.0
2019-08-21,117.79,118.22,117.33,117.88,4579027.0
2019-08-22,118.66,118.74,117.45,117.73,4363874.0
2019-08-23,116.48,118.06,114.35,115.18,7654485.0
2019-08-26,115.92,116.22,115.19,115.74,3966997.0
2019-08-27,116.27,117.03,115.04,115.83,4238458.0
2019-08-28,116.41,117.2,115.88,116.83,4153459.0
2019-08-29,117.19,117.84,116.58,117.52,4467261.0
2019-08-30,117.98,118.98,117.23,117.72,4881060.0
2019-09-03,115.77,116.33,114.55,116.27,5672460.0
2019-09-04,117.48,118.54,117.17,117.25,4595626.0
2019-09-05,118.01,119.07,117.26,117.64,5394316.0
2019-09-06,117.5,118.44,117.39,118.26,4578249.0
2019-09-09,118.74,119.63,118.58,119.39,5007094.0
2019-09-10,120.23,123.29,119.91,121.85,8728821.0
2019-09-11,122.21,122.98,120.37,121.28,5509011.0
2019-09-12,120.04,122.18,119.56,121.42,5818210.0
2019-09-13,122.25,122.32,121.24,121.5,4885280.0
2019-09-16,124.86,125.27,122.97,124.12,10673297.0
2019-09-17,124.12,124.62,122.56,123.89,7359282.0
2019-09-18,123.55,124.21,123.02,124.18,4867402.0
2019-09-19,124.77,124.97,123.42,123.66,4057935.0
2019-09-20,124.0,124.82,123.67,124.32,10521616.0
2019-09-23,123.55,125.0,123.55,124.9,4961738.0
2019-09-24,124.67,124.72,123.22,123.74,6347944.0
2019-09-25,123.48,124.15,122.91,123.51,3781256.0
2019-09-26,123.26,123.5,120.05,120.16,8147949.0
2019-09-27,119.51,120.25,118.45,118.6,6850689.0
2019-09-30,118.54,119.42,118.41,118.6,6233250.0
2019-10-01,119.27,119.46,115.88,116.01,7203242.0
2019-10-02,115.06,115.11,111.62,112.29,9941354.0
2019-10-03,112.06,113.19,110.42,113.15,5626039.0
2019-10-04,113.6,114.0,112.55,113.85,4883761.0
2019-10-07,113.96,114.75,113.23,113.26,4774352.0
2019-10-08,112.11,112.75,111.61,111.71,6067655.0
2019-10-09,112.59,114.51,112.3,113.14,4699793.0
2019-10-10,113.53,114.79,113.3,114.59,3917024.0
2019-10-11,115.69,117.03,115.36,116.15,5181308.0
2019-10-14,115.58,116.39,115.45,116.18,2589741.0
2019-10-15,115.85,117.62,115.8,116.31,3743881.0
2019-10-16,116.23,116.66,115.08,115.11,3651636.0
2019-10-17,115.61,116.06,114.92,115.35,3837772.0
2019-10-18,115.14,115.58,114.74,114.74,5661865.0
2019-10-21,115.55,116.75,115.55,116.61,4152113.0
2019-10-22,116.63,118.56,116.49,117.8,4128916.0
2019-10-23,117.4,118.02,116.78,117.98,4156392.0
2019-10-24,118.47,118.81,117.31,117.58,3892926.0
2019-10-25,117.77,118.85,117.69,118.67,3368127.0
2019-10-28,119.08,119.51,117.64,118.48,5076245.0
2019-10-29,117.97,119.07,117.69,118.13,4548136.0
2019-10-30,118.18,118.18,115.52,116.36,4689191.0
2019-10-31,115.86,116.36,115.32,116.14,7175382.0
2019-11-01,115.49,116.62,114.02,116.21,7683149.0
2019-11-04,117.23,121.87,117.02,121.57,10347780.0
2019-11-05,121.23,122.45,120.72,121.94,6967522.0
2019-11-06,121.94,122.14,119.8,119.9,6104659.0
2019-11-07,121.13,122.0,120.32,121.89,5440733.0
2019-11-08,120.97,121.2,120.16,120.93,4249822.0
2019-11-11,120.2,121.39,120.01,120.81,3870786.0
2019-11-12,121.29,122.05,120.48,120.96,4503586.0
2019-11-13,120.46,122.41,120.37,122.28,5297463.0
2019-11-14,121.85,122.94,121.4,121.96,4882812.0
2019-11-15,121.22,121.39,120.11,120.64,5589613.0
2019-11-18,119.82,120.0,118.14,118.55,4885252.0
2019-11-19,118.5,118.8,116.08,116.45,8722928.0
2019-11-20,116.41,118.08,116.12,117.34,5903084.0
2019-11-21,117.61,118.95,117.2,118.77,5807163.0
2019-11-22,119.06,119.7,118.6,118.63,4786788.0
2019-11-25,118.43,119.22,117.98,118.38,7389988.0
