date,Open,High,Low,Close,Volume
2019-08-20,72.3,72.77,71.1,72.33,3048828.0
2019-08-21,73.25,74.01,71.52,72.76,1362581.0
2019-08-22,73.13,74.25,72.6,73.05,1407736.0
2019-08-23,71.5,73.13,69.59,69.96,2150451.0
2019-08-26,70.87,71.28,68.72,69.19,1118333.0
2019-08-27,69.82,69.98,68.25,69.02,1282654.0
2019-08-28,69.59,71.31,69.19,70.73,1328107.0
2019-08-29,71.25,73.4,70.78,72.67,1539527.0
2019-08-30,72.78,73.63,71.63,73.15,2209503.0
2019-09-03,71.76,72.23,69.28,69.44,7471269.0
2019-09-04,71.0,73.18,70.35,72.97,3330546.0
2019-09-05,73.5,73.89,70.12,70.36,3900253.0
2019-09-06,69.82,70.15,68.49,69.68,4079611.0
2019-09-09,70.54,74.3,70.48,74.24,2334601.0
2019-09-10,74.99,77.43,74.45,74.77,2250914.0
2019-09-11,75.34,77.3,74.13,74.75,2014625.0
2019-09-12,73.0,73.34,71.44,72.39,3133137.0
2019-09-13,73.55,74.11,71.44,73.56,1737789.0
2019-09-16,78.93,78.93,73.95,76.15,4882624.0
2019-09-17,75.59,76.07,71.14,74.38,2942090.0
2019-09-18,73.17,74.61,72.26,73.46,1844590.0
2019-09-19,74.05,74.86,72.11,72.68,1762608.0
2019-09-20,73.21,74.44,72.59,73.23,3649238.0
2019-09-23,71.78,73.47,71.53,72.91,1440952.0
2019-09-24,72.33,72.77,70.91,71.37,1601177.0
2019-09-25,70.5,71.36,69.16,70.16,1433652.0
2019-09-26,69.42,69.44,68.0,68.35,1799891.0
2019-09-27,67.43,69.25,67.03,68.8,1755155.0
2019-09-30,68.51,69.17,67.72,67.9,1392960.0
2019-10-01,68.6,68.76,64.5,64.5,2304256.0
2019-10-02,64.21,65.86,62.97,63.1,2991998.0
2019-10-03,62.71,65.27,62.56,64.9,2453888.0
2019-10-04,64.88,65.69,63.64,64.6,1999000.0
2019-10-07,64.91,65.25,63.19,63.27,2057154.0
2019-10-08,62.31,62.86,61.37,61.95,2496724.0
2019-10-09,62.91,63.33,62.04,63.16,2018065.0
