date,Open,High,Low,Close,Volume
2019-08-20,58.02,58.17,57.59,57.68,2513667.0
2019-08-21,58.25,58.57,57.85,58.01,3015696.0
2019-08-22,58.13,58.28,57.47,57.96,3437022.0
2019-08-23,57.82,58.065,55.84,56.2,5922900.0
2019-08-26,56.76,56.87,55.95,56.28,3415430.0
2019-08-27,56.63,56.68,55.57,56.14,7703233.0
2019-08-28,55.84,57.165,55.8,56.68,5263675.0
2019-08-29,57.12,58.13,57.0601,57.88,4101360.0
2019-08-30,58.15,58.86,57.59,57.86,4268262.0
2019-09-03,57.44,57.91,56.65,57.29,6601598.0
2019-09-04,57.62,58.04,56.74,57.23,4939630.0
2019-09-05,57.66,58.94,57.5501,58.19,4461558.0
2019-09-06,58.7,58.96,57.89,57.98,5739937.0
2019-09-09,57.98,58.45,57.555,58.11,5735286.0
2019-09-10,58.08,58.7227,57.8,58.64,4409586.0
2019-09-11,58.62,59.18,58.14,58.78,4162554.0
2019-09-12,58.78,59.8919,58.78,59.44,5185237.0
2019-09-13,60.0,60.58,59.61,60.01,7548327.0
2019-09-16,58.03,59.13,57.25,59.07,9433456.0
2019-09-17,58.31,59.77,58.16,59.37,8189198.0
2019-09-18,59.45,59.5,58.67,59.31,4105112.0
2019-09-19,59.25,59.25,58.305,58.69,3585987.0
2019-09-20,58.8,59.18,58.49,58.63,6179171.0
2019-09-23,58.31,58.6646,57.84,58.02,4422375.0
2019-09-24,58.62,58.91,57.56,58.0,5280085.0
2019-09-25,58.04,58.49,57.679,58.31,3300082.0
2019-09-26,58.11,58.81,57.93,58.78,3814924.0
2019-09-27,58.97,59.38,58.1645,58.28,5377086.0
2019-09-30,58.51,58.69,57.52,57.6,5224265.0
2019-10-01,58.05,58.68,56.65,57.01,8073874.0
2019-10-02,55.74,55.749,52.87,54.35,13989202.0
2019-10-03,53.12,53.86,51.81,52.83,14407586.0
2019-10-04,52.85,53.955,52.68,53.81,6666182.0
2019-10-07,53.75,54.11,53.24,53.36,8781112.0
2019-10-08,53.02,54.095,52.8897,53.2,8054708.0
2019-10-09,54.01,54.4,53.59,53.92,7667181.0
2019-10-10,51.95,53.26,51.07,53.1,26424775.0
2019-10-11,53.5,53.77,52.64,52.95,11011644.0
2019-10-14,52.05,53.195,51.97,52.99,6734739.0
2019-10-15,53.21,53.985,53.01,53.64,8642922.0
2019-10-16,53.75,54.13,53.07,53.17,5559898.0
2019-10-17,53.52,53.76,53.25,53.37,4425266.0
2019-10-18,53.19,53.99,53.18,53.83,6966295.0
2019-10-21,54.19,54.98,54.1,54.58,6753547.0
2019-10-22,54.69,54.96,54.06,54.65,5659573.0
2019-10-23,54.05,54.24,53.6,53.81,4893975.0
2019-10-24,54.3,54.66,53.48,53.79,4829162.0
2019-10-25,53.61,54.737,53.6,54.6,4412771.0
2019-10-28,54.72,55.33,54.72,55.17,3966387.0
2019-10-29,55.14,55.865,55.11,55.38,4474747.0
2019-10-30,55.36,55.4099,54.805,55.32,3813779.0
2019-10-31,55.02,55.2,54.41,55.08,7023014.0
2019-11-01,55.55,56.07,55.23,56.02,5389065.0
2019-11-04,56.75,56.97,56.4201,56.88,6162025.0
